Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Fernando Enrique,Attacking Midfield,"Sep 16, 1985 ",38,['Argentina'],Brazil,Lavallol,,"1,71",€10k
,Juan Marcarie,Attacking Midfield,"Sep 25, 1985 ",38,['Argentina'],Brazil,Buenos Aires,RW   LW,"1,74",-
,Robinson Torres,Attacking Midfield,"Nov 23, 1985 ",38,['Argentina'],Brazil,Puerto Madryn,,,-
,Jorge Daolio,Attacking Midfield,"Jun 7, 1985 ",38,['Argentina'],Brazil,Buenos Aires,,,-
,Emanuel Croce,Attacking Midfield,"Jul 22, 1985 ",38,['Argentina'],Brazil,Cañada de Gómez,,"1,88",-
,Fabián Espínola,Attacking Midfield,"Dec 6, 1985 ",38,['Argentina'],Brazil,Formosa,,"1,79",-
,Jaime Molfeso,Attacking Midfield,"Jul 25, 1985 ",38,['Argentina'],Brazil,Bragado,,"1,72",-
,Emiliano Romero,Attacking Midfield,"Sep 11, 1985 ",38,['Argentina'],Brazil,Sarandí,,"1,71",-
,Marcelo Penta,Attacking Midfield,"Aug 26, 1985 ",38,"['Argentina', 'Italy']",Brazil,Las Heras,LM   CM,"1,74",-
,Pablo Espinoza,Attacking Midfield,"Oct 5, 1985 ",38,['Argentina'],Brazil,San Miguel (Buenos Aires),,"1,65",-
,Patricio Pérez,Attacking Midfield,"Jun 27, 1985 ",38,['Argentina'],Brazil,Buenos Aires,CM,"1,67",-
,Mauro Cejas,Attacking Midfield,"Aug 24, 1985 ",38,"['Argentina', 'Mexico']",Brazil,Adrogué,LW   SS,"1,73",-
,Christian Sánchez Prette,Attacking Midfield,"May 10, 1985 ",38,['Argentina'],Brazil,Río Cuarto,RM,"1,75",-
,Germán Gonzalo Cabrera,Attacking Midfield,"Sep 15, 1985 ",38,"['Spain', 'Australia']",Brazil,,,"1,67",-
,Cristian Bustos,Attacking Midfield,"Jan 6, 1985 ",39,['Argentina'],Brazil,Pilar,,"1,78",-
,Horacio Anzorena,Attacking Midfield,"Aug 13, 1985 ",38,['Argentina'],Brazil,General Alvear,,"1,70",-
,Jonathan Belforte,Attacking Midfield,"Sep 12, 1985 ",38,['Argentina'],Brazil,Buenos Aires,,"1,74",-
,Matías Roldán,Attacking Midfield,"Nov 13, 1985 ",38,['Argentina'],Brazil,Moreno,,"1,80",-
