Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
22,Gustavo Cabral,Centre-Back,"Oct 14, 1985 ",38,"['Argentina', 'Spain']",Argentina,Isidro Casanova,,"1,82",€650k
,Paolo Goltz,Centre-Back,"May 12, 1985 ",38,['Argentina'],Argentina,Hasenkamp,,"1,84",€75k
3,Néstor Moiraghi,Centre-Back,"Apr 19, 1985 ",38,['Argentina'],Argentina,Cipoletti,LB,"1,81",€25k
,Alejandro Álvarez,Centre-Back,"Jul 17, 1985 ",38,['Argentina'],Argentina,Santa Fe,,,-
,Andrés Siena,Centre-Back,"Feb 3, 1985 ",39,['Argentina'],Argentina,Buenos Aires,,"1,80",-
,Marcos Cabrera,Centre-Back,"May 14, 1985 ",38,['Argentina'],Argentina,Buenos Aires,,"1,87",-
,Gabriel Tomassini,Centre-Back,"Nov 8, 1985 ",38,['Argentina'],Argentina,Vila,,"1,90",-
,Gabriel Zuvinikar,Centre-Back,"Mar 21, 1985 ",39,['Argentina'],Argentina,Santa Fe,,,-
,Emiliano Pedreira,Centre-Back,"Nov 5, 1985 ",38,"['Argentina', 'Spain']",Argentina,Buenos Aires,,"1,91",-
,Carlos Zorrilla,Centre-Back,"Oct 9, 1985 ",38,['Argentina'],Argentina,Lanús,,,-
,Gonzalo Lovera,Centre-Back,"May 25, 1985 ",38,['Argentina'],Argentina,Rosario,LB,"1,87",-
2,Diego Novaretti,Centre-Back,"May 9, 1985 ",38,"['Argentina', 'Italy']",Argentina,La Palestina,,"1,93",-
,Gonzalo Juárez,Centre-Back,"Feb 14, 1985 ",39,['Argentina'],Argentina,Quilmes,,"1,85",-
19,Marcos Espeche,Centre-Back,"Jun 18, 1985 ",38,"['Argentina', 'Italy']",Argentina,Cordoba,,"1,79",€200k
2,Lucas Aveldaño,Centre-Back,"Jul 19, 1985 ",38,"['Argentina', 'Italy']",Argentina,Rafaela,,"1,85",€25k
24,Federico Martin Villar,Centre-Back,"Nov 24, 1985 ",38,"['Argentina', 'Gibraltar']",Argentina,Buenos Aires,DM,"1,88",€10k
,Leonel Bottaro,Centre-Back,"Apr 24, 1985","Apr 24, 1985",['Argentina'],Argentina,"Lanús, Buenos Aires",,"1,82",-
,Miguel Bazán,Centre-Back,"Mar 21, 1985 ",39,['Argentina'],Argentina,Buenos Aires,,"1,89",-
,Gastón Bojanich,Centre-Back,"Apr 23, 1985 ",38,['Argentina'],Argentina,,LB,"1,91",-
,Mariano Caporale,Centre-Back,"Jan 11, 1985 ",39,"['Argentina', 'Italy']",Argentina,Buenos Aires,,"1,78",-
,Maximiliano García,Centre-Back,"Jan 25, 1985 ",39,['Argentina'],Argentina,Buenos Aires,,"1,82",-
,Ezequiel Brítez,Centre-Back,"Jun 25, 1985 ",38,['Argentina'],Argentina,Rosario,,"1,86",-
,Claudio Pérez,Centre-Back,"Dec 26, 1985 ",38,['Argentina'],Argentina,José Clemente Paz,RB,"1,88",-
,Tomás Charles,Centre-Back,"Jun 12, 1985 ",38,['Argentina'],Argentina,Villa Dominico,LB,"1,84",-
,Martín Zbrun,Centre-Back,"Jan 27, 1985 ",39,['Argentina'],Argentina,Rafaela,LB,,-
,Mauricio Ferrari,Centre-Back,"Jan 3, 1985 ",39,"['Argentina', 'Italy']",Argentina,Casilda,,"1,81",-
,Lucas Viale,Centre-Back,"Mar 9, 1985 ",39,"['Argentina', 'Spain']",Argentina,Córdoba,,"1,82",-
,Carlos Matheu,Centre-Back,"May 13, 1985 ",38,"['Argentina', 'Italy']",Argentina,Quilmes,RB,"1,82",-
,Gabriel Longo,Centre-Back,"Jan 6, 1985 ",39,['Argentina'],Argentina,San Justo,,"1,9",-
,Lucas Quinteros,Centre-Back,"Mar 6, 1985 ",39,['Argentina'],Argentina,Buenos Aires,,"1,78",-
,Martín Bonjour,Centre-Back,"Sep 4, 1985 ",38,['Argentina'],Argentina,Carhué,,"1,86",-
,Martín García,Centre-Back,"Sep 19, 1985 ",38,['Argentina'],Argentina,Alcorta,,"1,78",-
,Ricardo Villalba,Centre-Back,"Nov 15, 1985 ",38,['Argentina'],Argentina,Caseros,,"1,80",-
,Mauro Zanotti,Centre-Back,"Jan 14, 1985 ",39,"['Argentina', 'Bolivia']",Argentina,Bell Ville,,"1,87",-
,Eduardo Méndez,Centre-Back,"Jan 12, 1985 ",39,['Argentina'],Argentina,Isidro Casanova,,"1,91",-
,Diego Menghi,Centre-Back,"May 17, 1985 ",38,['Argentina'],Argentina,Justiniano Posse,SW,"1,85",-
,Augusto Mainguyague,Centre-Back,"Sep 10, 1985 ",38,['Argentina'],Argentina,Laboulaye,,"1,78",-
,Facundo Quiroga,Centre-Back,"May 16, 1985 ",38,['Argentina'],Argentina,Garín,,"1,84",-
,Julio Barroso,Centre-Back,"Jan 16, 1985 ",39,"['Argentina', 'Chile']",Argentina,San Martín,RB,"1,75",-
,Jonatan Maidana,Centre-Back,"Jul 29, 1985 ",38,"['Argentina', 'Italy']",Argentina,Adrogué,,"1,85",-
,Santiago Gentiletti,Centre-Back,"Jan 9, 1985 ",39,"['Argentina', 'Italy']",Argentina,Godeken,LB,"1,82",-
,Paolo Dellafiore,Centre-Back,"Feb 2, 1985 ",39,"['Italy', 'Argentina']",Argentina,Buenos Aires,RB,"1,86",-
24,Gustavo Benítez,Centre-Back,"Mar 7, 1986 ",38,['Argentina'],Argentina,Buenos Aires,,"1,97",€10k
,Iván Valente,Centre-Back,"Apr 7, 1986 ",37,['Argentina'],Argentina,Concepcion del Uruguay,,"1,90",-
,Alan Vester,Centre-Back,"May 12, 1986 ",37,['Argentina'],Argentina,San Francisco de Bellocq (BUE),,"1,86",-
,Franco Turus,Centre-Back,"Sep 9, 1986 ",37,['Argentina'],Argentina,Colonia Caroya (CBA),,,-
,Sebastián Lamacchia,Centre-Back,"Oct 10, 1986 ",37,"['Argentina', 'Italy']",Argentina,Dolores,,"1,86",-
,Leandro Caballero,Centre-Back,"Feb 13, 1986 ",38,['Argentina'],Argentina,Pinamar,,"1,89",-
,Emanuel Loeschbor,Centre-Back,"Oct 16, 1986 ",37,"['Argentina', 'Mexico']",Argentina,Córdoba,,"1,81",-
,Hernán Silva,Centre-Back,"May 26, 1986 ",37,['Argentina'],Argentina,Buenos Aires,,,-
,Diego González,Centre-Back,"Nov 16, 1986 ",37,['Argentina'],Argentina,San Martín,,"1,88",-
,Gonzalo Sebastián Torres,Centre-Back,"Apr 17, 1986 ",37,['Argentina'],Argentina,Buenos Aires,DM,"1,78",-
,Fabián Barrionuevo,Centre-Back,"Dec 25, 1986 ",37,['Argentina'],Argentina,San Miguel de Tucumán,,"1,88",-
,Sergio Lucas,Centre-Back,"Nov 27, 1986 ",37,"['Argentina', 'Italy']",Argentina,Córdoba,RB,,-
3,Ezequiel Luna,Centre-Back,"Nov 19, 1986 ",37,['Argentina'],Argentina,Villa Gobernador Gálvez,RB,"1,80",-
,Nicolás Foglia,Centre-Back,"Oct 7, 1986 ",37,['Argentina'],Argentina,Río Cuarto,,"1,82",€10k
,Víctor Manchafico,Centre-Back,"Apr 11, 1986 ",37,['Argentina'],Argentina,Neuquen (NEU),,"1,75",-
,Leonardo Rodríguez,Centre-Back,"Feb 21, 1986 ",38,['Argentina'],Argentina,Salta (SAL),,"1,84",-
,Daniel Silvani,Centre-Back,"Mar 1, 1986 ",38,['Argentina'],Argentina,Bernal,,"1,92",-
,Matías Giammalva,Centre-Back,"Jan 22, 1986 ",38,"['Argentina', 'Italy']",Argentina,Marcos Juárez,,"1,85",-
