Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
11,Sebastián Sáez,Centre-Forward,"Jan 24, 1985 ",39,['Argentina'],Argentina,Santiago del Estero,,"1,76",€75k
12,Sebastián Tagliabúe,Centre-Forward,"Feb 22, 1985 ",39,"['United Arab Emirates', 'Argentina']",Argentina,Olivos,,"1,81",€50k
99,Emiliano Candía,Centre-Forward,"May 18, 1985 ",38,"['Argentina', 'New Zealand']",Argentina,Concordia,,,-
,Nicolas Di Rito,Centre-Forward,"Dec 4, 1985 ",38,"['Argentina', 'Italy']",Argentina,Rosario,,"1,87",-
,Santiago Ceballos,Centre-Forward,"Jun 29, 1985 ",38,['Argentina'],Argentina,San Juan,,"1,74",-
,Diego Giménez,Centre-Forward,"Jun 3, 1985 ",38,['Argentina'],Argentina,Puerto Madryn,,"1,79",-
,Mauricio Villa,Centre-Forward,"Aug 20, 1985 ",38,"['Argentina', 'Italy']",Argentina,Mar del Plata,SS,"1,80",-
11,Sebastián Merlo,Centre-Forward,"Jan 26, 1985 ",39,"['Argentina', 'Vietnam']",Argentina,Jovita,,"1,90",-
,Cristian Girard,Centre-Forward,"Mar 6, 1985 ",39,['Argentina'],Argentina,Sunchales,,,-
,Cristian Alessandrini,Centre-Forward,"May 27, 1985 ",38,"['Argentina', 'Italy']",Argentina,Buenos Aires,,"1,83",-
,Iván Saucedo,Centre-Forward,"Jun 12, 1985 ",38,['Argentina'],Argentina,Reconquista,RM,"1,80",-
,Nicolás Abot,Centre-Forward,"Sep 28, 1985 ",38,"['Argentina', 'Italy']",Argentina,Mar del Plata,SS   RW,"1,83",-
,Matías Ragusa,Centre-Forward,"Aug 12, 1985 ",38,"['Argentina', 'Italy']",Argentina,,SS,"1,83",-
33,Juan Vogliotti,Centre-Forward,"Apr 11, 1985 ",38,"['Argentina', 'Bolivia']",Argentina,Río Cuarto,RW,"1,80",€50k
19,Pablo González,Centre-Forward,"May 28, 1985 ",38,"['Argentina', 'Italy']",Argentina,Tandil,RW   AM,"1,80",€50k
,Maximiliano Bocchietti,Centre-Forward,"Jan 24, 1985 ",39,['Argentina'],Argentina,Rosario (SFE),,,-
,Lautaro Robles,Centre-Forward,"Jul 26, 1985 ",38,['Argentina'],Argentina,,,"1,70",-
,Gonzalo Parisi,Centre-Forward,"May 13, 1985 ",38,['Argentina'],Argentina,La Pampa,,"1,79",-
,Gaston Castaño,Centre-Forward,"Jun 8, 1985 ",38,['Argentina'],Argentina,Santiago del Estero,,"1,78",-
,Diego Leguiza,Centre-Forward,"Mar 23, 1985 ",39,['Argentina'],Argentina,Grand Bourg,,"1,77",-
,Luciano Vásquez,Centre-Forward,"Mar 6, 1985 ",39,['Argentina'],Argentina,San Miguel del Monte,,"1,81",-
,Héctor Sanabria,Centre-Forward,"Aug 29, 1985","Aug 29, 1985",['Argentina'],Argentina,Morón,,"1,80",-
,Emiliano Lattes,Centre-Forward,"Jan 28, 1985 ",39,"['Argentina', 'Italy']",Argentina,Mar del Plata,,"1,74",-
