Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
10,Facundo Martínez,Central Midfield,"Apr 2, 1985 ",38,"['Argentina', 'Ecuador']",Argentina,Buenos Aires,DM   AM,"1,79",€200k
85,Tino Costa,Central Midfield,"Jan 9, 1985 ",39,"['Argentina', 'France']",Argentina,Buenos Aires,DM   AM,"1,76",€100k
,Juan Figueroa,Central Midfield,"Oct 7, 1985 ",38,"['Argentina', 'Bolivia']",Argentina,,CB   DM,"1,80",-
5,Claudio Amad,Central Midfield,"May 6, 1985 ",38,['Argentina'],Argentina,Comodoro Rivadavia,AM   DM,,-
,Gonzalo Raverta,Central Midfield,"Apr 18, 1985 ",38,['Argentina'],Argentina,La Plata,,,-
,Nicolás Torres,Central Midfield,"Jan 5, 1985 ",39,['Argentina'],Argentina,Buenos Aires,,,-
,Rodrigo Malbernat,Central Midfield,"Aug 6, 1985 ",38,['Argentina'],Argentina,Avellaneda,,"1,81",-
,Roberto Carboni,Central Midfield,"Apr 8, 1985 ",38,"['Argentina', 'Italy']",Argentina,Buenos Aires,LM   RM,"1,72",-
,Eduardo Vilce,Central Midfield,"Mar 11, 1985 ",39,['Argentina'],Argentina,Rosario,,"1,76",-
,Cristian Lillo,Central Midfield,"Aug 12, 1985 ",38,['Argentina'],Argentina,Caseros,,"1,77",-
,Leonardo Sartor,Central Midfield,"Apr 6, 1985 ",38,['Argentina'],Argentina,Reconquista,,"1,79",-
,Esteban Sachetti,Central Midfield,"Nov 21, 1985 ",38,"['Argentina', 'Italy']",Argentina,Tucumán,,"1,72",-
,Jorge Medina,Central Midfield,"Jul 3, 1985 ",38,['Argentina'],Argentina,Quilmes,,"1,71",-
7,José Sosa,Central Midfield,"Jun 19, 1985 ",38,['Argentina'],Argentina,Carcarañá,AM   DM,"1,79",€200k
,Mauro Bogado,Central Midfield,"May 31, 1985 ",38,"['Argentina', 'Spain']",Argentina,San Martín,RM   DM,"1,70",€10k
,Nico Mignani,Central Midfield,"Jan 25, 1985 ",39,['Argentina'],Argentina,Río Tercero,,,-
,Luis Zeballos,Central Midfield,"Mar 3, 1985 ",39,['Argentina'],Argentina,Los Polvorines,,"1,77",-
,Damián Canuto,Central Midfield,"Apr 17, 1985 ",38,['Argentina'],Argentina,Rosario,LM,"1,80",-
,Facundo Contreras,Central Midfield,"Nov 8, 1985 ",38,['Argentina'],Argentina,Cipolletti,,"1,80",-
,Mathías Caserio,Central Midfield,"Jul 14, 1985 ",38,['Argentina'],Argentina,Rosario,,"1,77",-
,Gerardo Gómez,Central Midfield,"May 17, 1985 ",38,['Argentina'],Argentina,Corrientes,,"1,60",-
,Gabriel Solís,Central Midfield,"Jun 24, 1985 ",38,['Argentina'],Argentina,Salta,,"1,77",-
,Federico Íñiguez,Central Midfield,"Oct 16, 1985 ",38,['Argentina'],Argentina,José Clemente Paz,,"1,88",-
,Juan Manuel Sosa,Central Midfield,"Feb 10, 1985 ",39,['Argentina'],Argentina,Ramos Mejía,,"1,85",-
,Waldo Brandán,Central Midfield,"Jun 1, 1985 ",38,['Argentina'],Argentina,San Miguel de Tucumán,,"1,78",-
,Marcelo Guzmán,Central Midfield,"Feb 16, 1985 ",39,['Argentina'],Argentina,Córdoba,,"1,76",-
,Víctor Ormazabal,Central Midfield,"Apr 2, 1985 ",38,"['Argentina', 'Spain']",Argentina,Buenos Aires,AM   RM,"1,79",-
,Pablo Pérez,Central Midfield,"Aug 10, 1985 ",38,['Argentina'],Argentina,Rosario,RM   AM,"1,75",-
,Martín Civit,Central Midfield,"Sep 25, 1985 ",38,['Argentina'],Argentina,Sarandí,RM   LM,"1,73",-
,Cristián Torres,Central Midfield,"Jun 18, 1985 ",38,"['Latvia', 'Argentina']",Argentina,Vicente López,AM   SS,"1,69",-
,Luis Benítez,Central Midfield,"Feb 14, 1985 ",39,['Argentina'],Argentina,Ezpeleta,SS,"1,86",-
,Martín Wagner,Central Midfield,"Jun 15, 1985 ",38,['Argentina'],Argentina,Coronel Suárez,,"1,78",-
,Gonzalo Saucedo,Central Midfield,"Feb 16, 1985 ",39,['Argentina'],Argentina,Corrientes,,"1,70",-
,Hernán Pérez,Central Midfield,"Jul 5, 1985 ",38,['Argentina'],Argentina,Quilmes,,,-
,Fabián Santana,Central Midfield,"Jul 29, 1985 ",38,['Argentina'],Argentina,Hurlingham,,"1,80",-
,Darío González,Central Midfield,"Apr 12, 1985 ",38,['Argentina'],Argentina,Córdoba,,"1,69",-
,Gustavo Colman,Central Midfield,"Apr 19, 1985 ",38,['Argentina'],Argentina,Buenos Aires,DM   AM,"1,75",-
,Simón Ramírez,Central Midfield,"Apr 12, 1985 ",38,['Argentina'],Argentina,Morón,,"1,81",-
33,Monteros Paulino,Central Midfield,"Jun 7, 1986 ",37,['Argentina'],Argentina,Chascomús,DM   LW,"1,70",€100k
,Pablo Hernández,Central Midfield,"Oct 24, 1986 ",37,"['Chile', 'Argentina']",Argentina,Tucumán,AM,"1,84",€25k
,Alejandro Rizzo,Central Midfield,"Dec 31, 1986 ",37,['Argentina'],Argentina,San José Feliciano,,"1,66",-
,Marcelo Castellano,Central Midfield,"May 20, 1986 ",37,['Argentina'],Argentina,Inginiero White,,"1,80",-
,Julián Wajnsztejn,Central Midfield,"Apr 23, 1986 ",37,"['Argentina', 'Poland']",Argentina,Buenos Aires,DM,"1,78",-
,Pablo Retamar,Central Midfield,"Aug 4, 1986 ",37,['Argentina'],Argentina,Corrientes,,,-
,Marcelo Vega,Central Midfield,"Sep 16, 1986 ",37,['Argentina'],Argentina,Isidro Casanova,RM,"1,74",-
,Raúl Alberto Speroni,Central Midfield,"Jan 17, 1986 ",38,"['Argentina', 'Italy']",Argentina,Buenos Aires,RM   LM,"1,80",-
,Julián Magallanes,Central Midfield,"Mar 20, 1986 ",38,"['Argentina', 'Italy']",Argentina,Casilda,DM,"1,80",-
,Marcos Brítez,Central Midfield,"May 22, 1986 ",37,['Argentina'],Argentina,Buenos Aires,,"1,84",-
,Matías Carabajal,Central Midfield,"Jun 3, 1986 ",37,['Argentina'],Argentina,Fraile Pintado,,"1,76",-
,Sebastian Augusto Brown,Central Midfield,"Jul 4, 1986 ",37,['Argentina'],Argentina,Bernet,,,-
,Franco Quiroga,Central Midfield,"Dec 23, 1986 ",37,['Argentina'],Argentina,Cutral Có,RB   RM,"1,77",-
32,Ariel Rojas,Central Midfield,"Jan 16, 1986 ",38,['Argentina'],Argentina,Garín,,"1,76",€50k
,Alejandro Benitez,Central Midfield,"Oct 24, 1986 ",37,['Argentina'],Argentina,Formosa,,,-
,Mauricio Soto,Central Midfield,"Feb 22, 1986 ",38,['Argentina'],Argentina,Berazategui,,"1,85",-
,Daniel Quiroga,Central Midfield,"Oct 15, 1986 ",37,['Argentina'],Argentina,Lujan de Cuyo,,"1,70",-
,Maximiliano Zbrun,Central Midfield,"Oct 9, 1986 ",37,['Argentina'],Argentina,Rafaela,DM,"1,75",-
,Fabricio Poci,Central Midfield,"Apr 10, 1986 ",37,"['Argentina', 'Italy']",Argentina,Buenos Aires,DM,"1,82",-
,Emiliano Ronconi,Central Midfield,"Mar 16, 1986 ",38,['Argentina'],Argentina,Gualeguaychú,,"1,86",-
,Leonardo Melián,Central Midfield,"Jan 13, 1986 ",38,['Argentina'],Argentina,Morón,,,-
,Alejandro Faurlín,Central Midfield,"Aug 9, 1986 ",37,"['Argentina', 'Italy']",Argentina,Rosario,,"1,85",-
,Enzo Cappa,Central Midfield,"Feb 4, 1986 ",38,['Argentina'],Argentina,Mendoza,,"1,73",-
,José Luis Villagra,Central Midfield,"Feb 24, 1986 ",38,['Argentina'],Argentina,Villa Maria,,"1,75",-
,Wálter Acevedo,Central Midfield,"Feb 16, 1986 ",38,"['Argentina', 'Spain']",Argentina,San Justo,AM,"1,78",-
,Augusto Fernández,Central Midfield,"Apr 10, 1986 ",37,"['Argentina', 'Italy']",Argentina,Pergamino,DM   RM,"1,77",-
,Gonzalo Castellani,Central Midfield,"Aug 10, 1987 ",36,['Argentina'],Argentina,Buenos Aires,AM   DM,"1,85",€150k
,José Luis Fernández,Central Midfield,"Oct 26, 1987 ",36,['Argentina'],Argentina,Caseros,LM   LB,"1,69",€125k
8,Enzo Kalinski,Central Midfield,"Mar 10, 1987 ",37,"['Argentina', 'Poland']",Argentina,Santiago del Estero,DM   AM,"1,84",€50k
,Wálter Busse,Central Midfield,"Mar 3, 1987 ",37,['Argentina'],Argentina,General Güemes,RW   AM,"1,71",€10k
,Emanuel Tamalet,Central Midfield,"Sep 7, 1987 ",36,['Argentina'],Argentina,"Diecisiete de Agosto, Buenos Aires",,"1,87",-
,Eduardo Scasserra,Central Midfield,"Sep 22, 1987 ",36,['Argentina'],Argentina,Azul,RM   RB,"1,69",-
,Guido Corteggiano,Central Midfield,"Jun 23, 1987 ",36,"['Argentina', 'Italy']",Argentina,Buenos Aires,LB   CB,"1,82",-
,Juan Martìn Ulloa,Central Midfield,"Jan 1, 1987 ",37,['Argentina'],Argentina,Villa Constituciòn,DM,,-
,Andrés Colombo,Central Midfield,"Jul 30, 1987 ",36,['Argentina'],Argentina,Rosario,,"1,78",-
,Laureano Tello,Central Midfield,"Jan 23, 1987 ",37,['Argentina'],Argentina,Mar del Plata,RM   AM,"1,70",-
,Alfredo Ramírez,Central Midfield,"Feb 19, 1987 ",37,['Argentina'],Argentina,Santa Fé,,"1,84",-
,Juan Galárraga,Central Midfield,"Jul 2, 1987 ",36,['Argentina'],Argentina,Corrientes,,,-
,Salvador Reynoso,Central Midfield,"Oct 12, 1987 ",36,['Argentina'],Argentina,General Rodríguez,RM,"1,82",-
20,Mariano Torres,Central Midfield,"May 19, 1987 ",36,['Argentina'],Argentina,Buenos Aires,DM   AM,"1,82",€150k
11,Luciano Aued,Central Midfield,"Mar 1, 1987 ",37,"['Argentina', 'Chile']",Argentina,La Plata,DM   LM,"1,78",€125k
20,Federico Cataruozzolo,Central Midfield,"Sep 8, 1987 ",36,"['Argentina', 'Italy']",Argentina,Belén de Escobar,AM,"1,75",€25k
