Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
1.0,Cristian Álvarez,Goalkeeper,"Nov 13, 1985 ",38,"Argentina, Spain",Argentina,Rosario,"1,86",€100k,,Argentina, Spain,,
,Nereo Champagne,Goalkeeper,"Jan 20, 1985 ",39,"Argentina, Italy",Argentina,Salto,"1,88",€10k,,Argentina, Italy,,
1.0,Rodrigo Pombo,Goalkeeper,"Jun 16, 1985 ",38,Argentina,Argentina,Cordoba,,-,,Argentina,,,
,Gastón Folgar,Goalkeeper,"Mar 7, 1985 ",39,Argentina,Argentina,Buenos Aires,,-,,Argentina,,,
,Ángel Pedroso,Goalkeeper,"Jun 18, 1985 ",38,Argentina,Argentina,Formosa,,-,,Argentina,,,
,Matías Coloca,Goalkeeper,"Sep 11, 1985 ",38,"Argentina, El Salvador",Argentina,Pehuajo,"1,80",-,,Argentina, El Salvador,,
,Adrián Villa,Goalkeeper,"May 8, 1985 ",38,Argentina,Argentina,Junin,,-,,Argentina,,,
,Sebastián Portigliatti,Goalkeeper,"Mar 1, 1985 ",39,"Argentina, Italy",Argentina,San Francisco,"1,84",-,,Argentina, Italy,,
,Norberto Scoponi,Goalkeeper,"Dec 13, 1985 ",38,Argentina,Argentina,Santa Fe,"1,87",-,,Argentina,,,
,Adrián Gabbarini,Goalkeeper,"Oct 10, 1985 ",38,"Argentina, Ecuador",Argentina,Guaymallen,"1,82",-,,Argentina, Ecuador,,
,Diego Pavé,Goalkeeper,"Apr 29, 1985 ",38,Argentina,Argentina,Concaran,"1,82",-,,Argentina,,,
22.0,Nicolás Peranic,Goalkeeper,"Jun 2, 1985 ",38,"Argentina, Chile",Argentina,Ituzaingo,"1,84",€75k,,Argentina, Chile,,
,Alejandro Granero,Goalkeeper,"Sep 3, 1985 ",38,Argentina,Argentina,,,-,,Argentina,,,
,Rodrigo Benítez,Goalkeeper,"Dec 16, 1985 ",38,Argentina,Argentina,Ensenada,"1,82",-,,Argentina,,,
,Ricardo Grieger,Goalkeeper,"Jun 2, 1985 ",38,Argentina,Argentina,San Fernando,,-,,Argentina,,,
,Osvaldo Cabral,Goalkeeper,"Jun 4, 1985 ",38,"Argentina, Paraguay",Argentina,Clorinda,"1,87",-,,Argentina, Paraguay,,
,Denis Roberts,Goalkeeper,"Jan 22, 1985 ",39,Argentina,Argentina,Trelew,,-,,Argentina,,,
,Rodrigo Cervetti,Goalkeeper,"Apr 22, 1985 ",38,"Argentina, Italy",Argentina,Cordoba,,-,,Argentina, Italy,,
,Matías Alasia,Goalkeeper,"May 7, 1985 ",38,"Argentina, Italy",Argentina,Corral de Bustos,"1,80",-,,Argentina, Italy,,
,Sebastián López,Goalkeeper,"Sep 14, 1985 ",38,Argentina,Argentina,San Nicolas,"1,87",-,,Argentina,,,
,Pablo Bangardino,Goalkeeper,"Jan 9, 1985 ",39,Argentina,Argentina,Berisso,"1,86",-,,Argentina,,,
,Nicolás Navarro,Goalkeeper,"Mar 25, 1985 ",38,Argentina,Argentina,Buenos Aires,"1,90",-,,Argentina,,,
1.0,Fernando Muslera,Goalkeeper,"Jun 16, 1986 ",37,"Uruguay, Italy",Argentina,Buenos Aires,"1,90",€1.50m,,Uruguay, Italy,,
1.0,Nahuel Guzmán,Goalkeeper,"Feb 10, 1986 ",38,Argentina,Argentina,Rosario,"1,91",€800k,,Argentina,,,
23.0,Alejandro Medina,Goalkeeper,"Dec 17, 1986 ",37,Argentina,Argentina,Capital Federal,"1,82",€175k,,Argentina,,,
12.0,Matías Ibáñez,Goalkeeper,"Dec 16, 1986 ",37,Argentina,Argentina,Buenos Aires,"1,90",€50k,,Argentina,,,
,Fernando Otárola,Goalkeeper,"Feb 4, 1986 ",38,"Argentina, Chile",Argentina,Buenos Aires,"1,77",€25k,,Argentina, Chile,,
,Matías Vega,Goalkeeper,"Apr 18, 1986 ",37,Argentina,Argentina,Rosario,"1,91",€25k,,Argentina,,,
,Matías Lescano,Goalkeeper,"Oct 12, 1986 ",37,Argentina,Argentina,Buenos Aires,"1,83",-,,Argentina,,,
,Gonzalo Gómez,Goalkeeper,"Mar 25, 1986 ",37,Argentina,Argentina,Ledesma,"1,80",-,,Argentina,,,
,Alex Koch,Goalkeeper,"May 13, 1986 ",37,"Liechtenstein, Argentina",Argentina,Neuquen,"1,77",-,,Liechtenstein, Argentina,,
,Juan Andrés Imola,Goalkeeper,"Jun 9, 1986 ",37,Argentina,Argentina,Inriville,"1,84",-,,Argentina,,,
,Fernando Pellegrino,Goalkeeper,"Mar 31, 1986 ",37,"Argentina, Italy",Argentina,Buenos Aires,"1,98",-,,Argentina, Italy,,
,Valentin Brasca,Goalkeeper,"Aug 27, 1986 ",37,"Argentina, Italy",Argentina,Cordoba,"1,80",-,,Argentina, Italy,,
,Emiliano Olivero,Goalkeeper,"Mar 27, 1986 ",37,Argentina,Argentina,Junin,"1,93",-,,Argentina,,,
1.0,Franco Armani,Goalkeeper,"Oct 16, 1986 ",37,Argentina,Argentina,Casilda,"1,89",€1.20m,,Argentina,,,
23.0,Óscar Ustari,Goalkeeper,"Jul 3, 1986 ",37,"Argentina, Italy",Argentina,America,"1,83",€600k,,Argentina, Italy,,
1.0,Jorge Broun,Goalkeeper,"May 26, 1986 ",37,Argentina,Argentina,Rosario,"1,90",€150k,,Argentina,,,
74.0,Marcos Díaz,Goalkeeper,"Feb 5, 1986 ",38,"Argentina, Italy",Argentina,Santa Fe,"1,87",€50k,,Argentina, Italy,,
,Alejandro Sánchez,Goalkeeper,"Oct 25, 1986 ",37,Argentina,Argentina,Buenos Aires,"1,88",€25k,,Argentina,,,
,Juan Mendonça,Goalkeeper,"Apr 5, 1986 ",37,Argentina,Argentina,Mar del Plata,"1,86",€10k,,Argentina,,,
,Álvaro Ramírez,Goalkeeper,"May 28, 1986 ",37,Argentina,Argentina,Rosario,"1,81",-,,Argentina,,,
,Matías Cano,Goalkeeper,"Apr 20, 1986 ",37,Argentina,Argentina,Adrogue,"1,80",-,,Argentina,,,
23.0,Mauro Beltramella,Goalkeeper,"Apr 20, 1986 ",37,"Argentina, Italy",Argentina,Olavarria,"1,89",-,,Argentina, Italy,,
,Lucas Abud,Goalkeeper,"Mar 8, 1986 ",38,Argentina,Argentina,Buenos Aires,"1,80",-,,Argentina,,,
,Lucas Di Grazia,Goalkeeper,"Mar 5, 1986 ",38,Argentina,Argentina,Buenos Aires,"1,86",-,,Argentina,,,
,Guillermo Stucky,Goalkeeper,"Dec 15, 1986 ",37,Argentina,Argentina,Sunchales,"1,86",-,,Argentina,,,
,Sebastián Cuerdo,Goalkeeper,"Jul 16, 1986 ",37,"Argentina, Italy",Argentina,Santiago del Estero,"1,88",-,,Argentina, Italy,,
,Mauricio Jose Bastiera,Goalkeeper,"May 29, 1986 ",37,Argentina,Argentina,Buenos Aires,"1,86",-,,Argentina,,,
,Elías Gómez,Goalkeeper,"Sep 13, 1986 ",37,Argentina,Argentina,Buenos Aires,,-,,Argentina,,,
,Fernando Escobar,Goalkeeper,"Feb 21, 1986 ",38,Argentina,Argentina,Buenos Aires,"1,83",-,,Argentina,,,
,Matías Botto,Goalkeeper,"Jun 4, 1986 ",37,Argentina,Argentina,Santa Rosa,"1,81",-,,Argentina,,,
,Fabián Assmann,Goalkeeper,"Mar 23, 1986 ",37,Argentina,Argentina,Zarate,"1,89",-,,Argentina,,,
,Fabián Moyano,Goalkeeper,"Jan 2, 1986 ",38,Argentina,Argentina,Mendoza,"1,89",-,,Argentina,,,
21.0,Gabriel Arias,Goalkeeper,"Sep 13, 1987 ",36,"Chile, Argentina",Argentina,Neuquen,"1,89",€1.00m,,Chile, Argentina,,
1.0,Sergio Romero,Goalkeeper,"Feb 22, 1987 ",37,"Argentina, Italy",Argentina,Bernardo de Irigoyen,"1,92",€400k,,Argentina, Italy,,
1.0,César Rigamonti,Goalkeeper,"Apr 7, 1987 ",36,Argentina,Argentina,San Agustin,"1,86",€125k,,Argentina,,,
30.0,Emilio Rébora,Goalkeeper,"Aug 17, 1987 ",36,Argentina,Argentina,Gualeguaychu,"1,82",€75k,,Argentina,,,
,Julio Salvá,Goalkeeper,"May 18, 1987 ",36,Argentina,Argentina,Tres Lomas,"1,88",€50k,,Argentina,,,
