Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
17,Matias Iglesias,Defensive Midfield,"Apr 18, 1985 ",38,"['Argentina', 'Italy']",Brazil,Rosario,CM,"1,90",€25k
,Ricardo Gareis,Defensive Midfield,"Jun 10, 1985 ",38,['Argentina'],Brazil,"Rafaela, Santa Fe",,"1,76",-
,Sebastián López,Defensive Midfield,"Oct 31, 1985 ",38,['Argentina'],Brazil,San Francisco Solano,CM,"1,80",-
,Pablo Lencioni,Defensive Midfield,"Jul 14, 1985 ",38,['Argentina'],Brazil,Paraná,,"1,70",-
,Armando Monteverde,Defensive Midfield,"Mar 6, 1985 ",39,"['Argentina', 'Ecuador']",Brazil,Cañada de Gómez,CM   LW,,-
,Tomás Costa,Defensive Midfield,"Jan 30, 1985 ",39,"['Argentina', 'Spain']",Brazil,Oliveros,CM,"1,88",-
,Franco Razzotti,Defensive Midfield,"Feb 6, 1985 ",39,"['Argentina', 'Italy']",Brazil,Buenos Aires,CM,"1,80",-
,Lucas Mario Horvat,Defensive Midfield,"Oct 13, 1985 ",38,"['Slovenia', 'Argentina']",Brazil,Buenos Aires,CM   AM,"1,79",-
,Héctor Romero,Defensive Midfield,"Mar 20, 1985 ",39,['Argentina'],Brazil,Buenos Aires,,"1,71",-
,Nicolás Domingo,Defensive Midfield,"Apr 8, 1985 ",38,"['Argentina', 'Italy']",Brazil,Totoras,CM,"1,74",€10k
,Damián Bastianini,Defensive Midfield,"Jan 10, 1985 ",39,['Argentina'],Brazil,Lomas de Zamora (BUE),,,-
8,Carlos Biasón,Defensive Midfield,"Oct 4, 1985 ",38,"['Argentina', 'Italy']",Brazil,Cordoba,CM   CB,"1,71",-
8,Leandro Pereyra,Defensive Midfield,"Feb 27, 1985 ",39,"['Argentina', 'Spain']",Brazil,Buenos Aires,CM,"1,75",-
,Darío Stefanatto,Defensive Midfield,"Apr 3, 1985 ",38,['Argentina'],Brazil,Buenos Aires,,"1,80",-
,José Luis García,Defensive Midfield,"Apr 18, 1985 ",38,['Argentina'],Brazil,Isidro Casanova,CM,"1,74",-
,Mario Bolatti,Defensive Midfield,"Feb 17, 1985 ",39,"['Argentina', 'Italy']",Brazil,La Para,CB   CM,"1,90",-
,René Martín Lima,Defensive Midfield,"Jan 3, 1985 ",39,['Argentina'],Brazil,Vicente López,CM,"1,78",-
,Juan Manuel Torres,Defensive Midfield,"Jun 20, 1985 ",38,"['Argentina', 'Italy']",Brazil,Puerto Vilelas,CM,"1,71",-
22,Enzo Pérez,Defensive Midfield,"Feb 22, 1986 ",38,['Argentina'],Brazil,Mendoza,CM   AM,"1,77",€700k
24,Walter Serrano,Defensive Midfield,"Jul 2, 1986 ",37,['Argentina'],Brazil,San Nicolás,CM   RM,"1,77",€50k
,Nestor García,Defensive Midfield,"Jun 4, 1986 ",37,['Argentina'],Brazil,Gobernador Martínez,CM,"1,76",-
,Marcelo Lamas,Defensive Midfield,"Feb 28, 1986 ",38,['Argentina'],Brazil,Buenos Aires,CM,"1,80",-
,Ignacio Oroná,Defensive Midfield,"Mar 10, 1986 ",38,['Argentina'],Brazil,La Plata,,"1,82",-
,Claudio Ferreyra,Defensive Midfield,"Mar 11, 1986 ",38,['Argentina'],Brazil,Moreno,CB,"1,80",-
,Emiliano Ciucci,Defensive Midfield,"Apr 7, 1986 ",37,"['Argentina', 'Peru']",Brazil,Santa Fé,CB,"1,78",-
,Matías Fritzler,Defensive Midfield,"Aug 23, 1986 ",37,"['Argentina', 'Germany']",Brazil,Lomas de Zamora,CM,"1,79",-
,Fernando Tissone,Defensive Midfield,"Jul 24, 1986 ",37,"['Argentina', 'Italy']",Brazil,Quilmes,CM,"1,82",-
,Sebastián Prediger,Defensive Midfield,"Sep 4, 1986 ",37,['Argentina'],Brazil,Crespo,CM,"1,83",€100k
,Victor Beraldi,Defensive Midfield,"Dec 23, 1986 ",37,['Argentina'],Brazil,Rio Cuarto (CBA),CM,"1,73",€10k
,Emiliano Fernández,Defensive Midfield,"Apr 7, 1986 ",37,['Argentina'],Brazil,San Martin,,"1,73",-
,Martín Perelman,Defensive Midfield,"Aug 20, 1986 ",37,"['Argentina', 'Poland']",Brazil,Buenos Aires,CM,"1,81",-
,Nicolas Gomez,Defensive Midfield,"Jan 28, 1986 ",38,"['Italy', 'Argentina']",Brazil,Buenos Aires,CM,,-
,Fernando de la Fuente,Defensive Midfield,"Mar 26, 1986 ",37,['Argentina'],Brazil,Carmen de Patagones,CM,"1,80",-
,Hernán Bernardello,Defensive Midfield,"Aug 3, 1986 ",37,"['Argentina', 'Italy']",Brazil,Rosario,CM,"1,74",-
,Fernando Gago,Defensive Midfield,"Apr 10, 1986 ",37,"['Argentina', 'Italy']",Brazil,Ciudadela,CM   RM,"1,77",-
,Lucas Biglia,Defensive Midfield,"Jan 30, 1986 ",38,"['Argentina', 'Italy']",Brazil,Mercedes,CM,"1,78",-
14,Agustín Farías,Defensive Midfield,"Dec 25, 1987 ",36,"['Argentina', 'Chile']",Brazil,Azul,CM,"1,78",€250k
,Claudio Yacob,Defensive Midfield,"Jul 18, 1987 ",36,"['Argentina', 'Italy']",Brazil,Carcarañá,,"1,82",€150k
5,Roberto Bochi,Defensive Midfield,"Jul 6, 1987 ",36,"['Argentina', 'Italy']",Brazil,Córdoba,,"1,75",€50k
