Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions
1.0,Cristian Álvarez,Goalkeeper,"Nov 13, 1985 ",38,"['Argentina', 'Spain']",Argentina,Rosario,"1,86",€100k,
,Nereo Champagne,Goalkeeper,"Jan 20, 1985 ",39,"['Argentina', 'Italy']",Argentina,Salto,"1,88",€10k,
1.0,Rodrigo Pombo,Goalkeeper,"Jun 16, 1985 ",38,['Argentina'],Argentina,Córdoba,,-,
,Gastón Folgar,Goalkeeper,"Mar 7, 1985 ",39,['Argentina'],Argentina,Buenos Aires,,-,
,Ángel Pedroso,Goalkeeper,"Jun 18, 1985 ",38,['Argentina'],Argentina,Formosa,,-,
,Matías Coloca,Goalkeeper,"Sep 11, 1985 ",38,"['Argentina', 'El Salvador']",Argentina,Pehuajó,"1,80",-,
,Adrián Villa,Goalkeeper,"May 8, 1985 ",38,['Argentina'],Argentina,Junín,,-,
,Sebastián Portigliatti,Goalkeeper,"Mar 1, 1985 ",39,"['Argentina', 'Italy']",Argentina,San Francisco (Córdoba),"1,84",-,
,Norberto Scoponi,Goalkeeper,"Dec 13, 1985 ",38,['Argentina'],Argentina,Santa Fé,"1,87",-,
,Adrián Gabbarini,Goalkeeper,"Oct 10, 1985 ",38,"['Argentina', 'Ecuador']",Argentina,Guaymallén,"1,82",-,
,Diego Pavé,Goalkeeper,"Apr 29, 1985 ",38,['Argentina'],Argentina,Concaran,"1,82",-,
22.0,Nicolás Peranic,Goalkeeper,"Jun 2, 1985 ",38,"['Argentina', 'Chile']",Argentina,Ituzaingó,"1,84",€75k,
,Alejandro Granero,Goalkeeper,"Sep 3, 1985 ",38,['Argentina'],Argentina,,,-,
,Rodrigo Benítez,Goalkeeper,"Dec 16, 1985 ",38,['Argentina'],Argentina,Ensenada,"1,82",-,
,Ricardo Grieger,Goalkeeper,"Jun 2, 1985 ",38,['Argentina'],Argentina,San Fernando (BUE),,-,
,Osvaldo Cabral,Goalkeeper,"Jun 4, 1985 ",38,"['Argentina', 'Paraguay']",Argentina,Clorinda,"1,87",-,
,Denis Roberts,Goalkeeper,"Jan 22, 1985 ",39,['Argentina'],Argentina,Trelew,,-,
,Rodrigo Cervetti,Goalkeeper,"Apr 22, 1985 ",38,"['Argentina', 'Italy']",Argentina,Córdoba,,-,
,Matías Alasia,Goalkeeper,"May 7, 1985 ",38,"['Argentina', 'Italy']",Argentina,Corral de Bustos,"1,80",-,
,Sebastián López,Goalkeeper,"Sep 14, 1985 ",38,['Argentina'],Argentina,San Nicolás,"1,87",-,
,Pablo Bangardino,Goalkeeper,"Jan 9, 1985 ",39,['Argentina'],Argentina,Berisso,"1,86",-,
,Nicolás Navarro,Goalkeeper,"Mar 25, 1985 ",38,['Argentina'],Argentina,Buenos Aires,"1,90",-,
1.0,Fernando Muslera,Goalkeeper,"Jun 16, 1986 ",37,"['Uruguay', 'Italy']",Argentina,Buenos Aires,"1,90",€1.50m,
1.0,Nahuel Guzmán,Goalkeeper,"Feb 10, 1986 ",38,['Argentina'],Argentina,Rosario,"1,91",€800k,
23.0,Alejandro Medina,Goalkeeper,"Dec 17, 1986 ",37,['Argentina'],Argentina,Capital Federal,"1,82",€175k,
12.0,Matías Ibáñez,Goalkeeper,"Dec 16, 1986 ",37,['Argentina'],Argentina,Buenos Aires,"1,90",€50k,
,Fernando Otárola,Goalkeeper,"Feb 4, 1986 ",38,"['Argentina', 'Chile']",Argentina,Buenos Aires,"1,77",€25k,
,Matías Vega,Goalkeeper,"Apr 18, 1986 ",37,['Argentina'],Argentina,Rosario,"1,91",€25k,
,Matías Lescano,Goalkeeper,"Oct 12, 1986 ",37,['Argentina'],Argentina,Buenos Aires,"1,83",-,
,Gonzalo Gómez,Goalkeeper,"Mar 25, 1986 ",37,['Argentina'],Argentina,Ledesma,"1,80",-,
