Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Facundo Fernández,Left-Back,"Jun 4, 1985 ",38,['Argentina'],Argentina,La Plata,,"1,80",-
,Lucho,Left-Back,"Mar 4, 1985 ",39,['Argentina'],Argentina,Necochea,,"1,82",-
,Emiliano Capella,Left-Back,"Jan 23, 1985 ",39,['Argentina'],Argentina,Alcorta,CB,,-
,Leandro Grimi,Left-Back,"Feb 9, 1985 ",39,"['Argentina', 'Italy']",Argentina,San Lorenzo,,"1,83",-
,Franco Miranda,Left-Back,"May 13, 1985 ",38,"['Argentina', 'Italy']",Argentina,Comodoro Rivadavia,,"1,83",-
,Armando Panceri,Left-Back,"Mar 11, 1985 ",39,['Argentina'],Argentina,San Vicente,,"1,72",-
,José Shaffer,Left-Back,"Feb 16, 1985 ",39,['Argentina'],Argentina,Córdoba,,"1,74",-
,Carlos Arce,Left-Back,"Feb 4, 1985 ",39,['Argentina'],Argentina,Lanús,,"1,70",-
,Cristian Villagra,Left-Back,"Dec 27, 1985 ",38,"['Argentina', 'Italy']",Argentina,Morteros,RB,"1,75",-
14,Cristian Ansaldi,Left-Back,"Sep 20, 1986 ",37,"['Argentina', 'Italy']",Argentina,Rosario,LM   RB,"1,81",€300k
,Ramón Franco,Left-Back,"Dec 8, 1986 ",37,['Argentina'],Argentina,,,,-
,Emiliano Fusco,Left-Back,"Mar 2, 1986 ",38,"['Argentina', 'Italy']",Argentina,"Caseros, Buenos Aires",,"1,74",-
,Marcos Torres,Left-Back,"Sep 28, 1986 ",37,['Argentina'],Argentina,Río Cuarto,LM,"1,81",-
,Germán Rivera,Left-Back,"Aug 1, 1986 ",37,"['Argentina', 'Italy']",Argentina,Villa María,,"1,77",-
,Sebastián Dubarbier,Left-Back,"Feb 19, 1986 ",38,"['Argentina', 'France']",Argentina,La Plata,LM   LW,"1,77",-
,Bruno Urribarri,Left-Back,"Nov 6, 1986 ",37,"['Argentina', 'Italy']",Argentina,General Campos,LM   DM,"1,76",-
,Pablo Ostapkiewicz,Left-Back,"Jul 30, 1986 ",37,['Argentina'],Argentina,Lanus,CB,"1,85",-
,Fabricio Elgorriaga,Left-Back,"Apr 22, 1986 ",37,['Argentina'],Argentina,Puerto Madryn (CHU),,,-
,Esteban Giglio,Left-Back,"Apr 4, 1986 ",37,"['Argentina', 'Italy']",Argentina,Buenos Aires,,"1,74",-
,Matías di Gregorio,Left-Back,"Jun 4, 1986 ",37,['Argentina'],Argentina,Avellaneda,CB,"1,70",-
,Lautaro Formica,Left-Back,"Jan 27, 1986 ",38,"['Argentina', 'Italy']",Argentina,Rosario,LM   CM,"1,74",-
,Gastón Montero,Left-Back,"Mar 23, 1986 ",37,['Argentina'],Argentina,Buenos Aires,,"1,76",-
21,Leonel Vangioni,Left-Back,"May 5, 1987 ",36,"['Argentina', 'Italy']",Argentina,Villa Constitución,LM   CM,"1,81",€75k
,Leonardo Vitale,Left-Back,"Nov 29, 1987 ",36,['Argentina'],Argentina,Buenos Aires,CB,"1,83",-
,Adrián Iglesias,Left-Back,"Jul 4, 1987 ",36,['Argentina'],Argentina,Valentin Alsina,,"1,75",-
,Zelmar García,Left-Back,"Mar 2, 1987 ",37,['Argentina'],Argentina,Tapalqué,,"1,75",-
,Emanuel Morales,Left-Back,"May 8, 1987 ",36,['Argentina'],Argentina,General Pico,RB,"1,72",-
,Wálter Yacob,Left-Back,"Jun 7, 1987 ",36,['Argentina'],Argentina,Paraná,CB,,-
,Iván Nadal,Left-Back,"May 18, 1987 ",36,['Argentina'],Argentina,Buenos Aires,,"1,73",-
,Leandro Benítez,Left-Back,"Mar 5, 1987 ",37,['Argentina'],Argentina,Rosario,LM   CM,"1,75",-
6,Nicolás Dematei,Left-Back,"Nov 19, 1987 ",36,['Argentina'],Argentina,Mercedes,LM   CB,"1,77",€25k
,Fabio Giménez,Left-Back,"Dec 27, 1987 ",36,['Argentina'],Argentina,Salta (SAL),,"1,80",-
,Maximiliano Piris,Left-Back,"Jun 28, 1987 ",36,['Argentina'],Argentina,Avellaneda (SFE),LM,,-
,Hugo Urruti,Left-Back,"Aug 16, 1987 ",36,['Argentina'],Argentina,Rosario,,"1,70",-
,Edelmiro Martinich,Left-Back,"Jan 12, 1987 ",37,"['Argentina', 'Croatia']",Argentina,Firmat,,"1,78",-
,Fabián Monzón,Left-Back,"Apr 13, 1987 ",36,['Argentina'],Argentina,Granadero Baigorria,CB,"1,83",-
,Marcelo Cardozo,Left-Back,"Dec 8, 1987 ",36,['Argentina'],Argentina,La Plata,CB,"1,78",-
,Germán Voboril,Left-Back,"May 5, 1987 ",36,['Argentina'],Argentina,Lanús,LM,"1,76",-
20,Milton Casco,Left-Back,"Apr 11, 1988 ",35,['Argentina'],Argentina,María Grande,RB   LM,"1,70",€300k
88,Luis Ibáñez,Left-Back,"Jul 15, 1988 ",35,"['Argentina', 'Croatia']",Argentina,Buenos Aires,LM   RM,"1,70",€100k
,Mauricio Mansilla,Left-Back,"Oct 24, 1988 ",35,['Argentina'],Argentina,San Vicente,,"1,83",€10k
,Rubén Piaggio,Left-Back,"Apr 15, 1988 ",35,['Argentina'],Argentina,,LM,,-
,Bernardo Zeballos,Left-Back,"Feb 6, 1988 ",36,['Argentina'],Argentina,Campana,LM,,-
,Martín Curuchet,Left-Back,"May 28, 1988 ",35,['Argentina'],Argentina,Mar del Plata,,,-
,Nicolás Esquiu,Left-Back,"Aug 23, 1988 ",35,['Argentina'],Argentina,Avellaneda,,,-
15,Damián Pérez,Left-Back,"Dec 22, 1988 ",35,['Argentina'],Argentina,Lanús,RB,"1,69",€175k
,Alan Moreno,Left-Back,"Sep 18, 1988 ",35,['Argentina'],Argentina,Puerto Madryn,LM,"1,73",€10k
,Maximiliano Villagrán,Left-Back,"Mar 31, 1988 ",35,['Argentina'],Argentina,Rio Turbio,,"1,75",-
,Edgardo Díaz,Left-Back,"Oct 20, 1988 ",35,['Argentina'],Argentina,San Juan,CB,"1,84",-
,Lucas Márquez,Left-Back,"Oct 25, 1988 ",35,['Argentina'],Argentina,Paraná,,"1,77",-
,Juan Lovato,Left-Back,"Sep 18, 1988 ",35,['Argentina'],Argentina,Buenos Aires,CB,"1,82",-
3,Claudio Corvalán,Left-Back,"Mar 23, 1989 ",34,['Argentina'],Argentina,Santa Isabel,CB,"1,79",€275k
,Guillermo Cosaro,Left-Back,"Mar 7, 1989 ",35,"['Argentina', 'Italy']",Argentina,Córdoba,CB,"1,80",€50k
,Ignacio Sanabria,Left-Back,"Sep 29, 1989 ",34,['Argentina'],Argentina,San Salvador de Jujuy,,"1,74",€10k
,Miguel Londero,Left-Back,"Jan 3, 1989 ",35,"['Argentina', 'Italy']",Argentina,Córdoba,DM   CB,"1,77",-
,Fernando Biela,Left-Back,"May 15, 1989 ",34,"['Argentina', 'Italy']",Argentina,Quilmes,LM,"1,73",-
,Franco Canever,Left-Back,"Sep 17, 1989 ",34,['Argentina'],Argentina,Córdoba,LM   CB,"1,75",-
,Cristian Gutiérrez,Left-Back,"Oct 6, 1989 ",34,['Argentina'],Argentina,Chosmalal,,,-
,Alan Hayes,Left-Back,"Oct 19, 1989 ",34,['Argentina'],Argentina,Rosario,,,-
,Alejandro López,Left-Back,"Jun 16, 1989 ",34,['Argentina'],Argentina,Lincoln,LM,"1,74",-
,Raúl Iberbia,Left-Back,"Dec 25, 1989 ",34,['Argentina'],Argentina,Carmen de Areco,LM   CB,"1,75",-
,Ignacio Barcia,Left-Back,"Jun 15, 1989 ",34,['Argentina'],Argentina,Buenos Aires,,"1,80",-
,Juan Martín Cadelago,Left-Back,"Jan 22, 1989 ",35,['Argentina'],Argentina,Castelar,,"1,78",-
3,Emmanuel Más,Left-Back,"Jan 15, 1989 ",35,"['Argentina', 'Italy']",Argentina,San Juan,LM,"1,80",€175k
27,Leandro Aguirre,Left-Back,"Feb 8, 1989 ",35,['Argentina'],Argentina,Rosario,,"1,67",€50k
,Federico López,Left-Back,"Aug 3, 1989 ",34,['Argentina'],Argentina,Benavidez,,"1,76",€10k
,Lucas Parisi,Left-Back,"Jul 20, 1989 ",34,['Argentina'],Argentina,Mendoza,,"1,76",-
,Fede Inestal,Left-Back,"Jul 21, 1989 ",34,"['Argentina', 'Spain']",Argentina,Córdoba,CB,"1,75",-
,Leandro Sapetti,Left-Back,"Jan 30, 1989 ",35,"['Argentina', 'Italy']",Argentina,La Plata,RB,"1,76",-
,Emanuel Pajón,Left-Back,"Sep 26, 1989 ",34,['Argentina'],Argentina,Rosario,,,-
,Adrián Torres,Left-Back,"Oct 31, 1989 ",34,['Argentina'],Argentina,El Talar,LM,"1,77",-
,Luciano Balbi,Left-Back,"Apr 4, 1989 ",34,"['Argentina', 'Italy']",Argentina,Rosario,CB,"1,73",-
,Diego Navarro,Left-Back,"Sep 3, 1989 ",34,['Argentina'],Argentina,Córdoba,,"1,83",-
,Emmanuel Martínez,Left-Back,"Mar 6, 1989 ",35,"['Argentina', 'Italy']",Argentina,San Martín,,"1,73",-
,Emiliano Insúa,Left-Back,"Jan 7, 1989 ",35,"['Argentina', 'Spain']",Argentina,Buenos Aires,CB,"1,79",-
