Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Facundo Vanega,Left Midfield,"Aug 12, 1985 ",38,['Argentina'],Brazil,,,"1,75",-
,Maximiliano Andrada,Left Midfield,"Oct 5, 1985 ",38,"['Argentina', 'Bolivia']",Brazil,Rosario,RM   AM,"1,70",-
,Benito Montalvo,Left Midfield,"Sep 19, 1985 ",38,"['Argentina', 'Italy']",Brazil,Unquillo,DM,"1,81",-
,Ceferino Santos,Left Midfield,"Aug 18, 1985 ",38,['Argentina'],Brazil,Tandil,,,-
,Ignacio Anívole,Left Midfield,"Oct 15, 1985 ",38,['Argentina'],Brazil,Buenos Aires,RM   AM,"1,75",-
,Fernando Giarrizo,Left Midfield,"Jan 17, 1985 ",39,['Argentina'],Brazil,Mendoza,,,-
,Elvio Fredrich,Left Midfield,"Jun 25, 1985 ",38,['Argentina'],Brazil,Santa Rita,,"1,82",-
,Sebastián Malandra,Left Midfield,"Jan 31, 1985 ",39,"['Argentina', 'Italy']",Brazil,Santa Fé,,"1,78",-
,Marcelo Bravo,Left Midfield,"Jan 10, 1985 ",39,['Argentina'],Brazil,Lomas de Zamora,,"1,76",-
,Alexis Ekkert,Left Midfield,"Apr 30, 1985 ",38,['Argentina'],Brazil,,LW,"1,77",-
,Aníbal Domeneghini,Left Midfield,"Mar 15, 1985 ",39,['Argentina'],Brazil,Buenos Aires,LW,"1,78",-
,Juan Scheffer,Left Midfield,"Nov 16, 1985 ",38,['Argentina'],Brazil,General Cerri,LB,,-
,Pablo Andretich,Left Midfield,"Mar 16, 1985 ",39,['Argentina'],Brazil,Rafaela,,,-
,Antonio Ibáñez,Left Midfield,"Oct 20, 1985 ",38,['Argentina'],Brazil,San Miguel de Tucumán,,"1,68",-
,Gonzalo Denis,Left Midfield,"Jan 17, 1985 ",39,['Argentina'],Brazil,Capital Federal,LW,"1,67",-
,Rodrigo Archubi,Left Midfield,"Jun 6, 1985 ",38,['Argentina'],Brazil,Remedios de Escalada,,"1,82",-
,Sebastián Rusculleda,Left Midfield,"Apr 28, 1985 ",38,"['Argentina', 'Italy']",Brazil,Laboulaye,AM,"1,75",-
,Damián Luna,Left Midfield,"Feb 21, 1985 ",39,['Argentina'],Brazil,Buenos Aires,RM   AM,"1,71",-
,Lucas Vicente,Left Midfield,"Mar 15, 1986 ",38,['Argentina'],Brazil,,,,-
,Julián Ruelli,Left Midfield,"May 28, 1986 ",37,['Argentina'],Brazil,Villa Constitución,,"1,81",-
,Sergio Viturro,Left Midfield,"Jun 28, 1986 ",37,['Argentina'],Brazil,Buenos Aires,,"1,71",-
,Sergio Hernán Esteche,Left Midfield,"Feb 19, 1986 ",38,['Argentina'],Brazil,La Plata,,"1,78",-
,Diego Lagos,Left Midfield,"Mar 5, 1986 ",38,['Argentina'],Brazil,Mar del Plata,CM   RM,"1,76",-
,Matías Quiroga,Left Midfield,"Jan 25, 1986 ",38,['Argentina'],Brazil,Capitán Bermúdez,,"1,75",-
,Juan Maldonado,Left Midfield,"Jul 9, 1986 ",37,['Argentina'],Brazil,La Falda,,,-
,Maximiliano Herrera,Left Midfield,"Jan 26, 1986 ",38,['Argentina'],Brazil,San Juan,,"1,83",-
,Luciano Civelli,Left Midfield,"Oct 6, 1986 ",37,"['Argentina', 'Italy']",Brazil,Pehuajó,LB   LW,"1,86",-
,Mauricio Ortiz,Left Midfield,"Jun 24, 1986 ",37,['Argentina'],Brazil,Posadas,RM   LB,,-
,Rodrigo Chao,Left Midfield,"Jul 13, 1987 ",36,['Argentina'],Brazil,Villa Bosch,LB,"1,78",-
27,Santiago Aloi,Left Midfield,"Mar 26, 1987 ",36,"['Argentina', 'Spain']",Brazil,Cordoba,DM   LB,"1,79",-
,Rodrigo Soria,Left Midfield,"Feb 14, 1987 ",37,['Argentina'],Brazil,Villa Domínico,CM,"1,76",-
,Darío Ruiz,Left Midfield,"Sep 10, 1987 ",36,['Argentina'],Brazil,Lomas de Zamora,,"1,73",-
,Wálter Payer,Left Midfield,"May 6, 1987 ",36,['Argentina'],Brazil,San Lorenzo,,"1,78",-
,Jacobo Mansilla,Left Midfield,"Jun 15, 1987 ",36,['Argentina'],Brazil,Castelli,LB   CM,"1,78",-
,Gastón Schmidt,Left Midfield,"May 16, 1987 ",36,['Argentina'],Brazil,Banfield,,"1,77",-
,Gabriel Flores,Left Midfield,"Jun 28, 1987 ",36,['Argentina'],Brazil,Bernal,LB,"1,79",-
20,Ezequiel Pérez,Left Midfield,"Sep 24, 1987 ",36,['Argentina'],Brazil,"General Alvear, Mendoza",,"1,68",-
,Edgar Scalco,Left Midfield,"Mar 27, 1987 ",36,['Argentina'],Brazil,Bahía Blanca,,"1,73",-
,Cristian Canuhé,Left Midfield,"Aug 25, 1987 ",36,['Argentina'],Brazil,Toay,RM,"1,79",-
,Alejandro Domenez,Left Midfield,"Feb 25, 1987 ",37,['Argentina'],Brazil,Tandil,,"1,76",-
,Sergio Sagarzazu,Left Midfield,"Sep 11, 1987 ",36,"['Argentina', 'Italy']",Brazil,Buenos Aires,,"1,74",-
11,Diego Tonetto,Left Midfield,"Dec 5, 1988 ",35,"['Argentina', 'Italy']",Brazil,Guaymallén,,"1,81",€25k
,Andres Bottiglieri,Left Midfield,"Dec 20, 1988 ",35,"['Argentina', 'Italy']",Brazil,Cordoba,,"1,82",-
,Jorge Myma,Left Midfield,"Mar 22, 1988 ",36,['Argentina'],Brazil,Buenos Aires,,"1,77",-
,Gastón Ada,Left Midfield,"Nov 18, 1988 ",35,"['Argentina', 'Italy']",Brazil,Buenos Aires,,"1,75",-
