Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
21,Juanito Gómez,Left Winger,"May 20, 1985 ",38,"['Argentina', 'Italy']",Brazil,Santa Fe,RW   SS,"1,78",€175k
,Mateo Martinelli,Left Winger,"Jan 9, 1985 ",39,['Argentina'],Brazil,Rosario,,"1,84",-
,Ezequiel Lázaro,Left Winger,"Dec 4, 1985 ",38,['Argentina'],Brazil,Córdoba,LM,"1,70",-
,Ramiro Palacios,Left Winger,"Feb 13, 1985 ",39,['Argentina'],Brazil,Orán,,"1,72",-
,Ezequiel Lavezzi,Left Winger,"May 3, 1985 ",38,"['Argentina', 'Italy']",Brazil,Villa Gobernador Gálvez,SS   CF,"1,73",-
,Alejandro Aguirre,Left Winger,"Apr 30, 1985 ",38,['Argentina'],Brazil,San Miguel de Tucumán,,,-
,Lucas Longoni,Left Winger,"Jun 30, 1985 ",38,"['Argentina', 'Italy']",Brazil,Esperanza,AM,"1,82",-
11,Gerardo Yecerotte,Left Winger,"Aug 28, 1985 ",38,"['Argentina', 'Bolivia']",Brazil,San Ramón de la Nueva Orán,CM   AM,"1,74",-
,Jorge Drovandi,Left Winger,"May 11, 1985 ",38,['Argentina'],Brazil,Rosario,,"1,72",-
,Ignacio Piatti,Left Winger,"Feb 4, 1985 ",39,"['Argentina', 'Italy']",Brazil,General Baldissera,AM   LM,"1,80",-
24,Alfredo Ábalos,Left Winger,"Mar 17, 1986 ",38,"['Argentina', 'Chile']",Brazil,Las Heras,RW   AM,"1,65",€50k
10,Adolfo Hirsch,Left Winger,"Jan 31, 1986 ",38,"['San Marino', 'Argentina']",Brazil,Guerrico,RW   SS,"1,75",€10k
,Nicolás Bertolo,Left Winger,"Jan 2, 1986 ",38,"['Argentina', 'Italy']",Brazil,Córdoba,RW   AM,"1,80",-
,Emiliano Armenteros,Left Winger,"Jan 18, 1986 ",38,"['Argentina', 'Italy']",Brazil,Luis Guillón,RW   AM,"1,78",-
8,Esteban Vizcarra,Left Winger,"Apr 11, 1986 ",37,"['Indonesia', 'Argentina']",Brazil,Belén de Escobar,AM   RW,"1,75",€25k
,Leandro Puig,Left Winger,"Jun 14, 1986 ",37,['Argentina'],Brazil,Santa Fe,CF,,-
,Sebastián Leto,Left Winger,"Aug 30, 1986 ",37,['Argentina'],Brazil,Alejandro Korn,CF   SS,"1,88",-
,Pablo Mouche,Left Winger,"Oct 11, 1987 ",36,"['Argentina', 'Italy']",Brazil,San Martín,CF   RW,"1,77",€75k
,Germán Bulgarella,Left Winger,"Mar 6, 1987 ",37,['Argentina'],Brazil,,,,-
