Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Hernán Grana,Right-Back,"Apr 12, 1985 ",38,['Argentina'],Brazil,Quilmes,RM,"1,80",€10k
3,Pablo Giménez,Right-Back,"Jun 15, 1985 ",38,"['Argentina', 'Italy']",Brazil,,CB   LB,"1,8",-
,Fede,Right-Back,"May 25, 1985 ",38,['Argentina'],Brazil,Rosario,,,-
,Roberto Fuente,Right-Back,"Jan 14, 1985 ",39,['Argentina'],Brazil,Buenos Aires,,,-
,Nahuel Roselli,Right-Back,"Aug 14, 1985 ",38,['Argentina'],Brazil,Mar del Plata,,"1,77",-
,Damián Nieto,Right-Back,"Apr 2, 1985 ",38,"['Argentina', 'Italy']",Brazil,Buenos Aires,,"1,86",-
,Gonzalo Prósperi,Right-Back,"Sep 28, 1985 ",38,"['Argentina', 'Italy']",Brazil,San Isidro,LB   RM,"1,79",-
,Ezequiel Giaime,Right-Back,"Dec 26, 1985 ",38,['Argentina'],Brazil,,,"1,75",-
,Martin Galli,Right-Back,"Aug 9, 1985 ",38,['Argentina'],Brazil,,,,-
,Fernando Inda,Right-Back,"May 9, 1985 ",38,['Argentina'],Brazil,Neuquén,,"1,80",-
,Eduardo Casais,Right-Back,"Mar 19, 1985 ",39,['Argentina'],Brazil,Buenos Aires,,"1,77",-
,Mario Héctor Farías,Right-Back,"Mar 11, 1985 ",39,['Argentina'],Brazil,Córdoba,,,-
,Néstor Caballero,Right-Back,"May 16, 1985 ",38,['Argentina'],Brazil,Clorinda,,"1,79",-
,Pablo Zabaleta,Right-Back,"Jan 16, 1985 ",39,"['Argentina', 'Spain']",Brazil,Buenos Aires,LB   DM,"1,76",-
4,Iván Pillud,Right-Back,"Apr 24, 1986 ",37,"['Argentina', 'Italy']",Brazil,Capitán Bermúdez,RM,"1,80",€75k
,Mariano Celasco,Right-Back,"Oct 2, 1986 ",37,['Argentina'],Brazil,La Plata,,"1,68",-
,Dario Martinez,Right-Back,"Jan 25, 1986 ",38,['Argentina'],Brazil,Buenos Aires,,"1,75",-
,Gabriel Valles,Right-Back,"May 31, 1986 ",37,['Argentina'],Brazil,Mendoza,LB   RM,"1,69",-
,Jonathan Ceratto,Right-Back,"Aug 21, 1986 ",37,['Argentina'],Brazil,Rio Gallegos,CB,,-
,Alexis Danelón,Right-Back,"Jan 6, 1986 ",38,['Argentina'],Brazil,Rosario,RM,"1,73",-
,Gastón Bottino,Right-Back,"Jun 25, 1986 ",37,['Argentina'],Brazil,Córdoba,RM   CM,"1,84",-
,Martín Quiles,Right-Back,"Mar 31, 1986 ",37,['Argentina'],Brazil,Mar del Plata,,"1,78",-
,Facundo Tessoro,Right-Back,"Jun 13, 1986 ",37,['Argentina'],Brazil,Buenos Aires,,"1,83",-
,Rodrigo Acosta,Right-Back,"Oct 3, 1986 ",37,['Argentina'],Brazil,Glew,,,-
6,Matías Rodríguez,Right-Back,"Apr 14, 1986 ",37,"['Argentina', 'Chile']",Brazil,Buenos Aires,RM   LB,"1,78",-
,Gastón Valente,Right-Back,"Dec 27, 1987 ",36,['Argentina'],Brazil,Santa Fe,,,-
,Nahuel Rodriguez,Right-Back,"Apr 3, 1987 ",36,['Argentina'],Brazil,Rosario,,"1,83",-
,Adrián Scifo,Right-Back,"Oct 10, 1987 ",36,['Argentina'],Brazil,Monte Caseros,RM,"1,71",-
,Lucas Ceballos,Right-Back,"Jan 3, 1987 ",37,['Argentina'],Brazil,San Juan,LB,"1,66",-
,Franco Flores,Right-Back,"Jul 9, 1987 ",36,['Argentina'],Brazil,La Rioja,LB,"1,68",-
,Mario Vallejo,Right-Back,"Feb 10, 1987 ",37,['Argentina'],Brazil,San Luis,,"1,75",-
,Carlos Ponce,Right-Back,"May 15, 1987 ",36,['Argentina'],Brazil,San Fernando,CB,,-
,Daniel Pérez,Right-Back,"Feb 23, 1987 ",37,['Argentina'],Brazil,Las Breñas,RM   LB,"1,77",-
,Cristian del Castillo,Right-Back,"Dec 2, 1987 ",36,['Argentina'],Brazil,San Juan,,"1,79",-
,Diego Sequeira,Right-Back,"Aug 26, 1987 ",36,['Argentina'],Brazil,Villa Domínico,,"1,78",-
,Fernando Acosta,Right-Back,"Mar 3, 1987 ",37,['Argentina'],Brazil,Avellaneda,,,-
,Cristian Gómez,Right-Back,"Nov 4, 1987","Nov 4, 1987",['Argentina'],Brazil,"Rafaela, Santa Fe",,,-
,Fabián Coronel,Right-Back,"Jun 29, 1987 ",36,['Argentina'],Brazil,González Catán,RM   DM,"1,78",-
,Pablo Moroso,Right-Back,"Apr 10, 1987 ",36,['Argentina'],Brazil,Santa Fé,,"1,78",-
,Mariano Viola,Right-Back,"May 15, 1987 ",36,['Argentina'],Brazil,San Nicolás,,"1,74",-
,Sebastián Luna,Right-Back,"Dec 25, 1987 ",36,['Argentina'],Brazil,General Belgrano,RM   LB,"1,78",-
,Jonathan Battauz,Right-Back,"Nov 27, 1987 ",36,['Argentina'],Brazil,Paraná,,,-
,Diego Pereyra,Right-Back,"Dec 19, 1987 ",36,"['Argentina', 'Italy']",Brazil,Godoy Cruz,CB   DM,"1,73",-
,Daniel Calamante,Right-Back,"Mar 20, 1987 ",37,['Argentina'],Brazil,Buenos Aires,,,-
,Carlos Islas,Right-Back,"Mar 21, 1987 ",37,['Argentina'],Brazil,9 de Julio (Buenos Aires),,,-
7,Julio Buffarini,Right-Back,"Aug 18, 1988 ",35,"['Argentina', 'Italy']",Brazil,General Cabrera,RM,"1,69",€175k
,Ismael Quílez,Right-Back,"Oct 2, 1988 ",35,['Argentina'],Brazil,Santa Fé,RM,"1,79",€125k
,Gastón Díaz,Right-Back,"Mar 13, 1988 ",36,['Argentina'],Brazil,Buenos Aires,LB,"1,75",€50k
,Juan Azil,Right-Back,"Dec 1, 1988 ",35,['Argentina'],Brazil,Junín,,,-
,Eduardo Neumayer,Right-Back,"Apr 28, 1988 ",35,['Argentina'],Brazil,Rosario,CB,,-
,Gastón Lolli,Right-Back,"Jun 1, 1988 ",35,['Argentina'],Brazil,Lanús,,"1,63",-
,Nicolás Romat,Right-Back,"May 6, 1988 ",35,['Argentina'],Brazil,Azul,CB,"1,81",-
,José San Román,Right-Back,"Aug 17, 1988 ",35,['Argentina'],Brazil,San Martín,,"1,72",-
,Matías Rudler,Right-Back,"Apr 25, 1988 ",35,['Argentina'],Brazil,Paso del Rey,,"1,70",€150k
29,Maximiliano Rodríguez,Right-Back,"Feb 14, 1988 ",36,['Argentina'],Brazil,Cordoba (CBA),RM   DM,"1,65",€50k
,Matías Llanquetrú,Right-Back,"Mar 15, 1988 ",36,['Argentina'],Brazil,Puerto Madryn (CHU),RM,"1,70",-
,Lucas Fernández,Right-Back,"Jul 20, 1988 ",35,['Argentina'],Brazil,San Martín,LB,"1,75",-
,Cristian Chimino,Right-Back,"Feb 9, 1988 ",36,['Argentina'],Brazil,Luján,,"1,78",-
,Cristian Cuevas,Right-Back,"Mar 28, 1988 ",35,['Argentina'],Brazil,Mendoza,,"1,79",-
,Cristian Piarrou,Right-Back,"May 19, 1988 ",35,['Argentina'],Brazil,La Plata,,"1,70",-
7,Ezequiel Schelotto,Right-Back,"May 23, 1989 ",34,"['Italy', 'Argentina']",Brazil,Buenos Aires,RM   RW,"1,87",€50k
,Mauro Pitto,Right-Back,"Jan 27, 1989 ",35,"['Argentina', 'Italy']",Brazil,Buenos Aires,CB,"1,87",-
,Rolando Serrano,Right-Back,"Oct 21, 1989 ",34,['Argentina'],Brazil,,,"1,79",-
,Ezequiel Barreiro,Right-Back,"Feb 24, 1989 ",35,['Argentina'],Brazil,Lomas de Zamora (BUE),,"1,68",-
,Javier Capelli,Right-Back,"May 20, 1989 ",34,['Argentina'],Brazil,Junín,CB   LB,"1,82",-
,Facundo Morales,Right-Back,"Sep 12, 1989 ",34,['Argentina'],Brazil,San Miguel de Tucumán,RM,"1,87",-
,Guillermo Sánchez,Right-Back,"Oct 19, 1989 ",34,['Argentina'],Brazil,José Clemente Paz,,"1,72",-
,Alejandro Alfonso,Right-Back,"Sep 11, 1989 ",34,['Argentina'],Brazil,Morón,,"1,75",-
,Brian Lluy,Right-Back,"Apr 25, 1989 ",34,"['Argentina', 'Italy']",Brazil,Pergamino,LB   RM,"1,74",-
,Federico Quiroga,Right-Back,"Oct 13, 1989 ",34,['Argentina'],Brazil,La Plata,,"1,72",-
,Cristian Díaz,Right-Back,"May 26, 1989 ",34,"['Argentina', 'Spain']",Brazil,Villa Constitución,LM   RM,"1,67",€25k
,Juan Ferreira,Right-Back,"Nov 10, 1989 ",34,['Argentina'],Brazil,,,"1,74",-
,Alexis Vizcarra,Right-Back,"Mar 22, 1989 ",34,['Argentina'],Brazil,Mendoza,,"1,83",-
,Raúl Zárate,Right-Back,"Dec 21, 1989 ",34,['Argentina'],Brazil,Mendoza,LB,,-
,Gustavo Toledo,Right-Back,"Sep 19, 1989 ",34,['Argentina'],Brazil,Avellaneda,LB,"1,75",-
,Cristian Alberto Fernández,Right-Back,"Jun 11, 1989 ",34,['Argentina'],Brazil,Buenos Aires,,,-
,Franco Simonetti,Right-Back,"Aug 23, 1989 ",34,"['Argentina', 'Italy']",Brazil,Lujan,,"1,82",-
,Hernán Castría,Right-Back,"Jul 5, 1989 ",34,['Argentina'],Brazil,Rosario,,,-
