Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
7,Leonardo Villa,Right Midfield,"Mar 3, 1985 ",39,"['Argentina', 'New Zealand']",Argentina,Santa Fé,CM,"1,83",€75k
,Gastón Otreras,Right Midfield,"Aug 24, 1985 ",38,['Argentina'],Argentina,Quilmes,RW,"1,74",-
,Emanuel Perea,Right Midfield,"Apr 8, 1985 ",38,['Argentina'],Argentina,Tierra del Fuego,,"1,81",-
,Javier Robles,Right Midfield,"Jan 18, 1985 ",39,['Argentina'],Argentina,Buenos Aires,LM,"1,70",-
,Ignacio Griva,Right Midfield,"Dec 20, 1985 ",38,['Argentina'],Argentina,Córdoba,,,-
,Martín Fabro,Right Midfield,"Apr 19, 1985 ",38,"['Argentina', 'Italy']",Argentina,José Marmol,RW,"1,70",-
,Lucas Oviedo,Right Midfield,"Apr 19, 1985 ",38,['Argentina'],Argentina,San Juan,,"1,75",-
,Neri Espinosa,Right Midfield,"Jul 4, 1986 ",37,['Argentina'],Argentina,San Rafael,,"1,74",-
,Leandro Véliz,Right Midfield,"May 28, 1986 ",37,['Argentina'],Argentina,,,"1,81",-
,Mauro Pajón,Right Midfield,"Jul 2, 1986 ",37,['Argentina'],Argentina,Merlo,,"1,76",-
,Matias Luciano Giacopuzzi,Right Midfield,"Sep 12, 1986 ",37,['Argentina'],Argentina,Ciudad del Libertador General Don José de San Martín,,,-
,Diego Bogado,Right Midfield,"Feb 23, 1986 ",38,"['Argentina', 'Italy']",Argentina,Buenos Aires,CM,"1,70",-
,Mariano Aldecoa,Right Midfield,"Jul 9, 1986 ",37,['Argentina'],Argentina,Cordoba (CBA),,,-
,Néstor Villalba,Right Midfield,"Jun 24, 1986 ",37,['Argentina'],Argentina,Corrientes,,,-
,Andrés Aguirre,Right Midfield,"Nov 10, 1986 ",37,['Argentina'],Argentina,Villa Ramallo,,"1,64",-
,Iani Martín Verón,Right Midfield,"Jun 21, 1986 ",37,['Argentina'],Argentina,La Plata,,"1,84",-
,Juan Briones,Right Midfield,"Jan 16, 1986 ",38,['Argentina'],Argentina,Mar del Plata,,"1,75",-
,Marcelo Ricci,Right Midfield,"Aug 4, 1986 ",37,['Argentina'],Argentina,Avellaneda,,"1,80",-
,Nahuel Casalini,Right Midfield,"Jun 22, 1986 ",37,['Argentina'],Argentina,Quilmes,,"1,79",-
