Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Luis Miguel Rodríguez,Second Striker,"Jan 1, 1985 ",39,['Argentina'],Brazil,San Miguel de Tucumán,CF,"1,67",€150k
,Piojo,Second Striker,"Jun 7, 1985 ",38,['Argentina'],Brazil,Puerto Iguazú,CF,"1,84",-
,Diego Caballero,Second Striker,"Sep 26, 1985 ",38,['Argentina'],Brazil,Eldorado,AM,"1,74",-
16,Danilo Rinaldi,Second Striker,"Apr 18, 1986 ",37,"['San Marino', 'Argentina']",Brazil,San Nicolás de los Arroyos,LW   LM,"1,70",€10k
,Ariel Cólzera,Second Striker,"Apr 15, 1986 ",37,['Argentina'],Brazil,Resistencia,CF   AM,"1,74",-
,Martín Bravo,Second Striker,"Sep 19, 1986 ",37,"['Argentina', 'Mexico']",Brazil,Santa Fé,LW   CF,"1,68",-
,Maxi Asís,Second Striker,"May 27, 1987 ",36,['Argentina'],Brazil,San Miguel de Tucumán,CM,"1,69",-
,Eber Soto,Second Striker,"Feb 27, 1988 ",36,['Argentina'],Brazil,,,"1,68",-
7,Miguel Alba,Second Striker,"Aug 14, 1988 ",35,"['Argentina', 'Italy']",Brazil,Mar del Plata,LW   RW,"1,85",-
,Agustin Barbano,Second Striker,N/A ,35,"['Argentina', 'Italy']",Brazil,Córdoba,,"1,79",-
,Juan Antonio,Second Striker,"Jan 5, 1988 ",36,"['Argentina', 'Italy']",Brazil,Trelew,AM,"1,86",-
10,Pablo Marisi,Second Striker,"Sep 27, 1989 ",34,['Argentina'],Brazil,Casilda,CF   LW,"1,74",-
,Alejandro Díaz,Second Striker,"May 27, 1989 ",34,"['Argentina', 'Guatemala']",Brazil,Rosario,CF   LW,"1,68",-
45,Fernando Forestieri,Second Striker,"Jan 15, 1990 ",34,"['Italy', 'Argentina']",Brazil,Rosario,LW   CF,"1,72",€700k
,Ignacio Echarri,Second Striker,"Aug 25, 1990 ",33,"['Argentina', 'Spain']",Brazil,Jesus María (CBA),,"1,73",-
,Leonardo Piris,Second Striker,"Apr 1, 1990 ",33,['Argentina'],Brazil,Posadas,RW,"1,70",-
10,Óscar Ortega,Second Striker,"May 3, 1990 ",33,['Argentina'],Brazil,Berabevú,CF   RW,"1,75",€200k
,Daniel Carrizo,Second Striker,"Jan 19, 1990 ",34,['Argentina'],Brazil,Catamarca,LW   CM,"1,69",-
,Matías Blanco,Second Striker,"Aug 6, 1991 ",32,['Argentina'],Brazil,La Matanza (BUE),,"1,63",-
,Diego Medina,Second Striker,"Feb 16, 1991 ",33,['Argentina'],Brazil,Boulogne,,"1,75",-
34,Daniel Villalva,Second Striker,"Jul 6, 1992 ",31,['Argentina'],Brazil,Caá Catí,LW   RW,"1,58",€100k
,Luciano Colombo,Second Striker,"Dec 1, 1992 ",31,['Argentina'],Brazil,San Ramón de la Nueva Orán,AM,"1,70",-
,Sergio Hipperdinger,Second Striker,"Jan 14, 1992 ",32,['Argentina'],Brazil,Libertador General San Martín,AM   CF,"1,78",-
,Cristian Ibarra,Second Striker,"Aug 22, 1992 ",31,['Argentina'],Brazil,San Miguel (TUC),RW   LW,"1,68",-
,Luciano Careaga,Second Striker,"Apr 16, 1992 ",31,['Argentina'],Brazil,Buenos Aires,,"1,66",-
21,Paulo Dybala,Second Striker,"Nov 15, 1993 ",30,"['Argentina', 'Italy']",Brazil,Laguna Larga,CF   RW,"1,77",€25.00m
,Nicolás Rizzo,Second Striker,"Jul 30, 1993 ",30,"['Argentina', 'Italy']",Brazil,Necochea,LW   CF,"1,77",€125k
,Matías Rosso,Second Striker,"Mar 12, 1993 ",31,['Argentina'],Brazil,Rosario,AM,"1,63",-
,Franco Coronel,Second Striker,"Jul 8, 1993 ",30,['Argentina'],Brazil,Villa Ramallo,,"1,70",€225k
,Tomas Onorio,Second Striker,"Aug 11, 1993 ",30,['Argentina'],Brazil,Bahía Blanca,,"1,80",-
20,Joaquín Correa,Second Striker,"Aug 13, 1994 ",29,"['Argentina', 'Italy']",Brazil,Juan Bautista Alberdi,LW   CF,"1,88",€8.00m
,Santiago Stecaldo,Second Striker,"Sep 24, 1994 ",29,['Argentina'],Brazil,Brinkmann,,"1,80",-
,Adrián Lugones,Second Striker,"Mar 23, 1994 ",30,['Argentina'],Brazil,,,,-
,Claudio Pombo,Second Striker,"Apr 28, 1994 ",29,['Argentina'],Brazil,Gualeguaychú,LM,"1,71",€250k
,Fernando Joao,Second Striker,"May 26, 1994 ",29,['Argentina'],Brazil,Buenos Aires,RW   LW,"1,62",-
10,Santiago Feuillassier,Second Striker,"Apr 29, 1994 ",29,"['Argentina', 'Spain']",Brazil,Mar del Plata,CF   RW,"1,68",-
,Axel Romero,Second Striker,"Jun 1, 1995 ",28,"['Argentina', 'Italy']",Brazil,San Fernando Del Valle de Catamarca,LW   CF,"1,75",€75k
,Fernando Pettineroli,Second Striker,"Apr 26, 1995 ",28,['Argentina'],Brazil,Zapala,RW   RM,"1,70",-
,Tomas Perez,Second Striker,"Jul 12, 1995 ",28,"['Argentina', 'Italy']",Brazil,,LW,"1,70",-
66,Ezequiel Ruiz,Second Striker,"Sep 16, 1995 ",28,['Argentina'],Brazil,,LW   RW,"1,74",-
