Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Thomas Matton,Attacking Midfield,"Oct 24, 1985 ",38,['Belgium'],Belgium,Horebeke,LM   RM,"1,80",-
,Tim De Meersman,Attacking Midfield,"Feb 1, 1985 ",39,['Belgium'],Belgium,Dendermonde,SS   CF,"1,76",-
,Stijn De Smet,Attacking Midfield,"Mar 27, 1985 ",38,['Belgium'],Belgium,Brugge,RW   LW,"1,84",-
,Jamaïque Vandamme,Attacking Midfield,"Aug 1, 1985 ",38,['Belgium'],Belgium,Oostende,CF,N/A,-
,Carl Del Fabbro,Attacking Midfield,"Jun 22, 1985 ",38,['Belgium'],Belgium,Charleroi,,"1,75",-
,Onur Kaya,Attacking Midfield,"Apr 20, 1986 ",37,"['Belgium', 'Türkiye']",Belgium,Brussel,LW   LM,"1,67",-
,Alexis Kubilskis,Attacking Midfield,"Dec 10, 1986 ",37,['Belgium'],Belgium,Charleroi,RW,"1,83",-
,Jonathan Wilmet,Attacking Midfield,"Jan 7, 1986 ",38,['Belgium'],Belgium,Ottignies-Louvain-la-Neuve,LW   RW,"1,80",-
,Lander Van Steenbrugghe,Attacking Midfield,"Nov 27, 1986 ",37,['Belgium'],Belgium,Oudenaarde,CM,"1,77",-
,Benoît Ladrière,Attacking Midfield,"Apr 27, 1987 ",36,['Belgium'],Belgium,Nivelles,LM   RM,"1,73",-
,Gertjan Martens,Attacking Midfield,"Mar 4, 1987 ",37,['Belgium'],Belgium,Dilbeek,RW   LW,"1,68",-
,Ewout Denys,Attacking Midfield,"Feb 4, 1987 ",37,['Belgium'],Belgium,Brugge,,"1,84",-
,Björn Beyens,Attacking Midfield,"Jan 7, 1987 ",37,['Belgium'],Belgium,Mol,,"1,77",-
12,Christian Brüls,Attacking Midfield,"Sep 30, 1988 ",35,['Belgium'],Belgium,Malmedy,RW   LW,"1,79",€200k
,Tim Pylyser,Attacking Midfield,"Nov 16, 1988 ",35,['Belgium'],Belgium,Oostende,CM,"1,80",-
,Mike De Silva,Attacking Midfield,"Sep 5, 1988 ",35,"['Belgium', 'Colombia']",Belgium,Brussel,,"1,71",-
,Darius Hillewaere,Attacking Midfield,"Nov 15, 1988 ",35,['Belgium'],Belgium,Koksijde,SS,"1,80",-
,Alandson,Attacking Midfield,"Oct 4, 1988 ",35,"['Belgium', 'Brazil']",Belgium,Torhout,CF,"1,82",-
,Yanis Papassarantis,Attacking Midfield,"Mar 12, 1988 ",36,"['Belgium', 'Greece']",Belgium,Charleroi,,"1,79",-
,Steven Van Braeckel,Attacking Midfield,"Oct 1, 1989 ",34,['Belgium'],Belgium,Leuven,CM   RW,,-
