Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Jeroen Van Damme,Centre-Back,"Nov 30, 1985 ",38,['Belgium'],Belgium,,,,-
,Kevin Nicaise,Centre-Back,"Apr 17, 1985 ",38,"['Chad', 'Belgium']",Belgium,Brussel,DM,"1,92",-
,Philippe Buysens,Centre-Back,"Feb 16, 1985 ",39,['Belgium'],Belgium,Ronse,,"1,86",-
,David Vandenbroeck,Centre-Back,"Jul 12, 1985 ",38,['Belgium'],Belgium,Braine-l'Alleud,,"1,86",-
,Quantin Durieux,Centre-Back,"Jan 28, 1985 ",39,['Belgium'],Belgium,Chimay,,"1,87",-
,Nicolas Lombaerts,Centre-Back,"Mar 20, 1985 ",39,['Belgium'],Belgium,Brugge,LB,"1,88",-
,Thomas Vermaelen,Centre-Back,"Nov 14, 1985 ",38,['Belgium'],Belgium,Kapellen,LB,"1,83",-
,Nico Van Der Linden,Centre-Back,"Mar 12, 1985 ",39,['Belgium'],Belgium,Ekeren,,"1,95",-
,Brecht De Rouck,Centre-Back,"Apr 29, 1985 ",38,['Belgium'],Belgium,Waregem,,"1,87",-
,Jeroen Simaeys,Centre-Back,"May 12, 1985 ",38,['Belgium'],Belgium,Mechelen,DM,"1,93",-
,Jan Wuytens,Centre-Back,"Jun 9, 1985 ",38,['Belgium'],Belgium,Hasselt,,"1,89",-
,Loic Piolot,Centre-Back,"Jan 17, 1985 ",39,['Belgium'],Belgium,Tubize,,,-
,Laurent Ciman,Centre-Back,"Aug 5, 1985 ",38,"['Belgium', 'Canada']",Belgium,Farciennes,RB,"1,84",-
,Cyril Detremmerie,Centre-Back,"Jun 20, 1985","Jun 20, 1985",['Belgium'],Belgium,Mouscron,DM,"1,85",-
,Wim Raymaekers,Centre-Back,"Apr 4, 1985 ",38,['Belgium'],Belgium,Hasselt,,"1,86",-
,Hans Hoornaert,Centre-Back,"Jul 10, 1986 ",37,['Belgium'],Belgium,Roeselare,RB,"1,90",-
,Gaëtan Audoor,Centre-Back,"Nov 9, 1986 ",37,['Belgium'],Belgium,Rocourt,,"1,79",-
,Sébastien van Aerschot,Centre-Back,"Apr 2, 1986 ",37,['Belgium'],Belgium,Namur,,"1,88",-
,Benjamin De Wilde,Centre-Back,"Apr 7, 1986 ",37,['Belgium'],Belgium,Lokeren,,"1,86",-
,David Triantafillidis,Centre-Back,"Feb 15, 1986 ",38,"['Belgium', 'Greece']",Belgium,Leuven,DM,"1,89",-
,Steve Colpaert,Centre-Back,"Sep 13, 1986 ",37,['Belgium'],Belgium,Etterbeek,RB,"1,77",-
,Foeke Rossel,Centre-Back,"Jul 11, 1986 ",37,['Belgium'],Belgium,Asse,,"1,78",-
,Valentín Goffin,Centre-Back,"Aug 14, 1986 ",37,['Belgium'],Belgium,Libramont,,"1,91",-
40,Maxime Biset,Centre-Back,"Mar 26, 1986 ",37,['Belgium'],Belgium,Antwerpen,DM,,-
,Siebe Blondelle,Centre-Back,"Apr 20, 1986 ",37,['Belgium'],Belgium,Brugge,LB   DM,"1,85",-
,Ludovic Buysens,Centre-Back,"Mar 13, 1986 ",38,['Belgium'],Belgium,Ronse,RB   LB,"1,88",-
,Vincent Kompany,Centre-Back,"Apr 10, 1986 ",37,"['Belgium', 'DR Congo']",Belgium,Uccle,DM,"1,90",-
14,Jan Vertonghen,Centre-Back,"Apr 24, 1987 ",36,['Belgium'],Belgium,Sint-Niklaas,LB,"1,89",€1.50m
19,Benjamin Lambot,Centre-Back,"May 2, 1987 ",36,['Belgium'],Belgium,Etterbeek,DM,"1,90",€100k
