Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Kevin Cossalter,Centre-Forward,"Apr 19, 1985 ",38,['Belgium'],Belgium,Liège,,"1,79",-
,Tom De Sutter,Centre-Forward,"Jul 3, 1985 ",38,['Belgium'],Belgium,Gent,,"1,92",-
,Xavier Deschacht,Centre-Forward,"May 28, 1985 ",38,['Belgium'],Belgium,Gent,,"1,80",-
,Björn Vleminckx,Centre-Forward,"Dec 1, 1985 ",38,['Belgium'],Belgium,Boom,,"1,83",-
7,Valentin Romont,Centre-Forward,"Aug 16, 1985 ",38,['Belgium'],Belgium,Tournai,,"1,87",-
,Rachid Tiberkanine,Centre-Forward,"Mar 28, 1985 ",38,"['Morocco', 'Belgium']",Belgium,Antwerpen,RW   AM,"1,72",-
,Dieter Van Tornhout,Centre-Forward,"Mar 18, 1985 ",39,['Belgium'],Belgium,Gent,,"1,90",-
,Mattis Persoons,Centre-Forward,"Jun 5, 1986 ",37,['Belgium'],Belgium,Aalst,SS   AM,"1,77",-
,Jochen Vanarwegen,Centre-Forward,"Feb 3, 1986 ",38,['Belgium'],Belgium,Lommel,,"1,77",-
,Aurélien Joachim,Centre-Forward,"Aug 10, 1986 ",37,['Luxembourg'],Belgium,Virton,LW   RW,"1,85",-
,Imad Amazou,Centre-Forward,"Jul 11, 1986 ",37,['Belgium'],Belgium,Sint-Agatha-Berchem,,,-
,Omar Bennassar,Centre-Forward,"Mar 4, 1987 ",37,['Belgium'],Belgium,Hasselt,RW,"1,85",-
,Deniz Aktas,Centre-Forward,"Jul 1, 1987 ",36,"['Belgium', 'Türkiye']",Belgium,Heusden-Zolder,AM,"1,80",-
,Hamdi Bouslama,Centre-Forward,"Jan 30, 1987 ",37,"['Belgium', 'Tunisia']",Belgium,Namur,AM,"1,76",-
,Toon Vervoort,Centre-Forward,"Jun 17, 1987 ",36,['Belgium'],Belgium,Turnhout,,"1,81",-
,Sacha Verveckken,Centre-Forward,"Jan 15, 1987 ",37,['Belgium'],Belgium,Antwerpen,,"1,78",-
,Rony Baynon,Centre-Forward,"Jun 21, 1987 ",36,['Belgium'],Belgium,Charleroi,,"1,80",-
,Wim Bokila,Centre-Forward,"Sep 28, 1987 ",36,"['Netherlands', 'DR Congo']",Belgium,Antwerpen,LW   RW,"1,89",-
,Esteban Casagolda,Centre-Forward,"Jan 5, 1987 ",37,"['Belgium', 'Uruguay']",Belgium,Brussel,RW,"1,87",-
,Vincenzo Verhoeven,Centre-Forward,"Jan 16, 1987 ",37,['Belgium'],Belgium,Antwerpen,,"1,80",-
,Nathan Raguet,Centre-Forward,"Apr 20, 1987 ",36,['Belgium'],Belgium,Libramont,,"1,80",-
