Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Kim Van Brabander,Central Midfield,"Mar 28, 1985 ",38,['Belgium'],Belgium,Deinze,,"1,79",-
,Faris Haroun,Central Midfield,"Sep 22, 1985 ",38,"['Belgium', 'Chad']",Belgium,Brussel,DM   AM,"1,87",-
,Kristoffer Andersen,Central Midfield,"Dec 9, 1985 ",38,"['Belgium', 'Denmark']",Belgium,Etterbeek,DM   AM,"1,83",-
,Thibaut Detal,Central Midfield,"Jan 1, 1985 ",39,['Belgium'],Belgium,Beauraing,,"1,80",-
,Roel Engelen,Central Midfield,"Feb 7, 1986 ",38,['Belgium'],Belgium,Grobbendonk,,"1,85",-
,Jonas Vandermarliere,Central Midfield,"Mar 7, 1986 ",38,['Belgium'],Belgium,Poperinge,AM   RM,"1,75",-
,Murat Akın,Central Midfield,"Oct 22, 1986 ",37,"['Türkiye', 'Belgium']",Belgium,Sint-Niklaas,AM   DM,"1,74",-
,Tom Van Hyfte,Central Midfield,"Apr 28, 1986 ",37,['Belgium'],Belgium,Gent,DM   AM,"1,87",-
,Rosario Pepe,Central Midfield,"Aug 23, 1986 ",37,"['Belgium', 'Italy']",Belgium,,,"1,79",-
,Niels Prud´homme,Central Midfield,"Jun 15, 1986 ",37,['Belgium'],Belgium,Genk,,"1,83",-
,Paco Sanchez,Central Midfield,"May 16, 1986 ",37,"['Belgium', 'Spain']",Belgium,Baudour,,"1,81",-
,Michael Van Geele,Central Midfield,"Aug 1, 1986 ",37,['Belgium'],Belgium,Brussel,DM,"1,86",-
6,Steve De Ridder,Central Midfield,"Feb 25, 1987 ",37,['Belgium'],Belgium,Gent,DM   AM,"1,78",€100k
,Choukri Chokrani,Central Midfield,"Dec 1, 1987 ",36,['Belgium'],Belgium,Berchem-Saint-Agathe,AM,"1,83",-
,Enes Erciyas,Central Midfield,"Jan 8, 1987 ",37,"['Türkiye', 'Belgium']",Belgium,Hasselt,LM   LW,"1,77",-
,Enzo Neve,Central Midfield,"Aug 13, 1987 ",36,['Belgium'],Belgium,Sint-Niklaas,AM,"1,82",-
,Marouane Fellaini,Central Midfield,"Nov 22, 1987 ",36,"['Belgium', 'Morocco']",Belgium,Etterbeek,DM   AM,"1,94",-
,Steven Jacobs,Central Midfield,"Jun 6, 1987 ",36,['Belgium'],Belgium,Jette,LM   LB,N/A,-
,Torin Didenko,Central Midfield,"Sep 12, 1987 ",36,"['Australia', 'Russia']",Belgium,Brussels,,"1,79",-
,Ken van Mierlo,Central Midfield,"Aug 5, 1987 ",36,"['Netherlands', 'Belgium']",Belgium,Lokeren,,"1,85",-
,Gauthier Lauwers,Central Midfield,"Jul 3, 1987 ",36,['Belgium'],Belgium,Ronse,,"1,80",-
,Guy Dufour,Central Midfield,"Mar 14, 1987 ",37,['Belgium'],Belgium,Mol,AM   DM,"1,77",-
,Mousa Dembélé,Central Midfield,"Jul 16, 1987 ",36,"['Belgium', 'Mali']",Belgium,Antwerpen,AM   DM,"1,85",-
24,Sven Kums,Central Midfield,"Feb 26, 1988 ",36,['Belgium'],Belgium,Asse,DM   AM,"1,76",€500k
7,Robin Henkens,Central Midfield,"Sep 12, 1988 ",35,['Belgium'],Belgium,Hasselt,DM   AM,"1,74",€100k
,Jérôme Nollevaux,Central Midfield,"Feb 14, 1988 ",36,['Belgium'],Belgium,,DM,"1,72",-
,Adrien Lespagnard,Central Midfield,"Oct 16, 1988 ",35,['Belgium'],Belgium,Arlon,,"1,79",-
10,Radja Nainggolan,Central Midfield,"May 4, 1988 ",35,['Belgium'],Belgium,Antwerpen,DM   AM,"1,77",€400k
,Philippe Janssens,Central Midfield,"Mar 17, 1988 ",36,['Belgium'],Belgium,Wilrijk,LM   AM,"1,76",-
