Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value
,Dries De Boodt,Goalkeeper,"Jan 9, 1985 ",39,['Belgium'],Belgium,,"1,86",-
,Charly Konstantinidis,Goalkeeper,"Jun 25, 1985 ",38,"['Belgium', 'Greece']",Belgium,Charleroi,"1,88",-
,Sven Van Ryckeghem,Goalkeeper,"Mar 18, 1985 ",39,['Belgium'],Belgium,Brugge,"1,85",-
,Logan Bailly,Goalkeeper,"Dec 27, 1985 ",38,['Belgium'],Belgium,Liège,"1,89",-
38,Sammy Bossut,Goalkeeper,"Aug 11, 1985 ",38,['Belgium'],Belgium,Tielt,"1,86",-
,Glenn Verbauwhede,Goalkeeper,"May 19, 1985 ",38,['Belgium'],Belgium,Kortrijk,"1,87",-
,Olivier Werner,Goalkeeper,"Apr 16, 1985 ",38,['Belgium'],Belgium,Malmedy,"1,93",-
,Kristof Sulmon,Goalkeeper,"Aug 20, 1986 ",37,['Belgium'],Belgium,Brüssel,"1,87",-
1,Kevin Van Den Noortgaete,Goalkeeper,"Jul 14, 1986 ",37,['Belgium'],Belgium,Zottegem,"1,83",-
,Bart Weyen,Goalkeeper,"Mar 7, 1986 ",38,['Belgium'],Belgium,Bilzen,"1,88",-
,Ferhat Kaya,Goalkeeper,"Mar 11, 1986 ",38,"['Belgium', 'Türkiye']",Belgium,Beringen,"1,86",-
18,Jérémy De Vriendt,Goalkeeper,"Mar 22, 1986 ",38,['Belgium'],Belgium,Sambreville,,-
,Tom Grootaers,Goalkeeper,"Dec 3, 1986 ",37,['Belgium'],Belgium,Bilzen,"1,87",-
,Yves Makabu-Makalambay,Goalkeeper,"Jan 31, 1986 ",38,"['DR Congo', 'Belgium']",Belgium,Brüssel,"1,98",-
,Jonathan Hochepied,Goalkeeper,"Aug 19, 1986 ",37,['Belgium'],Belgium,Tournai,"1,82",-
,Sander Kevelaerts,Goalkeeper,"Jun 27, 1986 ",37,['Belgium'],Belgium,Zoersel,"1,88",-
,Bilen Mrabet,Goalkeeper,"Jul 28, 1986 ",37,['Belgium'],Belgium,Sint-Joost-ten-Node,"1,93",-
,Alan Wolfaert,Goalkeeper,"Feb 15, 1986 ",38,['Belgium'],Belgium,Brugge,"1,88",-
,Rubin Dantschotter,Goalkeeper,"Feb 18, 1986 ",38,['Belgium'],Belgium,Loppem,"1,85",-
,Frank Boeckx,Goalkeeper,"Sep 27, 1986 ",37,['Belgium'],Belgium,Leuven,"1,83",-
87,Davino Verhulst,Goalkeeper,"Nov 25, 1987 ",36,['Belgium'],Belgium,Beveren,"1,93",€50k
,Kristof Van Hout,Goalkeeper,"Feb 9, 1987 ",37,['Belgium'],Belgium,Lommel,"2,07",-
,Yves De Winter,Goalkeeper,"May 25, 1987 ",36,['Belgium'],Belgium,Lier,"1,88",-
,Kevin Kempeneer,Goalkeeper,"Feb 22, 1987 ",37,['Belgium'],Belgium,Anderlecht,"1,86",-
,Ruud Boffin,Goalkeeper,"Nov 5, 1987 ",36,['Belgium'],Belgium,Sint-Truiden,"1,96",-
,Steve Berger,Goalkeeper,"Mar 16, 1987 ",37,['Belgium'],Belgium,Lüttich,"1,84",-
,Jimmy Tordeurs,Goalkeeper,"Jun 15, 1987 ",36,['Belgium'],Belgium,Charleroi,"1,87",-
,Tom Wagemans,Goalkeeper,"Apr 24, 1987 ",36,['Belgium'],Belgium,Herentals,"1,87",-
,Fabian Cremers,Goalkeeper,"Oct 25, 1987 ",36,['Belgium'],Belgium,Uccle,"1,80",-
,Jonathan Ruttens,Goalkeeper,"Aug 24, 1987 ",36,['Belgium'],Belgium,Herk-De-Stad,"1,88",-
22,Simon Mignolet,Goalkeeper,"Mar 6, 1988 ",36,['Belgium'],Belgium,Sint-Truiden,"1,93",€2.80m
,Kenneth Trypsteen,Goalkeeper,"Aug 5, 1988 ",35,['Belgium'],Belgium,Kortrijk,"1,94",-
,Bruno Appels,Goalkeeper,"Aug 15, 1988 ",35,['Belgium'],Belgium,Turnhout,"1,80",-
,Kenny Steppe,Goalkeeper,"Nov 14, 1988 ",35,['Belgium'],Belgium,Antwerpen,,-
,Kristof Maes,Goalkeeper,"Apr 19, 1988 ",35,['Belgium'],Belgium,Antwerpen,"1,88",-
,Dorian Delcour,Goalkeeper,"Mar 11, 1988 ",36,['Belgium'],Belgium,,,-
,Corentin Auspert,Goalkeeper,"Feb 5, 1988 ",36,['Belgium'],Belgium,Berghem-Sainte-Agathe,"1,80",-
,Kévin Goeman,Goalkeeper,"Mar 14, 1988 ",36,['Belgium'],Belgium,Brüssel,"1,93",-
,Mário Matos,Goalkeeper,"Jun 21, 1988 ",35,"['Portugal', 'Belgium']",Belgium,Brüssel,"1,85",-
,Glenn Piessens,Goalkeeper,"May 7, 1988 ",35,['Belgium'],Belgium,Sint-Niklaas,"1,83",-
1,Kevin Debaty,Goalkeeper,"Jun 12, 1989 ",34,['Belgium'],Belgium,Liège,"1,89",€150k
89,Sébastien Bruzzese,Goalkeeper,"Mar 1, 1989 ",35,"['Belgium', 'Italy']",Belgium,Liège,"1,85",€100k
,Wesley Cristael,Goalkeeper,"Dec 28, 1989 ",34,['Belgium'],Belgium,Tremelo,"1,82",-
,Cyprien Baguette,Goalkeeper,"Dec 5, 1989 ",34,['Belgium'],Belgium,La Louvière,"1,88",-
31,Mike Vanhamel,Goalkeeper,"Nov 16, 1989 ",34,['Belgium'],Belgium,Elsene,"1,89",-
30,Koen Van Langendonck,Goalkeeper,"Jun 9, 1989 ",34,['Belgium'],Belgium,Neerpelt,"1,85",€100k
,Yannick De Winter,Goalkeeper,"Jun 3, 1989 ",34,['Belgium'],Belgium,Lier,"1,88",-
,Fred Desomberg,Goalkeeper,"Feb 9, 1989 ",35,['Belgium'],Belgium,Ukkel,"1,85",-
