Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Laurens Melotte,Left-Back,"Nov 6, 1985 ",38,['Belgium'],Belgium,Leuven,,"1,85",-
,Kenny Thompson,Left-Back,"Apr 26, 1985 ",38,['Belgium'],Belgium,Deurne,,"1,82",-
,Wouter Vosters,Left-Back,"Dec 10, 1985 ",38,['Belgium'],Belgium,Turnhout,LM   CB,,-
,Matthias Trenson,Left-Back,"Oct 3, 1986 ",37,['Belgium'],Belgium,Brugge,,"1,83",-
,Achraf Essikal,Left-Back,"Jan 3, 1986 ",38,"['Belgium', 'Morocco']",Belgium,Brussel,,"1,81",-
,Wesley Vanbelle,Left-Back,"Aug 5, 1986 ",37,['Belgium'],Belgium,Bonheiden,LM   LW,"1,77",-
,Bart Buysse,Left-Back,"Oct 16, 1986 ",37,['Belgium'],Belgium,Brugge,CB,"1,78",-
,Romain Haghedooren,Left-Back,"Sep 28, 1986 ",37,['Belgium'],Belgium,Menen,CB,"1,89",-
,Massimo Moia,Left-Back,"Mar 9, 1987 ",37,"['Belgium', 'Italy']",Belgium,Liège,LM,"1,78",-
,Baptiste Ulens,Left-Back,"Jul 24, 1987 ",36,['Belgium'],Belgium,Boussu,LM   RM,"1,77",-
,Matthias Pittoors,Left-Back,"Dec 29, 1987 ",36,['Belgium'],Belgium,Lier,LM   RB,"1,73",-
,Sébastien Pocognoli,Left-Back,"Aug 1, 1987 ",36,"['Belgium', 'Italy']",Belgium,Seraing,,"1,81",-
,Marco Battista,Left-Back,"Sep 13, 1988 ",35,"['Belgium', 'Italy']",Belgium,Maasmechelen,LM   LW,,-
,Nadjim Haroun,Left-Back,"Jun 10, 1988 ",35,"['Chad', 'Belgium']",Belgium,Jette,CB   DM,"1,86",-
,Geoffrey Cabeke,Left-Back,"Nov 5, 1988 ",35,['Belgium'],Belgium,Jette,LM,"1,75",-
,Georgios Kaminiaris,Left-Back,"Oct 20, 1988 ",35,"['Belgium', 'Greece']",Belgium,,,"1,82",-
,Sami Büyüktopac,Left-Back,"Jun 22, 1988 ",35,"['Türkiye', 'Belgium']",Belgium,Brüssel,LM   LW,"1,70",-
17,Grégory Grisez,Left-Back,"Aug 17, 1989 ",34,['Belgium'],Belgium,La Louviere,LM   CB,"1,85",€50k
,Sergio Bernardo,Left-Back,"Dec 15, 1989 ",34,['Spain'],Belgium,Bruselas,,"1,74",-
,Jeroen Vanthournout,Left-Back,"Jun 29, 1989 ",34,['Belgium'],Belgium,Torhout,DM   LM,"1,83",-
,Jérémy Huyghebaert,Left-Back,"Jan 7, 1989 ",35,['Belgium'],Belgium,Mouscron,CB,"1,80",-
,Roy Meeus,Left-Back,"May 24, 1989 ",34,['Belgium'],Belgium,Lommel,AM   LW,"1,79",-
,Pieter-Jan Scheerlinck,Left-Back,"Oct 27, 1989 ",34,['Netherlands'],Belgium,Sint-Truiden,DM,,-
,Geoffrey Ceunen,Left-Back,"May 17, 1989 ",34,['Belgium'],Belgium,Diest,,"1,81",-
,Lionel Gendarme,Left-Back,"Feb 20, 1989 ",35,['Belgium'],Belgium,Sankt Niklaas,LM,"1,87",-
,Issam Ben Youssef,Left-Back,"Mar 30, 1989 ",34,"['Belgium', 'Morocco']",Belgium,Etterbeek,,"1,78",-
