Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Angelo Simone,Right Midfield,"Dec 19, 1986 ",37,"['Belgium', 'Italy']",Belgium,Genk,DM   RB,"1,83",-
,Tom De Mul,Right Midfield,"Mar 4, 1986 ",38,['Belgium'],Belgium,Kapellen,RW,"1,77",-
,Sofian Benzouien,Right Midfield,"Aug 11, 1986 ",37,"['Morocco', 'Belgium']",Belgium,Sint-Agatha-Berchem,,"1,78",-
,Steven Van Geneugden,Right Midfield,"Mar 18, 1987 ",37,['Belgium'],Belgium,Beveren,,"1,71",-
,Pieter-Jan Van Oudenhove,Right Midfield,"Feb 20, 1987 ",37,['Belgium'],Belgium,Herk-de-Stad,RB,"1,82",-
,Jorn Vermeulen,Right Midfield,"Apr 16, 1987 ",36,['Belgium'],Belgium,Torhout,RB,"1,85",-
13,Yohan Brouckaert,Right Midfield,"Oct 30, 1987 ",36,['Belgium'],Belgium,Mouscron,DM   RB,"1,77",-
,Benjamin Lutun,Right Midfield,"Jun 2, 1987 ",36,['Belgium'],Belgium,Poperinge,RB   RW,"1,75",-
,Sylvain Berton,Right Midfield,"Apr 8, 1988 ",35,['Belgium'],Belgium,Tournai,,"1,70",-
,Michiel Vanderweyden,Right Midfield,"Nov 27, 1988 ",35,['Belgium'],Belgium,Tienen,RW,"1,67",-
,Gregory Willems,Right Midfield,"Jun 8, 1989 ",34,['Belgium'],Belgium,,RB,,-
7,Siegerd Degeling,Right Midfield,"Mar 30, 1989 ",34,['Belgium'],Belgium,Herk-de-Stad,RB   LM,"1,72",-
70,Jérémy Serwy,Right Midfield,"Jun 4, 1991 ",32,['Belgium'],Belgium,Liège,AM   RW,"1,72",-
,Rosario Saporito,Right Midfield,"Sep 17, 1991 ",32,['Belgium'],Belgium,Bruxelles,,N/A,-
,Niels Martin,Right Midfield,"Jun 20, 1991 ",32,['Belgium'],Belgium,Bornem,CF   AM,"1,77",-
,Roy Bultheel,Right Midfield,"Aug 26, 1992 ",31,['Belgium'],Belgium,Sint-Niklaas,,,-
,Sven Biermann,Right Midfield,"Feb 16, 1993 ",31,['Belgium'],Belgium,Eupen,RW   AM,N/A,-
,Umberto Carvalho dos Santos,Right Midfield,"May 7, 1994 ",29,"['Belgium', 'Portugal']",Belgium,Genk,RB,"1,74",-
11,Alessio Virgone,Right Midfield,"Oct 25, 1995 ",28,"['Italy', 'Belgium']",Belgium,,LM   LB,"1,71",-
21,Alessio Castro-Montes,Right Midfield,"May 17, 1997 ",26,"['Belgium', 'Spain']",Belgium,Sint-Truiden,LM   RB,"1,75",€4.00m
4,Marten Wilmots,Right Midfield,"Jan 29, 1999 ",25,['Belgium'],Belgium,Sint-Truiden,AM   CM,"1,78",-
75,Simion Michez,Right Midfield,"Feb 9, 2002 ",22,"['Cameroon', 'Belgium']",Belgium,Charleroi,RW,"1,78",€700k
99,Tibo Persyn,Right Midfield,"Mar 13, 2002 ",22,['Belgium'],Belgium,Kortrijk,RB   RW,"1,79",€550k
