Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Wouter Moreels,Second Striker,"Jun 6, 1985 ",38,['Belgium'],Belgium,Zottegem,LW   RW,,-
,Julien Guerenne,Second Striker,"Oct 31, 1986 ",37,['Belgium'],Belgium,Arlon,RW   LW,"1,86",-
10,Dries Mertens,Second Striker,"May 6, 1987 ",36,['Belgium'],Belgium,Leuven,LW   CF,"1,69",€1.80m
,Anthony Di Lallo,Second Striker,"Sep 14, 1988 ",35,"['Belgium', 'Italy']",Belgium,Huy,CF   LW,"1,68",-
,Ilias Sbaa,Second Striker,"Mar 11, 1991 ",33,"['Belgium', 'Morocco']",Belgium,Brussel,AM   LW,"1,74",-
,Gianny Vanhaecke,Second Striker,"Jun 23, 1993 ",30,['Belgium'],Belgium,Oostende,AM,"1,73",-
,Nick Van Belle,Second Striker,"Mar 17, 1993 ",31,['Belgium'],Belgium,Bonheiden,AM   CF,"1,92",-
,Leandro Bailly,Second Striker,"Jun 30, 1995 ",28,['Belgium'],Belgium,,AM   CF,"1,78",-
32,Alessio Allegria,Second Striker,"Jul 28, 1995 ",28,"['Belgium', 'Italy']",Belgium,Genk,CF   AM,"1,75",-
16,Jordy Mathei,Second Striker,"Mar 13, 1995 ",29,['Belgium'],Belgium,Sint-Truiden,CF,"1,81",-
10,Thomas Depotbecker,Second Striker,"Jul 25, 1998 ",25,['Belgium'],Belgium,,RW   CF,"1,77",-
99,Jules Vanhaecke,Second Striker,"Mar 17, 1999 ",25,['Belgium'],Belgium,,CF   RW,"1,70",-
,Gregory Lambrechts,Second Striker,"May 5, 2000 ",23,['Belgium'],Belgium,,,"1,85",-
90,Mohamed Berte,Second Striker,"Mar 25, 2002 ",21,"['Belgium', ""Cote d'Ivoire""]",Belgium,Brussel,CF   LW,"1,75",€400k
81,Dré Callens,Second Striker,"Jan 30, 2005 ",19,['Belgium'],Belgium,Deinze,RW   LW,"1,72",-
21,Halil Özdemir,Second Striker,"Aug 18, 2005 ",18,"['Türkiye', 'Belgium']",Belgium,Antwerpen,AM   CF,"1,77",-
