Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Noé,Attacking Midfield,"Dec 20, 1985 ",38,['Brazil'],Brazil,Ribeirão Preto,CF,"1,65",-
,Zotti,Attacking Midfield,"May 23, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,80",-
,Hiltinho,Attacking Midfield,"Dec 8, 1985 ",38,['Brazil'],Brazil,Cantanhede,RM   RB,"1,69",-
,Rossini,Attacking Midfield,"Mar 31, 1985 ",38,['Brazil'],Brazil,Santos,,"1,67",-
,Léo Rocha,Attacking Midfield,"Jul 3, 1985 ",38,['Brazil'],Brazil,Itaocara,,"1,76",-
,Ricardinho,Attacking Midfield,"Jun 10, 1985 ",38,['Brazil'],Brazil,Votuporanga,LW   RW,"1,74",-
,Danilo Cintra,Attacking Midfield,"May 28, 1985 ",38,['Brazil'],Brazil,São João da Barra,CM   LW,"1,76",-
,Clébson,Attacking Midfield,"Sep 4, 1985 ",38,"['Brazil', 'Italy']",Brazil,Agrestina,LW   RW,"1,64",-
,Elvis,Attacking Midfield,"Nov 5, 1985 ",38,['Brazil'],Brazil,Camaragibe,,"1,73",-
,Marcelo Ceará,Attacking Midfield,"Feb 3, 1985 ",39,['Brazil'],Brazil,Pombal,,"1,76",-
,Marielson,Attacking Midfield,"May 30, 1985 ",38,['Brazil'],Brazil,Assu,,"1,68",-
,Éder Diego,Attacking Midfield,"Apr 17, 1985 ",38,['Brazil'],Brazil,Belém (PA),CM,"1,80",-
,Keninha Goiano,Attacking Midfield,"Nov 25, 1985 ",38,['Brazil'],Brazil,Inhumas,,"1,74",-
,Carlos Alberto,Attacking Midfield,"Mar 5, 1985 ",39,['Brazil'],Brazil,Rio de Janeiro (RJ),,,-
,Paulo Matos,Attacking Midfield,"Jun 12, 1985 ",38,['Brazil'],Brazil,"Belém, PA",SS   CM,"1,79",-
,Bruno Agnello,Attacking Midfield,"Dec 7, 1985 ",38,"['Brazil', 'Italy']",Brazil,Santos,CM   RM,"1,76",-
,Paulinho Oliveira,Attacking Midfield,"Aug 10, 1985 ",38,['Brazil'],Brazil,São Paulo,LW   RW,"1,65",-
,Danilinho,Attacking Midfield,"Apr 1, 1985","Apr 1, 1985",['Brazil'],Brazil,Bauru,LW   RW,"1,78",-
,Thiago Potiguar,Attacking Midfield,"May 27, 1985 ",38,['Brazil'],Brazil,Currais Novos,LW   RW,"1,69",-
,Diego Palhinha,Attacking Midfield,"Sep 14, 1985 ",38,['Brazil'],Brazil,Pariquera,LW   RW,"1,74",-
,Willian Leandro,Attacking Midfield,"Jul 31, 1985 ",38,['Brazil'],Brazil,Osasco,RM   RW,"1,74",-
,Felipe,Attacking Midfield,"Jan 31, 1985 ",39,['Brazil'],Brazil,Goiânia,,,-
,Luciano,Attacking Midfield,"Jan 14, 1985 ",39,['Brazil'],Brazil,Araguaíra,,"1,83",-
,Andrezinho,Attacking Midfield,"Feb 15, 1985 ",39,['Brazil'],Brazil,Campo Grande,SS   LW,"1,71",-
,Washington,Attacking Midfield,"Jul 13, 1985 ",38,['Brazil'],Brazil,Ceres,,"1,75",-
,Alex Maranhão,Attacking Midfield,"Apr 30, 1985 ",38,['Brazil'],Brazil,São Luis,,"1,70",-
,Diogo,Attacking Midfield,"Jul 8, 1985 ",38,['Brazil'],Brazil,Uberlândia,,"1,81",-
,Silas,Attacking Midfield,"Mar 8, 1985 ",39,['Brazil'],Brazil,São Bernardo do Campo,,"1,79",-
,Márcio Tarrafas,Attacking Midfield,"Apr 13, 1985 ",38,['Brazil'],Brazil,Tarrafas,CM,"1,75",-
,Bolívia,Attacking Midfield,"Nov 17, 1985 ",38,"['Bolivia', 'Brazil']",Brazil,Cuiabá,SS   CF,"1,81",-
,Juca,Attacking Midfield,"Jul 21, 1985 ",38,['Brazil'],Brazil,Monte Azul Paulista,,"1,76",-
,Tom,Attacking Midfield,"Jul 23, 1985 ",38,"['Brazil', 'Bulgaria']",Brazil,São Paulo,RM   LM,"1,81",-
,Vinícius Pacheco,Attacking Midfield,"Sep 27, 1985 ",38,['Brazil'],Brazil,São Gonçalo,LW   RW,"1,73",-
,Thiago Neves,Attacking Midfield,"Feb 27, 1985 ",39,['Brazil'],Brazil,Curitiba,SS   CF,"1,76",-
,Leandro Lima,Attacking Midfield,"Nov 9, 1985 ",38,['Brazil'],Brazil,Fortaleza,LW   RW,"1,69",-
,Wagner,Attacking Midfield,"Jan 29, 1985 ",39,['Brazil'],Brazil,Sete Lagoas,LM   RM,"1,75",-
,Fellype Gabriel,Attacking Midfield,"Dec 6, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,LW   RW,"1,76",-
,Guilherme Finkler,Attacking Midfield,"Sep 24, 1985 ",38,"['Brazil', 'Italy']",Brazil,Caxias do Sul,SS   RW,"1,84",-
,Aloísio,Attacking Midfield,"May 22, 1985 ",38,['Brazil'],Brazil,Cachoeiro do Itapemirim,LW   RW,"1,79",-
,Marcinho,Attacking Midfield,"Sep 8, 1985 ",38,['Brazil'],Brazil,Timbaúba dos Batistas,SS   LW,"1,72",-
,Eric,Attacking Midfield,"Dec 5, 1985 ",38,"['Brazil', 'Romania']",Brazil,Nova Iguaçu,LW   CM,"1,74",-
,Thiago Humberto,Attacking Midfield,"Jul 6, 1985 ",38,['Brazil'],Brazil,Lins,LW   RW,"1,83",-
,André Mococa,Attacking Midfield,"Oct 1, 1985 ",38,['Brazil'],Brazil,Mococa,,"1,80",-
,Luiz Henrique,Attacking Midfield,"Sep 3, 1985 ",38,['Brazil'],Brazil,São Paulo,SS,"1,79",-
,Diego Barcelos,Attacking Midfield,"Apr 5, 1985 ",38,['Brazil'],Brazil,Porto Alegre,LM   RM,"1,71",-
,Ernane,Attacking Midfield,"May 2, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,"1,80",-
,Hernanes,Attacking Midfield,"May 29, 1985 ",38,['Brazil'],Brazil,Recife,CM   DM,"1,80",-
,Leozinho,Attacking Midfield,"Dec 12, 1985 ",38,['Brazil'],Brazil,São Luís,LW   RW,"1,69",-
,André Beleza,Attacking Midfield,"Apr 20, 1985 ",38,['Brazil'],Brazil,Natal,,"1,69",-
,Ademar,Attacking Midfield,"Jan 8, 1985 ",39,['Brazil'],Brazil,Arapongas,,"1,76",-
,Héverton,Attacking Midfield,"Oct 28, 1985 ",38,['Brazil'],Brazil,Brasília,LW   RW,"1,73",-
,Rodrigo Paulista,Attacking Midfield,"Mar 2, 1985 ",39,['Brazil'],Brazil,São Paulo,SS   CF,"1,76",-
,Gerson Magrão,Attacking Midfield,"Jun 13, 1985 ",38,['Brazil'],Brazil,Diadema,LB   LM,"1,81",-
,Diego,Attacking Midfield,"Feb 28, 1985 ",39,"['Brazil', 'Italy']",Brazil,Ribeirão Preto,CM,"1,73",-
,Rafael Bastos,Attacking Midfield,"Jan 1, 1985 ",39,['Brazil'],Brazil,Rio de Janeiro,RW   LW,"1,85",-
,Diogo Barcellos,Attacking Midfield,"Apr 5, 1985 ",38,['Brazil'],Brazil,Porto Alegre,LW   RW,"1,72",-
,Thiago Rockenbach,Attacking Midfield,"Feb 1, 1985 ",39,"['Brazil', 'Germany']",Brazil,Marechal Cândido Rondon,LM   RM,"1,79",-
,Ferreira,Attacking Midfield,"Jul 15, 1986 ",37,"['Brazil', 'Bolivia']",Brazil,São Caetano do Sul,CM   DM,"1,80",€100k
10,Thomaz,Attacking Midfield,"May 2, 1986 ",37,"['Brazil', 'Bolivia']",Brazil,São Paulo,LW   RW,"1,77",€50k
,Dioguinho,Attacking Midfield,"Oct 15, 1986 ",37,['Brazil'],Brazil,,,"1,70",-
,Klayton Maranhense,Attacking Midfield,"Sep 16, 1986 ",37,['Brazil'],Brazil,São José de Ribamar,LB,"1,67",-
,Doda,Attacking Midfield,"Sep 9, 1986 ",37,['Brazil'],Brazil,,,"1,75",-
,Marco Goiano,Attacking Midfield,"Aug 7, 1986 ",37,['Brazil'],Brazil,Goiânia,CM,"1,79",-
,Roni,Attacking Midfield,"Apr 23, 1986 ",37,['Brazil'],Brazil,Cansanção,SS,"1,80",-
,Marcos Paraná,Attacking Midfield,"Jul 4, 1986 ",37,['Brazil'],Brazil,São Jorge d'Oeste,LW   RW,"1,84",-
,Wallacer,Attacking Midfield,"Jun 3, 1986 ",37,['Brazil'],Brazil,Macaé,LW   RW,"1,78",-
,Emerson Reis Luiz,Attacking Midfield,"Jan 4, 1986 ",38,['Brazil'],Brazil,Guaranésia,SS,"1,78",-
,Michel Pereira Rodrigues,Attacking Midfield,"Aug 25, 1986 ",37,['Brazil'],Brazil,Natal (RN),,"1,79",-
,Bruninho,Attacking Midfield,"Apr 1, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,LB   LM,"1,69",-
,Rodrigo Borges,Attacking Midfield,"Jul 24, 1986 ",37,"['Brazil', 'Portugal']",Brazil,Goiânia,,"1,72",-
,Camilo,Attacking Midfield,"Mar 9, 1986 ",38,['Brazil'],Brazil,Rio de Janeiro,SS   CM,"1,74",€50k
10,Ivo,Attacking Midfield,"Oct 2, 1986 ",37,['Brazil'],Brazil,Palmitinho,LW   CM,"1,74",€50k
,Kiko Alagoano,Attacking Midfield,"Aug 8, 1986 ",37,['Brazil'],Brazil,,,,-
,Candinho,Attacking Midfield,"Jul 3, 1986 ",37,['Brazil'],Brazil,,,"1,74",-
,Hiroshi,Attacking Midfield,"Feb 20, 1986 ",38,['Brazil'],Brazil,Rio de Janeiro,SS,"1,81",-
,Thiago Rocha,Attacking Midfield,"Jun 24, 1986 ",37,['Brazil'],Brazil,São Paulo,LW   CF,,-
,Leandro dos Santos,Attacking Midfield,"Oct 29, 1986 ",37,['Brazil'],Brazil,,SS   CM,"1,78",-
,Dio,Attacking Midfield,"Sep 26, 1986 ",37,"['Equatorial Guinea', 'Brazil']",Brazil,Dom Pedrito,LW   RW,"1,68",-
,Alan Do Nascimento,Attacking Midfield,"Aug 4, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,LW   CF,,-
,Marcio Teruel,Attacking Midfield,"Mar 11, 1986 ",38,['Brazil'],Brazil,Mogi Guaçu,,"1,76",-
,Wellington Bruno,Attacking Midfield,"Apr 25, 1986 ",37,['Brazil'],Brazil,Guarulhos,SS,"1,74",-
,Celio Junior,Attacking Midfield,"Jul 30, 1986 ",37,['Brazil'],Brazil,São Gonçalo,SS,"1,78",-
,Neném,Attacking Midfield,"Sep 20, 1986 ",37,['Brazil'],Brazil,Sena Madureira,LW   RW,"1,80",-
,Adrianinho,Attacking Midfield,"Sep 6, 1986 ",37,['Brazil'],Brazil,Magé,LM   RM,"1,76",-
,Diego Torres,Attacking Midfield,"Mar 2, 1986 ",38,['Brazil'],Brazil,Porto Alegre,,"1,79",-
,Rafael Ipuã,Attacking Midfield,"Jan 11, 1986 ",38,['Brazil'],Brazil,Ipuã,,"1,68",-
,Paulo Victor,Attacking Midfield,"Jun 9, 1986 ",37,['Brazil'],Brazil,Fortaleza,LW   RW,"1,80",-
,Itamar,Attacking Midfield,"May 3, 1986 ",37,['Brazil'],Brazil,Campos dos Goytacazes,,"1,79",-
,Thiago Bento,Attacking Midfield,"Feb 19, 1986 ",38,['Brazil'],Brazil,São Paulo,,"1,75",-
,Léo Costa,Attacking Midfield,"Mar 3, 1986 ",38,['Brazil'],Brazil,São José dos Campos,RM,"1,81",-
,Marcinho,Attacking Midfield,"May 14, 1986 ",37,['Brazil'],Brazil,Volta Redonda,LW   RW,"1,82",-
,Evandro,Attacking Midfield,"Dec 1, 1986 ",37,['Brazil'],Brazil,Juiz de Fora,LW   RW,"1,76",-
,Everton Santos,Attacking Midfield,"Oct 7, 1986 ",37,['Brazil'],Brazil,Pão de Açúcar,,"1,73",-
,Fernando Ribeiro,Attacking Midfield,"Jul 16, 1986 ",37,['Brazil'],Brazil,Goiânia,,"1,83",-
,Chumbinho,Attacking Midfield,"Sep 21, 1986 ",37,['Brazil'],Brazil,Palmares Paulista,,"1,75",-
,Léo Carioca,Attacking Midfield,"Jul 6, 1986 ",37,['Brazil'],Brazil,,LW   LM,"1,73",-
,Everlan,Attacking Midfield,"Sep 6, 1986 ",37,['Brazil'],Brazil,Petrolina,,"1,71",-
,Carlos Magno,Attacking Midfield,"Jan 29, 1986 ",38,['Brazil'],Brazil,Santo Amaro,RM   RW,"1,76",-
,Rodrigo,Attacking Midfield,"May 15, 1986","May 15, 1986",['Brazil'],Brazil,Saquarema,RW   LW,"1,74",-
,Edson Pio,Attacking Midfield,"Jan 17, 1986 ",38,['Brazil'],Brazil,Cubatão,,"1,68",-
