Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
3,Pedro Geromel,Centre-Back,"Sep 21, 1985 ",38,"['Brazil', 'Italy']",Brazil,São Paulo,,"1,90",€200k
12,Tomas Maronesi,Centre-Back,"Apr 7, 1985 ",38,"['Hongkong', 'Brazil']",Brazil,,RB   DM,"1,77",€25k
5,Igor Ferreira,Centre-Back,"Feb 21, 1985 ",39,['Brazil'],Brazil,Sao Paulo,,"1,85",-
,Rodrigo Lacraia,Centre-Back,"Nov 4, 1985 ",38,['Brazil'],Brazil,,,"1,89",-
3,Edilson Belém,Centre-Back,"Jul 27, 1985 ",38,['Brazil'],Brazil,"Ananindeua, Pará",,"1,87",-
,Emílio,Centre-Back,"Oct 28, 1985 ",38,['Brazil'],Brazil,,,"1,91",-
,Joécio,Centre-Back,"Nov 10, 1985 ",38,['Brazil'],Brazil,Surubim,,"1,89",-
,Douglas Assis,Centre-Back,"May 5, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,"1,86",-
,Douglas,Centre-Back,"Oct 7, 1985 ",38,['Brazil'],Brazil,Londrina,DM   CM,"1,85",-
,André Paulino,Centre-Back,"Mar 14, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,"1,90",-
,Oliveira,Centre-Back,"Aug 20, 1985 ",38,['Brazil'],Brazil,,,"1,88",-
,Kanu,Centre-Back,"Dec 29, 1985 ",38,['Brazil'],Brazil,Cáceres,DM,"1,86",-
,Alcir,Centre-Back,"Apr 24, 1985 ",38,['Brazil'],Brazil,Santos,LB,"1,90",-
9,Marcelo Dias,Centre-Back,"Sep 29, 1985 ",38,"['Malta', 'Brazil']",Brazil,Leópolis,CF   LW,"1,77",€50k
25,Rodrigo Martins,Centre-Back,"Dec 24, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Rio de Janeiro,DM,"1,88",-
,Thiago Brandão,Centre-Back,"Nov 3, 1985 ",38,['Brazil'],Brazil,,,,-
,Alisson,Centre-Back,"Dec 3, 1985 ",38,['Brazil'],Brazil,São Luís (MA),LB,"1,88",-
,Thiago Spice,Centre-Back,"Mar 26, 1985 ",38,['Brazil'],Brazil,Rolândia,,"1,87",-
,Alexandre Carvalho,Centre-Back,"Jun 12, 1985 ",38,['Brazil'],Brazil,,,"1,86",-
,Robinho,Centre-Back,"Dec 31, 1985 ",38,['Brazil'],Brazil,São Luís,,"1,87",-
,Braga,Centre-Back,"Sep 28, 1985 ",38,['Brazil'],Brazil,,,"1,90",-
,Rafael Alves,Centre-Back,"Jan 18, 1985 ",39,['Brazil'],Brazil,Praia Grande,,"1,91",-
,Rafael Da Silva,Centre-Back,"Jun 2, 1985 ",38,['Brazil'],Brazil,Pelotas,RB   DM,"1,84",-
,Neto,Centre-Back,"Oct 11, 1985 ",38,['Brazil'],Brazil,Nova Aliança,,"1,85",-
,Carlinhos Rocha,Centre-Back,"Dec 29, 1985 ",38,['Brazil'],Brazil,Candido Mendes (MA),,"1,81",-
,Rodrigão,Centre-Back,"Apr 22, 1985 ",38,['Brazil'],Brazil,Ourinhos,,"1,85",-
,Ênio,Centre-Back,"Mar 11, 1985 ",39,['Brazil'],Brazil,Araguaína,,"1,89",-
,Lucas Fonseca,Centre-Back,"Aug 2, 1985 ",38,['Brazil'],Brazil,Pedralva,DM,"1,91",-
,Marlon,Centre-Back,"Sep 14, 1985 ",38,['Brazil'],Brazil,Belém,LB,"1,82",-
,Ferron,Centre-Back,"Nov 11, 1985 ",38,['Brazil'],Brazil,Rondonópolis,,"1,87",-
,Mimica,Centre-Back,"Nov 22, 1985 ",38,['Brazil'],Brazil,São Luís,,"1,85",-
,Marcelo Mineiro,Centre-Back,"Feb 14, 1985 ",39,['Brazil'],Brazil,Além Paraíba,,,-
,Matheus Ferraz,Centre-Back,"Feb 12, 1985 ",39,['Brazil'],Brazil,São José do Rio Pardo,,"1,90",-
,Neto,Centre-Back,"Aug 16, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,"1,95",-
,Fernando,Centre-Back,"Nov 12, 1985 ",38,['Brazil'],Brazil,Auriflama,,"1,90",-
,Camacho,Centre-Back,"Oct 28, 1985 ",38,['Brazil'],Brazil,Ivaiporã,LB,"1,87",-
,Dênis,Centre-Back,"Dec 28, 1985 ",38,['Brazil'],Brazil,Maranhão,,"1,85",-
,Ronan,Centre-Back,"May 7, 1985 ",38,"['Equatorial Guinea', 'Brazil']",Brazil,Magé,LB,N/A,-
