Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Wilson Cruz,Centre-Forward,"Oct 1, 1985 ",38,"['Brazil', 'Italy']",Brazil,Rio de Janeiro,,"1,87",€25k
,França,Centre-Forward,"Jul 4, 1985 ",38,['Brazil'],Brazil,,RW   SS,"1,75",-
,Tonho Cabañas,Centre-Forward,"Mar 1, 1985 ",39,['Brazil'],Brazil,Rio Branco,,"1,85",-
,Tiago Amaral,Centre-Forward,"Feb 6, 1985 ",39,['Brazil'],Brazil,,,"1,78",-
,William Paulista,Centre-Forward,"Sep 4, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,88",-
,Rodrigo,Centre-Forward,"Sep 17, 1985 ",38,['Brazil'],Brazil,,AM,"1,84",-
19,Jônatas Obina,Centre-Forward,"Dec 18, 1985 ",38,"['Equatorial Guinea', 'Brazil']",Brazil,Sete Lagoas,LW   RW,"1,81",-
,Pipico,Centre-Forward,"Mar 7, 1985 ",39,['Brazil'],Brazil,Rio de Janeiro,AM,"1,75",-
,Edison Tarabai,Centre-Forward,"Dec 9, 1985 ",38,['Brazil'],Brazil,Osasco,LW,"1,69",-
,Paulão,Centre-Forward,"Mar 12, 1985 ",39,['Brazil'],Brazil,São Paulo,,"1,88",-
,Paulo Roberto,Centre-Forward,"Jul 4, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Rio de Janeiro,SS,"1,84",-
,Maranhão,Centre-Forward,"Jan 29, 1985 ",39,['Brazil'],Brazil,João Lisboa,,"1,75",-
,Leko,Centre-Forward,"Mar 23, 1985 ",38,['Brazil'],Brazil,"Paraíba do Sul, Rio de Janeiro",,"1,82",-
9,Carlos Silvio,Centre-Forward,"Feb 1, 1985 ",39,"['Brazil', 'Switzerland']",Brazil,Mandaguari,AM   SS,"1,83",€25k
,Bruno Andrade,Centre-Forward,"Sep 12, 1985 ",38,['Brazil'],Brazil,Presidente Prudente,,"1,80",-
,Ermínio,Centre-Forward,"Nov 10, 1985 ",38,['Brazil'],Brazil,,,"1,72",-
,Jobinho,Centre-Forward,"Apr 11, 1985 ",38,['Brazil'],Brazil,Manoel Vitorino,,"1,74",-
,Thiago Furlan,Centre-Forward,"Sep 18, 1985 ",38,['Brazil'],Brazil,Votuporanga,RW,,-
,Tomaz de Sousa,Centre-Forward,"Aug 10, 1985 ",38,['Brazil'],Brazil,,,,-
,Orlando da Costa,Centre-Forward,"Aug 8, 1985 ",38,['Brazil'],Brazil,,SS   LW,"1,75",-
,Isac,Centre-Forward,"Jun 8, 1985 ",38,['Brazil'],Brazil,Fortaleza,,"1,82",-
,Leandro Cearense,Centre-Forward,"Apr 22, 1985 ",38,['Brazil'],Brazil,Castanhal,,"1,81",-
,Luizinho,Centre-Forward,"Jul 25, 1985 ",38,['Brazil'],Brazil,Mogi Guaçu,,"1,75",-
,Adilson Carvalho,Centre-Forward,"Jan 10, 1985 ",39,['Brazil'],Brazil,Rio Branco,,"1,79",-
,Jorginho,Centre-Forward,"Dec 4, 1985 ",38,['Brazil'],Brazil,Oscar Bressane,,"1,78",-
,Hyantony,Centre-Forward,"Feb 21, 1985 ",39,['Brazil'],Brazil,Rio de Janeiro,,"1,87",-
,Juninho Quixadá,Centre-Forward,"Dec 12, 1985 ",38,"['Brazil', 'Bulgaria']",Brazil,Senador Pompeu,SS   AM,"1,70",-
,Diego Dedoné,Centre-Forward,"Sep 12, 1985 ",38,['Brazil'],Brazil,Bandeirantes,,"1,77",-
,Élton,Centre-Forward,"Sep 20, 1985 ",38,['Brazil'],Brazil,Engenheiro Beltrão (PR),,"1,80",-
,Neto Potiguar,Centre-Forward,"Oct 29, 1985 ",38,['Brazil'],Brazil,Natal,RW   LW,"1,74",-
,Ray,Centre-Forward,"Mar 28, 1985 ",38,['Brazil'],Brazil,José da Penha,,"1,83",-
,Aleílson,Centre-Forward,"Dec 3, 1985 ",38,['Brazil'],Brazil,Marabá,LW   RW,"1,74",-
,Leandro,Centre-Forward,"Feb 12, 1985 ",39,['Brazil'],Brazil,São Paulo,,"1,76",-
,Velhan Cvetanoski,Centre-Forward,"Jun 27, 1985 ",38,"['North Macedonia', 'Brazil']",Brazil,,SS,,-
,Juninho,Centre-Forward,"Apr 5, 1985 ",38,['Brazil'],Brazil,Goianápolis,LW   RW,"1,67",-
,Alex Henrique,Centre-Forward,"Mar 20, 1985 ",39,['Brazil'],Brazil,São Paulo,AM   RW,"1,82",-
,Washington,Centre-Forward,"Jun 19, 1985 ",38,['Brazil'],Brazil,Cataguases,,"2,02",-
,Dudu,Centre-Forward,"Jun 30, 1985 ",38,['Brazil'],Brazil,Conselheiro Lafaiete,,"1,82",-
,Fábio Lopes,Centre-Forward,"May 24, 1985 ",38,['Brazil'],Brazil,São Luís,LW   RW,"1,81",-
,Kanu,Centre-Forward,"May 17, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,94",-
,Luiz Eduardo,Centre-Forward,"May 24, 1985 ",38,['Brazil'],Brazil,Parelhas,LW   RW,"1,82",-
,Uederson,Centre-Forward,"Aug 1, 1985 ",38,['Brazil'],Brazil,São João da Aliança,,"1,78",-
,Renato Kanu,Centre-Forward,"Oct 27, 1985 ",38,['Brazil'],Brazil,São Paulo,RW,"1,77",-
,Roberto,Centre-Forward,"Dec 19, 1985 ",38,['Brazil'],Brazil,Sapiranga,RW   LW,"1,78",-
,Almir,Centre-Forward,"Aug 22, 1985 ",38,['Brazil'],Brazil,Quixadá,,"1,79",-
,Severino Jefferson,Centre-Forward,"Oct 29, 1985 ",38,['Brazil'],Brazil,Campinas,,,-
,Juninho,Centre-Forward,"Jul 18, 1985 ",38,['Brazil'],Brazil,Guarapari,LW   RW,"1,78",-
,Marcão,Centre-Forward,"Sep 25, 1985 ",38,['Brazil'],Brazil,Camaçari,,"1,90",-
,Thiago Cunha,Centre-Forward,"Apr 25, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,LW,"1,77",-
,Marcelo Toscano,Centre-Forward,"May 12, 1985 ",38,['Brazil'],Brazil,Areado,LW   SS,"1,84",-
,Diego Silva,Centre-Forward,"Jan 24, 1985 ",39,['Brazil'],Brazil,Foz do Iguaçu,,"1,74",-
,Roger Silva,Centre-Forward,"Jan 7, 1985 ",39,['Brazil'],Brazil,Campinas,,"1,84",-
,Marques,Centre-Forward,"Jan 14, 1985","Jan 14, 1985",['Brazil'],Brazil,Goiânia,,"1,85",-
,Pedro Henrique,Centre-Forward,"Nov 1, 1985 ",38,['Brazil'],Brazil,Orindiúva,,"1,87",-
,Mossoró,Centre-Forward,"Jun 24, 1985 ",38,['Brazil'],Brazil,Mossoró,,"1,81",-
,Leandro Love,Centre-Forward,"Dec 3, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,80",-
,Martin Carvalho,Centre-Forward,"Mar 11, 1985 ",39,['Brazil'],Brazil,Porto Alegre,,"1,79",-
,Wilson,Centre-Forward,"Mar 21, 1985 ",38,['Brazil'],Brazil,Araras,,"1,80",-
,André Lima,Centre-Forward,"May 3, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,N/A,-
,Felipe Adão,Centre-Forward,"Nov 26, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,"1,89",-
,Daniel de Oliveira,Centre-Forward,"Sep 14, 1985 ",38,['Brazil'],Brazil,,SS,"1,81",-
,Pedro Paulo,Centre-Forward,"Jun 29, 1985 ",38,['Brazil'],Brazil,Datas,,"1,72",-
,Ricardo Jesus,Centre-Forward,"May 16, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Campinas,,"1,86",-
,Ferro,Centre-Forward,"Apr 20, 1985 ",38,['Brazil'],Brazil,Itanhaem,,"1,97",-
,Adeílson,Centre-Forward,"Oct 7, 1985 ",38,['Brazil'],Brazil,Nova União,LW   RW,"1,87",-
,Raphael Carminati,Centre-Forward,"Dec 27, 1985 ",38,"['Brazil', 'Italy']",Brazil,São Paulo,,"1,83",-
,Patrick,Centre-Forward,"Mar 26, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,83",-
,Pedro Oldoni,Centre-Forward,"Nov 26, 1985 ",38,"['Brazil', 'Italy']",Brazil,Pato Branco,,"1,91",-
,Renato Ribeiro,Centre-Forward,"Apr 28, 1985 ",38,['Brazil'],Brazil,Belo Horizonte,RW   LW,"1,83",-
,Leandro Carrijó,Centre-Forward,"Sep 3, 1985 ",38,['Brazil'],Brazil,Uberaba,,"1,87",-
,Geovane,Centre-Forward,"Aug 5, 1985 ",38,['Brazil'],Brazil,Pernambuco,LW   RW,"1,71",-
,Luciano Dias,Centre-Forward,"Sep 20, 1985 ",38,['Brazil'],Brazil,Itajubá,,"1,85",-
,João Paulo,Centre-Forward,"Jun 13, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,"1,84",-
,Adi Rocha,Centre-Forward,"Dec 15, 1985 ",38,['Brazil'],Brazil,Riachão,,N/A,-
,Cléo,Centre-Forward,"Aug 9, 1985 ",38,"['Brazil', 'Serbia']",Brazil,Guarapuava,LW,"1,85",-
,Fabricio,Centre-Forward,"Mar 8, 1985 ",39,['Brazil'],Brazil,Dois Córregos,,"1,80",-
,Élton,Centre-Forward,"Aug 1, 1985 ",38,['Brazil'],Brazil,Iramaia,,"1,85",-
,Elton Souza,Centre-Forward,"May 9, 1985 ",38,['Brazil'],Brazil,Campinas,,"1,87",-
