Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
29,Romário,Central Midfield,"Aug 10, 1985 ",38,"['Brazil', 'Sweden']",Brazil,Imperatriz,,"1,74",€200k
,Thiago Ribeiro,Central Midfield,"Jan 23, 1985 ",39,['Brazil'],Brazil,Rio de Janeiro,DM   AM,"1,76",€25k
,Ricardinho,Central Midfield,"Dec 15, 1985 ",38,['Brazil'],Brazil,Rosário do Sul,AM   RM,"1,75",-
,Rodrigo,Central Midfield,"May 12, 1985 ",38,['Brazil'],Brazil,Porto Alegre,DM,"1,71",-
,Joca,Central Midfield,"Jun 24, 1985 ",38,['Brazil'],Brazil,Alto Paraíso de Goiás,LM   DM,"1,79",-
,Diogo Gomes,Central Midfield,"Sep 12, 1985 ",38,['Brazil'],Brazil,Curitiba,,"1,83",-
,Amarildo,Central Midfield,"Mar 20, 1985 ",38,['Brazil'],Brazil,Taguatinga,DM   LB,"1,69",-
,Felipe,Central Midfield,"Jan 15, 1985 ",39,['Brazil'],Brazil,São Paulo,,"1,84",-
,Dennis Pena Lamego,Central Midfield,"Jun 17, 1985 ",38,['Brazil'],Brazil,Manaus,,"1,79",-
,Benny Feilhaber,Central Midfield,"Jan 19, 1985 ",39,"['United States', 'Austria']",Brazil,Rio de Janeiro,AM   DM,"1,75",-
22,Luíz Carlos,Central Midfield,"Jul 5, 1985 ",38,['Brazil'],Brazil,Itaguai,DM   AM,"1,75",€50k
,Leandro Negretti,Central Midfield,"Mar 1, 1985 ",39,['Brazil'],Brazil,São Paulo,DM   CB,"1,87",-
,Álvaro Dias,Central Midfield,"Dec 15, 1985 ",38,"['Portugal', 'Brazil']",Brazil,São Paulo,DM,"1,77",-
,Diones,Central Midfield,"Jun 21, 1985 ",38,['Brazil'],Brazil,Timbiras,DM   AM,"1,78",-
,Kim,Central Midfield,"Nov 18, 1985 ",38,['Brazil'],Brazil,Goiânia,,"1,78",-
,Elias,Central Midfield,"May 16, 1985 ",38,['Brazil'],Brazil,São Paulo,DM   AM,"1,73",-
,Fabio Pinho,Central Midfield,"Oct 9, 1985 ",38,['Brazil'],Brazil,Dois Irmãos,,"1,91",-
,Maicon,Central Midfield,"Sep 14, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,DM   AM,"1,84",-
,Olberdam,Central Midfield,"Feb 6, 1985 ",39,['Brazil'],Brazil,João Pessoa,DM,"1,80",-
,Galdino,Central Midfield,N/A ,38,['Brazil'],Brazil,Rio de Janeiro,AM   LM,"1,80",-
,Juninho Valoura,Central Midfield,"Mar 20, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,DM   AM,"1,72",€200k
10,Cleiton,Central Midfield,"Dec 9, 1986 ",37,['Brazil'],Brazil,"Uruguaiana, Rio Grande do Sul",AM   DM,"1,77",€125k
8,Leonardo Pantaleao,Central Midfield,N/A ,37,['Brazil'],Brazil,Ribeirao Preto,DM   CB,"1,88",-
,Alex Porto,Central Midfield,"May 21, 1986 ",37,"['Brazil', 'Portugal']",Brazil,Tocantinópolis (TO),DM   CB,"1,77",-
,Leo Tomé,Central Midfield,"Sep 17, 1986 ",37,"['Brazil', 'Portugal']",Brazil,São Paulo,AM   RM,"1,70",-
,Elton,Central Midfield,"Feb 12, 1986 ",38,['Brazil'],Brazil,Cuiabá,DM   AM,"1,78",-
,Robson,Central Midfield,"Nov 3, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,DM   AM,"1,75",-
,Fabrício,Central Midfield,"Jun 13, 1986 ",37,['Brazil'],Brazil,Tomé Açú,,"1,69",-
,Júnior,Central Midfield,"Feb 28, 1986 ",38,['Brazil'],Brazil,Rio de Janeiro,DM,"1,80",-
50,Toró,Central Midfield,"Apr 13, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,DM   AM,"1,71",-
,Marco Nicoletti,Central Midfield,"May 19, 1986 ",37,"['Italy', 'Brazil']",Brazil,Recife,,"1,76",-
,Bruno Silva,Central Midfield,"Aug 3, 1986 ",37,['Brazil'],Brazil,Nova Lima,DM   RM,"1,82",€200k
,Dudu,Central Midfield,"Oct 26, 1986 ",37,['Brazil'],Brazil,Pará,DM,"1,75",-
,Washington,Central Midfield,"Nov 16, 1986 ",37,['Brazil'],Brazil,Recife,DM,"1,82",-
10,Bruno Figueiredo,Central Midfield,"Sep 11, 1986 ",37,['Brazil'],Brazil,Santos,,"1,81",-
,Jerson,Central Midfield,"Nov 23, 1986 ",37,['Brazil'],Brazil,Fortaleza,DM   AM,"1,76",-
,Tony,Central Midfield,"May 29, 1986 ",37,['Brazil'],Brazil,São Paulo,AM   SS,"1,76",-
71,Tarcísio,Central Midfield,"Mar 1, 1986 ",38,['Brazil'],Brazil,Riachuelo,LM   DM,"1,72",-
,Fred,Central Midfield,"Jul 22, 1986 ",37,['Brazil'],Brazil,Salvador da Bahia,,"1,85",-
,William,Central Midfield,"Nov 20, 1986 ",37,"['Brazil', 'Mexico']",Brazil,São Paulo,DM,"1,75",-
16,Vinicius,Central Midfield,"May 16, 1986 ",37,"['Brazil', 'Portugal']",Brazil,Campo Grande,DM,"1,86",-
,Rômulo,Central Midfield,"May 22, 1987 ",36,"['Italy', 'Brazil']",Brazil,Pelotas,RB   RM,"1,78",€300k
19,Felipe Klein,Central Midfield,"Apr 9, 1987 ",36,"['Brazil', 'Uruguay']",Brazil,Porto Alegre,RW   LW,"1,77",€25k
,Rômulo,Central Midfield,"Dec 9, 1987 ",36,['Brazil'],Brazil,Frutal,,"1,81",-
