Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
1.0,Guilherme,Goalkeeper,"Dec 12, 1985 ",38,"Russia, Brazil",Brazil,Cataguases,"1,97",€300k,,Russia, Brazil,,
,Diego Alves,Goalkeeper,"Jun 24, 1985 ",38,"Brazil, Italy",Brazil,Rio de Janeiro,"1,87",€150k,,Brazil, Italy,,
1.0,Gerson Dida,Goalkeeper,"Aug 7, 1985 ",38,Brazil,Brazil,Sao Paulo,"1,90",-,,Brazil,,,
,Carlão,Goalkeeper,"Dec 31, 1985 ",38,Brazil,Brazil,Bayeux,"1,90",-,,Brazil,,,
,Evandro Gigante,Goalkeeper,"Nov 17, 1985 ",38,Brazil,Brazil,Belem,"1,93",-,,Brazil,,,
,Mota,Goalkeeper,"Mar 23, 1985 ",38,Brazil,Brazil,Feira de Santana,"1,95",-,,Brazil,,,
,Danilo,Goalkeeper,"Jul 31, 1985","Jul 31, 1985",Brazil,Brazil,Cianorte,"1,85",-,,Brazil,,,
,Ricardo Vilar,Goalkeeper,"Apr 4, 1985 ",38,"Brazil, Poland",Brazil,Curitiba,"1,88",-,,Brazil, Poland,,
,Dionantan,Goalkeeper,"Feb 17, 1985 ",39,Brazil,Brazil,Ipu,"1,85",-,,Brazil,,,
1.0,Zé Carlos,Goalkeeper,"Sep 9, 1985 ",38,Brazil,Brazil,Criciuma,"1,84",-,,Brazil,,,
,Wagner,Goalkeeper,"Jul 3, 1985 ",38,"Brazil, Portugal",Brazil,Rio de Janeiro,"1,87",-,,Brazil, Portugal,,
,Pedro Henrique,Goalkeeper,"Oct 12, 1985 ",38,Brazil,Brazil,Barra do Garcas,"1,90",-,,Brazil,,,
,Édson,Goalkeeper,"Sep 24, 1985 ",38,Brazil,Brazil,Unai,"1,89",-,,Brazil,,,
22.0,Fernando Miguel,Goalkeeper,"Feb 2, 1985 ",39,"Brazil, Germany",Brazil,Venancio Aires,"1,91",€150k,,Brazil, Germany,,
,Dionatan,Goalkeeper,"Feb 17, 1985 ",39,Brazil,Brazil,Ipu,"1,85",-,,Brazil,,,
,Dida,Goalkeeper,"Sep 9, 1985 ",38,Brazil,Brazil,,,-,,Brazil,,,
,Felipe,Goalkeeper,"Apr 23, 1985 ",38,Brazil,Brazil,Vila Velha,"1,89",-,,Brazil,,,
