Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
5,Fernandinho,Defensive Midfield,"May 4, 1985 ",38,['Brazil'],Brazil,Londrina,CM   CB,"1,79",€500k
,Francisco Júnior,Defensive Midfield,"Sep 26, 1985 ",38,['Brazil'],Brazil,São Luiz (MA),CM,"1,72",-
,Vitor Recife,Defensive Midfield,"Mar 24, 1985 ",38,['Brazil'],Brazil,,,,-
,Victor Palito,Defensive Midfield,"Feb 18, 1985 ",39,['Brazil'],Brazil,Sao Luis,,"1,82",-
,Tim Marco,Defensive Midfield,"Feb 1, 1985 ",39,['Brazil'],Brazil,São Luís (MA),CM,"1,79",-
,Ilaílson,Defensive Midfield,"Apr 9, 1985 ",38,['Brazil'],Brazil,Belém,CM,"1,77",-
,Negretti,Defensive Midfield,"May 11, 1985 ",38,['Brazil'],Brazil,Piauí,,"1,82",-
,Ricardo Capanema,Defensive Midfield,"Jan 1, 1985 ",39,['Brazil'],Brazil,Itaituba,CM,"1,67",-
,Nata,Defensive Midfield,"Mar 16, 1985 ",38,['Brazil'],Brazil,Limeira,CM,"1,81",-
,Lucas da Silva,Defensive Midfield,"Apr 5, 1985 ",38,"['New Zealand', 'Brazil']",Brazil,,AM,,-
,Ramos,Defensive Midfield,"Apr 25, 1985 ",38,['Brazil'],Brazil,Campina Grande,,"1,88",-
,Márcio Passos,Defensive Midfield,"Apr 25, 1985 ",38,['Brazil'],Brazil,Manaus,CM   LB,"1,82",-
,Carlos Eduardo,Defensive Midfield,"May 14, 1985 ",38,"['Brazil', 'Germany']",Brazil,Santa Cruz do Sul,,"1,83",-
5,João Paulo,Defensive Midfield,"Feb 22, 1985 ",39,['Brazil'],Brazil,Pinhais,CM   AM,"1,77",€200k
,Marcos Rogério,Defensive Midfield,"May 5, 1985 ",38,['Brazil'],Brazil,Quaraí,,"1,72",-
,Christiano,Defensive Midfield,"Jul 31, 1985 ",38,['Brazil'],Brazil,,CM,"1,74",-
5,Chicão,Defensive Midfield,"Nov 8, 1985 ",38,['Brazil'],Brazil,Cáceres,RB   RM,"1,83",-
,Gilson,Defensive Midfield,"Nov 5, 1985 ",38,['Brazil'],Brazil,Salvador (BA),,"1,75",-
,Michel,Defensive Midfield,"Oct 22, 1985 ",38,['Brazil'],Brazil,,,"1,80",-
,Gilson,Defensive Midfield,"Nov 25, 1985 ",38,['Brazil'],Brazil,Salvador,CM,"1,75",-
,Ananias,Defensive Midfield,"Jul 8, 1985 ",38,['Brazil'],Brazil,Feira de Santana,CM,"1,74",-
,Magno Batista,Defensive Midfield,"Sep 21, 1985 ",38,['Brazil'],Brazil,Coruripe,CM,"1,77",-
,Léo Salino,Defensive Midfield,"Apr 22, 1985 ",38,['Brazil'],Brazil,Juiz de Fora,,"1,70",-
,Eliélton,Defensive Midfield,"Jul 25, 1985 ",38,['Brazil'],Brazil,Mirandiba,CM,"1,73",-
,Daniel Paraíba,Defensive Midfield,"Nov 9, 1985 ",38,['Brazil'],Brazil,João Pessoa,,"1,75",-
,Eder Silva,Defensive Midfield,"Apr 7, 1985 ",38,['Brazil'],Brazil,São Paulo,CM,"1,75",-
,Daniel Braga,Defensive Midfield,"Jul 6, 1985 ",38,['Brazil'],Brazil,Peruibe,,"1,75",-
,Galiardo,Defensive Midfield,"May 18, 1985 ",38,['Brazil'],Brazil,Américo Brasiliense,RB   CB,"1,82",-
,Rai Vilela,Defensive Midfield,"Jan 24, 1985 ",39,['Brazil'],Brazil,São Paulo,CM,"1,78",-
,Júnior Carioca,Defensive Midfield,"Apr 27, 1985 ",38,['Brazil'],Brazil,Niterói,,"1,86",-
,Zaquel,Defensive Midfield,"Jul 26, 1985 ",38,['Brazil'],Brazil,Cabo de Santo Agostinho,CM,"1,81",-
,Andreson,Defensive Midfield,"Apr 23, 1985 ",38,['Brazil'],Brazil,Miguel Calmon,,"1,84",-
,Ticão,Defensive Midfield,"Feb 7, 1985 ",39,"['Brazil', 'Italy']",Brazil,Curitiba,,"1,74",-
,Elicarlos,Defensive Midfield,"Jun 8, 1985 ",38,['Brazil'],Brazil,Laranjeiras,RB   CM,"1,76",-
,Léo Silva,Defensive Midfield,"Dec 24, 1985 ",38,['Brazil'],Brazil,São Luís,CM,"1,81",-
,Adoniran,Defensive Midfield,"Dec 12, 1985 ",38,['Brazil'],Brazil,Santa Barbara d'Oeste,CM,"1,72",-
,Rafael Fefo,Defensive Midfield,"Feb 15, 1985 ",39,['Brazil'],Brazil,Piracicaba,CM,"1,82",-
,Leandro,Defensive Midfield,"Mar 31, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,82",-
,Marcus Winícius,Defensive Midfield,"May 22, 1985 ",38,['Brazil'],Brazil,Juazeiro do Norte,CB   CM,"1,84",-
