Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions
1.0,Guilherme,Goalkeeper,"Dec 12, 1985 ",38,"['Russia', 'Brazil']",Brazil,Cataguases,"1,97",€300k,
,Diego Alves,Goalkeeper,"Jun 24, 1985 ",38,"['Brazil', 'Italy']",Brazil,Rio de Janeiro,"1,87",€150k,
1.0,Gerson Dida,Goalkeeper,"Aug 7, 1985 ",38,['Brazil'],Brazil,São Paulo,"1,90",-,
,Carlão,Goalkeeper,"Dec 31, 1985 ",38,['Brazil'],Brazil,Bayeux,"1,90",-,
,Evandro Gigante,Goalkeeper,"Nov 17, 1985 ",38,['Brazil'],Brazil,Belém,"1,93",-,
,Mota,Goalkeeper,"Mar 23, 1985 ",38,['Brazil'],Brazil,Feira de Santana,"1,95",-,
,Danilo,Goalkeeper,"Jul 31, 1985","Jul 31, 1985",['Brazil'],Brazil,Cianorte,"1,85",-,
,Ricardo Vilar,Goalkeeper,"Apr 4, 1985 ",38,"['Brazil', 'Poland']",Brazil,Curitiba,"1,88",-,
,Dionantan,Goalkeeper,"Feb 17, 1985 ",39,['Brazil'],Brazil,Ipu,"1,85",-,
1.0,Zé Carlos,Goalkeeper,"Sep 9, 1985 ",38,['Brazil'],Brazil,Criciúma,"1,84",-,
,Wagner,Goalkeeper,"Jul 3, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Río de Janeiro,"1,87",-,
,Pedro Henrique,Goalkeeper,"Oct 12, 1985 ",38,['Brazil'],Brazil,Barra do Garças,"1,90",-,
,Édson,Goalkeeper,"Sep 24, 1985 ",38,['Brazil'],Brazil,Unaí,"1,89",-,
22.0,Fernando Miguel,Goalkeeper,"Feb 2, 1985 ",39,"['Brazil', 'Germany']",Brazil,Venâncio Aires,"1,91",€150k,
,Dionatan,Goalkeeper,"Feb 17, 1985 ",39,['Brazil'],Brazil,Ipu,"1,85",-,
,Dida,Goalkeeper,"Sep 9, 1985 ",38,['Brazil'],Brazil,,,-,
,Felipe,Goalkeeper,"Apr 23, 1985 ",38,['Brazil'],Brazil,Vila Velha,"1,89",-,
,Ferreira,Goalkeeper,"Feb 2, 1985 ",39,['Brazil'],Brazil,,"1,88",-,
,Rodrigão,Goalkeeper,"Dec 11, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Coromandel (MG),"1,91",-,
,Guilherme,Goalkeeper,"Jan 22, 1985 ",39,['Brazil'],Brazil,Nova Lima,"1,90",-,
,Leandro,Goalkeeper,"Oct 5, 1985 ",38,['Brazil'],Brazil,São Paulo,"1,93",-,
,Rodolfo Romano,Goalkeeper,"May 25, 1985 ",38,['Brazil'],Brazil,Londrina,"1,90",-,
,Vitor,Goalkeeper,"Apr 15, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,"1,90",-,
,Saulo,Goalkeeper,"Aug 10, 1985 ",38,"['Brazil', 'Italy']",Brazil,Salto,"1,91",-,
,Café,Goalkeeper,"May 16, 1985 ",38,"['Brazil', 'Italy']",Brazil,Curitiba,"1,88",-,
,Sérvulo,Goalkeeper,"Dec 21, 1985 ",38,['Brazil'],Brazil,Niterói,"1,87",-,
12.0,Christian Leite,Goalkeeper,"Nov 9, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,,-,
,Flávio,Goalkeeper,"Mar 5, 1985 ",39,['Brazil'],Brazil,Teófilo Otoni,"1,91",-,
,Gottardi,Goalkeeper,"Jul 22, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Encantado,"1,93",-,
,Vinícius,Goalkeeper,"Jul 19, 1985 ",38,"['Brazil', 'Italy']",Brazil,Marechal Cândido Rondon,"1,92",-,
,Renan,Goalkeeper,"Jan 24, 1985 ",39,['Brazil'],Brazil,Viamão,"1,86",-,
14.0,Marcelo Lomba,Goalkeeper,"Dec 18, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,"1,89",€300k,
86.0,Paulo César,Goalkeeper,"Mar 27, 1986 ",37,"['Hongkong', 'Brazil']",Brazil,Aracaju,"1,92",€100k,
1.0,Vagner,Goalkeeper,"Jun 6, 1986 ",37,['Brazil'],Brazil,Araruna,"1,86",€50k,
,Júlio César,Goalkeeper,"Sep 2, 1986 ",37,['Brazil'],Brazil,Guaramirin,"1,91",€50k,
,Felipe Paranhos,Goalkeeper,"Oct 11, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,,-,
,Jhones,Goalkeeper,"May 9, 1986 ",37,['Brazil'],Brazil,Fortaleza,"1,87",-,
,Matheus Nogueira,Goalkeeper,"Aug 8, 1986 ",37,['Brazil'],Brazil,Taboão da Serra,"1,90",-,
,Roque Alan,Goalkeeper,"Apr 28, 1986 ",37,['Brazil'],Brazil,Coruripe,"1,85",-,
,Nícolas,Goalkeeper,"Jun 6, 1986 ",37,['Brazil'],Brazil,Campo Bom,"1,92",-,
,Célio Gabriel,Goalkeeper,"Feb 8, 1986 ",38,['Brazil'],Brazil,,"1,95",-,
,Cléber Alves,Goalkeeper,"Jul 15, 1986 ",37,['Brazil'],Brazil,Limeira,"1,88",-,
,Tigre,Goalkeeper,"Jan 25, 1986 ",38,['Brazil'],Brazil,Salvador (BA),"1,90",-,
,Anderson Max,Goalkeeper,"Sep 23, 1986 ",37,['Brazil'],Brazil,Estância,"1,89",-,
12.0,Diogo Silva,Goalkeeper,"Jul 8, 1986 ",37,['Brazil'],Brazil,Cuiabá,"1,92",€150k,
,Matheus Cavichioli,Goalkeeper,"Jul 27, 1986 ",37,"['Brazil', 'Italy']",Brazil,Caçador,"1,92",€100k,
,Dalton,Goalkeeper,"Sep 8, 1986 ",37,['Brazil'],Brazil,Chapecó,"1,98",€50k,
1.0,Guga,Goalkeeper,"Feb 15, 1986 ",38,"['Brazil', 'Portugal']",Brazil,,"2,00",-,
,Naldo,Goalkeeper,"Jan 11, 1986 ",38,['Brazil'],Brazil,,"1,86",-,
,Rodrigo Calchi,Goalkeeper,"Feb 12, 1986 ",38,['Brazil'],Brazil,,"1,90",-,
,Thiago Passos,Goalkeeper,"Jan 30, 1986 ",38,['Brazil'],Brazil,Itabuna,"1,86",-,
,Edwin Maria Fanini,Goalkeeper,"May 25, 1986 ",37,['Brazil'],Brazil,Paranà,,-,
,Preto,Goalkeeper,"Jan 1, 1986 ",38,['Brazil'],Brazil,,"1,90",-,
,Wágner,Goalkeeper,"Apr 30, 1986 ",37,['Brazil'],Brazil,Mogi Mirim,,-,
,Juliano,Goalkeeper,"Aug 8, 1986 ",37,['Brazil'],Brazil,Xaxim,"1,87",-,
,Jeferson,Goalkeeper,"Jan 9, 1986 ",38,['Brazil'],Brazil,Caratinga,"1,82",-,
,André Zuba,Goalkeeper,"Jun 23, 1986 ",37,"['Brazil', 'Portugal']",Brazil,Mirassol,"1,89",-,
,Alex Alves,Goalkeeper,"Nov 8, 1986 ",37,['Brazil'],Brazil,Araçatuba,"1,91",-,
,Fabrício,Goalkeeper,"Jan 7, 1986 ",38,['Brazil'],Brazil,Paranavaí,"1,93",-,
,Jair Lemos,Goalkeeper,"Dec 2, 1986 ",37,['Brazil'],Brazil,Santana do Livramento,"1,84",-,
,Wanderson,Goalkeeper,"Nov 18, 1986 ",37,['Brazil'],Brazil,Sinop,"1,93",-,
,Ari,Goalkeeper,"Apr 18, 1986 ",37,['Brazil'],Brazil,Curitiba,"1,88",-,
,César Luz,Goalkeeper,"Mar 10, 1986 ",38,['Brazil'],Brazil,Guaratinguetá,"1,91",-,
,Ricardo,Goalkeeper,"Dec 23, 1986 ",37,['Brazil'],Brazil,Palmitos,"1,88",-,
,Renato Piovezan,Goalkeeper,"Apr 24, 1986 ",37,"['Brazil', 'Italy']",Brazil,Cachoeiro de Itapemirim,"1,84",-,
,Diego,Goalkeeper,"May 1, 1986 ",37,['Brazil'],Brazil,Valparaíso,"1,87",-,
,Leonan,Goalkeeper,"Apr 6, 1986 ",37,['Brazil'],Brazil,,"1,81",-,
