Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value
1,Guilherme,Goalkeeper,"Dec 12, 1985 ",38,"['Russia', 'Brazil']",Brazil,Cataguases,"1,97",€300k
,Diego Alves,Goalkeeper,"Jun 24, 1985 ",38,"['Brazil', 'Italy']",Brazil,Rio de Janeiro,"1,87",€150k
1,Gerson Dida,Goalkeeper,"Aug 7, 1985 ",38,['Brazil'],Brazil,São Paulo,"1,90",-
,Carlão,Goalkeeper,"Dec 31, 1985 ",38,['Brazil'],Brazil,Bayeux,"1,90",-
,Evandro Gigante,Goalkeeper,"Nov 17, 1985 ",38,['Brazil'],Brazil,Belém,"1,93",-
,Mota,Goalkeeper,"Mar 23, 1985 ",38,['Brazil'],Brazil,Feira de Santana,"1,95",-
,Danilo,Goalkeeper,"Jul 31, 1985","Jul 31, 1985",['Brazil'],Brazil,Cianorte,"1,85",-
,Ricardo Vilar,Goalkeeper,"Apr 4, 1985 ",38,"['Brazil', 'Poland']",Brazil,Curitiba,"1,88",-
,Dionantan,Goalkeeper,"Feb 17, 1985 ",39,['Brazil'],Brazil,Ipu,"1,85",-
1,Zé Carlos,Goalkeeper,"Sep 9, 1985 ",38,['Brazil'],Brazil,Criciúma,"1,84",-
,Wagner,Goalkeeper,"Jul 3, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Río de Janeiro,"1,87",-
,Pedro Henrique,Goalkeeper,"Oct 12, 1985 ",38,['Brazil'],Brazil,Barra do Garças,"1,90",-
,Édson,Goalkeeper,"Sep 24, 1985 ",38,['Brazil'],Brazil,Unaí,"1,89",-
22,Fernando Miguel,Goalkeeper,"Feb 2, 1985 ",39,"['Brazil', 'Germany']",Brazil,Venâncio Aires,"1,91",€150k
,Dionatan,Goalkeeper,"Feb 17, 1985 ",39,['Brazil'],Brazil,Ipu,"1,85",-
,Dida,Goalkeeper,"Sep 9, 1985 ",38,['Brazil'],Brazil,,,-
,Felipe,Goalkeeper,"Apr 23, 1985 ",38,['Brazil'],Brazil,Vila Velha,"1,89",-
,Ferreira,Goalkeeper,"Feb 2, 1985 ",39,['Brazil'],Brazil,,"1,88",-
,Rodrigão,Goalkeeper,"Dec 11, 1985 ",38,"['Brazil', 'Portugal']",Brazil,Coromandel (MG),"1,91",-
