Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Rayro,Left-Back,"Dec 4, 1985 ",38,['Brazil'],Brazil,,DM   CM,"1,75",-
,Stanley,Left-Back,"Aug 10, 1985 ",38,['Brazil'],Brazil,Londrina,,"1,74",-
,Augusto,Left-Back,"Feb 3, 1985 ",39,['Brazil'],Brazil,Campinas,,"1,73",-
,Júlio César,Left-Back,"Sep 1, 1985 ",38,['Brazil'],Brazil,Teófilo Otoni,LM,"1,80",-
,Guto,Left-Back,"Aug 30, 1985 ",38,['Brazil'],Brazil,Quixeramobim,LM   LW,"1,74",-
,Andrezinho,Left-Back,"Aug 30, 1985 ",38,['Brazil'],Brazil,São Paulo,LM,"1,69",-
,Wellington Saci,Left-Back,"Jan 5, 1985 ",39,['Brazil'],Brazil,Belém,AM   LM,"1,73",-
,Leonardo Jesus,Left-Back,"Aug 4, 1985 ",38,['Brazil'],Brazil,Carapicuiba,LW   LM,"1,72",-
,Dudu Paraíba,Left-Back,"Mar 11, 1985 ",39,['Brazil'],Brazil,Mari,LM,"1,82",-
,Wellington,Left-Back,"Aug 17, 1985 ",38,['Brazil'],Brazil,Guarulhos,,N/A,-
,Felipe,Left-Back,"May 22, 1985 ",38,['Brazil'],Brazil,,LM,"1,73",-
,Filipe Luís,Left-Back,"Aug 9, 1985 ",38,"['Brazil', 'Poland']",Brazil,Jaraguá do Sul,CB,"1,82",-
,Raul,Left-Back,"Nov 9, 1985 ",38,['Brazil'],Brazil,Poço Verde,,"1,70",-
,Pirão,Left-Back,"Dec 31, 1985 ",38,['Brazil'],Brazil,Campo dos Goytacazes,LM   DM,"1,82",-
,Aelson,Left-Back,"Aug 2, 1985 ",38,['Brazil'],Brazil,Imperatriz,,"1,64",-
,Fernandinho,Left-Back,"Aug 31, 1985 ",38,['Brazil'],Brazil,Cianorte,DM   LW,"1,80",-
,Thyago Fernandes,Left-Back,"Dec 5, 1985 ",38,['Brazil'],Brazil,Brasília,,"1,75",-
,Fábinho,Left-Back,"Mar 16, 1985 ",38,['Brazil'],Brazil,Ariquenes,LM,"1,73",-
,Alex Santos,Left-Back,"Jun 27, 1985 ",38,['Brazil'],Brazil,Ilhéus,RB,"1,78",-
,Fernandes,Left-Back,"Apr 24, 1985 ",38,['Brazil'],Brazil,Caaporã,DM   LM,"1,71",-
,Thiago Feltri,Left-Back,"May 18, 1985 ",38,['Brazil'],Brazil,Fernão,,"1,75",-
,Márcio Goiano,Left-Back,"Jan 2, 1985 ",39,['Brazil'],Brazil,Quirinópolis,,"1,81",-
,Felipe,Left-Back,"Jul 22, 1985 ",38,['Brazil'],Brazil,Santa Rosa,CB   DM,"1,83",-
,Fábio Santos,Left-Back,"Sep 16, 1985 ",38,"['Brazil', 'Portugal']",Brazil,São Paulo,LM   CB,"1,79",-
,Carlinhos,Left-Back,"Nov 29, 1986 ",37,['Brazil'],Brazil,Piripiri,LM,"1,67",€250k
13,Júnior Morais,Left-Back,"Jul 22, 1986 ",37,"['Brazil', 'Romania']",Brazil,São Luís,LM   CM,"1,76",€150k
77,Fernando,Left-Back,"Nov 14, 1986 ",37,"['Hongkong', 'Brazil']",Brazil,"Salvador, Bahia",LW   AM,"1,79",€100k
,Wallace Barba,Left-Back,"Jun 8, 1986 ",37,['Brazil'],Brazil,Itabuna,DM,"1,72",-
,Assis,Left-Back,"Mar 9, 1986 ",38,['Brazil'],Brazil,Nazaré do Piauí,,"1,77",-
,Peri,Left-Back,"Feb 28, 1986 ",38,['Brazil'],Brazil,Palmeira dos Índios,LM,"1,76",-
,Janderson Baiano,Left-Back,"Jun 15, 1986 ",37,['Brazil'],Brazil,Salvador,LM   LW,"1,75",-
,Jefferson,Left-Back,"Feb 15, 1986 ",38,['Brazil'],Brazil,Santos,,"1,77",-
,Raí,Left-Back,"Sep 21, 1986 ",37,['Brazil'],Brazil,São Luís,LM   LW,"1,77",-
,João Paulo,Left-Back,"Jul 1, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,,"1,73",-
,Gérson,Left-Back,"Apr 3, 1986 ",37,['Brazil'],Brazil,Valença,,"1,73",-
,Janilson,Left-Back,"Feb 4, 1986 ",38,['Brazil'],Brazil,Crateús,LM,,-
,Gilson,Left-Back,"May 14, 1986 ",37,['Brazil'],Brazil,Campo Grande,LM,"1,77",-
,Egídio,Left-Back,"Jun 16, 1986 ",37,['Brazil'],Brazil,Rio de Janeiro,LM,"1,77",€200k
,Márcio Azevedo,Left-Back,"Feb 5, 1986 ",38,['Brazil'],Brazil,Guarabira,LM,"1,73",€150k
