Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Cristiano Gomes,Left Midfield,"Feb 20, 1985 ",39,['Brazil'],Brazil,Santana Do Livramento,LB   RB,"1,80",-
,André Luiz,Left Midfield,"Jul 2, 1985 ",38,['Brazil'],Brazil,Manaus,LB   CM,"1,73",-
,Julinho,Left Midfield,"Aug 5, 1986 ",37,['Brazil'],Brazil,São Paulo,LB   LW,"1,84",-
,Elton Lira,Left Midfield,"Sep 21, 1986 ",37,['Brazil'],Brazil,São Paulo,LW,"1,85",-
,Santos Oliveira,Left Midfield,"May 1, 1986 ",37,['Brazil'],Brazil,Santa Luzia,,"1,75",-
10,Sandro,Left Midfield,"Mar 19, 1986 ",37,['Brazil'],Brazil,Iaçu,RM   AM,"1,79",-
,Eduardo,Left Midfield,"Nov 12, 1986 ",37,['Brazil'],Brazil,Belford Roxo,RM   AM,"1,73",-
,Glaybson,Left Midfield,"Dec 16, 1987 ",36,['Brazil'],Brazil,Fortaleza,LB   DM,"1,85",-
,Murilo Maccari,Left Midfield,"Sep 12, 1987 ",36,"['Brazil', 'Italy']",Brazil,Tubarão,,"1,80",-
,Adriano Pereira,Left Midfield,"May 2, 1987 ",36,['Brazil'],Brazil,,LW,"1,72",-
,Ronaldinho Gramadense,Left Midfield,"Jun 6, 1988 ",35,['Brazil'],Brazil,Sapiranga,LB,"1,72",-
,Luis Heitor-Piffer,Left Midfield,"Nov 17, 1988 ",35,['Brazil'],Brazil,Amparo,LB   LW,"1,83",-
,Raphael Martinho,Left Midfield,"Apr 15, 1988 ",35,"['Brazil', 'Italy']",Brazil,Campo Grande,LW   CM,"1,83",-
,Vitinho,Left Midfield,"Feb 18, 1988 ",36,['Brazil'],Brazil,Rio de Janeiro,LB   LW,"1,68",-
,Dhiego Lomba,Left Midfield,"Feb 2, 1988 ",36,['Brazil'],Brazil,Rio de Janeiro,RM   AM,"1,76",-
,Diego Rigonato,Left Midfield,"Mar 9, 1988 ",36,['Brazil'],Brazil,Americana,LB   LW,"1,75",-
,Bruno de Morais,Left Midfield,"Dec 22, 1989 ",34,['Brazil'],Brazil,Goiânia,AM   LB,"1,80",-
,Wellington Júnior,Left Midfield,"Jun 20, 1989 ",34,['Brazil'],Brazil,Rio de Janeiro,LB   LW,"1,78",-
20,Lucas Alves Gomes,Left Midfield,"Sep 28, 1989 ",34,['Brazil'],Brazil,"Ipatinga, MG",RM   LB,,-
,Raul Muller,Left Midfield,"Sep 20, 1990 ",33,['Brazil'],Brazil,,DM,"1,75",-
,Vitinho,Left Midfield,"Jun 2, 1990 ",33,['Brazil'],Brazil,,,,-
,Bolinha,Left Midfield,"Nov 29, 1990 ",33,['Brazil'],Brazil,Viamão,LB,"1,72",-
,Marcelo Souza,Left Midfield,"May 26, 1990 ",33,['Brazil'],Brazil,Boquim,,"1,75",-
,Luiz Doretto,Left Midfield,"Dec 9, 1990 ",33,['Brazil'],Brazil,São José dos Campos,LB,"1,70",-
16,Bernardo,Left Midfield,"Mar 12, 1990 ",34,['Brazil'],Brazil,Volta Redonda,LB,"1,77",-
10,Leo Fernandes,Left Midfield,"Dec 23, 1991 ",32,"['Brazil', 'United States']",Brazil,São Paulo,LW   AM,"1,85",€200k
,Dodô,Left Midfield,"Feb 16, 1991 ",33,['Brazil'],Brazil,,,,-
,Bruno Paiva,Left Midfield,"Jan 13, 1991 ",33,['Brazil'],Brazil,Juiz de Fora,LW,"1,74",-
