Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Piki,Left Winger,"Feb 8, 1985 ",39,['Brazil'],Brazil,São José dos Pinhais,RW   SS,"1,76",-
,Robert,Left Winger,"Jun 11, 1985 ",38,['Brazil'],Brazil,Mairiporã,RW,"1,65",-
,Fernandinho,Left Winger,"Nov 25, 1985 ",38,['Brazil'],Brazil,São Paulo,RW   CF,"1,73",-
,Danilo Dias,Left Winger,"Nov 6, 1985 ",38,['Brazil'],Brazil,Ceres,RW   SS,"1,73",-
,Henrique,Left Winger,"May 9, 1985 ",38,"['Brazil', 'Australia']",Brazil,São Paulo,RW,"1,65",-
,Wesllem,Left Winger,"Apr 21, 1985 ",38,"['Portugal', 'Brazil']",Brazil,Belém do Pará,RW   CF,"1,78",-
,Joãozinho,Left Winger,"Dec 11, 1986 ",37,['Brazil'],Brazil,,,"1,75",-
,Fabinho,Left Winger,"Jan 10, 1986 ",38,"['Brazil', 'Portugal']",Brazil,Engenheiro Paulo de Frontin,CF   AM,"1,78",-
,Piter Santos,Left Winger,"Oct 6, 1986 ",37,['Brazil'],Brazil,Niterói,RW   AM,,-
,Nildo Petrolina,Left Winger,"May 1, 1986 ",37,['Brazil'],Brazil,Petrolina,LM   LB,"1,75",-
,Tatá,Left Winger,"Jul 29, 1986 ",37,['Brazil'],Brazil,Ferros,RW,"1,74",-
,Sidnei,Left Winger,"Nov 2, 1986 ",37,['Brazil'],Brazil,Santana de Parnaiba,RW   CF,"1,76",-
,Muriqui,Left Winger,"Jun 16, 1986 ",37,['Brazil'],Brazil,Itaguá,CF   AM,"1,74",-
,Leonardo,Left Winger,"Sep 22, 1986 ",37,['Brazil'],Brazil,Vila Velha,AM   RW,"1,73",-
,Diego Louzada,Left Winger,"Jul 21, 1986 ",37,['Brazil'],Brazil,Porto Alegre,SS   RB,"1,69",-
,Edgar,Left Winger,"Jan 26, 1986 ",38,['Brazil'],Brazil,Bacuri,RW   SS,"1,78",-
,Clebinho,Left Winger,"Jun 22, 1986 ",37,['Brazil'],Brazil,São Paulo,RW   CF,"1,68",-
10,Leandro Assumpcao,Left Winger,"Feb 3, 1986 ",38,['Brazil'],Brazil,Rio de Janeiro,CF   LM,"1,81",-
,Danilo,Left Winger,"Jan 9, 1986 ",38,['Brazil'],Brazil,Ribeirão Preto (SP),,"1,73",-
,Cléber,Left Winger,"Jun 3, 1986 ",37,['Brazil'],Brazil,São Paulo,LM   SS,"1,76",-
,Paulinho,Left Winger,"Apr 9, 1986 ",37,"['Brazil', 'Sweden']",Brazil,São José dos Campos,CF   AM,"1,73",-
,Thiago Ribeiro,Left Winger,"Feb 24, 1986 ",38,['Brazil'],Brazil,Pontes Gestal,SS   CF,"1,83",-
,Pimentinha,Left Winger,"Sep 13, 1987 ",36,['Brazil'],Brazil,São Luís,RW   SS,"1,65",€200k
11,Felipe Azevedo,Left Winger,"Jan 10, 1987 ",37,"['Brazil', 'Italy']",Brazil,Ubatuba,RW   CF,"1,74",€150k
,Alex Amado,Left Winger,"Apr 29, 1987 ",36,['Brazil'],Brazil,Porto Alegre,RW   SS,"1,67",-
,Michel Lugo,Left Winger,"Jun 9, 1987 ",36,['Brazil'],Brazil,Bagé,RW   CF,"1,82",-
,Max Pardalzinho,Left Winger,"May 14, 1987 ",36,['Brazil'],Brazil,Morrinhos,RW   CF,"1,69",-
17,Wágner,Left Winger,"Apr 3, 1987 ",36,['Brazil'],Brazil,São José dos Campos,RW   LM,"1,73",-
,Rodrigo Pimpão,Left Winger,"Oct 23, 1987 ",36,['Brazil'],Brazil,Curitiba,RW   CF,"1,76",-
,Alan,Left Winger,"Dec 9, 1987 ",36,['Brazil'],Brazil,Andirá,,"1,70",-
,Neto Berola,Left Winger,"Nov 18, 1987 ",36,['Brazil'],Brazil,Buerarema,RW   CF,"1,72",€200k
,Toni Galego,Left Winger,"Jun 22, 1987 ",36,['Brazil'],Brazil,Valente,RW   AM,"1,84",-
,Thiago Cristian,Left Winger,"Aug 9, 1987 ",36,['Brazil'],Brazil,Guarulhos,LB,"1,76",-
,Luís Carlos,Left Winger,"Jun 15, 1987 ",36,"['Brazil', 'Portugal']",Brazil,Itaberaba,SS   RW,"1,70",-
,Mazinho,Left Winger,"Oct 16, 1987 ",36,['Brazil'],Brazil,Barboza Ferraz,SS   CF,"1,65",-
,Misael,Left Winger,"Jul 4, 1987 ",36,['Brazil'],Brazil,São Luís,RW   CF,"1,71",-
,Marcelinho,Left Winger,"Jun 22, 1987 ",36,"['Brazil', 'Portugal']",Brazil,Rio de Janeiro,RW   AM,"1,73",-
20,Willian,Left Winger,"Aug 9, 1988 ",35,['Brazil'],Brazil,Ribeirão Pires,RW   AM,"1,75",€3.00m
,Joãozinho,Left Winger,"Dec 25, 1988 ",35,"['Russia', 'Brazil']",Brazil,Umbauba,RW   AM,"1,65",€400k
,Deivid,Left Winger,"Feb 23, 1988 ",36,['Brazil'],Brazil,,,"1,78",-
,Élton Martins,Left Winger,"Nov 4, 1988 ",35,['Brazil'],Brazil,Belo Horizonte,AM   LM,"1,71",-
,Deivid Tiziu,Left Winger,"Jun 13, 1988 ",35,['Brazil'],Brazil,Carapicuíba,,,-
,Ivan Paraná,Left Winger,"May 27, 1988 ",35,['Brazil'],Brazil,,,"1,86",-
,Léo Paraíba,Left Winger,"Aug 8, 1988 ",35,['Brazil'],Brazil,João Pessoa,RW,"1,77",-
,Vander,Left Winger,"Oct 3, 1988 ",35,['Brazil'],Brazil,Rio de Janeiro,AM   RW,"1,73",-
,Marco Aurélio,Left Winger,"Feb 14, 1988 ",36,['Brazil'],Brazil,Goiânia,,"1,74",-
,Willians,Left Winger,"May 22, 1988 ",35,['Brazil'],Brazil,Aracaju,CF   RW,"1,82",-
,Caiuby,Left Winger,"Jul 14, 1988 ",35,['Brazil'],Brazil,São Paulo,CF   SS,"1,85",-
11,Taison,Left Winger,"Jan 13, 1988 ",36,['Brazil'],Brazil,Pelotas,AM   SS,"1,72",€600k
10,Élton Calé,Left Winger,"Jul 12, 1988 ",35,['Brazil'],Brazil,Barro Duro (Piauí),RW   AM,"1,69",€75k
,Marquinho,Left Winger,"Feb 24, 1988 ",36,['Brazil'],Brazil,Santo André,CF   SS,"1,73",-
,Paulinho,Left Winger,"Jun 14, 1988 ",35,['Brazil'],Brazil,Guarulhos,RW,"1,77",-
30,Welington Smith,Left Winger,"May 7, 1988 ",35,['Brazil'],Brazil,Goiás,CF,"1,77",-
,Diego,Left Winger,"May 15, 1988 ",35,['Brazil'],Brazil,Campos Altos,RW,"1,74",-
,Sassá,Left Winger,"Jan 26, 1988 ",36,['Brazil'],Brazil,Rio de Janeiro,RW   CF,"1,77",-
,Mosart,Left Winger,"Jun 22, 1988 ",35,['Brazil'],Brazil,Sao Carlos,CF   RW,"1,80",-
,Luan,Left Winger,"Sep 21, 1988 ",35,['Brazil'],Brazil,Araras,CF   RW,"1,86",-
19,Luiz Fernando,Left Winger,"Jul 17, 1988 ",35,['Brazil'],Brazil,Carmo da Mata,AM   CM,"1,70",-
11,Keno,Left Winger,"Sep 10, 1989 ",34,['Brazil'],Brazil,Salvador,RW   SS,"1,74",€1.00m
77,Wanderson,Left Winger,"Mar 31, 1989 ",34,['Brazil'],Brazil,Santa Inês,LB   CF,"1,72",€250k
,Wellington,Left Winger,"Aug 26, 1989 ",34,['Brazil'],Brazil,Jacarezinho,RW,"1,78",-
10,Rayllan,Left Winger,"Apr 12, 1989 ",34,['Brazil'],Brazil,Imperatriz,SS,"1,65",-
,Lucas Dantas,Left Winger,"Feb 22, 1989 ",35,['Brazil'],Brazil,Brasília,,"1,72",-
,Juninho,Left Winger,"Jun 29, 1989 ",34,['Brazil'],Brazil,Pelotas,,"1,71",-
,Jô,Left Winger,"Nov 30, 1989 ",34,['Brazil'],Brazil,Porto Alegre,RW,"1,70",-
,Rildo,Left Winger,"Mar 20, 1989 ",34,['Brazil'],Brazil,São Paulo,SS   RW,"1,80",-
,Felipe Alberto,Left Winger,"Jan 1, 1989 ",35,['Brazil'],Brazil,Campina Grande,,"1,78",-
,Talles Cunha,Left Winger,"Mar 13, 1989 ",35,['Brazil'],Brazil,Mogi Guaçu,RW   AM,"1,80",-
,Franklin Vicente,Left Winger,"Jun 12, 1989 ",34,['Brazil'],Brazil,São Paulo,CF   RW,"1,81",-
89,Amilton,Left Winger,"Aug 12, 1989 ",34,['Brazil'],Brazil,Pernambuco,RW   CF,"1,72",€275k
10,Wellingsson,Left Winger,"Sep 7, 1989 ",34,"['Hongkong', 'Brazil']",Brazil,"Guarujá, São Paulo",CF,"1,85",€50k
11,Cléo Silva,Left Winger,"Nov 21, 1989 ",34,['Brazil'],Brazil,Salgado,RW   AM,"1,73",-
,Romarinho,Left Winger,"Nov 14, 1989 ",34,['Brazil'],Brazil,Recife,LM,"1,77",-
,Jeferson Maranhense,Left Winger,"Apr 20, 1989 ",34,['Brazil'],Brazil,Bacabal,SS   RW,"1,74",-
,Rodolfo Xavier,Left Winger,"Mar 13, 1989 ",35,['Brazil'],Brazil,Cariacica,RW   CF,"1,77",-
,Branquinho,Left Winger,"Nov 14, 1989 ",34,['Brazil'],Brazil,Caruaru,RW   AM,"1,70",-
,Tiago Faria,Left Winger,"May 30, 1989 ",34,['Brazil'],Brazil,Caarapó,CF,"1,78",-
,Vinicius,Left Winger,"Aug 12, 1989 ",34,['Brazil'],Brazil,Porto Alegre,LM,"1,86",-
,Bruno Andrade,Left Winger,"Mar 2, 1989 ",35,"['Brazil', 'Italy']",Brazil,São Bernardo do Campo,RW   CF,"1,75",-
,Erick Flores,Left Winger,"Apr 30, 1989 ",34,['Brazil'],Brazil,Rio de Janeiro,RW   AM,"1,69",-
27,Bruno Henrique,Left Winger,"Dec 30, 1990 ",33,['Brazil'],Brazil,Belo Horizonte,SS   CF,"1,84",€2.50m
92,Luvannor,Left Winger,"May 19, 1990 ",33,"['Moldova', 'Brazil']",Brazil,Campo Maior,RW   CF,"1,82",€500k
90,Vander Luis,Left Winger,"Apr 17, 1990 ",33,['Brazil'],Brazil,Salvador,AM   RW,"1,76",€350k
,Lucca,Left Winger,"Feb 14, 1990 ",34,['Brazil'],Brazil,Alto Parnaíba,CF   RW,"1,78",€300k
,Waguininho,Left Winger,"Jan 30, 1990 ",34,['Brazil'],Brazil,Cubatão,RW   CF,"1,77",€250k
,Renato,Left Winger,"Jan 19, 1990 ",34,['Brazil'],Brazil,Maceió,RW   AM,"1,81",€150k
,Fabrício,Left Winger,"Mar 28, 1990 ",33,['Brazil'],Brazil,Hortolândia,AM   CM,"1,83",€100k
,Rodrigo Jesus,Left Winger,"Oct 28, 1990 ",33,['Brazil'],Brazil,São Paulo,AM,,-
,Pablo Bueno,Left Winger,"Jul 2, 1990 ",33,['Brazil'],Brazil,Brotas,RW,"1,65",-
,Edu,Left Winger,"Oct 5, 1990 ",33,['Brazil'],Brazil,,CF,"1,64",-
,Maranhão,Left Winger,"Dec 13, 1990 ",33,['Brazil'],Brazil,Estreito,LM   AM,"1,70",-
,Marcos Nunes,Left Winger,"Mar 5, 1990 ",34,['Brazil'],Brazil,Manaus,RW,"1,70",-
,Esquerdinha,Left Winger,"Nov 16, 1990 ",33,['Brazil'],Brazil,Uiraúna,LM   SS,"1,81",-
51,Adaílton,Left Winger,"Dec 6, 1990 ",33,['Brazil'],Brazil,Camaçari,CF   LM,"1,76",€600k
11,Ricardo Lopes,Left Winger,"Oct 28, 1990 ",33,['Brazil'],Brazil,Nova Rosalândia,RW   CF,"1,84",€375k
,Diego Farias,Left Winger,"May 10, 1990 ",33,"['Brazil', 'Italy']",Brazil,Sorocaba,SS   RW,"1,72",€350k
90,Juninho,Left Winger,"Dec 11, 1990 ",33,"['Hongkong', 'Brazil']",Brazil,Caieiras (SP),CF   AM,"1,78",€250k
,Lulinha,Left Winger,"Apr 10, 1990 ",33,['Brazil'],Brazil,Mauá,AM   RW,"1,70",€250k
99,Romario,Left Winger,"Mar 4, 1990 ",34,['Brazil'],Brazil,,RW   AM,"1,77",€125k
,Rafinha,Left Winger,"Apr 26, 1990 ",33,['Brazil'],Brazil,São Paulo,AM   RW,"1,78",€75k
,Jonas Moreira,Left Winger,"Dec 1, 1990 ",33,['Brazil'],Brazil,,CF,,-
30,Jairinho,Left Winger,"Aug 9, 1990 ",33,['Brazil'],Brazil,Rio de Janeiro,RW,"1,71",-
,Edinho Canutama,Left Winger,"Oct 4, 1990 ",33,['Brazil'],Brazil,Canutama,,,-
,Robinho,Left Winger,"May 12, 1990 ",33,['Brazil'],Brazil,,LM   LB,"1,71",-
,Abner Dos Santos,Left Winger,"Apr 8, 1990 ",33,"['Brazil', 'Spain']",Brazil,Marília (SP),CF   SS,"1,86",-
,Waldir,Left Winger,"Aug 18, 1990 ",33,['Brazil'],Brazil,Rio de Janeiro,RW,"1,78",-
,Rogerinho,Left Winger,"Apr 23, 1990 ",33,['Brazil'],Brazil,Araraquara,RW   AM,"1,82",-
,Matheus,Left Winger,"May 31, 1990 ",33,['Brazil'],Brazil,Campinas,RW   AM,"1,74",-
,Marcelinho,Left Winger,"Mar 28, 1990 ",33,['Brazil'],Brazil,Osasco,RW   SS,"1,73",-
,Marcos Paullo,Left Winger,"Mar 28, 1990 ",33,['Brazil'],Brazil,Trindade,AM   CF,"1,74",-
,Bruno Paulo,Left Winger,"Feb 14, 1990 ",34,['Brazil'],Brazil,Rio de Janeiro,RW,"1,82",-
,Henrique Santos,Left Winger,"Dec 15, 1990 ",33,['Brazil'],Brazil,São Paulo,RW   DM,"1,69",-
,Fabinho,Left Winger,"Mar 17, 1990 ",34,['Brazil'],Brazil,Guaporé,,"1,75",-
11,Davidson,Left Winger,"Mar 5, 1991 ",33,['Brazil'],Brazil,Rio de Janeiro,AM   RW,"1,77",€850k
22,Felipe Amorim,Left Winger,"Jan 4, 1991 ",33,['Brazil'],Brazil,Brasília,RW   CF,"1,76",€275k
14,Dyjan Azevedo,Left Winger,"Jun 23, 1991 ",32,['Brazil'],Brazil,Dois Córregos,AM   RW,"1,68",€125k
,Paulo Morais,Left Winger,"Apr 10, 1991 ",32,['Brazil'],Brazil,Caruaru,AM,"1,73",-
,Roney,Left Winger,"Nov 20, 1991 ",32,['Brazil'],Brazil,Fortaleza,RW   AM,"1,75",-
,Yuri Mateus De Castro,Left Winger,"Feb 3, 1991 ",33,['Brazil'],Brazil,Candeias,RW   AM,"1,72",-
,Geancarlo Slaviero,Left Winger,"May 16, 1991 ",32,"['Brazil', 'Italy']",Brazil,São Paulo,CM   CM,"1,75",-
,Marion,Left Winger,"Sep 7, 1991 ",32,['Brazil'],Brazil,Teixeira de Freitas,RW   AM,"1,72",-
,Pablo Moreira,Left Winger,N/A ,32,['Brazil'],Brazil,Rio de Janeiro,AM   RW,,-
,Pingo,Left Winger,"Jan 10, 1991 ",33,['Brazil'],Brazil,Paulista,CF   RW,"1,74",-
,William Amorim,Left Winger,"Dec 15, 1991 ",32,"['Brazil', 'Romania']",Brazil,Votorantim,AM   RW,"1,80",-
,Luisinho,Left Winger,"Mar 10, 1991 ",33,['Brazil'],Brazil,Curitiba,RW   RM,"1,75",-
,Diney,Left Winger,"Mar 2, 1991 ",33,['Brazil'],Brazil,Taquatinga,RW,"1,78",-
91,Gil Martins,Left Winger,"Apr 13, 1991 ",32,['Brazil'],Brazil,Irace,CF,"1,74",€350k
18,Stenio Junior,Left Winger,"Jun 10, 1991 ",32,['Brazil'],Brazil,Fortaleza,CF   RW,"1,84",€200k
,Ariel,Left Winger,"Jan 16, 1991 ",33,['Brazil'],Brazil,,CF,,-
,Radamés,Left Winger,"May 10, 1991 ",32,['Brazil'],Brazil,Tarauacá,,"1,71",-
,Jefinho,Left Winger,"Jun 24, 1991 ",32,['Brazil'],Brazil,,RW   AM,"1,72",-
,Cássio Ortega,Left Winger,"Apr 2, 1991 ",32,['Brazil'],Brazil,,RW   AM,"1,74",-
,Wellington Sabão,Left Winger,"Aug 18, 1991 ",32,['Brazil'],Brazil,Nova Russas,,"1,71",-
,Roni,Left Winger,"Jan 26, 1991 ",33,['Brazil'],Brazil,São José de Campos,AM   RW,"1,71",-
77,Nei,Left Winger,"Jun 24, 1991 ",32,['Brazil'],Brazil,Cuiabá,SS   RW,"1,70",-
,Felipe Tchelé,Left Winger,"Mar 1, 1991 ",33,['Brazil'],Brazil,Poços de Caldas,RW   CF,"1,80",-
11,Nona,Left Winger,"Apr 5, 1991 ",32,['Brazil'],Brazil,,RW   CF,"1,75",-
,Marcos Vinícius,Left Winger,"Jun 28, 1991 ",32,['Brazil'],Brazil,Bauru,CF,"1,85",-
,Pedro Costa,Left Winger,"Oct 24, 1991 ",32,"['Brazil', 'Portugal']",Brazil,Fortaleza,RW   CF,"1,84",-
,Rivaldinho,Left Winger,"Sep 21, 1991 ",32,['Brazil'],Brazil,São Paulo,RW   AM,"1,78",-
10,Neymar,Left Winger,"Feb 5, 1992 ",32,['Brazil'],Brazil,Mogi das Cruzes,SS   AM,"1,75",€45.00m
10,Bernard,Left Winger,"Sep 8, 1992 ",31,"['Brazil', 'Spain']",Brazil,Belo Horizonte,RW   AM,"1,64",€2.50m
20,Arthur Caíke,Left Winger,"Jun 15, 1992 ",31,['Brazil'],Brazil,Barbalha,RW   CF,"1,74",€900k
,Pablo,Left Winger,"Dec 18, 1992 ",31,['Brazil'],Brazil,Campinas,RW   RB,"1,75",€350k
31,Emerson Nike,Left Winger,"May 14, 1992 ",31,['Brazil'],Brazil,Belém,RW,"1,85",€200k
,Leonardo,Left Winger,"Mar 18, 1992 ",32,['Brazil'],Brazil,Andirá,RW   AM,"1,74",€150k
33,Cleiton Abreu,Left Winger,"Jul 28, 1992 ",31,['Brazil'],Brazil,,,,-
88,Magson Dourado,Left Winger,"Mar 22, 1992 ",31,['Brazil'],Brazil,Belém,CF,"1,74",-
22,Luiz Henrique,Left Winger,"Apr 23, 1992 ",31,['Brazil'],Brazil,Rio Piracicaba,,"1,79",-
,Mateus Scavardoni,Left Winger,"Oct 31, 1992 ",31,"['Brazil', 'Italy']",Brazil,Lagamar,RW   AM,"1,83",-
92,Fernandinho,Left Winger,"Mar 26, 1992 ",31,['Brazil'],Brazil,Cuiabá,AM   RW,"1,78",-
,Tarcísio,Left Winger,"Nov 7, 1992 ",31,['Brazil'],Brazil,Carpina,AM   SS,"1,71",-
,Marcos Thank,Left Winger,"Dec 16, 1992 ",31,['Brazil'],Brazil,Osasco,CF   RW,"1,89",-
7,Dudu,Left Winger,"Jan 7, 1992 ",32,['Brazil'],Brazil,Goiânia,RW   AM,"1,66",€8.00m
