Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
13,Rafinha,Right-Back,"Sep 7, 1985 ",38,"['Brazil', 'Germany']",Brazil,Londrina,LB,"1,72",€200k
,Rodrigo Dias,Right-Back,"Jul 14, 1985 ",38,['Brazil'],Brazil,Belo Horizonte,,"1,72",-
,Gláuber,Right-Back,"Dec 5, 1985 ",38,['Brazil'],Brazil,Rio de Janeiro,LB   LM,"1,73",-
,Ademir,Right-Back,"Sep 20, 1985 ",38,['Brazil'],Brazil,Feira de Santana,RM,"1,75",-
,Dudu Gago,Right-Back,"Apr 21, 1985 ",38,['Brazil'],Brazil,Porto Alegre,,"1,78",-
,Flavinho,Right-Back,"Mar 4, 1985 ",39,['Brazil'],Brazil,,,"1,64",-
,Marcelo Miorando,Right-Back,"Oct 9, 1985 ",38,['Brazil'],Brazil,Maravilha,DM   AM,"1,82",-
,Luiz Felipe,Right-Back,"Feb 16, 1985 ",39,['Brazil'],Brazil,Porto Alegre,,"1,76",-
,Zé Leandro,Right-Back,"Jan 30, 1985 ",39,['Brazil'],Brazil,São Paulo,,"1,70",-
,Michel,Right-Back,"Mar 6, 1985 ",39,['Brazil'],Brazil,Batatais,,"1,83",-
,Éder Sciola,Right-Back,"Sep 25, 1985 ",38,['Brazil'],Brazil,São Paulo,,"1,83",-
,Bruno,Right-Back,"Aug 30, 1985 ",38,['Brazil'],Brazil,Campo Grande,RM,"1,80",-
,Leandro,Right-Back,"Jun 26, 1985 ",38,['Brazil'],Brazil,"Itumbiara, Goiás",LB   DM,"1,81",-
,Léo Rosa,Right-Back,"Dec 13, 1985 ",38,['Brazil'],Brazil,,DM   CM,,-
,Leandrinho,Right-Back,"Feb 22, 1985 ",39,['Brazil'],Brazil,Araruama,,"1,88",-
,Leandrinho,Right-Back,"Feb 22, 1985 ",39,['Brazil'],Brazil,Araruama,,"1,78",-
18,Gleison Silva dos Santos,Right-Back,"Mar 11, 1985 ",39,['Brazil'],Brazil,Itamaraju-Bahia,CM,"1,80",-
,Ayrton,Right-Back,"Apr 19, 1985 ",38,['Brazil'],Brazil,Piracicaba,,"1,76",-
,Ednei,Right-Back,"Nov 30, 1985 ",38,['Brazil'],Brazil,Brasília de Minas,,"1,80",-
,Rafael Cruz,Right-Back,"Jan 18, 1985 ",39,['Brazil'],Brazil,São Paulo,LB,"1,76",-
,Maranhão,Right-Back,"Dec 25, 1985 ",38,['Brazil'],Brazil,Codó,,"1,70",-
,Zâmbia,Right-Back,"May 25, 1985 ",38,['Brazil'],Brazil,,RW   CM,"1,88",-
,Dedê,Right-Back,"Oct 4, 1985 ",38,['Brazil'],Brazil,Uruguaiana,,"1,70",-
,Nêgo,Right-Back,"May 23, 1985 ",38,['Brazil'],Brazil,Ceará Mirim,RM,"1,68",-
,Nei,Right-Back,"Dec 6, 1985 ",38,['Brazil'],Brazil,Bragança Paulista,DM   LB,"1,76",-
,Filipe,Right-Back,"Feb 7, 1985 ",39,"['Brazil', 'Poland']",Brazil,Ipatinga,LB,"1,79",-
25,Mariano,Right-Back,"Jun 23, 1986 ",37,['Brazil'],Brazil,São João,CB,"1,77",€300k
,Sorriso,Right-Back,"Sep 10, 1986 ",37,['Brazil'],Brazil,São Paulo,,"1,70",-
,Thiago Crispin,Right-Back,"Jan 19, 1986 ",38,['Brazil'],Brazil,Nilópolis,,,-
,Sueliton,Right-Back,"Aug 19, 1986 ",37,['Brazil'],Brazil,Pernambuco,,"1,78",-
,Wanderson Cafú,Right-Back,"Mar 18, 1986 ",37,['Brazil'],Brazil,José Bonifácio,RM,"1,80",-
,Felipe Almeida,Right-Back,"Jul 20, 1986 ",37,['Brazil'],Brazil,Recife,,"1,74",-
,Jefferson Feijão,Right-Back,"Dec 16, 1986 ",37,['Brazil'],Brazil,Brasília,,"1,68",-
,Robson,Right-Back,"Jan 20, 1986 ",38,['Brazil'],Brazil,Brasília,,"1,81",-
,Henrique,Right-Back,"May 13, 1986 ",37,['Brazil'],Brazil,Itabuna,,"1,78",-
,James Dens,Right-Back,"Aug 14, 1986 ",37,['Brazil'],Brazil,Curitiba,CB,"1,74",-
,Cicinho,Right-Back,"Aug 4, 1986 ",37,['Brazil'],Brazil,Jundiaí,RM   RW,"1,74",-
,Rodrigo Galo,Right-Back,"Sep 19, 1986 ",37,['Brazil'],Brazil,Rio Branco,RM   RW,"1,74",-
,Rafael Lopes,Right-Back,"Sep 29, 1986 ",37,['Brazil'],Brazil,Parauapebas,,"1,77",-
,Eduardo,Right-Back,"Nov 20, 1986 ",37,['Brazil'],Brazil,Maceió,RM   RW,"1,73",€100k
,Tote,Right-Back,"May 27, 1986 ",37,['Brazil'],Brazil,Altos,,"1,73",-
,Tiago Granja,Right-Back,"Jul 21, 1986 ",37,['Brazil'],Brazil,Granja,RM   RW,"1,72",-
,Danilo Baia,Right-Back,"Mar 15, 1986 ",37,['Brazil'],Brazil,Eunápolis,RM   RW,"1,70",-
,Ivan,Right-Back,"Jan 9, 1986 ",38,['Brazil'],Brazil,Rio de Janeiro,LB,"1,69",-
,Pio,Right-Back,"Jan 6, 1986 ",38,['Brazil'],Brazil,São Paulo,RM,"1,73",-
,Xavier Robson,Right-Back,"May 19, 1986","May 19, 1986",['Brazil'],Brazil,Pedro Osório,RM,"1,84",-
,Marquinhos,Right-Back,"Aug 8, 1986 ",37,['Brazil'],Brazil,,,"1,78",-
,Diogo,Right-Back,"Jul 9, 1986 ",37,['Brazil'],Brazil,Ilhéus,RM,"1,76",-
,Thiago Gasparino,Right-Back,"Jan 16, 1986 ",38,['Brazil'],Brazil,Arapongas,,"1,80",-
,Pará,Right-Back,"Feb 14, 1986 ",38,['Brazil'],Brazil,São João do Araguaia,LB   RM,"1,73",-
,Edílson,Right-Back,"Jul 27, 1986 ",37,['Brazil'],Brazil,Nova Esperança,LB   RM,"1,77",-
,Bruno Paraíba,Right-Back,"Nov 10, 1986 ",37,['Brazil'],Brazil,Campina Grande,,"1,73",-
,Danilo Silva,Right-Back,"Nov 24, 1986 ",37,['Brazil'],Brazil,Campinas,CB,"1,86",-
,Rafael Mineiro,Right-Back,"Feb 14, 1986 ",38,['Brazil'],Brazil,Ituiutaba,,"1,79",-
,Jonathan,Right-Back,"Feb 27, 1986 ",38,"['Brazil', 'Italy']",Brazil,Conselheiro Lafaiete,RM,"1,70",-
,Edson Ratinho,Right-Back,"May 31, 1986 ",37,['Brazil'],Brazil,João Pessoa,RM   RW,"1,70",-
,Nino Paraíba,Right-Back,"Jan 10, 1986 ",38,['Brazil'],Brazil,Rio Tinto,,"1,68",-
,Chiquinho,Right-Back,"Aug 26, 1986 ",37,['Brazil'],Brazil,Belo Horizonte,,"1,74",-
,Alex Ferreira,Right-Back,"Jan 10, 1986 ",38,['Brazil'],Brazil,Curitiba,,"1,70",-
,Arlan,Right-Back,"Nov 25, 1986 ",37,['Brazil'],Brazil,Nanuque,,"1,69",-
,Léo Matos,Right-Back,"Apr 2, 1986 ",37,['Brazil'],Brazil,Niterói,LB   RW,"1,84",-
,Raul Prata,Right-Back,"Jul 14, 1987 ",36,['Brazil'],Brazil,Piracicaba,LB,"1,78",€200k
,Ceará,Right-Back,"Aug 17, 1987 ",36,['Brazil'],Brazil,Ceará,DM,"1,69",-
,Magnum,Right-Back,"Aug 10, 1987 ",36,['Brazil'],Brazil,Santo Antônio do Caiuá,,"1,77",-
,Osvaldir,Right-Back,"May 15, 1987 ",36,['Brazil'],Brazil,Ipatinga,,"1,78",-
,Gian Costa,Right-Back,"Sep 6, 1987 ",36,['Brazil'],Brazil,,,"1,77",-
,Alex Travassos,Right-Back,"Feb 17, 1987 ",37,['Brazil'],Brazil,Juazeiro,,"1,72",-
,Roniery,Right-Back,"Nov 23, 1987 ",36,['Brazil'],Brazil,São Luís,,"1,67",-
,Pedro Balú,Right-Back,"Dec 11, 1987 ",36,['Brazil'],Brazil,Dois Irmãos do Tocantins,,"1,75",-
,Marquinhos,Right-Back,"Feb 27, 1987 ",37,['Brazil'],Brazil,,RM   RW,"1,75",-
,Valdir Lima,Right-Back,"Dec 4, 1987 ",36,['Brazil'],Brazil,Rio de Janeiro,RM,"1,69",-
,Paulo Ricardo,Right-Back,"Aug 17, 1987 ",36,['Brazil'],Brazil,Magé,,"1,75",-
,Adriano Lara,Right-Back,"Dec 9, 1987 ",36,['Brazil'],Brazil,União da Vitória,CM   AM,"1,85",-
,Baiano,Right-Back,"Feb 23, 1987 ",37,['Brazil'],Brazil,Correntina,LB,"1,78",-
,Renato,Right-Back,"Nov 29, 1987 ",36,['Brazil'],Brazil,,,,-
,Leomir,Right-Back,"Feb 21, 1987 ",37,['Brazil'],Brazil,,DM,"1,74",-
,Filipi Barros,Right-Back,"Jul 27, 1987 ",36,['Brazil'],Brazil,,,"1,74",-
,Denilson,Right-Back,"Jul 4, 1987 ",36,['Brazil'],Brazil,São Luís,,"1,80",-
,Edmar,Right-Back,"Dec 6, 1987 ",36,['Brazil'],Brazil,,,,-
,Grafite,Right-Back,"Oct 20, 1987 ",36,['Brazil'],Brazil,,RM   RW,"1,80",-
,Marcelo Goiano,Right-Back,"Oct 13, 1987 ",36,['Brazil'],Brazil,Goiânia,LB   CB,"1,76",-
8,Sidney,Right-Back,"Feb 9, 1987 ",37,"['Angola', 'Brazil']",Brazil,Taguatinga,DM,"1,70",-
,Wálber,Right-Back,"Jun 18, 1987 ",36,['Brazil'],Brazil,Itabaiana,,"1,69",-
,Carlos César,Right-Back,"Apr 21, 1987 ",36,['Brazil'],Brazil,Uberaba,RM   LB,"1,74",-
,Gustavo Santos,Right-Back,"Jan 20, 1987 ",37,['Brazil'],Brazil,Florianópolis,RM   RW,"1,73",-
,Sheslon,Right-Back,"Jan 4, 1987 ",37,['Brazil'],Brazil,Barão de Cocais,,"1,86",-
,Gabriel,Right-Back,"Dec 6, 1987 ",36,['Brazil'],Brazil,Macaíba,RM   RW,"1,70",-
,Filipi Souza,Right-Back,"Jul 27, 1987 ",36,['Brazil'],Brazil,Santos,,"1,73",-
,Amaral,Right-Back,"Sep 5, 1987 ",36,['Brazil'],Brazil,Fortaleza,LB   RM,"1,68",-
,Gabriel,Right-Back,"Sep 18, 1987 ",36,['Brazil'],Brazil,"Santos, Sao Paulo",,"1,72",-
,Jonas,Right-Back,"Feb 10, 1987 ",37,['Brazil'],Brazil,Votuporanga,RM   LB,"1,81",-
,Eduardo Ratinho,Right-Back,"Sep 17, 1987 ",36,['Brazil'],Brazil,São Paulo,,"1,80",-
2,Marcos Rocha,Right-Back,"Dec 11, 1988 ",35,['Brazil'],Brazil,Sete Lagoas,CB,"1,76",€800k
3,Victor Ferraz,Right-Back,"Jan 14, 1988 ",36,['Brazil'],Brazil,João Pessoa,RM   CM,"1,74",€200k
,Berg,Right-Back,"Oct 14, 1988 ",35,['Brazil'],Brazil,Jacumã,LB,"1,65",-
,Júlio Ferrari,Right-Back,"Aug 29, 1988 ",35,['Brazil'],Brazil,Paranavaí,,"1,72",-
,Gustavo,Right-Back,"Jul 2, 1988 ",35,['Brazil'],Brazil,Lagoa Seca,,"1,70",-
,Madson,Right-Back,"Mar 27, 1988 ",35,['Brazil'],Brazil,São Paulo (SP),,"1,70",-
,Muriel,Right-Back,"Feb 18, 1988 ",36,['Brazil'],Brazil,Barra,,"1,74",-
,Daniel Damião,Right-Back,"May 5, 1988 ",35,['Brazil'],Brazil,Rio de Janeiro,,"1,74",-
,Marlon,Right-Back,"Jul 24, 1988 ",35,['Brazil'],Brazil,São José do Rio Preto,,"1,75",-
,Maicon Silva,Right-Back,"May 22, 1988 ",35,['Brazil'],Brazil,Nova Iguaçu,,"1,83",-
,Ângelo,Right-Back,"Aug 31, 1988 ",35,['Brazil'],Brazil,Riachão do Jacuípe,,"1,72",-
,Marcelo Tchê,Right-Back,"Mar 11, 1988 ",36,['Brazil'],Brazil,São Paulo,,"1,80",-
,Flávio,Right-Back,"Apr 20, 1988 ",35,['Brazil'],Brazil,Catende,,,-
40,Cicinho,Right-Back,"Dec 26, 1988 ",35,"['Bulgaria', 'Brazil']",Brazil,Belém,LB,"1,68",€250k
2,Gabriel Moura,Right-Back,"Jun 18, 1988 ",35,"['Brazil', 'Portugal']",Brazil,Minas Gerais,,"1,76",€150k
,Nando,Right-Back,"Jul 6, 1988 ",35,['Brazil'],Brazil,Paulo Afonso,,"1,78",-
