Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Ilsinho,Right Midfield,"Oct 12, 1985 ",38,"['Brazil', 'Portugal']",Brazil,São Bernardo do Campo,RB   CM,"1,78",-
,Gugu,Right Midfield,"May 25, 1985 ",38,['Brazil'],Brazil,Bauru,AM,"1,73",-
,Lucas Precheski,Right Midfield,"Sep 18, 1986 ",37,['Brazil'],Brazil,Áurea,LM,"1,80",-
,Hudson,Right Midfield,"Jul 18, 1986 ",37,['Brazil'],Brazil,Sorocaba,RB   CM,"1,72",-
,Bruno Guarda,Right Midfield,"Feb 6, 1986 ",38,['Brazil'],Brazil,Piracicaba,,"1,73",-
,Advaldo,Right Midfield,"Jun 15, 1986 ",37,['Brazil'],Brazil,Mascote,,"1,68",-
,Gustavo Zardetto,Right Midfield,"Oct 25, 1987 ",36,"['Brazil', 'Italy']",Brazil,Campinas,RB   CM,"1,76",-
,Edilson Júnior,Right Midfield,"Jan 25, 1987 ",37,['Brazil'],Brazil,Uberaba,,"1,77",-
,Diego Macedo,Right Midfield,"May 8, 1987 ",36,['Brazil'],Brazil,Americana,RB,"1,73",-
,Jonas,Right Midfield,"Mar 23, 1987 ",36,['Brazil'],Brazil,Porto Alegre,CM,"1,77",-
,Gustavo Maccarone,Right Midfield,"Mar 17, 1987 ",37,['Brazil'],Brazil,Itajú,AM,"1,76",-
,William Schuster,Right Midfield,"May 31, 1987 ",36,['Brazil'],Brazil,Porto Alegre,DM   CM,"1,80",-
,Jener Augusto Cordeiro,Right Midfield,"May 11, 1988 ",35,"['Italy', 'Brazil']",Brazil,Curitiba,LM,"1,72",-
,Dhani Cerra,Right Midfield,"Jun 29, 1988 ",35,"['Brazil', 'Italy']",Brazil,São Paulo,,"1,72",-
,Jackson,Right Midfield,"Jun 3, 1988 ",35,['Brazil'],Brazil,Franca,RB   RW,"1,76",-
,Moisés Baiano,Right Midfield,"Sep 25, 1988 ",35,['Brazil'],Brazil,Feira de Santana,DM   RB,"1,76",-
,Diogo,Right Midfield,"Jan 4, 1988 ",36,['Brazil'],Brazil,Sao Paulo,LM,"1,74",-
,Jocenir,Right Midfield,"Feb 14, 1989 ",35,['Brazil'],Brazil,Caçapava do Sul,RB,"1,74",-
,Chiquinho,Right Midfield,"May 2, 1989 ",34,['Brazil'],Brazil,Jaicos,,"1,65",-
,Douglas Maia,Right Midfield,"Apr 12, 1989 ",34,['Brazil'],Brazil,Arapongas,DM   RB,"1,79",-
,Eduardo Dusi,Right Midfield,"Oct 13, 1989 ",34,"['Brazil', 'Italy']",Brazil,Cabo Frio,RB,"1,79",-
,João Paulo,Right Midfield,"Mar 17, 1989 ",35,"['Brazil', 'Italy']",Brazil,São Paulo,CM,"1,83",-
,Eduardo Magrão,Right Midfield,"Oct 30, 1990 ",33,['Brazil'],Brazil,,,"1,85",-
10,Alex Ricardo,Right Midfield,N/A ,33,['Brazil'],Brazil,,LM   CF,"1,74",-
,Gustavinho,Right Midfield,"Mar 28, 1990 ",33,['Brazil'],Brazil,,LM,,-
,Francisco de Souza,Right Midfield,"Apr 20, 1991 ",32,['Brazil'],Brazil,Diamante,,"1,72",-
,Marcinho,Right Midfield,"Mar 24, 1991 ",32,['Brazil'],Brazil,,LM   CF,"1,70",-
,Raílson,Right Midfield,"Dec 15, 1991 ",32,['Brazil'],Brazil,Manaus,RB   AM,"1,70",-
16,Dudu,Right Midfield,"Apr 5, 1991 ",32,['Brazil'],Brazil,São Paulo,AM   RB,"1,78",-
,Jorge Lopes,Right Midfield,"Jan 31, 1992 ",32,['Brazil'],Brazil,Campinas,LM,"1,79",-
,Pedro Fagan,Right Midfield,"Sep 29, 1992 ",31,"['Brazil', 'Italy']",Brazil,Maringa,RW,N/A,-
,Renan Valentim,Right Midfield,"May 20, 1992 ",31,['Brazil'],Brazil,Paderneiras,RW,,-
