Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Araújo Jordão,Right Winger,"Aug 26, 1985 ",38,['Brazil'],Brazil,Jordão,LW   SS,"1,69",-
,Alekito,Right Winger,"Nov 15, 1985 ",38,['Brazil'],Brazil,Santo André,,"1,68",-
,Leandro Costa,Right Winger,"Sep 4, 1985 ",38,['Brazil'],Brazil,Brasília,RM   AM,"1,74",-
,Maranhão,Right Winger,"Oct 24, 1985 ",38,['Brazil'],Brazil,Buriti Bravo,LW,"1,62",-
,Clayton,Right Winger,"Oct 10, 1985 ",38,['Brazil'],Brazil,,LW,"1,77",-
,Vítor Júnior,Right Winger,"Feb 2, 1985 ",39,['Brazil'],Brazil,Paraná,LW,"1,73",-
,Denilson Gabionetta,Right Winger,"Oct 5, 1985 ",38,"['Brazil', 'Italy']",Brazil,Sousas,LW   SS,"1,78",-
,Éder Luís,Right Winger,"Apr 19, 1985 ",38,['Brazil'],Brazil,Uberaba,LW   SS,"1,69",-
,Neto,Right Winger,"Jan 23, 1985 ",39,['Brazil'],Brazil,Maceió,LW   CF,"1,68",-
,Fabio Coelho,Right Winger,"Nov 27, 1985 ",38,['Brazil'],Brazil,,LW,"1,73",-
,Thiago Melo,Right Winger,"Aug 19, 1985 ",38,['Brazil'],Brazil,Guarulhos,,,-
,Dinei,Right Winger,"Apr 12, 1985 ",38,['Brazil'],Brazil,Tangará da Serra,AM   LM,"1,82",-
,André Luiz,Right Winger,"Sep 18, 1985 ",38,['Brazil'],Brazil,Florianópolis,LW,"1,67",-
,Levi,Right Winger,"Apr 22, 1985 ",38,['Brazil'],Brazil,Belo Horizonte,,"1,78",-
,Diogo Fernandes,Right Winger,"Dec 15, 1985 ",38,['Brazil'],Brazil,Barueri,RM   RB,"1,75",-
,Anderson Gomes,Right Winger,"May 18, 1985 ",38,['Brazil'],Brazil,Curitiba,SS   LW,"1,73",-
,Adriano,Right Winger,"Oct 14, 1985 ",38,['Brazil'],Brazil,Zedoca,LW   CF,"1,80",-
,Roma,Right Winger,"Feb 16, 1985 ",39,['Brazil'],Brazil,João Pessoa,LW   CF,"1,69",-
,Apodi,Right Winger,"Dec 13, 1986 ",37,['Brazil'],Brazil,Apodi,RB,"1,72",€200k
,Pedrinho,Right Winger,"Aug 4, 1986 ",37,['Brazil'],Brazil,Engenheiro Beltrao,,"1,74",-
,Pedrinho,Right Winger,"Nov 15, 1986 ",37,['Brazil'],Brazil,Nova Lima,CF,"1,68",-
,Ila,Right Winger,"Nov 13, 1986 ",37,['Brazil'],Brazil,,,,-
,Rafael Xavier,Right Winger,"Jun 2, 1986 ",37,['Brazil'],Brazil,Santana do Livramento,LW,"1,70",-
,Laionel,Right Winger,"Apr 27, 1986 ",37,['Brazil'],Brazil,Campos Belos,SS   CF,"1,77",-
,Osvaldo,Right Winger,"Apr 11, 1987 ",36,['Brazil'],Brazil,Fortaleza,LW   SS,"1,70",€175k
,Jefferson,Right Winger,"Jul 14, 1987 ",36,['Brazil'],Brazil,Jaboatão dos Guararapes,,"1,74",-
,João Henrique,Right Winger,"Jan 13, 1987 ",37,['Brazil'],Brazil,São José do Rio Preto,,"1,79",-
,Vanger,Right Winger,"Jan 27, 1987 ",37,['Brazil'],Brazil,São Luís,LW,"1,73",-
,Diego Oliveira,Right Winger,"Feb 11, 1987 ",37,['Brazil'],Brazil,Camacan,SS   LW,"1,74",-
,Pablo,Right Winger,"May 5, 1987 ",36,['Brazil'],Brazil,São Paulo,,"1,70",-
