Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Simon Whaley,Midfielder,Attacking Midfield,"Jun 7, 1985 ",38,['England'],England,Bolton,,"1,77",-
,Peter Fellows,Midfielder,Attacking Midfield,"Aug 12, 1986 ",37,['England'],England,Shrewsbury,,,-
,Luke Sherbon,Midfielder,Attacking Midfield,"Jun 9, 1986 ",37,"['Wales', 'England']",England,Birmingham,CF   CM,"1,75",-
,Anthony Howell,Midfielder,Attacking Midfield,"May 27, 1986 ",37,['England'],England,Nottingham,LM   LW,"1,88",-
,Charlie Henry,Midfielder,Attacking Midfield,"Nov 30, 1986 ",37,['England'],England,Stevenage,,"1,67",-
,Will Hendry,Midfielder,Attacking Midfield,"Nov 10, 1986 ",37,['England'],England,Maidenhead,,"1,80",-
,Thomas Beattie,Midfielder,Attacking Midfield,"Sep 16, 1986 ",37,['England'],England,Goole,,,-
,Jake Sheridan,Midfielder,Attacking Midfield,"Jul 8, 1986 ",37,['England'],England,Nottingham,CF,"1,85",-
,Christian Seargeant,Midfielder,Attacking Midfield,"Sep 13, 1986 ",37,['England'],England,Liverpool,CM   LW,"1,80",-
,Chris Cornes,Midfielder,Attacking Midfield,"Dec 20, 1986 ",37,['England'],England,Worcester,,"1,80",-
,Conal Platt,Midfielder,Attacking Midfield,"Oct 14, 1986 ",37,['Ireland'],England,Preston,LW   CF,"1,76",-
,Liam Loughlin,Midfielder,Attacking Midfield,"Jun 9, 1987 ",36,['England'],England,Liverpool,,"1,85",-
,Clive Moyo-Modise,Midfielder,Attacking Midfield,"Sep 20, 1987 ",36,"['England', 'South Africa']",England,London,RW   CF,"1,83",-
,James Simmonds,Midfielder,Attacking Midfield,"Dec 3, 1987 ",36,"['Ireland', 'England']",England,London,RM,,-
,Chris Baguley,Midfielder,Attacking Midfield,"Sep 1, 1987 ",36,['England'],England,,CF,,-
14,Lewwis Spence,Midfielder,Attacking Midfield,"Oct 29, 1987 ",36,['England'],England,Lambeth,,"1,80",-
,Lee Martin,Midfielder,Attacking Midfield,"Feb 9, 1987 ",37,['England'],England,Taunton,LW   RW,"1,80",-
14,Adam Lallana,Midfielder,Attacking Midfield,"May 10, 1988 ",35,['England'],England,St Albans,LM   CM,"1,72",€1.00m
,Karl Hall,Midfielder,Attacking Midfield,"Jul 4, 1988 ",35,"['Seychelles', 'England']",England,Bradford,CF   LB,,-
,Robin Shroot,Midfielder,Attacking Midfield,"Mar 26, 1988 ",36,"['Northern Ireland', 'England']",England,London,SS   LM,"1,81",-
,Nicky Law,Midfielder,Attacking Midfield,"Mar 29, 1988 ",36,['England'],England,Plymouth,CM   LM,"1,78",-
,Lee Tuck,Midfielder,Attacking Midfield,"Jun 30, 1988 ",35,"['Malaysia', 'England']",England,Halifax,CM,"1,78",€150k
,Jimmy Beadle,Midfielder,Attacking Midfield,"Jun 23, 1988 ",35,['England'],England,Scarborough,CF,,-
,Wayne Brown,Midfielder,Attacking Midfield,"Aug 6, 1988 ",35,['England'],England,Kingston upon Thames,CM   RM,"1,75",-
15,Joe Dixon,Midfielder,Attacking Midfield,"Nov 27, 1989 ",34,['England'],England,,SS,,-
,Shelton Payne,Midfielder,Attacking Midfield,"Feb 4, 1989 ",35,['Wales'],England,Salford,RW   LW,,-
,Rob Sinclair,Midfielder,Attacking Midfield,"Aug 29, 1989 ",34,['England'],England,Bedford,RM   CM,"1,78",-
,Paul Marshall,Midfielder,Attacking Midfield,"Jul 9, 1989 ",34,"['England', 'Ireland']",England,Manchester,CM   LM,"1,85",-
,Chris Allen,Midfielder,Attacking Midfield,"Jan 3, 1989 ",35,['England'],England,Devizes,,"1,80",-
,Matthew Kay,Midfielder,Attacking Midfield,"Oct 12, 1989 ",34,['England'],England,Blackpool,CM,"1,83",-
,Daniel Roberts,Midfielder,Attacking Midfield,"Jun 29, 1989 ",34,"['United States', 'England']",England,Reading,,"1,85",-
,Matthew Clarke,Midfielder,Attacking Midfield,"Sep 4, 1989 ",34,['England'],England,Arlesey,,,-
,James Fraser,Midfielder,Attacking Midfield,"Apr 26, 1989 ",34,['England'],England,Brighton,SS,"1,75",-
,Danny Hart,Midfielder,Attacking Midfield,"Apr 26, 1989 ",34,['England'],England,London,,"1,78",-
,Domaine Rouse,Midfielder,Attacking Midfield,"Jul 4, 1989 ",34,['England'],England,Manchester,CM,"1,85",-
,Glynn Coney,Midfielder,Attacking Midfield,"Jul 20, 1990 ",33,['England'],England,,LW,,-
,Julian Myers,Midfielder,Attacking Midfield,"Aug 8, 1990 ",33,"['England', 'Ghana']",England,Croydon,RW   LW,"1,65",-
,Godfrey Poku,Midfielder,Attacking Midfield,"Jul 22, 1990 ",33,"['England', 'Ghana']",England,London,CM   RM,"1,80",-
,James Marwood,Midfielder,Attacking Midfield,"May 21, 1990 ",33,['England'],England,St. Albans,LW   RW,"1,75",-
,Dexter Panzavechia,Midfielder,Attacking Midfield,"Dec 30, 1990 ",33,"['Gibraltar', 'England']",England,London,RW   LM,"1,70",-
,Josh Gillies,Midfielder,Attacking Midfield,"Jun 12, 1990 ",33,['England'],England,Sunderland,RM   LM,"1,78",-
,John Rooney,Midfielder,Attacking Midfield,"Dec 17, 1990 ",33,"['England', 'Ireland']",England,Liverpool,CM   RM,"1,80",-
30,Jay Emmanuel-Thomas,Midfielder,Attacking Midfield,"Dec 27, 1990 ",33,"['England', 'St. Lucia']",England,London,CM   CF,"1,91",-
19,Romaine Sawyers,Midfielder,Attacking Midfield,"Nov 2, 1991 ",32,"['St. Kitts & Nevis', 'England']",England,Birmingham,CM   SS,"1,75",€600k
,Nyren Clunis,Midfielder,Attacking Midfield,"Sep 17, 1991 ",32,['England'],England,,RW   LW,,-
,Harrison Chatting,Midfielder,Attacking Midfield,"May 11, 1991 ",32,['England'],England,Basildon,LM,"1,66",-
,Junior Özsakir,Midfielder,Attacking Midfield,"Jun 22, 1991 ",32,"['England', 'Türkiye']",England,London,,,-
,Ben Reeves,Midfielder,Attacking Midfield,"Nov 19, 1991 ",32,"['Northern Ireland', 'England']",England,Verwood,CM   LM,"1,71",-
,Adam Roberts,Midfielder,Attacking Midfield,"Dec 30, 1991 ",32,['England'],England,Manchester,,"1,75",-
,Theo Lewis,Midfielder,Attacking Midfield,"Aug 10, 1991 ",32,"['England', 'Trinidad and Tobago']",England,Oxford,CM   LM,"1,78",-
19,Peter Pawlett,Midfielder,Attacking Midfield,"Feb 3, 1991 ",33,"['Scotland', 'England']",England,Hedon,RM   LM,"1,78",-
12,Jamie Paterson,Midfielder,Attacking Midfield,"Dec 20, 1991 ",32,"['England', 'Scotland']",England,Coventry,SS   LW,"1,75",€400k
,Josh Hine,Midfielder,Attacking Midfield,"Mar 4, 1991 ",33,['England'],England,Southport,,,-
21,Erhun Öztümer,Midfielder,Attacking Midfield,"May 29, 1991 ",32,"['Türkiye', 'England']",England,London,CM   SS,"1,60",-
,Charlie Oatway,Midfielder,Attacking Midfield,"Aug 11, 1991 ",32,['England'],England,London,RM,"1,78",-
,George Miller,Midfielder,Attacking Midfield,"Nov 25, 1991 ",32,['England'],England,Preston,,"1,75",-
,Saul Halpin,Midfielder,Attacking Midfield,"Oct 25, 1991 ",32,['England'],England,Bodmin,SS,"1,87",-
,Simon Johnson,Midfielder,Attacking Midfield,"Apr 14, 1991 ",32,['England'],England,Hailsham,CM,,-
10,Jesse Lingard,Midfielder,Attacking Midfield,"Dec 15, 1992 ",31,['England'],England,Warrington,LW   RW,"1,74",€6.00m
10,Mark Hartmann,Midfielder,Attacking Midfield,"Jan 20, 1992 ",32,"['Philippines', 'England']",England,Southampton,CF   CM,"1,84",€150k
,Joshua Cuby,Midfielder,Attacking Midfield,"May 25, 1992 ",31,"['Gibraltar', 'England']",England,London,LM,"1,72",-
16,Nicky Rushton,Midfielder,Attacking Midfield,"Feb 3, 1992 ",32,"['Wales', 'England']",England,Ellesmere Port,RW   CF,"1,80",-
,Merrick James-Lewis,Midfielder,Attacking Midfield,"May 21, 1992 ",31,['England'],England,London,LM   RM,"1,83",-
,Andrai Jones,Midfielder,Attacking Midfield,"Jan 1, 1992 ",32,['England'],England,Liverpool,CM   RM,"1,80",-
,Akil Grier,Midfielder,Attacking Midfield,"Sep 15, 1992 ",31,"['St. Kitts & Nevis', 'England']",England,Birmingham,LW   RW,,-
,Michael Thomas,Midfielder,Attacking Midfield,"Aug 12, 1992 ",31,['England'],England,Manchester,CM,"1,85",-
,Michael Ordish,Midfielder,Attacking Midfield,"Dec 3, 1992 ",31,['England'],England,Liverpool,SS   CF,,-
12,Luke Freeman,Midfielder,Attacking Midfield,"Mar 22, 1992 ",32,['England'],England,Dartford,LW   RW,"1,76",-
,Jamie Hopcutt,Midfielder,Attacking Midfield,"Jun 23, 1992 ",31,"['England', 'Sweden']",England,York,RW   LW,"1,80",€200k
11,Matt Warburton,Midfielder,Attacking Midfield,"May 24, 1992 ",31,['England'],England,Manchester,LW   RW,"1,76",-
,Jamie Moore,Midfielder,Attacking Midfield,"Mar 19, 1992 ",32,"['England', 'Ghana']",England,London,,"1,68",-
,Liam Hughes,Midfielder,Attacking Midfield,"Aug 10, 1992 ",31,['England'],England,Rotherham,CM   RM,"1,93",-
,Noah Keats,Midfielder,Attacking Midfield,"Feb 17, 1992 ",32,['England'],England,Exeter,CF,"1,75",-
,Reece Gray,Midfielder,Attacking Midfield,"Sep 1, 1992 ",31,['England'],England,Oldham,CF,"1,70",-
,Sean Geddes,Midfielder,Attacking Midfield,"Jan 13, 1992 ",32,"['England', 'Wales']",England,Sandwell,,"1,68",-
,Peter Gregory,Midfielder,Attacking Midfield,"Jul 25, 1992 ",31,['England'],England,Eastbourne,RW   LW,"1,82",-
,Jose Baxter,Midfielder,Attacking Midfield,"Feb 7, 1992 ",32,['England'],England,Bootle,CM   SS,"1,79",-
14,Bobby De Cordova-Reid,Midfielder,Attacking Midfield,"Feb 2, 1993 ",31,"['Jamaica', 'England']",England,Bristol,CM   RM,"1,70",€6.00m
46,Bradley Dack,Midfielder,Attacking Midfield,"Dec 31, 1993 ",30,['England'],England,London,LM   RM,"1,75",€1.20m
8,Jonathan Williams,Midfielder,Attacking Midfield,"Oct 9, 1993 ",30,"['Wales', 'England']",England,Tunbridge Wells,LM   CM,"1,68",€275k
,Terence Carter,Midfielder,Attacking Midfield,"Oct 10, 1993 ",30,"['England', 'United States']",England,London,LW   SS,,-
,Joe Holland,Midfielder,Attacking Midfield,"Apr 20, 1993 ",30,['England'],England,Birmingham,CM   RM,"1,78",-
,Jack Sherratt,Midfielder,Attacking Midfield,"Jul 29, 1993 ",30,['England'],England,Winchester,CM   LM,"1,86",-
,Alex Meaney,Midfielder,Attacking Midfield,"Jan 12, 1993 ",31,['England'],England,Bolton,,"1,74",-
,Declan Hunt,Midfielder,Attacking Midfield,"Sep 23, 1993 ",30,['England'],England,London,CM,,-
14,Bayan Fenwick,Midfielder,Attacking Midfield,"Nov 16, 1993 ",30,['England'],England,Eastbourne,CF   CM,"1,83",-
,Joe McGee,Midfielder,Attacking Midfield,"Mar 6, 1993 ",31,['England'],England,Wigan,,"1,81",-
,Michael Thalassitis,Midfielder,Attacking Midfield,"Jan 19, 1993","Jan 19, 1993","['Cyprus', 'England']",England,London,SS,"1,85",-
,Bradley Robinson,Midfielder,Attacking Midfield,"May 24, 1993 ",30,['England'],England,Manchester,SS   CF,"1,81",-
,Jack Phillips,Midfielder,Attacking Midfield,"Oct 15, 1993 ",30,['England'],England,Liverpool,RW   CM,,-
29,Alex Pritchard,Midfielder,Attacking Midfield,"May 3, 1993 ",30,['England'],England,Orsett,LM   RM,"1,68",€1.50m
,Ravel Morrison,Midfielder,Attacking Midfield,"Feb 2, 1993 ",31,"['Jamaica', 'England']",England,Manchester,CM   RM,"1,75",€350k
,Louis Irvine,Midfielder,Attacking Midfield,"Jul 1, 1993 ",30,['England'],England,Shrewsbury,CM,,-
,Nathan Valentine,Midfielder,Attacking Midfield,"Oct 5, 1993 ",30,['England'],England,,CM   RM,"1,85",-
,Craig Carney,Midfielder,Attacking Midfield,"Jan 1, 1993 ",31,"['England', 'Scotland']",England,Wigan,CM   CM,"1,85",-
,Will Agbo,Midfielder,Attacking Midfield,"Nov 18, 1993 ",30,['England'],England,London,,"1,70",-
,Jack Munns,Midfielder,Attacking Midfield,"Nov 18, 1993 ",30,['England'],England,Dagenham,CM   LM,"1,66",-
,Marcus Maddison,Midfielder,Attacking Midfield,"Sep 26, 1993 ",30,['England'],England,Durham,LW   RW,"1,80",-
,Dominic Vose,Midfielder,Attacking Midfield,"Nov 23, 1993 ",30,['England'],England,London,LW   RW,"1,73",-
10,Johnny Goddard,Midfielder,Attacking Midfield,"Jun 2, 1993 ",30,['England'],England,Sandhurst,LW   RW,"1,78",-
,Karl Cunningham,Midfielder,Attacking Midfield,"Nov 4, 1993 ",30,['England'],England,Lincoln,CM,"1,80",-
,Max Harrop,Midfielder,Attacking Midfield,"Jun 30, 1993 ",30,['England'],England,Oldham,LM   RM,"1,73",-
14,Luke Williams,Midfielder,Attacking Midfield,"Jun 11, 1993 ",30,"['England', 'Ireland']",England,Middlesbrough,LW   RW,"1,85",-
25,Matt Crooks,Midfielder,Attacking Midfield,"Jan 20, 1994 ",30,['England'],England,Leeds,CF   CM,"1,91",€1.50m
11,Josh Windass,Midfielder,Attacking Midfield,"Jan 9, 1994 ",30,['England'],England,Kingston upon Hull,CM   SS,"1,75",€500k
38,Elliot Lee,Midfielder,Attacking Midfield,"Dec 16, 1994 ",29,['England'],England,Durham,CF   LW,"1,80",€400k
10,Adil Nabi,Midfielder,Attacking Midfield,"Feb 28, 1994 ",30,"['England', 'Pakistan']",England,Birmingham,SS   CM,"1,75",€300k
9,Adam Thurston,Midfielder,Attacking Midfield,"Oct 13, 1994 ",29,['England'],England,Manchester,CM   RM,,€150k
,Cormac Noel,Midfielder,Attacking Midfield,"Nov 4, 1994 ",29,['England'],England,Brighton,RW   LW,"1,87",-
,Lewis Jones,Midfielder,Attacking Midfield,"Dec 25, 1994 ",29,"['British Virgin Islands', 'England']",England,Liverpool,LM   LB,"1,77",-
10,Nick Haughton,Midfielder,Attacking Midfield,"Sep 20, 1994 ",29,['England'],England,Manchester,CM   LM,"1,78",-
,Jack Paxman,Midfielder,Attacking Midfield,"Apr 6, 1994 ",29,['England'],England,Stanford-le-Hope,LW   RW,"1,78",-
,Dennis Knight,Midfielder,Attacking Midfield,"Jan 30, 1994 ",30,['England'],England,Newcastle,CM   LM,,-
,Luke Hornsey,Midfielder,Attacking Midfield,"Mar 26, 1994 ",30,['England'],England,Ashby,RB,"1,78",-
,Alban Bunjaku,Midfielder,Attacking Midfield,"May 20, 1994 ",29,"['Kosovo', 'England']",England,Romford,CM   LW,"1,86",-
39,George Honeyman,Midfielder,Attacking Midfield,"Sep 8, 1994 ",29,['England'],England,Prudhoe,CM,"1,73",€900k
11,Jack Payne,Midfielder,Attacking Midfield,"Oct 25, 1994 ",29,['England'],England,London,CM   SS,"1,65",€500k
11,Nick Powell,Midfielder,Attacking Midfield,"Mar 23, 1994 ",30,['England'],England,Crewe,CM   LW,"1,83",€375k
10,Sam Burfoot,Midfielder,Attacking Midfield,"Apr 10, 1994 ",29,"['New Zealand', 'England']",England,Bromley,CM   DM,"1,72",€175k
14,Daniel Dixon,Midfielder,Attacking Midfield,"Sep 5, 1994 ",29,"['England', 'Australia']",England,,LW   LB,"1,86",-
,D'Sean Theobalds,Midfielder,Attacking Midfield,"Oct 21, 1994 ",29,"['England', 'St. Lucia']",England,London,CM,"1,79",-
,Luis McCoy,Midfielder,Attacking Midfield,"Sep 2, 1994 ",29,"['Gibraltar', 'England']",England,Liverpool,RM   LM,"1,73",-
,Nicky Walker,Midfielder,Attacking Midfield,"Sep 8, 1994 ",29,['England'],England,Rotherham,RM   LM,"1,82",-
,Jordan Richardson,Midfielder,Attacking Midfield,"Mar 3, 1994 ",30,['England'],England,Liverpool,,,-
,Frankie Merrifield,Midfielder,Attacking Midfield,"Jan 8, 1994 ",30,['England'],England,London,CF,"1,83",-
,Ryan Lloyd,Midfielder,Attacking Midfield,"Feb 1, 1994 ",30,['England'],England,Newcastle-under-Lyme,CM   LM,"1,78",-
,Robbie Cotton,Midfielder,Attacking Midfield,"Sep 15, 1994 ",29,['England'],England,Rotherham,CM,"1,80",-
8,Sammie Szmodics,Midfielder,Attacking Midfield,"Sep 24, 1995 ",28,"['Ireland', 'Hungary']",England,Colchester,CM   SS,"1,68",€4.50m
14,Keshi Anderson,Midfielder,Attacking Midfield,"Apr 6, 1995 ",28,"['England', 'Nigeria']",England,Luton,LW   RW,"1,75",€300k
10,Danny Barrow,Midfielder,Attacking Midfield,"Nov 16, 1995 ",28,"['Wales', 'England']",England,Braunton,RW   LW,"1,71",€50k
,Jordan Akande,Midfielder,Attacking Midfield,"Jul 6, 1995 ",28,"['England', 'Nigeria']",England,London,LW   RW,,-
,Rod Young,Midfielder,Attacking Midfield,"Mar 4, 1995 ",29,"['England', 'Jamaica']",England,London,RW   LW,"1,78",-
,Cameron King,Midfielder,Attacking Midfield,"Oct 5, 1995 ",28,"['Scotland', 'England']",England,Bury St Edmonds,SS   LW,"1,85",-
