Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
33,Curtis Davies,Defender,Centre-Back,"Mar 15, 1985 ",39,"['Sierra Leone', 'England']",England,London,,"1,88",€75k
,James Mace,Defender,Centre-Back,"Mar 5, 1985 ",39,['England'],England,Solihull,,"1,83",-
,Edwin Pindi,Defender,Centre-Back,"Apr 29, 1985 ",38,"['England', 'DR Congo']",England,Birmingham,,"1,82",-
,Tesfa Robinson,Defender,Centre-Back,"Dec 7, 1985 ",38,"['St. Kitts & Nevis', 'England']",England,Birmingham,LB,"1,88",-
,Darren Blewitt,Defender,Centre-Back,"Sep 3, 1985 ",38,['England'],England,East Ham,,"1,88",-
,Dean Wells,Defender,Centre-Back,"May 23, 1985 ",38,['England'],England,London,,"1,85",-
,Nathan Koo-Boothe,Defender,Centre-Back,"Jul 18, 1985 ",38,"['Jamaica', 'England']",England,London,,"1,96",-
,Leon Legge,Defender,Centre-Back,"Apr 28, 1985 ",38,"['England', 'St. Lucia']",England,Bexhill-on-Sea,,"1,93",-
,Nathan Pond,Defender,Centre-Back,"Jan 5, 1985 ",39,"['Montserrat', 'England']",England,Preston,,"1,90",-
,Exodus Geohaghon,Defender,Centre-Back,"Feb 27, 1985 ",39,['England'],England,Birmingham,,"1,96",-
,Romell Gumbs,Defender,Centre-Back,"Nov 12, 1985 ",38,"['Anguilla', 'England']",England,Slough,,,-
,Kelvin Langmead,Defender,Centre-Back,"Mar 23, 1985 ",39,['England'],England,Coventry,,"1,85",-
,Johnny Mullins,Defender,Centre-Back,"Nov 6, 1985 ",38,['England'],England,London,RB   DM,"1,80",-
6,Richard Wood,Defender,Centre-Back,"Jul 5, 1985 ",38,['England'],England,Ossett,,"1,91",€75k
,Chris Pease,Defender,Centre-Back,"May 13, 1985 ",38,"['British Virgin Islands', 'England']",England,Southampton,,"1,75",-
,Lloyd Cotton,Defender,Centre-Back,"May 18, 1985 ",38,['England'],England,Brighton,DM,,-
,Tyran Taylor,Defender,Centre-Back,"Jan 7, 1985 ",39,['England'],England,Carlisle,,,-
,Andy Jones,Defender,Centre-Back,"Mar 23, 1985 ",39,['England'],England,Shrewsbury,,,-
,James Riley,Defender,Centre-Back,"May 2, 1985 ",38,['England'],England,Leeds,,"1,91",-
,Daniel Hammond,Defender,Centre-Back,"Apr 8, 1985 ",38,['England'],England,King's Lynn,,"1,94",-
,Ross Greenwood,Defender,Centre-Back,"Nov 1, 1985 ",38,['England'],England,York,RB,"1,80",-
,Mike McGrath,Defender,Centre-Back,"Sep 4, 1985 ",38,['England'],England,Birmingham,CM,"1,78",-
,Gary Brown,Defender,Centre-Back,"Oct 29, 1985 ",38,['England'],England,Darwen,,,-
,Jim McNulty,Defender,Centre-Back,"Feb 13, 1985 ",39,"['Scotland', 'England']",England,Runcorn,LB,"1,83",-
,Danny Ellis,Defender,Centre-Back,"Nov 23, 1985 ",38,['England'],England,Bradford,,"1,78",-
,James Perch,Defender,Centre-Back,"Sep 28, 1985 ",38,"['England', 'Jamaica']",England,Mansfield,RB   DM,"1,80",-
,Brett Johnson,Defender,Centre-Back,"Aug 15, 1985 ",38,['England'],England,London,LB,"1,88",-
,John McCombe,Defender,Centre-Back,"May 7, 1985 ",38,['England'],England,Pontefract,,"1,88",-
,Luke Foster,Defender,Centre-Back,"Sep 8, 1985 ",38,['England'],England,Mexborough,DM,"1,88",-
