Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
9,Chris Venables,Striker,Centre-Forward,"Jul 23, 1985 ",38,"['Wales', 'England']",England,Shrewsbury,AM   CM,"1,88",€75k
,Lev Yalcin,Striker,Centre-Forward,"Mar 22, 1985 ",39,"['Türkiye', 'England']",England,Middlesbrough,AM,"1,83",-
,Elliot Sandy,Striker,Centre-Forward,"May 3, 1985 ",38,['England'],England,Northampton,AM   SS,"1,86",-
,Euan Purcell,Striker,Centre-Forward,"Aug 14, 1985 ",38,['England'],England,Bolton,LW   RW,"1,86",-
,Sean Marks,Striker,Centre-Forward,"Nov 25, 1985 ",38,['England'],England,Essex,,,-
,Tyrone Barnett,Striker,Centre-Forward,"Oct 28, 1985 ",38,['England'],England,Birmingham,,"1,90",-
,Jake Speight,Striker,Centre-Forward,"Sep 28, 1985 ",38,['England'],England,Sheffield,,"1,70",-
,Liam Hearn,Striker,Centre-Forward,"Aug 27, 1985 ",38,['England'],England,Nottingham,RW,"1,80",-
,Nathan Crabb,Striker,Centre-Forward,"Jun 26, 1985 ",38,['England'],England,Eastbourne,SS   RW,,-
,Michael Rankine,Striker,Centre-Forward,"Jan 15, 1985 ",39,['England'],England,Doncaster,,"1,91",-
,Matthew Judge,Striker,Centre-Forward,"Jan 18, 1985 ",39,"['Ireland', 'England']",England,London,,"1,85",-
,Liam Dickinson,Striker,Centre-Forward,"Oct 4, 1985 ",38,['England'],England,Salford,,"1,93",-
,Josh Scott,Striker,Centre-Forward,"May 10, 1985 ",38,['England'],England,London,,"1,88",-
,Ashley Ruane,Striker,Centre-Forward,"Jun 25, 1985 ",38,['England'],England,Liverpool,,"1,74",-
,Kain Bond,Striker,Centre-Forward,"Jun 19, 1985 ",38,['England'],England,Torquay,,"1,73",-
,Neville Thompson,Striker,Centre-Forward,"Mar 2, 1985 ",39,['England'],England,Stoke-on-Trent,,,-
,Stewart Yetton,Striker,Centre-Forward,"Jul 27, 1985 ",38,['England'],England,Plymouth,,,-
,Craig Reid,Striker,Centre-Forward,"Dec 17, 1985 ",38,['England'],England,Coventry,,"1,78",-
,Ben Watson,Striker,Centre-Forward,"Dec 6, 1985 ",38,['England'],England,Shoreham-by-Sea,,"1,78",-
,Charlie Taylor,Striker,Centre-Forward,"Dec 1, 1985 ",38,['England'],England,London,,"1,88",-
,Michael Malcolm,Striker,Centre-Forward,"Oct 13, 1985 ",38,['England'],England,London,,"1,78",-
,Kyle Wilson,Striker,Centre-Forward,"Nov 14, 1985 ",38,['England'],England,Wirral,,"1,78",-
,Dale Johnson,Striker,Centre-Forward,"May 3, 1985 ",38,['England'],England,Ashton-under-Lyne,,"1,83",-
,Oliver Ryan,Striker,Centre-Forward,"Sep 26, 1985 ",38,['England'],England,Boston,,"1,75",-
,James Dean,Striker,Centre-Forward,"May 19, 1985","May 19, 1985",['England'],England,Blackburn,AM   CM,"1,91",-
,Robbie Simpson,Striker,Centre-Forward,"Mar 15, 1985 ",39,['England'],England,Poole,SS   LW,"1,85",-
,Tom Pope,Striker,Centre-Forward,"Aug 27, 1985 ",38,['England'],England,Stoke-on-Trent,,"1,91",-
,Ashley Vincent,Striker,Centre-Forward,"May 26, 1985 ",38,['England'],England,Birmingham,RW,"1,83",-
,Spencer Weir-Daley,Striker,Centre-Forward,"Sep 5, 1985 ",38,"['Montserrat', 'England']",England,Leicester,,"1,75",-
,James Keene,Striker,Centre-Forward,"Dec 26, 1985 ",38,['England'],England,Wells,SS   RW,"1,79",-
,David Nugent,Striker,Centre-Forward,"May 2, 1985 ",38,"['England', 'Ireland']",England,Huyton,,"1,80",-
