Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Stuart Boardley,Midfielder,Left Midfield,"Feb 14, 1985 ",39,['England'],England,Ipswich,,"1,78",-
,Matt Warner,Midfielder,Left Midfield,"May 12, 1985 ",38,['England'],England,Farnham,LW,,-
,James Thomas,Midfielder,Left Midfield,"Aug 23, 1985 ",38,['England'],England,Liverpool,,,-
,Martyn Woolford,Midfielder,Left Midfield,"Oct 13, 1985 ",38,['England'],England,Pontefract,LW,"1,83",-
,Dave Martin,Midfielder,Left Midfield,"Jun 3, 1985 ",38,['England'],England,Sidcup,CM   RM,"1,75",-
,Brian Smikle,Midfielder,Left Midfield,"Nov 3, 1985 ",38,['England'],England,Tipton,LB,"1,76",-
,Eddie Stanford,Midfielder,Left Midfield,"Feb 4, 1985 ",39,['England'],England,Blackburn,LB,"1,70",-
,Tom Winters,Midfielder,Left Midfield,"Dec 11, 1985 ",38,['England'],England,Banbury,,,-
,Jason St. Juste,Midfielder,Left Midfield,"Sep 21, 1985 ",38,"['St. Kitts & Nevis', 'England']",England,Leeds,LW   LB,"1,73",-
,Wayne Phillips,Midfielder,Left Midfield,"Aug 29, 1985 ",38,['England'],England,South Shields,LB,,-
,Liam Green,Midfielder,Left Midfield,"Aug 27, 1985 ",38,['England'],England,Grimsby,LB,"1,76",-
,Mitchell Cole,Midfielder,Left Midfield,"Oct 6, 1985","Oct 6, 1985",['England'],England,London,,"1,80",-
,Kevin McDonald,Midfielder,Left Midfield,"Jun 26, 1985 ",38,['England'],England,Newcastle upon Tyne,CM   RM,"1,78",-
,Daniel Showell,Midfielder,Left Midfield,"Sep 20, 1986 ",37,['England'],England,Wembley,AM   LW,"1,81",-
,Nicky Boshell,Midfielder,Left Midfield,"Aug 11, 1986 ",37,['England'],England,Bradford,CM   AM,,-
,Marcus Kelly,Midfielder,Left Midfield,"Mar 16, 1986 ",38,['England'],England,Kettering,LB   CM,"1,70",-
,Chris Taylor,Midfielder,Left Midfield,"Dec 20, 1986 ",37,['England'],England,Oldham,RM   CM,"1,83",-
,Jamie Day,Midfielder,Left Midfield,"May 7, 1986 ",37,['England'],England,Falmouth,LB,"1,76",-
,Joe Tillen,Midfielder,Left Midfield,"Dec 15, 1986 ",37,['England'],England,Reading,LB,"1,74",-
,Chris Almond,Midfielder,Left Midfield,"Aug 28, 1986 ",37,['England'],England,Preston,LW   CF,,-
,Lewis Taylor,Midfielder,Left Midfield,"Aug 1, 1986 ",37,['England'],England,Sutton,AM,"1,83",-
,Nick Hegarty,Midfielder,Left Midfield,"Jun 25, 1986 ",37,"['England', 'Australia']",England,Wakefield,LB   LW,"1,78",-
,Danny Sleath,Midfielder,Left Midfield,"Dec 14, 1986 ",37,['England'],England,Matlock,CM   RM,"1,73",-
,Danny Stevens,Midfielder,Left Midfield,"Nov 26, 1986 ",37,['England'],England,London,RM   CM,"1,63",-
,Steve Morgan,Midfielder,Left Midfield,"Feb 19, 1987 ",37,['England'],England,Shrewsbury,,,-
,Gavin Rothery,Midfielder,Left Midfield,"Sep 27, 1987 ",36,['England'],England,Leeds,CM   LB,"1,75",-
,Sean Clancy,Midfielder,Left Midfield,"Sep 16, 1987 ",36,['England'],England,Liverpool,LB   LW,"1,75",-
,Sam Gwynne,Midfielder,Left Midfield,"Dec 17, 1987 ",36,['England'],England,Hereford,,"1,73",-
,Josh Dutton-Black,Midfielder,Left Midfield,"Dec 29, 1987 ",36,['England'],England,Oxford,RM,"1,82",-
