Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Sean Taylor,Striker,Left Winger,"Dec 9, 1985 ",38,['England'],England,Ashington,RW   CF,"1,71",-
,George Boyd,Striker,Left Winger,"Oct 2, 1985 ",38,"['Scotland', 'England']",England,Chatham,RW   AM,"1,86",-
,Stacy Long,Striker,Left Winger,"Jan 11, 1985 ",39,['England'],England,Bromley,CM,"1,73",-
,Andre McCollin,Striker,Left Winger,"Mar 26, 1985 ",39,['England'],England,London,SS   CF,"1,70",-
,Wayne Routledge,Striker,Left Winger,"Jan 7, 1985 ",39,"['England', 'Jamaica']",England,London,RW   AM,"1,70",-
,Geoff Kellaway,Striker,Left Winger,"Apr 7, 1986 ",37,"['England', 'Wales']",England,Dorchester,AM   CF,,-
,Jamie Ward,Striker,Left Winger,"May 12, 1986 ",37,"['Northern Ireland', 'England']",England,Solihull,SS   RW,"1,65",-
,Michael Kightly,Striker,Left Winger,"Jan 24, 1986 ",38,['England'],England,Basildon,RW,"1,73",-
,Ryan Smith,Striker,Left Winger,"Nov 10, 1986 ",37,"['England', 'United States']",England,London,RW   CF,"1,74",-
,Andy Barcham,Striker,Left Winger,"Dec 16, 1986 ",37,['England'],England,Basildon,CF   RW,"1,75",-
23,Joe Healy,Striker,Left Winger,"Dec 26, 1986 ",37,['England'],England,Sidcup,,"1,83",-
,Matt Jarvis,Striker,Left Winger,"May 22, 1986 ",37,['England'],England,Middlesbrough,RW,"1,73",-
,Dean Bowditch,Striker,Left Winger,"Jun 15, 1986 ",37,['England'],England,Bishop's Stortford,RW   SS,"1,80",-
,Simon Dawkins,Striker,Left Winger,"Dec 1, 1987 ",36,"['Jamaica', 'England']",England,Edgware,RW   AM,"1,77",€75k
,Philip Jermann,Striker,Left Winger,"Mar 19, 1987 ",37,['Switzerland'],England,London,CF,"1,73",-
26,Ricky Holmes,Striker,Left Winger,"Jun 19, 1987 ",36,['England'],England,Rochford,RW   CF,"1,88",-
,Sean Evans,Striker,Left Winger,"Sep 25, 1987 ",36,['England'],England,Ludlow,,,-
,Joe Cardle,Striker,Left Winger,"Feb 7, 1987 ",37,['England'],England,Blackpool,LM   RM,"1,75",-
,Dean Cox,Striker,Left Winger,"Aug 12, 1987 ",36,['England'],England,Haywards Heath,RW,"1,63",-
,Levi Porter,Striker,Left Winger,"Apr 6, 1987 ",36,['England'],England,Leicester,LM,"1,60",-
,Nathan Arnold,Striker,Left Winger,"Jul 26, 1987 ",36,['England'],England,Mansfield,RW   SS,"1,70",-
,Rob Ashley,Striker,Left Winger,"Feb 11, 1987 ",37,['England'],England,Shrewsbury,,,-
,Greg Morgan,Striker,Left Winger,"Nov 22, 1987 ",36,['England'],England,London,CF,,-
,Alex Rodman,Striker,Left Winger,"Feb 15, 1987 ",37,['England'],England,Sutton Coldfield,RW   AM,"1,88",-
,Ishmael Welsh,Striker,Left Winger,"Sep 8, 1987 ",36,['England'],England,Deptford,LM,"1,70",-
,Kyel Reid,Striker,Left Winger,"Nov 26, 1987 ",36,"['England', 'Jamaica']",England,London,LM,"1,78",-
,Marc Pugh,Striker,Left Winger,"Apr 2, 1987 ",37,['England'],England,Bacup,RW,"1,80",-
,Lee Holmes,Striker,Left Winger,"Apr 2, 1987 ",37,['England'],England,Mansfield,RW,"1,75",-
,Mark Davies,Striker,Left Winger,"Feb 12, 1988 ",36,"['Wales', 'England']",England,Shrewsbury,LB,,-
,Kevin Holsgrove,Striker,Left Winger,"Jan 19, 1988 ",36,['England'],England,Birkenhead,LM,,-
