Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Jamie Palmer,Defender,Right-Back,"Nov 25, 1985 ",38,['England'],England,,,,-
,Ryan Toulson,Defender,Right-Back,"Nov 18, 1985 ",38,['England'],England,Halifax,CB,"1,85",-
,Andy Wright,Defender,Right-Back,"Jan 15, 1985 ",39,['England'],England,Formby,DM   CB,"1,85",-
,Nathan D'Laryea,Defender,Right-Back,"Sep 3, 1985 ",38,"['England', 'Ghana']",England,Manchester,,"1,78",-
,Phil Edwards,Defender,Right-Back,"Nov 8, 1985 ",38,['England'],England,Bootle,CB   DM,"1,73",-
,Scott Wiseman,Defender,Right-Back,"Oct 9, 1985 ",38,"['Gibraltar', 'England']",England,Kingston upon Hull,CB   LB,"1,83",-
,David Raven,Defender,Right-Back,"Mar 10, 1985 ",39,['England'],England,Birkenhead,CB,"1,83",-
,Chris Davies,Defender,Right-Back,"Mar 27, 1985 ",39,"['Wales', 'England']",England,Watford,,"1,77",-
,Dominic Roma,Defender,Right-Back,"Nov 29, 1985 ",38,['England'],England,Sheffield,LB,"1,78",-
,Patrick Collins,Defender,Right-Back,"Feb 4, 1985 ",39,['England'],England,Newcastle upon Tyne,,"1,88",-
,Osei Sankofa,Defender,Right-Back,"Mar 19, 1985 ",39,"['England', 'Jamaica']",England,London,,"1,83",-
,Tony Sinclair,Defender,Right-Back,"Mar 5, 1985 ",39,['England'],England,Lewisham,CB,,-
,Junior English,Defender,Right-Back,"Oct 8, 1985 ",38,['England'],England,Birmingham,,"1,86",-
,Andy Gallinagh,Defender,Right-Back,"Mar 16, 1985 ",39,['England'],England,Sutton Coldfield,,"1,78",-
,Dale Tonge,Defender,Right-Back,"May 7, 1985 ",38,['England'],England,Barnsley,RM,"1,78",-
,James Smith,Defender,Right-Back,"Oct 17, 1985 ",38,['England'],England,Liverpool,,"1,78",-
,Phil Picken,Defender,Right-Back,"Nov 12, 1985 ",38,['England'],England,Droylsden,,"1,75",-
,Stephen Vaughan,Defender,Right-Back,"Jan 22, 1985 ",39,['England'],England,Liverpool,,N/A,-
,Ben Herd,Defender,Right-Back,"Jun 21, 1985 ",38,['England'],England,Welwyn Garden City,,"1,75",-
,Phil Bardsley,Defender,Right-Back,"Jun 28, 1985 ",38,"['Scotland', 'England']",England,Salford,LB,"1,80",-
,Simon Francis,Defender,Right-Back,"Feb 16, 1985 ",39,['England'],England,Nottingham,CB,"1,91",-
,Dan Gleeson,Defender,Right-Back,"Feb 17, 1985 ",39,['England'],England,Cambridge,,"1,91",-
21,Lee Peltier,Defender,Right-Back,"Dec 11, 1986 ",37,"['England', 'Antigua and Barbuda']",England,Liverpool,CB   DM,"1,78",€150k
,Kashif Siddiqi,Defender,Right-Back,"Jan 25, 1986 ",38,"['Pakistan', 'England']",England,London,,"1,75",-
,Ryan Hill,Defender,Right-Back,"Oct 8, 1986 ",37,['England'],England,Ashford,,,-
,Ben Christensen,Defender,Right-Back,"Nov 16, 1986 ",37,['England'],England,Whitley Bay,CB,,-
,Liam Parker,Defender,Right-Back,"Feb 22, 1986 ",38,['England'],England,Skegness,,,-
,Lee Vaughan,Defender,Right-Back,"Jul 17, 1986 ",37,['England'],England,Birmingham,RM,"1,75",-
,Cameron Mawer,Defender,Right-Back,"Feb 21, 1986 ",38,['England'],England,Stevenage,,,-
,Sean Clohessy,Defender,Right-Back,"Dec 12, 1986 ",37,['England'],England,London,,"1,78",-
,Jared Hodgkiss,Defender,Right-Back,"Nov 15, 1986 ",37,['England'],England,Stafford,LB,"1,68",-
,Scott Sutter,Defender,Right-Back,"May 13, 1986 ",37,"['Switzerland', 'England']",England,London,RM   LB,"1,80",-
,Tony McMahon,Defender,Right-Back,"Mar 24, 1986 ",38,['England'],England,Bishop Auckland,RM   DM,"1,80",-
,Drew Talbot,Defender,Right-Back,"Jul 19, 1986 ",37,['England'],England,Barnsley,RM   LB,"1,78",-
,Tom Ingram,Defender,Right-Back,"Oct 24, 1986 ",37,['England'],England,Leicester,CB   CM,,-
,Danny Harris,Defender,Right-Back,"Jul 7, 1986 ",37,['England'],England,Newham,AM   RM,,-
,Kyle Jacobs,Defender,Right-Back,"Oct 18, 1986 ",37,['England'],England,Manchester,RM,"1,81",-
,Sam Denton,Defender,Right-Back,"Jul 31, 1986 ",37,['England'],England,Leeds,CB   CF,"1,88",-
,Craig Baxter,Defender,Right-Back,"Sep 27, 1986 ",37,['England'],England,Newcastle-upon-Tyne,CB,"1,78",-
,Liam Brownhill,Defender,Right-Back,"Nov 28, 1986 ",37,['England'],England,Altrincham,LB,"1,78",-
,Aaron Hardy,Defender,Right-Back,"May 26, 1986 ",37,['England'],England,South Elmsall,,"1,73",-
,Dean Smith,Defender,Right-Back,"Aug 13, 1986 ",37,['England'],England,London,,"1,78",-
,Paul Bignot,Defender,Right-Back,"Feb 14, 1986 ",38,['England'],England,Birmingham,CB,"1,85",-
,Danny Warrender,Defender,Right-Back,"Apr 28, 1986 ",37,['England'],England,Manchester,DM,"1,78",-
,Philip Ifil,Defender,Right-Back,"Nov 18, 1986 ",37,"['England', 'St. Lucia']",England,London,LB,"1,75",-
2,John Brayford,Defender,Right-Back,"Dec 29, 1987 ",36,['England'],England,Stoke-on-Trent,CB,"1,73",€75k
,Adam Hitchen,Defender,Right-Back,"Nov 17, 1987 ",36,['England'],England,Liverpool,,,-
,Neil Prescott,Defender,Right-Back,"Feb 23, 1987 ",37,['England'],England,Darlington,CM,,-
,Indy Aujla,Defender,Right-Back,"Oct 25, 1987 ",36,"['England', 'India']",England,Bradford,,"1,70",-
,Craig Williams,Defender,Right-Back,"Dec 21, 1987 ",36,"['Wales', 'England']",England,Shrewsbury,,,-
,Craig Jones,Defender,Right-Back,"Mar 20, 1987 ",37,"['Wales', 'England']",England,Chester,RM,"1,70",-
,Nathaniel Kerr,Defender,Right-Back,"Oct 31, 1987 ",36,['England'],England,Manchester,,"1,83",-
,James Sinclair,Defender,Right-Back,"Oct 22, 1987 ",36,"['England', 'Northern Ireland']",England,Newcastle upon Tyne,RM,"1,80",-
,Craig Alcock,Defender,Right-Back,"Dec 8, 1987 ",36,['England'],England,Truro,CB   LB,"1,73",-
,Ryan Peters,Defender,Right-Back,"Aug 21, 1987 ",36,['England'],England,Wandsworth,RM,"1,73",-
,Ben Starosta,Defender,Right-Back,"Jan 7, 1987 ",37,"['Poland', 'England']",England,Sheffield,CB   DM,"1,76",-
,Cavell Coo,Defender,Right-Back,"Aug 7, 1987 ",36,['England'],England,Manchester,LB,,-
,Billy Jones,Defender,Right-Back,"Mar 24, 1987 ",37,['England'],England,Shrewsbury,LB,"1,82",-
18,Jack Sealy,Defender,Right-Back,"May 4, 1987 ",36,"['Hongkong', 'England']",England,Southampton,RM   DM,"1,74",€25k
,Craig Blakemore,Defender,Right-Back,"May 2, 1987 ",36,['England'],England,Shrewsbury,,,-
,Phil Starkey,Defender,Right-Back,"Sep 10, 1987 ",36,['England'],England,Gravesend,CB,,-
,Sheku Kamara,Defender,Right-Back,"Nov 15, 1987 ",36,['England'],England,London,,,-
