Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Ryan Hayes,Midfielder,Right Midfield,"Jul 15, 1985 ",38,['England'],England,Greenwich,CM,,-
,Gary Wales,Midfielder,Right Midfield,"Jun 26, 1985 ",38,['England'],England,Berwick-upon-Tweed,RW,,-
,Dan Stratford,Midfielder,Right Midfield,"May 29, 1985 ",38,['England'],England,London,RB,"1,80",-
,Peter Till,Midfielder,Right Midfield,"Sep 7, 1985 ",38,['England'],England,Walsall,RW   CF,"1,80",-
,Lee Croft,Midfielder,Right Midfield,"Jun 21, 1985 ",38,['England'],England,Wigan,RW,"1,77",-
,Adem Atay,Midfielder,Right Midfield,"Dec 8, 1985 ",38,"['England', 'Türkiye']",England,Cambridge,,"1,70",-
,Dave Hankin,Midfielder,Right Midfield,"Mar 25, 1985 ",39,['England'],England,Preston,RW,"1,90",-
,Simon Russell,Midfielder,Right Midfield,"Mar 19, 1985 ",39,['England'],England,Hull,LM   CM,"1,70",-
,Simon Wiles,Midfielder,Right Midfield,"Apr 22, 1985 ",38,['England'],England,Preston,,"1,80",-
,Ricky Shakes,Midfielder,Right Midfield,"Jan 25, 1985 ",39,"['Guyana', 'England']",England,Brixton,LM   CM,"1,78",-
,Ryan Semple,Midfielder,Right Midfield,"Jul 14, 1985 ",38,"['England', 'England']",England,Peterborough,,"1,80",-
,Kevan Hurst,Midfielder,Right Midfield,"Aug 27, 1985 ",38,['England'],England,Chesterfield,LM   CM,"1,78",-
,Nathan Jackson,Midfielder,Right Midfield,"Aug 26, 1986 ",37,['England'],England,Birmingham,,,-
,Michael Lyon,Midfielder,Right Midfield,"Dec 23, 1986 ",37,['England'],England,Milton Keynes,CM,"1,78",-
,Tyrone Kirk,Midfielder,Right Midfield,"Nov 2, 1986 ",37,['England'],England,Scunthorpe,LM,"1,80",-
,Joel Etienne-Clark,Midfielder,Right Midfield,"Oct 10, 1986 ",37,['Dominica'],England,Chelmsford,,,-
,Joe Colbeck,Midfielder,Right Midfield,"Nov 29, 1986 ",37,['England'],England,Bradford,,"1,80",-
,Jermain Hollis,Midfielder,Right Midfield,"Oct 7, 1986 ",37,"['Jamaica', 'England']",England,Nottingham,CM   AM,"1,78",-
,Andy Hall,Midfielder,Right Midfield,"Jan 25, 1986 ",38,['England'],England,,RW,"1,68",-
,Kyle Patterson,Midfielder,Right Midfield,"Jan 6, 1986 ",38,['England'],England,Birmingham,RB,"1,75",-
,Nicky Adams,Midfielder,Right Midfield,"Oct 16, 1986 ",37,"['Wales', 'England']",England,Bolton,LM   AM,"1,78",-
,Mathew Birley,Midfielder,Right Midfield,"Jul 26, 1986 ",37,['England'],England,Bromsgrove,CM,"1,78",-
,Matt Dodd,Midfielder,Right Midfield,"Jan 23, 1987 ",37,['England'],England,Wolverhampton,LM,,-
,James Dance,Midfielder,Right Midfield,"Mar 15, 1987 ",37,['England'],England,Coleshill,RB   CM,"1,76",-
,Chris Whelpdale,Midfielder,Right Midfield,"Jan 27, 1987 ",37,['England'],England,Brentwood,LM   RB,"1,84",-
,Danny Racchi,Midfielder,Right Midfield,"Nov 22, 1987 ",36,"['England', 'Italy']",England,Elland,CM,"1,73",-
,Sam Duncum,Midfielder,Right Midfield,"Feb 18, 1987 ",37,['England'],England,Sheffield,LM,"1,75",-
,Nicky Travis,Midfielder,Right Midfield,"Mar 12, 1987 ",37,['England'],England,Sheffield,,"1,83",-
,Aston Goss,Midfielder,Right Midfield,"Sep 26, 1987 ",36,['England'],England,Aylesbury,,,-
,Liam Feeney,Midfielder,Right Midfield,"Jan 21, 1987 ",37,"['England', 'Jamaica']",England,London,LM,"1,83",-
,Tommy Fraser,Midfielder,Right Midfield,"Dec 5, 1987 ",36,['England'],England,Brighton,,"1,80",-
,Scott Donnelly,Midfielder,Right Midfield,"Dec 25, 1987 ",36,['England'],England,London,CM   AM,"1,73",-
,Rob Norris,Midfielder,Right Midfield,"Oct 12, 1987 ",36,['England'],England,Nottingham,CM,"1,81",-
,Lionel Ainsworth,Midfielder,Right Midfield,"Oct 1, 1987 ",36,['England'],England,Nottingham,RW,"1,66",-
17,Elliott Bennett,Midfielder,Right Midfield,"Dec 18, 1988 ",35,"['Jamaica', 'England']",England,Telford,RB   LM,"1,79",€100k
,Peter Doran,Midfielder,Right Midfield,"Nov 30, 1988 ",35,['England'],England,Liverpool,,"1,77",-
,Alistair Slowe,Midfielder,Right Midfield,"Oct 16, 1988 ",35,['England'],England,Brighton,RB,"1,80",-
,Jammall Shahin,Midfielder,Right Midfield,"Dec 19, 1988 ",35,"['Jordan', 'England']",England,Grimsby,,,-
,Gareth Evans,Midfielder,Right Midfield,"Apr 26, 1988 ",35,['England'],England,Macclesfield,CM   RB,"1,79",-
,Byron Moore,Midfielder,Right Midfield,"Aug 24, 1988 ",35,"['England', 'Jamaica']",England,Stoke-on-Trent,RW   CF,"1,83",-
,Andy Haworth,Midfielder,Right Midfield,"Nov 28, 1988 ",35,['England'],England,Lancaster,LM   AM,"1,80",-
,Les Thompson,Midfielder,Right Midfield,"May 6, 1988 ",35,['England'],England,London,RB,"1,78",-
,Jamie Yates,Midfielder,Right Midfield,"Dec 24, 1988 ",35,['England'],England,Sheffield,,"1,70",-
,Lloyd Kerry,Midfielder,Right Midfield,"Jul 22, 1988 ",35,['England'],England,Chesterfield,CM   LM,"1,70",-
,Darryl Knights,Midfielder,Right Midfield,"May 1, 1988 ",35,['England'],England,Ipswich,CM   CF,"1,71",-
,Luke Watts,Midfielder,Right Midfield,"Jul 12, 1988 ",35,['England'],England,Stoke,LM   CM,"1,75",-
,Jermaine McGlashan,Midfielder,Right Midfield,"Apr 14, 1988 ",35,"['England', 'Grenada']",England,London,LM   AM,"1,70",-
,John Dillon,Midfielder,Right Midfield,"Aug 2, 1988 ",35,['England'],England,Liverpool,LM,"1,78",-
,James Dayton,Midfielder,Right Midfield,"Dec 12, 1988 ",35,['England'],England,London,LM   CM,"1,71",-
,Simon Harrison,Midfielder,Right Midfield,"Dec 24, 1988 ",35,['England'],England,Sheffield,,,-
,Matt Thornhill,Midfielder,Right Midfield,"Oct 11, 1988 ",35,['England'],England,Nottingham,AM,"1,85",-
,Alex Campana,Midfielder,Right Midfield,"Oct 11, 1988 ",35,['England'],England,London,RW   CF,"1,80",-
,Matthew Cassidy,Midfielder,Right Midfield,"Oct 2, 1988 ",35,['Ireland'],England,Blackpool,,"1,83",-
,Wes Fogden,Midfielder,Right Midfield,"Apr 12, 1988 ",35,['England'],England,Brighton,CM   LM,"1,75",-
,Paul Anderson,Midfielder,Right Midfield,"Jul 23, 1988 ",35,['England'],England,Melton Mowbray,LM   RB,"1,75",-
11,Matt Ritchie,Midfielder,Right Midfield,"Sep 10, 1989 ",34,"['Scotland', 'England']",England,Gosport,LM   LB,"1,73",€1.00m
17,James Henry,Midfielder,Right Midfield,"Jun 10, 1989 ",34,"['England', 'Scotland']",England,Reading,CM   AM,"1,82",€75k
,Steve Ramsey,Midfielder,Right Midfield,"Nov 23, 1989 ",34,['England'],England,Coventry,CM   LM,,-
,Rhys Henry,Midfielder,Right Midfield,"Dec 7, 1989 ",34,['England'],England,Ipswich,RW,"1,68",-
,Anthony Cook,Midfielder,Right Midfield,"Aug 10, 1989 ",34,"['England', 'Grenada']",England,London,RW   RB,"1,70",-
,Stef Frost,Midfielder,Right Midfield,"Jul 3, 1989 ",34,['England'],England,Nottingham,RW,"1,88",-
,Joe Thompson,Midfielder,Right Midfield,"Mar 5, 1989 ",35,['England'],England,Bath,RW   LM,"1,83",-
,Peggy Lokando,Midfielder,Right Midfield,"Sep 18, 1989 ",34,"['DR Congo', 'England']",England,London,,"1,78",-
11,Marc Albrighton,Midfielder,Right Midfield,"Nov 18, 1989 ",34,['England'],England,Tamworth,LM   CM,"1,75",€500k
,Rory Fallon,Midfielder,Right Midfield,"Oct 3, 1989 ",34,['England'],England,Warrington,LM   AM,,-
,James Potton,Midfielder,Right Midfield,"Jul 6, 1989 ",34,['England'],England,St. Albans,LM,,-
,Dean Mason,Midfielder,Right Midfield,"Feb 28, 1989 ",35,"['Montserrat', 'England']",England,London,,"1,80",-
,Matty Blair,Midfielder,Right Midfield,"Jun 21, 1989 ",34,"['England', 'Scotland']",England,Warwick,RB   CM,"1,78",-
,Izak Reid,Midfielder,Right Midfield,"Sep 13, 1989 ",34,['England'],England,Stafford,RB   CM,"1,65",-
,Dan Smith,Midfielder,Right Midfield,"Oct 5, 1989 ",34,['England'],England,Saltash,,"1,81",-
8,Joe Edwards,Midfielder,Right Midfield,"Oct 31, 1990 ",33,['England'],England,Gloucester,CM   RB,"1,73",€200k
