Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
3,Daniel Congré,Centre-Back,"Apr 5, 1985 ",38,"['France', 'Guadeloupe']",France,Toulouse,RB   LB,"1,85",€100k
,Lee-Roy Fernandez,Centre-Back,"Jun 15, 1985 ",38,['France'],France,Reims,,"1,85",-
,Jonathan Magry,Centre-Back,"Nov 25, 1985 ",38,['France'],France,Calais,,"1,88",-
,Willy Barru,Centre-Back,"Oct 2, 1985 ",38,"['France', 'Martinique']",France,Rennes,DM,"1,79",-
,Benoît Darcy,Centre-Back,"Mar 2, 1985 ",39,['France'],France,Reims,LB,"1,85",-
,Stéphane Roux,Centre-Back,"Jul 1, 1985 ",38,['France'],France,Lyon,RB   LB,"1,80",-
,Aurélien Mairet,Centre-Back,"Jun 26, 1985 ",38,['France'],France,Saint-Rémy,,"1,87",-
,Jérémie Roumégous,Centre-Back,"May 9, 1985 ",38,['France'],France,Villefranche-de-Rouergue,RB   LB,"1,81",-
,Mohamed Ali Gharzoul,Centre-Back,"Dec 14, 1985 ",38,"['France', 'Tunisia']",France,Tarbes,,"1,88",-
,Benamar Belabbas,Centre-Back,"Apr 20, 1985 ",38,"['Algeria', 'France']",France,Villeneuve-Saint-Georges,,"1,84",-
,Vincent Richetin,Centre-Back,"Aug 13, 1985 ",38,['France'],France,Nîmes,,"1,78",-
,Habib Baldé,Centre-Back,"Feb 8, 1985 ",39,"['Guinea', 'France']",France,Saint-Vallier,DM   RB,"1,82",-
,Samuel Dog,Centre-Back,"Feb 13, 1985 ",39,"['France', 'Senegal']",France,Lille,DM,"1,95",-
,Vincent Abbal,Centre-Back,"May 25, 1985 ",38,['France'],France,Montpellier,,"1,85",-
,James Hanffou,Centre-Back,"Aug 17, 1985 ",38,"['France', 'Cameroon']",France,Rambouillet,,"1,94",-
,Rémy Arriola,Centre-Back,"Apr 12, 1985 ",38,['France'],France,Rillieux-la-Pape,,"1,88",-
,Guillaume Arisi,Centre-Back,"Sep 27, 1985 ",38,['France'],France,Belfort,,"1,85",-
,Jessie Londas,Centre-Back,"Jan 12, 1985 ",39,['France'],France,Créteil,SW,"1,81",-
,Nicolas Flégeau,Centre-Back,"Sep 6, 1985 ",38,['France'],France,Hennebont,LB,"1,82",-
,Geoffrey Cadet,Centre-Back,"Mar 29, 1985 ",38,"['France', 'Switzerland']",France,,LM,,-
