Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Aziz Dahchour,Central Midfield,"Apr 21, 1985 ",38,"['France', 'Morocco']",France,Sens,AM,"1,70",€50k
,Grégory Kouam,Central Midfield,"Dec 30, 1985 ",38,['France'],France,Lyon,AM,,-
,Thomas Delanoë,Central Midfield,"Apr 21, 1985 ",38,['France'],France,Nantes,AM   DM,"1,87",-
,Sébastien Vezine,Central Midfield,"Dec 6, 1985 ",38,['France'],France,Brive la Gaillarde,,"1,88",-
,Arnaud Billeaux,Central Midfield,"May 6, 1985 ",38,['France'],France,Seclin,DM   AM,"1,76",-
,Antoine Devaux,Central Midfield,"Feb 21, 1985 ",39,['France'],France,Dieppe,DM   AM,"1,85",-
,Bakaye Traoré,Central Midfield,"Mar 6, 1985 ",38,"['Mali', 'France']",France,Bondy,AM   DM,"1,86",-
,Julien Fernandes,Central Midfield,"Mar 16, 1985 ",38,"['Portugal', 'France']",France,Montluçon,CB,"1,83",-
,Gaetan Krebs,Central Midfield,"Nov 18, 1985 ",38,['France'],France,Mulhouse,LM   RM,N/A,-
,Florent Ghisolfi,Central Midfield,"Feb 28, 1985 ",39,"['France', 'Italy']",France,Bastia,DM,"1,75",-
,Samir Louadj,Central Midfield,"Dec 9, 1985 ",38,"['France', 'Algeria']",France,Forbach,AM   LM,"1,73",-
18,Hakan Özmert,Central Midfield,"Jun 3, 1985 ",38,"['Türkiye', 'France']",France,Nantes,DM   AM,"1,78",€25k
,Thomas Coutant,Central Midfield,"Jul 8, 1985 ",38,['France'],France,Nogent-sur-Marne,,"1,83",-
,Jonathan Gonçalves,Central Midfield,"Dec 1, 1985 ",38,"['France', 'Portugal']",France,Saint-Dié-des-Vosges,,"1,70",-
,Vincent Escudé-Candau,Central Midfield,"Mar 26, 1985 ",38,['France'],France,Pau,AM   SS,"1,79",-
,Walid Mesloub,Central Midfield,"Sep 4, 1985 ",38,"['Algeria', 'France']",France,Trappes,AM,"1,80",-
,Laurent Heloïse,Central Midfield,"May 13, 1985 ",38,['France'],France,Amiens,RB   RM,"1,83",-
