Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
16.0,Jean-Louis Leca,Goalkeeper,"Sep 21, 1985 ",38,France,France,Bastia,"1,80",€200k,,France,,,
,Mathieu Suffissais,Goalkeeper,"May 30, 1985 ",38,France,France,Laval,"1,83",-,,France,,,
,Gérald Delaporte,Goalkeeper,"Dec 18, 1985 ",38,France,France,,,-,,France,,,
,Thomas Fedrigo,Goalkeeper,"May 10, 1985 ",38,"France, Italy",France,Paray-le-Monial,"1,80",-,,France, Italy,,
,Florian Piolot,Goalkeeper,"Dec 24, 1985 ",38,France,France,Pabu,"1,86",-,,France,,,
,Sébastien Callamand,Goalkeeper,"Jun 26, 1985 ",38,France,France,Oyonnax,"1,86",-,,France,,,
,Foued Baba Alla,Goalkeeper,"Sep 23, 1985 ",38,"Morocco, France",France,Graulhet,,-,,Morocco, France,,
,Hadama Bathily,Goalkeeper,"Jun 18, 1985 ",38,"France, Mali",France,Rouen,"1,85",-,,France, Mali,,
,Florian Aït Ali,Goalkeeper,"Jan 4, 1985 ",39,France,France,Toulouse,"1,76",-,,France,,,
,Thomas Aupic,Goalkeeper,"Feb 24, 1985 ",39,France,France,Dijon,"1,77",-,,France,,,
,Arnaud Ribeiro,Goalkeeper,"Jun 6, 1985 ",38,France,France,Lagny-sur-Marne,"1,86",-,,France,,,
,Gregory Douard,Goalkeeper,"Aug 1, 1985 ",38,France,France,Chateaubriant,"1,80",-,,France,,,
,Christopher Pilar,Goalkeeper,"Mar 29, 1985 ",38,"Portugal, France",France,Dijon,"1,85",-,,Portugal, France,,
,Sébastien Jaffré,Goalkeeper,"Jan 26, 1985 ",39,France,France,Morlaix,,-,,France,,,
,Arnaud Maillot,Goalkeeper,"Mar 12, 1985 ",38,France,France,Besancon,"1,78",-,,France,,,
,Benjamin Rytlewski,Goalkeeper,"Dec 26, 1985 ",38,"France, Poland",France,Bethune,"1,86",-,,France, Poland,,
30.0,Stéphane Schneider,Goalkeeper,"Jan 3, 1985 ",39,France,France,Strasbourg,"1,87",-,,France,,,
,Guillaume Garnier,Goalkeeper,"Jul 5, 1985 ",38,France,France,Mantes-la-Jolie,,-,,France,,,
,Nicolas D'Alessio,Goalkeeper,"Dec 24, 1985 ",38,France,France,,"1,84",-,,France,,,
,Lucas Rastello,Goalkeeper,"Apr 21, 1985 ",38,France,France,Marseille,"1,79",-,,France,,,
,Cédric Si Mohammed,Goalkeeper,"Jan 9, 1985 ",39,"Algeria, France",France,Roanne,"1,83",-,,Algeria, France,,
,Clément Maury,Goalkeeper,"Nov 20, 1985 ",38,France,France,Aurillac,"1,82",-,,France,,,
,Yann Hubert,Goalkeeper,"Jan 9, 1985 ",39,France,France,Nimes,"1,86",-,,France,,,
,Adrien Gato,Goalkeeper,"Dec 16, 1985 ",38,France,France,Neuilly-sur-Seine,"1,74",-,,France,,,
,Gaëtan Deneuve,Goalkeeper,"May 3, 1985 ",38,France,France,Harfleur,"1,83",-,,France,,,
,Mickael Castejon,Goalkeeper,"Mar 21, 1985 ",38,"France, Spain",France,Libourne,"1,81",-,,France, Spain,,
,Fabien Farnolle,Goalkeeper,"Feb 5, 1985 ",39,"Benin, France",France,Bordeaux,"1,97",-,,Benin, France,,
,Simon Pouplin,Goalkeeper,"May 28, 1985 ",38,France,France,Cholet,,-,,France,,,
,Benoît Benvegnu,Goalkeeper,"Jan 18, 1985 ",39,France,France,Montauban,"1,84",-,,France,,,
22.0,Alexandre Martinovic,Goalkeeper,"May 31, 1985 ",38,"France, Montenegro",France,Montbeliard,"1,93",-,,France, Montenegro,,
,Johan Lapeyre,Goalkeeper,"Aug 3, 1985 ",38,France,France,Le Plessis-Bouchard,"1,78",-,,France,,,
,Nicolas Cousin,Goalkeeper,"Jul 11, 1985 ",38,France,France,Nemours,"1,84",-,,France,,,
,Alexis Thébaux,Goalkeeper,"Mar 17, 1985 ",38,France,France,Les Sables-d'Olonne,"1,85",-,,France,,,
24.0,Yohann Lacroix,Goalkeeper,"Feb 1, 1985 ",39,France,France,Thonon-les-Bains,"1,94",-,,France,,,
,Wilfried Bulgare,Goalkeeper,"Feb 26, 1985 ",39,"Martinique, France",France,Toulon,"1,78",-,,Martinique, France,,
1.0,Hugo Lloris,Goalkeeper,"Dec 26, 1986 ",37,France,France,Nice,"1,88",€1.50m,,France,,,
23.0,Raïs M'Bolhi,Goalkeeper,"Apr 25, 1986 ",37,"Algeria, France",France,Paris,"1,90",€200k,,Algeria, France,,
,Jérôme Mançon,Goalkeeper,"Jan 10, 1986 ",38,France,France,Marcq-en-Baroeul,"1,77",-,,France,,,
,Julien Fondraz,Goalkeeper,"Jun 25, 1986 ",37,France,France,Coutances,,-,,France,,,
,Thomas Valverde,Goalkeeper,"Aug 6, 1986 ",37,France,France,Paris,"1,80",-,,France,,,
,Ludovic Rose-Antoinette,Goalkeeper,"Jun 24, 1986 ",37,"France, Martinique",France,Paris,"1,84",-,,France, Martinique,,
,Nicolas Zaccarelli,Goalkeeper,"Oct 20, 1986 ",37,France,France,Noisy-le-Grand,"1,86",-,,France,,,
,Jean-François Lecomte,Goalkeeper,"Jul 23, 1986 ",37,France,France,Hazebrouck,"1,82",-,,France,,,
,Nicolas Paul,Goalkeeper,"Feb 3, 1986 ",38,"France, Réunion",France,Nantes,"1,81",-,,France, Réunion,,
,Fatih Öztürk,Goalkeeper,"Dec 22, 1986 ",37,Türkiye,France,Phalsbourg,"1,91",-,,Türkiye,,,
,David,Goalkeeper,"Aug 12, 1986 ",37,Spain,France,Vaison la Romaine,"1,75",-,,Spain,,,
,Damien Vandionant,Goalkeeper,"Feb 24, 1986 ",38,France,France,Lens,"1,89",-,,France,,,
,Julien Robinet,Goalkeeper,"Sep 12, 1986 ",37,France,France,Saint-Raphael,"1,84",-,,France,,,
1.0,Régis Gurtner,Goalkeeper,"Dec 8, 1986 ",37,France,France,Saverne,"1,82",€250k,,France,,,
31.0,Quentin Westberg,Goalkeeper,"Apr 25, 1986 ",37,"United States, France",France,Suresnes,"1,83",€100k,,United States, France,,
,Jeoffrey Dauphy,Goalkeeper,"Jan 20, 1986 ",38,France,France,Quessy,"1,86",-,,France,,,
,Rémy Dhelemme,Goalkeeper,"Jan 23, 1986 ",38,France,France,Douai,,-,,France,,,
,Hamady Niasse,Goalkeeper,"Jul 3, 1986 ",37,"France, Senegal",France,Trappes,"1,89",-,,France, Senegal,,
,Geoffrey Saintot,Goalkeeper,"Mar 28, 1986 ",37,France,France,Avignon,"1,91",-,,France,,,
,Romain Crétin,Goalkeeper,"Feb 20, 1986 ",38,France,France,Gleize,"1,84",-,,France,,,
,Yannick Martin,Goalkeeper,"Apr 27, 1986 ",37,France,France,Bron,"1,84",-,,France,,,
,Armand Mendy,Goalkeeper,"Dec 23, 1986 ",37,"France, Senegal",France,Le Havre,"1,80",-,,France, Senegal,,
,Amaury Borel,Goalkeeper,"Nov 8, 1986 ",37,France,France,Cavaillon,"1,87",-,,France,,,
,Thomas Lacherez,Goalkeeper,"Feb 8, 1986 ",38,France,France,Cambrai,"1,78",-,,France,,,
