Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions
16.0,Jean-Louis Leca,Goalkeeper,"Sep 21, 1985 ",38,['France'],France,Bastia,"1,80",€200k,
,Mathieu Suffissais,Goalkeeper,"May 30, 1985 ",38,['France'],France,Laval,"1,83",-,
,Gérald Delaporte,Goalkeeper,"Dec 18, 1985 ",38,['France'],France,,,-,
,Thomas Fedrigo,Goalkeeper,"May 10, 1985 ",38,"['France', 'Italy']",France,Paray-le-Monial,"1,80",-,
,Florian Piolot,Goalkeeper,"Dec 24, 1985 ",38,['France'],France,Pabu,"1,86",-,
,Sébastien Callamand,Goalkeeper,"Jun 26, 1985 ",38,['France'],France,Oyonnax,"1,86",-,
,Foued Baba Alla,Goalkeeper,"Sep 23, 1985 ",38,"['Morocco', 'France']",France,Graulhet,,-,
,Hadama Bathily,Goalkeeper,"Jun 18, 1985 ",38,"['France', 'Mali']",France,Rouen,"1,85",-,
,Florian Aït Ali,Goalkeeper,"Jan 4, 1985 ",39,['France'],France,Toulouse,"1,76",-,
,Thomas Aupic,Goalkeeper,"Feb 24, 1985 ",39,['France'],France,Dijon,"1,77",-,
,Arnaud Ribeiro,Goalkeeper,"Jun 6, 1985 ",38,['France'],France,Lagny-sur-Marne,"1,86",-,
,Gregory Douard,Goalkeeper,"Aug 1, 1985 ",38,['France'],France,Châteaubriant,"1,80",-,
,Christopher Pilar,Goalkeeper,"Mar 29, 1985 ",38,"['Portugal', 'France']",France,Dijon,"1,85",-,
,Sébastien Jaffré,Goalkeeper,"Jan 26, 1985 ",39,['France'],France,Morlaix,,-,
,Arnaud Maillot,Goalkeeper,"Mar 12, 1985 ",38,['France'],France,Besançon,"1,78",-,
,Benjamin Rytlewski,Goalkeeper,"Dec 26, 1985 ",38,"['France', 'Poland']",France,Béthune,"1,86",-,
30.0,Stéphane Schneider,Goalkeeper,"Jan 3, 1985 ",39,['France'],France,Strasbourg,"1,87",-,
,Guillaume Garnier,Goalkeeper,"Jul 5, 1985 ",38,['France'],France,Mantes-la-Jolie,,-,
,Nicolas D'Alessio,Goalkeeper,"Dec 24, 1985 ",38,['France'],France,,"1,84",-,
,Lucas Rastello,Goalkeeper,"Apr 21, 1985 ",38,['France'],France,Marseille,"1,79",-,
,Cédric Si Mohammed,Goalkeeper,"Jan 9, 1985 ",39,"['Algeria', 'France']",France,Roanne,"1,83",-,
,Clément Maury,Goalkeeper,"Nov 20, 1985 ",38,['France'],France,Aurillac,"1,82",-,
,Yann Hubert,Goalkeeper,"Jan 9, 1985 ",39,['France'],France,Nîmes,"1,86",-,
,Adrien Gato,Goalkeeper,"Dec 16, 1985 ",38,['France'],France,Neuilly-sur-Seine,"1,74",-,
,Gaëtan Deneuve,Goalkeeper,"May 3, 1985 ",38,['France'],France,Harfleur,"1,83",-,
,Mickael Castejon,Goalkeeper,"Mar 21, 1985 ",38,"['France', 'Spain']",France,Libourne,"1,81",-,
,Fabien Farnolle,Goalkeeper,"Feb 5, 1985 ",39,"['Benin', 'France']",France,Bordeaux,"1,97",-,
,Simon Pouplin,Goalkeeper,"May 28, 1985 ",38,['France'],France,Cholet,,-,
,Benoît Benvegnu,Goalkeeper,"Jan 18, 1985 ",39,['France'],France,Montauban,"1,84",-,
22.0,Alexandre Martinovic,Goalkeeper,"May 31, 1985 ",38,"['France', 'Montenegro']",France,Montbéliard,"1,93",-,
,Johan Lapeyre,Goalkeeper,"Aug 3, 1985 ",38,['France'],France,Le Plessis-Bouchard,"1,78",-,
,Nicolas Cousin,Goalkeeper,"Jul 11, 1985 ",38,['France'],France,Nemours,"1,84",-,
,Alexis Thébaux,Goalkeeper,"Mar 17, 1985 ",38,['France'],France,Les Sables-d'Olonne,"1,85",-,
24.0,Yohann Lacroix,Goalkeeper,"Feb 1, 1985 ",39,['France'],France,Thonon-les-Bains,"1,94",-,
,Wilfried Bulgare,Goalkeeper,"Feb 26, 1985 ",39,"['Martinique', 'France']",France,Toulon,"1,78",-,
1.0,Hugo Lloris,Goalkeeper,"Dec 26, 1986 ",37,['France'],France,Nice,"1,88",€1.50m,
23.0,Raïs M'Bolhi,Goalkeeper,"Apr 25, 1986 ",37,"['Algeria', 'France']",France,Paris,"1,90",€200k,
,Jérôme Mançon,Goalkeeper,"Jan 10, 1986 ",38,['France'],France,Marcq-en-Baroeul,"1,77",-,
,Julien Fondraz,Goalkeeper,"Jun 25, 1986 ",37,['France'],France,Coutances,,-,
,Thomas Valverde,Goalkeeper,"Aug 6, 1986 ",37,['France'],France,Paris,"1,80",-,
,Ludovic Rose-Antoinette,Goalkeeper,"Jun 24, 1986 ",37,"['France', 'Martinique']",France,Paris,"1,84",-,
,Nicolas Zaccarelli,Goalkeeper,"Oct 20, 1986 ",37,['France'],France,Noisy-le-Grand,"1,86",-,
,Jean-François Lecomte,Goalkeeper,"Jul 23, 1986 ",37,['France'],France,Hazebrouck,"1,82",-,
,Nicolas Paul,Goalkeeper,"Feb 3, 1986 ",38,"['France', 'Réunion']",France,Nantes,"1,81",-,
,Fatih Öztürk,Goalkeeper,"Dec 22, 1986 ",37,['Türkiye'],France,Phalsbourg,"1,91",-,
,David,Goalkeeper,"Aug 12, 1986 ",37,['Spain'],France,Vaison la Romaine,"1,75",-,
,Damien Vandionant,Goalkeeper,"Feb 24, 1986 ",38,['France'],France,Lens,"1,89",-,
,Julien Robinet,Goalkeeper,"Sep 12, 1986 ",37,['France'],France,Saint-Raphaël,"1,84",-,
1.0,Régis Gurtner,Goalkeeper,"Dec 8, 1986 ",37,['France'],France,Saverne,"1,82",€250k,
31.0,Quentin Westberg,Goalkeeper,"Apr 25, 1986 ",37,"['United States', 'France']",France,Suresnes,"1,83",€100k,
,Jeoffrey Dauphy,Goalkeeper,"Jan 20, 1986 ",38,['France'],France,Quessy,"1,86",-,
,Rémy Dhelemme,Goalkeeper,"Jan 23, 1986 ",38,['France'],France,Douai,,-,
,Hamady Niasse,Goalkeeper,"Jul 3, 1986 ",37,"['France', 'Senegal']",France,Trappes,"1,89",-,
,Geoffrey Saintot,Goalkeeper,"Mar 28, 1986 ",37,['France'],France,Avignon,"1,91",-,
,Romain Crétin,Goalkeeper,"Feb 20, 1986 ",38,['France'],France,Gleizé,"1,84",-,
,Yannick Martin,Goalkeeper,"Apr 27, 1986 ",37,['France'],France,Bron,"1,84",-,
,Armand Mendy,Goalkeeper,"Dec 23, 1986 ",37,"['France', 'Senegal']",France,Le Havre,"1,80",-,
,Amaury Borel,Goalkeeper,"Nov 8, 1986 ",37,['France'],France,Cavaillon,"1,87",-,
,Thomas Lacherez,Goalkeeper,"Feb 8, 1986 ",38,['France'],France,Cambrai,"1,78",-,
,Florent Cabassud,Goalkeeper,"Jul 9, 1986 ",37,['France'],France,Orange,,-,
,Julien Vanni,Goalkeeper,"May 28, 1986 ",37,['France'],France,Manosque,"1,83",-,
1.0,Yoann Djidonou,Goalkeeper,"May 17, 1986 ",37,"['Benin', 'France']",France,Domont,,-,
,Mathieu Inthasane,Goalkeeper,"Jun 8, 1986 ",37,"['France', 'Laos']",France,Tours,"1,83",-,
,Thomas Chatalen,Goalkeeper,"Oct 31, 1986 ",37,['France'],France,Rueil-Malmaison,"1,76",-,
,Jérémy Deichelbohrer,Goalkeeper,"Apr 25, 1986 ",37,['France'],France,Belfort,"1,86",-,
,Stéphane Ruffier,Goalkeeper,"Sep 27, 1986 ",37,['France'],France,Bayonne,"1,88",-,
,Arnaud Brocard,Goalkeeper,"Aug 19, 1986 ",37,['France'],France,Dijon,"1,85",-,
,Benoît Tardieu,Goalkeeper,"Jan 21, 1986 ",38,"['Benin', 'France']",France,Ussel,"1,88",-,
,Mathieu Lailler,Goalkeeper,"Feb 26, 1986 ",38,['France'],France,Redon,"1,80",-,
,Paul Cattier,Goalkeeper,"May 1, 1986 ",37,['France'],France,Avignon,"1,87",-,
,Damien Perquis,Goalkeeper,"Mar 8, 1986 ",37,['France'],France,Saint-Brieuc,"1,86",-,
,Vincent Briant,Goalkeeper,"Sep 9, 1986 ",37,['France'],France,Quimperlé,"1,84",-,
,Thibault Ferrand,Goalkeeper,"Mar 26, 1986 ",37,['France'],France,Chambray-lès-Tours,"1,83",-,
,Jessy Moulin,Goalkeeper,"Jan 13, 1986 ",38,['France'],France,Valence,"1,84",-,
,Geoffrey Jourdren,Goalkeeper,"Feb 4, 1986 ",38,['France'],France,Meaux,"1,83",-,
,Stéphane Véron,Goalkeeper,"Jan 31, 1986 ",38,"['France', 'Argentina']",France,Sens,"1,86",-,
56.0,Benoît Costil,Goalkeeper,"Jul 3, 1987 ",36,['France'],France,Caen,"1,88",€800k,
88.0,Gilles Meyer,Goalkeeper,"Dec 9, 1987 ",36,['France'],France,Strasbourg,"1,80",€10k,
,Cédric Malavaud,Goalkeeper,"May 18, 1987 ",36,['France'],France,Guérêt,"1,80",-,
,Xavier Poinot,Goalkeeper,"Oct 20, 1987 ",36,['France'],France,Poitiers,,-,
,Jawad Khacime,Goalkeeper,"Jul 11, 1987 ",36,"['France', 'Morocco']",France,Bourges,"1,76",-,
,Jérémy Tomaselli,Goalkeeper,"Jun 27, 1987 ",36,"['Saint-Martin', 'France']",France,Nice,"1,75",-,
