Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Jérôme Elisabeth,Left-Back,"Apr 22, 1985 ",38,['France'],France,Villecresnes,LM,"1,75",-
,Samir Bengelloun,Left-Back,"Feb 7, 1985 ",39,"['Tunisia', 'France']",France,Paris,CB   RB,"1,80",-
,Grégory Sofikitis,Left-Back,"Jun 12, 1985 ",38,"['France', 'Greece']",France,Martigues,,"1,72",-
,Vincent Bessat,Left-Back,"Nov 8, 1985 ",38,['France'],France,Lyon,LM   LW,"1,78",-
,Jean-Christophe Vergerolle,Left-Back,"Jul 12, 1985 ",38,"['France', 'Martinique']",France,Paris,CB,"1,88",-
,Boukary Dramé,Left-Back,"Jul 22, 1985 ",38,"['Senegal', 'France']",France,Villepinte,LM   CB,"1,80",-
,Olivier Veigneau,Left-Back,"Jul 16, 1985 ",38,['France'],France,Suresnes,RB   LM,"1,76",-
,Jérôme Sonnerat,Left-Back,"Feb 19, 1985 ",39,['France'],France,Annecy,CB   LM,"1,82",-
,Gaël Clichy,Left-Back,"Jul 26, 1985 ",38,"['France', 'Martinique']",France,Toulouse,,"1,76",-
,Benjamin Daublain,Left-Back,"Apr 26, 1985 ",38,['France'],France,Perhuis,,"1,85",-
,Thomas Leyssales,Left-Back,"Mar 13, 1985 ",38,['France'],France,Villeneuve sur Lot,,"1,74",-
,Francis N'Ganga,Left-Back,"Jun 16, 1985 ",38,"['Congo', 'France']",France,Poitiers,LM   CB,"1,76",-
,Benoît Trémoulinas,Left-Back,"Dec 28, 1985 ",38,['France'],France,Lormont,LM,"1,73",-
,Fatih Nazlım,Left-Back,"Aug 24, 1985 ",38,"['Türkiye', 'France']",France,,LW,"1,78",-
,Aurélien Montaroup,Left-Back,"Dec 19, 1985 ",38,['France'],France,Rennes,LM   LW,"1,73",-
,Guillaume Rippert,Left-Back,"Apr 30, 1985 ",38,['France'],France,Paris,CB,"1,80",-
,Mike Baradel,Left-Back,"Feb 14, 1985 ",39,"['Germany', 'France']",France,Gérardmer,LM,"1,75",-
,François Chauvel,Left-Back,"Aug 7, 1986 ",37,['France'],France,Caen,,"1,82",-
,Jérémy Gazeau,Left-Back,"Mar 10, 1986 ",37,['France'],France,Montreuil-sous-Bois,,"1,81",-
,Grégory Tomas,Left-Back,"Apr 5, 1986 ",37,['France'],France,Versailles,,"1,70",-
,Samuel Camille,Left-Back,"Feb 2, 1986 ",38,"['Martinique', 'France']",France,Saint-Denis,CB,"1,76",-
,John Glele,Left-Back,"Feb 19, 1986 ",38,"['Benin', 'France']",France,Belfort,,"1,80",-
,Alexandre Raineau,Left-Back,"Jun 21, 1986 ",37,['France'],France,Paris,DM,"1,78",-
,Walid Cherfa,Left-Back,"Feb 24, 1986 ",38,"['Algeria', 'France']",France,Toulouse,CB,"1,85",-
,Joachim Ichane,Left-Back,"Jun 27, 1986 ",37,"['France', 'Réunion']",France,Niort,,"1,84",-
,Yann Schneider,Left-Back,"Jan 19, 1986 ",38,"['France', 'Germany']",France,Phalsbourg,,N/A,-
,Djassem Nianzi,Left-Back,"Apr 18, 1986 ",37,['France'],France,Marseille,RB,"1,80",-
,Erwan Dioclès,Left-Back,"Apr 7, 1986 ",37,['France'],France,Dinan,,"1,72",-
,Rémy Amieux,Left-Back,"Sep 5, 1986 ",37,['France'],France,Vienne,LM   LW,"1,75",-
,Sofiane Batikhy,Left-Back,"Jan 27, 1986 ",38,['France'],France,Montreuil-sous-Bois,,"1,80",-
,Kenny Gillet,Left-Back,"Jan 3, 1986 ",38,['France'],France,Bordeaux,CB   DM,"1,78",-
,Zoumana Bakayogo,Left-Back,"Aug 17, 1986 ",37,"[""Cote d'Ivoire"", 'France']",France,Paris,LM,"1,75",-
,Julian Palmieri,Left-Back,"Dec 7, 1986 ",37,['France'],France,Lyon,LM   LW,"1,70",-
,Florian Marange,Left-Back,"Mar 3, 1986 ",38,['France'],France,Pauillac,CB,"1,81",-
,Richard Soumah,Left-Back,"Oct 6, 1986 ",37,"['Guinea', 'France']",France,Créteil,LM   LW,"1,79",-
,Alexandre Rosay,Left-Back,"Aug 5, 1987 ",36,['France'],France,Gruchet-le-Valasse,,"1,85",-
,Houssein Marega,Left-Back,"Nov 16, 1987 ",36,['France'],France,Orsay,,"1,75",-
,Julien Perrault,Left-Back,"May 15, 1987 ",36,['France'],France,Boulogne-sur-Mer,,"1,86",-
,Mickaël Courtot,Left-Back,"Aug 31, 1987 ",36,['France'],France,,CB,"1,87",-
,Jérôme Mombris,Left-Back,"Nov 27, 1987 ",36,"['Madagascar', 'France']",France,Saint-Brieuc,,"1,78",-
,Mettin Subasi,Left-Back,"Nov 2, 1987 ",36,"['France', 'Türkiye']",France,Thann,RB,"1,74",-
,Alexandre Dupas,Left-Back,"Apr 15, 1987 ",36,['France'],France,Angers,,"1,79",-
,Julien Perney,Left-Back,"Oct 27, 1987 ",36,['France'],France,Alberville,,"1,75",-
,Samuel Bouhours,Left-Back,"Jun 26, 1987 ",36,['France'],France,Le Mans,CB,"1,82",-
,Brahim Ferradj,Left-Back,"Sep 4, 1987 ",36,"['Algeria', 'France']",France,Saint-Étienne,DM   RB,"1,72",-
,Vincent Muratori,Left-Back,"Aug 3, 1987 ",36,['France'],France,Orange,CB,"1,79",-
,Kévin Constant,Left-Back,"May 10, 1987 ",36,"['Guinea', 'France']",France,Fréjus,CM   LM,"1,84",-
,Fabrice Begeorgi,Left-Back,"Apr 20, 1987 ",36,['France'],France,Martigues,,"1,77",-
,Gaëtan Warmez,Left-Back,"Mar 25, 1987 ",36,['France'],France,Beauvais,LM,"1,86",-
,Omar M'Dahoma,Left-Back,"Sep 10, 1987 ",36,['Comoros'],France,Dzaoudzi,CB,"1,76",-
,Nicolas Kolczynski,Left-Back,"Apr 9, 1987 ",36,"['France', 'Poland']",France,Compiègne,CB,"1,83",-
,Jérémy Faug-Porret,Left-Back,"Feb 4, 1987 ",37,['France'],France,Chambery,CB,"1,83",-
,Cédric Camatte,Left-Back,"Mar 23, 1987 ",36,['France'],France,Miramas,CB,"1,75",-
,Thomas Cotty,Left-Back,"May 9, 1987 ",36,['France'],France,Morlaix,,"1,81",-
,Damien Moulin,Left-Back,"Jan 3, 1987 ",37,['France'],France,Nevers,CB,"1,83",-
,Jean-Philippe Sabo,Left-Back,"Feb 26, 1987 ",37,['France'],France,Gouvieux,LM,"1,74",-
,Jordan Chort,Left-Back,"Mar 6, 1987 ",36,['France'],France,Bruges,CB,"1,80",-
,Kévin Bodin,Left-Back,"Mar 30, 1987 ",36,['France'],France,Quimperlé,,"1,70",-
,Marek Amiri,Left-Back,"Feb 24, 1987 ",37,"['France', 'Algeria']",France,Marseille,,"1,72",-
,Flavien Belson,Left-Back,"Feb 22, 1987 ",37,"['Guadeloupe', 'France']",France,Sainte-Adresse,DM   CM,"1,87",-
,Simon Buquet,Left-Back,"Mar 30, 1988 ",35,['France'],France,Saint-Valery-en-Caux,,"1,80",-
,Yannick Konki,Left-Back,"Nov 19, 1988 ",35,['France'],France,Agen,,"1,75",-
,Anthony Salis,Left-Back,"Oct 13, 1988 ",35,['France'],France,Bastia,,"1,75",-
,Maxime Le Borgne,Left-Back,"Jul 17, 1988 ",35,['France'],France,Lorient,CB,"1,79",-
,Yoann Grosperrin,Left-Back,"Aug 20, 1988 ",35,['France'],France,Belfort,CB,"1,80",-
,Sami Marzougui,Left-Back,"Jun 28, 1988 ",35,['France'],France,Paris,,"1,80",-
