Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Tony Joly,Left Winger,"Sep 26, 1985 ",38,['France'],France,Lens,,"1,75",-
,Habip Tok,Left Winger,"Jul 28, 1985 ",38,"['Türkiye', 'France']",France,Ales,LM   CM,"1,71",-
,Fabien Lamatina,Left Winger,"Jul 3, 1985 ",38,['France'],France,La Seyne-sur-Mer,RW,"1,78",-
,Tony Ribeiro,Left Winger,"Oct 5, 1985 ",38,"['France', 'Portugal']",France,Tours,RW   CF,"1,80",-
,Martin Douillard,Left Winger,"Mar 20, 1985 ",38,['France'],France,Les Sables-d'Olonne,LM,"1,73",-
7,Clément Tainmont,Left Winger,"Feb 12, 1986 ",38,['France'],France,Valenciennes,LM   RW,"1,85",€100k
,Rémy Dugimont,Left Winger,"Jul 1, 1986 ",37,['France'],France,Saint-Cloud,SS   CF,"1,82",-
,Kévin Gohiri,Left Winger,"Dec 4, 1986 ",37,"['France', ""Cote d'Ivoire""]",France,Paris,,"1,80",-
,Julien Hornuss,Left Winger,"Jun 12, 1986 ",37,['France'],France,Meudon,SS   AM,"1,81",-
,Alharbi El Jadeyaoui,Left Winger,"Aug 8, 1986 ",37,"['Morocco', 'France']",France,Straßburg,RW,N/A,-
,Yoan Gouffran,Left Winger,"May 25, 1986 ",37,"['France', 'Guadeloupe']",France,Villeneuve-Saint-Georges,CF   RW,"1,75",-
,Mourad Nasrallah,Left Winger,"Nov 9, 1986 ",37,"['France', 'Algeria']",France,Chambery,CF,"1,73",-
,Carlos Ferreira,Left Winger,"Jun 20, 1986 ",37,"['France', 'Portugal']",France,Reims,AM   RW,"1,75",-
,Alexis Lafon,Left Winger,"Jan 26, 1986 ",38,"['France', 'England']",France,Versailles,RW   AM,"1,83",-
,Chahir Belghazouani,Left Winger,"Oct 6, 1986 ",37,"['Morocco', 'France']",France,Porto-Vecchio,RW   CF,"1,80",-
,Romain Chouleur,Left Winger,"Jan 10, 1986 ",38,['France'],France,Nancy,AM   RW,"1,79",-
,Anthony Mounier,Left Winger,"Sep 27, 1987 ",36,['France'],France,Aubenas,RW   SS,"1,74",€50k
,Sébastien Bernard,Left Winger,"Sep 9, 1987 ",36,['France'],France,Lens,,,-
19,Johnny Pintar,Left Winger,"May 22, 1987 ",36,['France'],France,Thionville,RW   CF,,-
,Julien Araújo,Left Winger,"Mar 9, 1987 ",36,"['Portugal', 'France']",France,Tourcoing,RW,"1,69",-
7,Chris Malonga,Left Winger,"Jul 11, 1987 ",36,"['Congo', 'France']",France,Sens,RW   AM,"1,83",-
,Alexandre Valente,Left Winger,"May 7, 1987 ",36,"['France', 'Portugal']",France,Saint-Julien-en-Genevois,RW   CF,"1,77",-
,Emmanuel Françoise,Left Winger,"Jun 8, 1987 ",36,['France'],France,Metz,AM   CF,"1,76",€25k
,Sebastien,Left Winger,"Nov 24, 1987 ",36,"['Portugal', 'France']",France,Paris,RW   CF,"1,82",-
,Jérémy Lempereur,Left Winger,"Nov 29, 1987 ",36,['France'],France,Saint Nazaire,AM,"1,75",-
,Pierre Jamin,Left Winger,"Mar 13, 1987 ",36,['France'],France,Cholet,RW   AM,"1,80",-
,Mickaël Buscher,Left Winger,"Jan 11, 1987 ",37,"['France', 'Algeria']",France,Laderneau,RW,"1,85",-
,Floyd Ayité,Left Winger,"Dec 15, 1988 ",35,"['Togo', 'France']",France,Bordeaux,RW   CF,"1,75",€250k
,Bakary Sako,Left Winger,"Apr 26, 1988 ",35,"['Mali', 'France']",France,Ivry-sur-Seine,RW   CF,"1,83",€75k
,Albin Hodza,Left Winger,"Feb 7, 1988 ",36,"['Albania', 'France']",France,Choisy-le-Roi,RW   AM,"1,87",-
,Allan Silva,Left Winger,"May 17, 1988 ",35,"['Portugal', 'France']",France,Paris,,,-
,Charles Thomas Mendy,Left Winger,"Nov 18, 1988 ",35,"['France', ""Cote d'Ivoire""]",France,Paris,,"1,90",-
,Morgan Betorangal,Left Winger,"Aug 25, 1988 ",35,"['Chad', 'France']",France,Nanterre,SS   RW,"1,77",-
,Idir Ouali,Left Winger,"May 21, 1988 ",35,"['Algeria', 'France']",France,Roubaix,RW   RB,"1,76",-
,Kévin Monnet-Paquet,Left Winger,"Aug 19, 1988 ",35,"['France', 'Rwanda']",France,Bourgoin-Jallieu,RW   SS,"1,84",€200k
,Kamel Bouskine,Left Winger,"Mar 23, 1988 ",35,['France'],France,Lyon,LM,,-
,Kim Brandtzaeg,Left Winger,"Jun 13, 1988 ",35,['Norway'],France,Angoulême,LM,"1,80",-
,Ousmane Sy,Left Winger,"Feb 18, 1988 ",36,"['Senegal', 'France']",France,Montbéliard,RW   SS,"1,85",-
,Maher Haddad,Left Winger,"Oct 15, 1988 ",35,"['Tunisia', 'France']",France,Paris,AM   RW,"1,76",-
7,Wilfried Domoraud,Left Winger,"Aug 18, 1988 ",35,"['France', ""Cote d'Ivoire""]",France,Maisons-Alfort,AM   CF,"1,83",-
28,André Ayew,Left Winger,"Dec 17, 1989 ",34,"['Ghana', 'France']",France,Seclin,RW   CF,"1,75",€1.20m
,Aloïs Chabassut,Left Winger,"Apr 20, 1989 ",34,['France'],France,Alès,RB,"1,75",-
,Florian Jégu,Left Winger,"May 12, 1989 ",34,['France'],France,Laval,CF   RW,"1,76",-
,Ebenezer Briand,Left Winger,"Nov 11, 1989 ",34,['France'],France,Arras,CF,,-
,Hamady Tamboura,Left Winger,"Jun 23, 1989 ",34,"['France', 'Mali']",France,Mantes-la-Jolie,AM   SS,"1,73",-
,Dylan Duventru,Left Winger,"Jan 3, 1989 ",35,"['Martinique', 'France']",France,Troyes,AM   RW,"1,85",-
,Jonathan Mendes,Left Winger,"Jul 18, 1989 ",34,"['France', 'Portugal']",France,Décines-Charpieu,AM,"1,76",-
10,Jean-Jacques Rocchi,Left Winger,"Jun 1, 1989 ",34,['France'],France,Bastia,LM   AM,"1,65",-
,David Manga,Left Winger,"Feb 3, 1989 ",35,"['Central African Republic', 'Cameroon']",France,Paris,AM   LM,"1,78",-
,Yannick Bolasie,Left Winger,"May 24, 1989 ",34,"['DR Congo', 'England']",France,Lyon,RW   CF,"1,85",€250k
,Fathalah Khannoussi,Left Winger,"May 4, 1989 ",34,"['France', 'Algeria']",France,Maubeuge,LB,"1,77",-
,Sylvain Graglia,Left Winger,"Apr 12, 1989 ",34,"['Tahiti', 'France']",France,Cannes,,,-
,Kévin Ousmane Sy,Left Winger,"Sep 8, 1989 ",34,['France'],France,Metz,RW   SS,"1,78",-
,Nabil Ouarguini,Left Winger,"Apr 4, 1989 ",34,"['France', 'Morocco']",France,Paris,RW,"1,68",-
,Vincent Le Baron,Left Winger,"Jun 10, 1989 ",34,['France'],France,Vannes,SS,"1,82",-
,Amara Baby,Left Winger,"Feb 23, 1989 ",35,"['Senegal', 'France']",France,Le Blanc-Mesnil,LM   RW,"1,83",-
,Sofiane Moumou,Left Winger,"Jan 1, 1989 ",35,"['France', 'Algeria']",France,Lille,LB   LM,"1,75",-
,Karim Aït-Fana,Left Winger,"Feb 25, 1989 ",35,"['Morocco', 'France']",France,Limoges,RW,"1,75",-
8,Yacine Brahimi,Left Winger,"Feb 8, 1990 ",34,"['Algeria', 'France']",France,Paris,AM   LM,"1,75",€2.80m
22,Billel Abdelkadous,Left Winger,"May 22, 1990 ",33,"['France', 'Algeria']",France,Metz,,"1,92",€100k
,Abdou Doumbia,Left Winger,"Jun 7, 1990 ",33,"['France', 'Mali']",France,Le Blanc-Mesnil,RW   CF,"1,76",€100k
,Aliou Badara Traoré,Left Winger,"Jun 2, 1990 ",33,"['Gabon', 'France']",France,Noiré,RW   CF,,-
,Jérémy Vilmain,Left Winger,"Aug 28, 1990 ",33,['France'],France,Reims,LM   RM,,-
,Anthony Bova,Left Winger,"Mar 7, 1990 ",34,"['France', 'Italy']",France,Paris,RW   CF,"1,70",-
8,Kévin Schur,Left Winger,"Nov 19, 1990 ",33,['France'],France,Saint-Germain-en-Laye,AM   RW,"1,79",€200k
17,Ali M'Madi,Left Winger,"Apr 21, 1990 ",33,"['Comoros', 'France']",France,Marseille,RW   AM,"1,78",€100k
,Thomas Dumortier,Left Winger,"Oct 13, 1990 ",33,['France'],France,Villeneuve-d'Ascq,,"1,77",-
10,Fatah Ahamada,Left Winger,"Jul 4, 1990 ",33,"['Comoros', 'France']",France,Montmorency,RW,"1,69",-
,Anthony Schuster,Left Winger,"Mar 22, 1990 ",33,['France'],France,Chartres,RW,"1,77",-
,Hervé Bazile,Left Winger,"Mar 18, 1990 ",33,"['Haiti', 'France']",France,Créteil,RW,"1,81",-
10,Wahbi Khazri,Left Winger,"Feb 8, 1991 ",33,"['Tunisia', 'France']",France,Ajaccio,CF   RW,"1,76",€2.50m
21,Ahmed Mogni,Left Winger,"Oct 10, 1991 ",32,"['Comoros', 'France']",France,Paris,CF,"1,75",€125k
,Maxime Vignes,Left Winger,"Nov 6, 1991 ",32,['France'],France,Tarbes,LM,"1,80",-
,Messaoud Bouardja,Left Winger,"Jul 6, 1991 ",32,"['France', 'Algeria']",France,Lille,,"1,76",-
10,Abdelhak Belahmeur,Left Winger,"Jul 26, 1991 ",32,"['France', 'Algeria']",France,Strasbourg,AM,"1,80",-
,Thomas Piaulet,Left Winger,"Jun 3, 1991 ",32,"['France', 'Italy']",France,Vitry-sur-Seine,RW   CF,,-
,Maxime Bourgeois,Left Winger,"Feb 3, 1991 ",33,['France'],France,Sucy-en-Brie,SS   RW,"1,83",-
,John-Christophe Ayina,Left Winger,"Apr 9, 1991 ",32,"['France', 'Congo']",France,Rouen,CF   RW,"1,81",-
10,Abdellah Zoubir,Left Winger,"Dec 5, 1991 ",32,"['France', 'Morocco']",France,Lille,CF   RW,"1,80",€700k
,Ida-Yasser Mze,Left Winger,"Oct 30, 1991 ",32,"['Mayotte', 'France']",France,Fougères,LM,"1,84",-
11,Sadibou Sylla,Left Winger,"Aug 30, 1991 ",32,"['France', 'Mali']",France,Meulan,LM,,-
,Alexandre Koré,Left Winger,"Dec 11, 1991 ",32,"['France', ""Cote d'Ivoire""]",France,Fontenay-Aux-Roses,CF,"1,88",-
,Nathanaël Béreaud,Left Winger,"May 22, 1991 ",32,['France'],France,Bordeaux,RW,,-
,Nicolas Benezet,Left Winger,"Feb 24, 1991 ",33,['France'],France,Montpellier,RW   AM,"1,70",-
,Florent André,Left Winger,"Jun 6, 1991 ",32,['France'],France,Marseille,LB   LM,"1,83",-
10,Naïm Sliti,Left Winger,"Jul 27, 1992 ",31,"['Tunisia', 'France']",France,Marseille,AM   RW,"1,73",€4.50m
28,Yassine Bahassa,Left Winger,"May 21, 1992 ",31,"['France', 'Morocco']",France,Sauveterre-de-Guyenne,RW   AM,"1,87",€600k
20,Julien López,Left Winger,"Mar 1, 1992 ",32,"['Algeria', 'France']",France,Marseille,RW   AM,"1,73",€400k
12,Kévin Testud,Left Winger,"Apr 12, 1992 ",31,['France'],France,Montélimar,RW,"1,80",€300k
,Oumar Camara,Left Winger,"Aug 19, 1992 ",31,"['Mauritania', 'France']",France,Montvilliers,RW   CF,"1,86",€150k
22,Achraf Drif,Left Winger,"Mar 22, 1992 ",31,"['France', 'Morocco']",France,Nancy,RW   AM,"1,78",€50k
,Murphy Fumu Tamuso,Left Winger,"Jan 20, 1992 ",32,"['France', 'DR Congo']",France,Melun,RW,"1,81",-
21,Christophe Gomis,Left Winger,"Dec 21, 1992 ",31,"['France', 'Senegal']",France,Toulon,CF   RW,"1,86",-
,Khadime Ndoye,Left Winger,"Feb 17, 1992 ",32,"['France', 'Senegal']",France,Soisy-Sous-Montmorency,RW,"1,74",-
11,Joffrey Lobo,Left Winger,"Sep 19, 1992 ",31,"['France', 'Portugal']",France,Montluçon,RW,"1,75",-
,Christopher Joufreau,Left Winger,"Apr 14, 1992 ",31,['France'],France,Mayenne,SS   RW,"1,77",-
,Dimitri Benkada,Left Winger,"Oct 8, 1992 ",31,"['France', 'Algeria']",France,Boulogne-sur-Mer,,,-
,Ousmane Dramé,Left Winger,"Aug 25, 1992 ",31,"['France', 'Mali']",France,Paris,RW   SS,"1,74",-
92,Neeskens Kebano,Left Winger,"Mar 10, 1992 ",31,"['DR Congo', 'France']",France,Montereau,AM   RW,"1,70",€2.00m
23,Fabien Ourega,Left Winger,"Dec 7, 1992 ",31,"['France', ""Cote d'Ivoire""]",France,Paris,RW,"1,78",€400k
99,David Gomis,Left Winger,"Dec 21, 1992 ",31,"['Guinea-Bissau', 'France']",France,Toulon,RW   LM,"1,73",€350k
23,Thievy Bifouma,Left Winger,"May 13, 1992 ",31,"['Congo', 'France']",France,Saint Denis,RW   CF,,€200k
14,Arthur Gnahoua,Left Winger,"Sep 18, 1992 ",31,"['France', ""Cote d'Ivoire""]",France,Grenoble,CF   RW,"1,87",€125k
,Abdallah Boudabous,Left Winger,"Jan 3, 1992 ",32,"['France', 'Tunisia']",France,,RW,"1,80",-
,Erwan Mbock,Left Winger,"Feb 1, 1992 ",32,"['France', 'Cameroon']",France,Brest,CF   SS,"1,84",-
,Serdar Alhan,Left Winger,"Nov 15, 1992 ",31,"['France', 'Türkiye']",France,Vienne,RW   CF,"1,78",-
2,Rayane Zaid Boukemia,Left Winger,"Oct 11, 1992 ",31,"['Algeria', 'France']",France,Straßburg,RW   AM,"1,85",-
,Arlan Kadima,Left Winger,"Jun 6, 1992 ",31,"['France', 'DR Congo']",France,Sannois,RW,"1,85",-
,Gaël N'Lundulu,Left Winger,"Apr 29, 1992 ",31,"['France', 'Congo']",France,Villiers-le-Bel,SS   RW,"1,83",-
,Gaëtan Fallempin,Left Winger,"Jan 18, 1992 ",32,"['France', 'Portugal']",France,Cambrai,RW   CF,"1,83",-
27,Mikail Albayrak,Left Winger,"Apr 6, 1992 ",31,['Türkiye'],France,,RW   CM,"1,70",-
,Evan Chevalier,Left Winger,"May 13, 1992 ",31,['France'],France,Bruges,LM   LB,"1,78",-
,Jimmy Kamghain,Left Winger,"Jul 3, 1992 ",31,"['France', 'Cameroon']",France,Avignon,LM   RW,"1,80",-
,David Viana,Left Winger,"Jan 22, 1992 ",32,"['Portugal', 'France']",France,Strasbourg,AM   RW,"1,73",-
,Harry Novillo,Left Winger,"Feb 11, 1992 ",32,"['Martinique', 'France']",France,Lyon,RW   CF,"1,82",-
10,Sofiane Boufal,Left Winger,"Sep 17, 1993 ",30,"['Morocco', 'France']",France,Paris,AM   SS,"1,75",€7.00m
91,Jérémie Bela,Left Winger,"Apr 8, 1993 ",30,"['Angola', 'France']",France,Melun,RW   SS,"1,73",€1.00m
55,Chris Marlon Ondong Mba,Left Winger,"Aug 7, 1993 ",30,"['France', 'Gabon']",France,Poitiers,RW   CF,"1,85",€50k
,Julien Farnabe,Left Winger,"Oct 6, 1993 ",30,"['France', 'Guadeloupe']",France,Dijon,RW   CF,"1,79",-
,Leo De Smedt,Left Winger,"Nov 16, 1993 ",30,['France'],France,Lille,RW   CM,"1,75",-
14,Dani,Left Winger,"May 14, 1993 ",30,"['Portugal', 'France']",France,Paris,RW,"1,80",-
,Mehdi Fennouche,Left Winger,"Feb 20, 1993 ",31,"['Algeria', 'France']",France,Paris,RW   CF,"1,80",-
,Kamel Chergui,Left Winger,"Apr 16, 1993 ",30,"['France', 'Algeria']",France,Saint-Etienne,AM   LM,"1,79",-
,Hugo Vidémont,Left Winger,"Feb 19, 1993 ",31,['France'],France,Marseille,AM   RW,"1,74",-
10,Ibrahima Tandia,Left Winger,"Jul 12, 1993 ",30,"['Mali', 'France']",France,Longjumeau,RM   RW,"1,71",-
10,Faïz Selemani,Left Winger,"Nov 14, 1993 ",30,"['Comoros', 'France']",France,Marseille,RW   AM,"1,82",€2.30m
11,Nicolas Rajsel,Left Winger,"May 31, 1993 ",30,"['Slovenia', 'France']",France,Pontoise,CF   RW,"1,80",€250k
,Mylan Boston,Left Winger,"Aug 1, 1993 ",30,['France'],France,,RW   AM,"1,83",-
20,Benoît Bisson,Left Winger,"Jan 6, 1993 ",31,['France'],France,Limoges,SS   RW,"1,78",-
,Kevin Krans,Left Winger,"May 14, 1993 ",30,['France'],France,Paris,RW   CF,,-
,Kévin Rocheteau,Left Winger,"Jul 10, 1993 ",30,['France'],France,Royan,RW   CF,"1,79",-
,Bradley Meledje,Left Winger,"Jul 17, 1993 ",30,"['France', ""Cote d'Ivoire""]",France,Saint-Denis,RW   CF,"1,85",-
,Jason Lagarde,Left Winger,"Sep 23, 1993 ",30,['France'],France,Givors,LM   LB,"1,77",-
,Thomas Touré,Left Winger,"Dec 27, 1993 ",30,"[""Cote d'Ivoire"", 'France']",France,Grasse,RW   LM,"1,75",-
99,Denis Bouanga,Left Winger,"Nov 11, 1994 ",29,"['Gabon', 'France']",France,Le Mans,CF   RW,"1,80",€10.00m
7,Willy Semedo,Left Winger,"Apr 27, 1994 ",29,"['Cape Verde', 'France']",France,Bordeaux,RW   AM,"1,85",€1.00m
17,Hamidou Keyta,Left Winger,"Dec 17, 1994 ",29,"['France', 'Senegal']",France,Montivilliers,CF   RW,"1,86",€700k
,Ladji Baradji,Left Winger,"Mar 24, 1994 ",29,['France'],France,Paris,,,-
29,Gil Lawson,Left Winger,"May 11, 1994 ",29,"['France', 'Togo']",France,Epinay-sur-Seine,RW   CF,"1,81",-
,Farid Benhaddouche,Left Winger,"May 6, 1994 ",29,"['Algeria', 'France']",France,Saint-Julien-en-Genevois,CF   LM,,-
94,Karim Safsaf,Left Winger,"Mar 27, 1994 ",29,"['France', 'Morocco']",France,Béziers,CF   RW,"1,78",-
,Wesley Jobello,Left Winger,"Jan 23, 1994 ",30,"['Martinique', 'France']",France,Gennevilliers,RW,"1,80",-
,Adam N'Kusu,Left Winger,"Jan 29, 1994 ",30,['France'],France,Enghien-les-Bains,AM,"1,75",-
,Opa Nguette,Left Winger,"Jul 8, 1994 ",29,"['Senegal', 'France']",France,Mantes-la-Jolie,RW   CF,"1,82",€1.50m
7,Gaëtan Robail,Left Winger,"Jan 9, 1994 ",30,['France'],France,Saint-Pol-sur-Ternoise,LM   RM,"1,82",€800k
7,Kévin Nzuzi Mata,Left Winger,"May 17, 1994 ",29,"['DR Congo', 'France']",France,Paris,CF   RW,"1,81",€250k
,Salah Bekhadda,Left Winger,"Aug 13, 1994 ",29,"['France', 'Algeria']",France,Châlons-en-Champagne,RW,"1,77",-
23,Gime Touré,Left Winger,"May 7, 1994 ",29,"['France', 'Mali']",France,,RW   CF,"1,90",-
,Dylan Suray,Left Winger,"May 4, 1994 ",29,['France'],France,Revin,RW   AM,,-
,Yoan Nanou,Left Winger,"Mar 1, 1994 ",30,['France'],France,Lyon,,"1,73",-
,Aurélien Ngeyitala,Left Winger,"May 29, 1994 ",29,"['DR Congo', 'France']",France,Évry,RW   SS,"1,82",-
,Mathieu Castaing,Left Winger,"Jan 17, 1994 ",30,['France'],France,Toulouse,AM   RW,"1,83",-
10,Georges-Kevin N'Koudou,Left Winger,"Feb 13, 1995 ",29,"['Cameroon', 'France']",France,Versailles,RW,"1,72",€3.80m
11,Yanis Rahmani,Left Winger,"May 13, 1995 ",28,"['France', 'Algeria']",France,Champigny-sur-Marne,RW   AM,"1,78",€800k
22,Ange-Freddy Plumain,Left Winger,"Mar 2, 1995 ",29,"['Guadeloupe', 'France']",France,Paris,CF   RW,"1,84",€400k
13,Bissourou Touré,Left Winger,"Mar 20, 1995 ",28,['France'],France,Paris,CF   RW,"1,82",€150k
,Tarek Zoubir,Left Winger,"Mar 8, 1995 ",28,"['France', 'Morocco']",France,Lille,RW,"1,68",-
8,Yassine Zerfaoui,Left Winger,"Sep 8, 1995 ",28,"['France', 'Morocco']",France,La Seyne-sur-Mer,RW,"1,78",-
,Yann Freddy Kouadio,Left Winger,"May 10, 1995 ",28,"['France', ""Cote d'Ivoire""]",France,Paris,,,-
7,Brice Goupy,Left Winger,"Oct 12, 1995 ",28,"['France', 'Cameroon']",France,Versailles,RW   AM,"1,70",-
,Sofiane Khedim,Left Winger,"Sep 19, 1995 ",28,"['France', 'Algeria']",France,Aix-en-Provence,RW   AM,"1,78",-
23,Corentin Tirard,Left Winger,"Oct 18, 1995 ",28,['France'],France,Romans-sur-Isère,RW   CF,"1,75",-
,Pierre-Ange Omombé,Left Winger,"Mar 9, 1995 ",28,"['France', 'Congo']",France,Villemanoche,SS   SS,"1,75",-
,Youssouf Bamba,Left Winger,"Jul 1, 1995 ",28,['France'],France,Nice,RW   AM,"1,70",-
27,Jean-Luc Dompé,Left Winger,"Aug 12, 1995 ",28,"['France', ""Cote d'Ivoire""]",France,Arpajon,LM   RW,"1,70",€2.20m
11,Bafodé Dansoko,Left Winger,"Dec 28, 1995 ",28,"['Guinea', 'France']",France,Saint-Etienne,RW   CF,"1,87",€500k
