Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Loïc Ghili,Right Midfield,"Nov 10, 1985 ",38,"['France', 'Algeria']",France,Valenciennes,AM,"1,79",-
,Abdelhak Maddi,Right Midfield,"Sep 2, 1985 ",38,['France'],France,Forbach,AM,,-
,Rommy Boco,Right Midfield,"Jul 8, 1985 ",38,"['Benin', 'France']",France,Bernay,LM   AM,"1,78",-
,Matthieu Labbé,Right Midfield,"Jan 26, 1985 ",39,['France'],France,Boulogne-sur-Mer,,"1,81",-
,Morgan Amalfitano,Right Midfield,"Mar 20, 1985 ",38,"['France', 'Italy']",France,Nizza,CM   RW,"1,78",-
,Cyril Dalmat,Right Midfield,"Oct 3, 1986 ",37,"['France', 'Martinique']",France,Tours,,"1,74",-
,Khaled Gourmi,Right Midfield,"Apr 18, 1986 ",37,"['Algeria', 'France']",France,Paris,LM   AM,"1,74",-
,Geoffrey Tréand,Right Midfield,"Jan 16, 1986 ",38,['France'],France,Annemasse,LM   AM,"1,78",-
,Julien Chendri,Right Midfield,"Aug 10, 1986 ",37,['France'],France,Villecrsnes,,"1,70",-
,Marian Bănuță,Right Midfield,"Aug 13, 1986 ",37,"['Romania', 'France']",France,Toulouse,,"1,75",-
,Hervé Reigner,Right Midfield,"Mar 28, 1987 ",36,['France'],France,Sarcelles,,"1,75",-
,Ismail Ugur,Right Midfield,"Dec 18, 1987 ",36,"['Türkiye', 'France']",France,Saint-Claude,RW,"1,76",-
24,Emmanuel Bourgaud,Right Midfield,"Oct 25, 1987 ",36,['France'],France,Corné,CM   LM,"1,79",-
,Rachid Mourabit,Right Midfield,"Aug 6, 1987 ",36,"['France', 'Morocco']",France,Lens,CM   DM,"1,74",-
,Jérémy Acédo,Right Midfield,"Sep 2, 1987 ",36,['France'],France,Paray-le-Monial,,"1,85",-
10,Romain Philippoteaux,Right Midfield,"Mar 2, 1988 ",36,['France'],France,Apt,RW   LW,"1,70",€250k
,Thibault Rivière,Right Midfield,"Oct 22, 1988 ",35,['France'],France,Cucq,RW   RB,"1,74",-
,Romain Cornand,Right Midfield,"Sep 26, 1988 ",35,['France'],France,Saint-Priest,,"1,78",-
,Jonathan Alazet,Right Midfield,"Dec 22, 1988 ",35,['France'],France,Toulouse,,"1,81",-
