Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Romain Ayrinhac,Attacking Midfield,"Sep 9, 1985 ",38,['France'],France,Rodez,,"1,83",-
,Yann Beauregard,Attacking Midfield,"Aug 3, 1985 ",38,['France'],France,Fontenay-sous-Bois,,"1,75",-
,Jordi Delclos,Attacking Midfield,"Jul 3, 1985 ",38,['France'],France,Perpignan,LW   RW,"1,70",-
,Leeroy Anton,Attacking Midfield,"May 4, 1985 ",38,['France'],France,Lyon,,"1,70",-
,Anthony Le Gall,Attacking Midfield,"Mar 7, 1985 ",38,['France'],France,Morlaix,LW   RW,"1,74",-
,Anthony Fabri,Attacking Midfield,"Nov 6, 1985 ",38,['France'],France,Istres,,,-
,Samy Houri,Attacking Midfield,"Aug 9, 1985 ",38,"['France', 'Algeria']",France,Asnières-sur-Seine,LW   RW,"1,66",-
,Samuel Robail,Attacking Midfield,"Jun 2, 1985 ",38,['France'],France,Cambrai,RW   LW,"1,73",-
,Pierre-Michel Germann,Attacking Midfield,"Mar 5, 1985 ",39,['France'],France,Nancy,CF,"1,74",-
,Fabien Camus,Attacking Midfield,"Feb 28, 1985 ",39,"['Tunisia', 'France']",France,Arles,RW   LW,"1,76",-
,Grégory Froeliger,Attacking Midfield,"Mar 9, 1985 ",38,['France'],France,Strasbourg,,,-
,Karim Miftal,Attacking Midfield,"Oct 29, 1985 ",38,"['Morocco', 'France']",France,Agen,,"1,70",-
,Johann Heyman,Attacking Midfield,"Jan 7, 1985 ",39,['France'],France,Guingamp,RW,"1,79",-
,Bouzid Yosri,Attacking Midfield,"Feb 15, 1985 ",39,['France'],France,Saint-Denis,,"1,75",-
,Charly Ollier,Attacking Midfield,"Feb 18, 1985 ",39,['France'],France,Flériat,,"1,72",-
,Mickaël Brisset,Attacking Midfield,"Mar 26, 1985 ",38,['France'],France,Issy-les-Moulineaux,,"1,75",-
,Idriss Ech-Chergui,Attacking Midfield,"May 22, 1985 ",38,"['France', 'Algeria']",France,Saint-Chamond,LW   RW,"1,73",-
,Rudy Haddad,Attacking Midfield,"Feb 5, 1985 ",39,"['Israel', 'France']",France,Paris,SS   CM,"1,80",-
,Jamel Zahiri,Attacking Midfield,"Nov 8, 1985 ",38,"['France', 'Morocco']",France,Les Pavillons-sous-Bois,RW   LW,"1,68",-
,Mohamed Tagaye,Attacking Midfield,"Jan 9, 1986 ",38,['France'],France,Colombes,LM   RM,"1,80",-
,Charles Mallmann,Attacking Midfield,"May 24, 1986 ",37,"['Brazil', 'France']",France,Evry,CM,"1,73",-
,Alexandre Chirre,Attacking Midfield,"Apr 11, 1986 ",37,['France'],France,Metz,CF,"1,83",-
,Charly Charrier,Attacking Midfield,"May 27, 1986 ",37,['France'],France,La Roche-sur-Yon,LW,"1,81",-
,Yohan Berrebi,Attacking Midfield,"Jul 31, 1986 ",37,['France'],France,Courcouronnes,RW   LW,"1,78",-
,Karim Demonceaux,Attacking Midfield,"Mar 27, 1986 ",37,['France'],France,Saint Quentin,,"1,82",-
,Flavien Michelini,Attacking Midfield,"Jul 20, 1986 ",37,"['France', 'Italy']",France,Rillieux-la-Pape,CM,"1,72",-
,Frédéric Sammaritano,Attacking Midfield,"Mar 23, 1986 ",37,['France'],France,Vannes,LW   LM,"1,62",-
,Jean-José Cuenca,Attacking Midfield,"Apr 22, 1986 ",37,['France'],France,Bourgoin-Jallieu,,"1,69",-
,Mickaël Seoudi,Attacking Midfield,"Oct 13, 1986 ",37,"['France', 'Algeria']",France,Maubeuge,SS   CM,"1,83",-
,Anthony Sichi,Attacking Midfield,"Jan 21, 1986 ",38,['France'],France,Marignane,DM   LW,"1,79",-
,Mohamed Dennoun,Attacking Midfield,"May 9, 1986 ",37,"['France', 'Algeria']",France,Marseille,RW   LW,"1,75",-
,Yoann De Cler,Attacking Midfield,"Jan 19, 1986 ",38,['France'],France,Saint-Brieuc,,"1,74",-
