Number,Name,Position,Date of Birth,Age,Birth Country,Place of Birth,Other Positions,Height
3,Daniel Congré,Centre-Back,"Apr 5, 1985 ",38,France,Toulouse,RB   LB,"1,85"
,Lee-Roy Fernandez,Centre-Back,"Jun 15, 1985 ",38,France,Reims,,"1,85"
,Jonathan Magry,Centre-Back,"Nov 25, 1985 ",38,France,Calais,,"1,88"
,Willy Barru,Centre-Back,"Oct 2, 1985 ",38,France,Rennes,DM,"1,79"
,Benoît Darcy,Centre-Back,"Mar 2, 1985 ",38,France,Reims,LB,"1,85"
,Stéphane Roux,Centre-Back,"Jul 1, 1985 ",38,France,Lyon,RB   LB,"1,80"
,Aurélien Mairet,Centre-Back,"Jun 26, 1985 ",38,France,Saint-Rémy,,"1,87"
,Jérémie Roumégous,Centre-Back,"May 9, 1985 ",38,France,Villefranche-de-Rouergue,RB   LB,"1,81"
,Mohamed Ali Gharzoul,Centre-Back,"Dec 14, 1985 ",38,France,Tarbes,,"1,88"
,Benamar Belabbas,Centre-Back,"Apr 20, 1985 ",38,France,Villeneuve-Saint-Georges,,"1,84"
,Vincent Richetin,Centre-Back,"Aug 13, 1985 ",38,France,Nîmes,,"1,78"
,Habib Baldé,Centre-Back,"Feb 8, 1985 ",39,France,Saint-Vallier,DM   RB,"1,82"
,Samuel Dog,Centre-Back,"Feb 13, 1985 ",39,France,Lille,DM,"1,95"
,Vincent Abbal,Centre-Back,"May 25, 1985 ",38,France,Montpellier,,"1,85"
,James Hanffou,Centre-Back,"Aug 17, 1985 ",38,France,Rambouillet,,"1,94"
,Rémy Arriola,Centre-Back,"Apr 12, 1985 ",38,France,Rillieux-la-Pape,,"1,88"
,Guillaume Arisi,Centre-Back,"Sep 27, 1985 ",38,France,Belfort,,"1,85"
,Jessie Londas,Centre-Back,"Jan 12, 1985 ",39,France,Créteil,SW,"1,81"
,Nicolas Flégeau,Centre-Back,"Sep 6, 1985 ",38,France,Hennebont,LB,"1,82"
