Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
10,André-Pierre Gignac,Centre-Forward,"Dec 5, 1985 ",38,"['France', 'Mexico']",France,Martigues,LW,"1,87",€1.00m
,Matthieu Thirouin,Centre-Forward,"Jun 21, 1985 ",38,['France'],France,Caen,,,-
,Christopher Gomis,Centre-Forward,"Sep 16, 1985 ",38,"['France', 'Senegal']",France,Maisons-Laffitte,,"1,86",-
,Lazhar Karboua,Centre-Forward,"Mar 20, 1985 ",38,['France'],France,Annecy,AM,"1,80",-
,Farid Soltani,Centre-Forward,"Mar 10, 1985 ",38,"['Morocco', 'France']",France,Audincourt,AM,"1,78",-
,Fabrice Apruzesse,Centre-Forward,"May 8, 1985 ",38,['France'],France,Marseille,RW   LW,"1,70",-
,Farid El Alagui,Centre-Forward,"Feb 10, 1985 ",39,"['Morocco', 'France']",France,Bordeaux,,"1,81",-
,Abdelhak Errai,Centre-Forward,"Sep 1, 1985 ",38,"['France', 'Morocco']",France,Dax,RW   LW,"1,75",-
,Joël-Eric Carvigan,Centre-Forward,"Apr 22, 1985 ",38,['France'],France,Colmar,AM,,-
,Anthony Guise,Centre-Forward,"Mar 5, 1985 ",39,['France'],France,Arles,,"1,83",-
,Samir Malcuit,Centre-Forward,"Oct 2, 1985 ",38,"['Morocco', 'France']",France,Montbéliard,RW,"1,83",-
,Oussoumane Fofana,Centre-Forward,"Jul 3, 1985 ",38,"['France', ""Cote d'Ivoire""]",France,Vernon,LW   RW,"1,82",-
9,Frédéric Marques,Centre-Forward,"Jun 5, 1985 ",38,['France'],France,Thionville,LW   RW,"1,75",-
18,Bafétimbi Gomis,Centre-Forward,"Aug 6, 1985 ",38,"['France', 'Senegal']",France,La Seyne-sur-Mer,,"1,84",€400k
,Alexandre Danset,Centre-Forward,"Jun 9, 1985 ",38,['France'],France,Marcq-en-Barœul,,"1,77",-
,Djamel Elaïd,Centre-Forward,"Oct 28, 1985 ",38,"['France', 'Algeria']",France,Toulouse,RW   LW,"1,82",-
,Gabriel Pigrée,Centre-Forward,"Mar 18, 1985 ",38,"['French Guiana', 'France']",France,Sarcelles,,"1,88",-
,Fatih Sahin,Centre-Forward,"Jan 18, 1985 ",39,"['Türkiye', 'France']",France,Amnéville-les-Thermes,AM   CM,"1,79",-
,David Broccolicchi,Centre-Forward,"May 15, 1985 ",38,"['France', 'Italy']",France,Tourcoing,,,-
,Alexis Belgacem,Centre-Forward,"Apr 25, 1985 ",38,['France'],France,Bourg-en-Bresse,,,-
,Gary Ambroise,Centre-Forward,"Jul 17, 1985 ",38,"['Haiti', 'France']",France,Paris,RW   LW,"1,84",-
,Jamel Hsini,Centre-Forward,"Jul 16, 1985 ",38,"['France', 'Morocco']",France,Épinal,,"1,83",-
,Yannick Imbs,Centre-Forward,"Jul 5, 1985 ",38,['France'],France,Straßburg,LW   RW,"1,84",-
,Thomas Vauvy,Centre-Forward,"Sep 11, 1985 ",38,['France'],France,Coutances,,"1,86",-
,Mehdi Kerrouche,Centre-Forward,"Oct 11, 1985 ",38,"['Algeria', 'France']",France,Douai,,"1,80",-
,Hamdi Razak,Centre-Forward,"Oct 8, 1985 ",38,"['France', 'Algeria']",France,Paris,,"1,88",-
,Robert Maah,Centre-Forward,"Mar 25, 1985 ",38,"['France', 'Cameroon']",France,Paris,LW   RW,"1,79",-
,Yassine El Allaoui,Centre-Forward,"May 6, 1985 ",38,"['Morocco', 'France']",France,Besancon,,"1,92",-
,Mohamed Fofana,Centre-Forward,"May 7, 1985 ",38,"['France', 'Mali']",France,Parigi,,"1,86",-
,Julien Toudic,Centre-Forward,"Dec 19, 1985 ",38,['France'],France,Caen,LW   RW,"1,75",-
,Ghislain Gimbert,Centre-Forward,"Aug 7, 1985 ",38,['France'],France,Roanne,LM   LW,"1,83",-
,Demba Ba,Centre-Forward,"May 25, 1985 ",38,"['Senegal', 'France']",France,Sèvres,LW   RW,"1,89",-
,David Gigliotti,Centre-Forward,"May 30, 1985 ",38,"['France', 'Argentina']",France,Martigues,RW,"1,78",-
,Christophe Mandanne,Centre-Forward,"Feb 7, 1985 ",39,"['France', 'Réunion']",France,Toulouse,SS,"1,72",-
,Jimmy Briand,Centre-Forward,"Aug 2, 1985 ",38,"['France', 'Martinique']",France,Vitry-sur-Seine,RW   LW,"1,81",-
,Julien Perrin,Centre-Forward,"Mar 19, 1985 ",38,['France'],France,Lyon,,"1,84",-
,Maurice Dalé,Centre-Forward,"Jul 12, 1985 ",38,"['France', ""Cote d'Ivoire""]",France,Martigues,RW   LW,"1,85",-
,Cédric Agrain,Centre-Forward,"Mar 28, 1985 ",38,['France'],France,Le Puy-en-Velay,,"1,80",-
,Jonathan Ayité,Centre-Forward,"Jul 22, 1985 ",38,"['Togo', 'France']",France,Bordeaux,RW   LW,"1,84",-
,Youssef Adnane,Centre-Forward,"Jul 16, 1985 ",38,"['France', 'Morocco']",France,Mulhouse,RW   SS,"1,78",-
,Gauthier Diafutua,Centre-Forward,"Nov 4, 1985 ",38,"['France', 'DR Congo']",France,Levallois-Perret,LW   RW,"1,81",-
,Jean-Charles Dubois,Centre-Forward,"Apr 12, 1985 ",38,['France'],France,Thonon-les-Bains,AM,"1,86",-
,Jean-Louis Akpa Akpro,Centre-Forward,"Jan 4, 1985 ",39,"['France', ""Cote d'Ivoire""]",France,Toulouse,SS   LW,"1,82",-
,Franck Padovani,Centre-Forward,"Apr 22, 1985 ",38,['France'],France,Nizza,,"1,80",-
,Kamel Larbi,Centre-Forward,"Feb 20, 1985 ",39,"['Algeria', 'France']",France,Antibes,LW   RW,"1,78",-
9,Olivier Giroud,Centre-Forward,"Sep 30, 1986 ",37,['France'],France,Chambéry,,"1,92",€4.00m
9,Mustapha Yatabaré,Centre-Forward,"Jan 26, 1986 ",38,"['Mali', 'France']",France,Beauvais,RW   LW,"1,86",€75k
,Anthony Aversa,Centre-Forward,"Jan 20, 1986 ",38,['France'],France,Toulouse,LW,"1,83",-
,Stive Mendy,Centre-Forward,"Oct 27, 1986 ",37,"['France', 'Senegal']",France,Paris,,"1,83",-
,Kevin Trudo,Centre-Forward,"Jan 16, 1986 ",38,['France'],France,Le Blanc Mesnil,LW   RW,"1,77",-
,Vincent Le Mat,Centre-Forward,"Apr 22, 1986 ",37,['France'],France,Quimper,,"1,92",-
,Steven Ahoua Boua,Centre-Forward,"Jun 23, 1986 ",37,"['France', ""Cote d'Ivoire""]",France,Marseille,RW   LW,"1,80",-
10,Akim Orinel,Centre-Forward,"Jul 27, 1986 ",37,"['France', 'Algeria']",France,Arles,AM   RW,"1,71",-
,Soufiane Ben Cherif,Centre-Forward,"Nov 8, 1986 ",37,"['Algeria', 'France']",France,Ollioules,,,-
,Abdoulaziz Sy,Centre-Forward,"Dec 25, 1986 ",37,"['France', 'Senegal']",France,Le Havre,,"1,87",-
,Hugues Ayivi,Centre-Forward,"Oct 20, 1986 ",37,"['France', 'Togo']",France,Paris,LW   RW,"1,82",-
,Nicolas Belvito,Centre-Forward,"Dec 18, 1986 ",37,['France'],France,Lyon,,"1,90",-
,Madimoussa Traoré,Centre-Forward,"Jun 11, 1986 ",37,"['France', 'Mali']",France,Choisy-le-Roi,,"1,84",-
9,Yoann Touzghar,Centre-Forward,"Nov 28, 1986 ",37,"['Tunisia', 'France']",France,Avignon,LW   RW,"1,80",€250k
18,Florian Taulemesse,Centre-Forward,"Jan 31, 1986 ",38,['France'],France,Bagnols-sur-Cèze,,"1,84",€50k
,Maxence Ambroziewicz,Centre-Forward,"Oct 15, 1986 ",37,"['France', 'Poland']",France,Croix,,"1,87",-
,Tony Patrao,Centre-Forward,"Feb 19, 1986 ",38,"['France', 'Portugal']",France,Marseille,,"1,83",-
,Kaddour Zalmate,Centre-Forward,"Jun 3, 1986 ",37,['France'],France,Reims,,"1,81",-
,Arnaud Despres,Centre-Forward,"Apr 1, 1986 ",37,['France'],France,Sainte-Catherine-les-Arras,,,-
,Baptiste Geslin,Centre-Forward,"May 22, 1986 ",37,['France'],France,Vitré,,"1,77",-
,Diego Vairelles,Centre-Forward,"Jul 30, 1986 ",37,['France'],France,Nancy,,"1,80",-
,Christopher Mayulu,Centre-Forward,"Aug 16, 1986 ",37,"['France', 'DR Congo']",France,Meaux,,"1,80",-
,Omar Bellagra,Centre-Forward,"May 21, 1986 ",37,"['Algeria', 'France']",France,Blois,,"1,74",-
