Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
25,Adlène Guédioura,Defensive Midfield,"Nov 12, 1985 ",38,"['Algeria', 'France']",France,La Roche-sur-Yon,CM,"1,78",€100k
,Khalid El Kihel,Defensive Midfield,"Aug 23, 1985 ",38,"['France', 'Morocco']",France,Bergerac,,"1,75",-
,John Popelard,Defensive Midfield,"Nov 24, 1985 ",38,['France'],France,Senlis,,"1,82",-
,Bruce Dombolo,Defensive Midfield,"May 27, 1985 ",38,"['France', 'DR Congo']",France,Marseille,CB,"1,83",-
,Max Hilaire,Defensive Midfield,"Dec 6, 1985 ",38,"['Haiti', 'France']",France,Bondy,,"1,90",-
,Julien Ricaud,Defensive Midfield,"Jan 28, 1985 ",39,['France'],France,Villeneuve-sur-Lot,CM   CB,"1,85",-
,Abdelhakim Jamaï,Defensive Midfield,"Sep 28, 1985 ",38,"['France', 'Morocco']",France,Perpignan,CB,"1,88",-
,Pierre-Marie Vanrooy,Defensive Midfield,"Jul 29, 1985 ",38,['France'],France,Saint-Omer,,"1,73",-
,Rodrigue Dikaba,Defensive Midfield,"Oct 28, 1985 ",38,"['DR Congo', 'France']",France,Toulouse,RB,"1,74",-
,Philippe Liard,Defensive Midfield,"Jan 10, 1985 ",39,['France'],France,Lille,LB   CM,"1,83",-
,Yannick Cahuzac,Defensive Midfield,"Jan 18, 1985 ",39,['France'],France,Ajaccio,CM,"1,78",-
,William Stanger,Defensive Midfield,"May 19, 1985 ",38,['France'],France,Quimper,CM,"1,80",-
,Mamadou Diakité,Defensive Midfield,"May 22, 1985 ",38,"['Mali', 'France']",France,Rosny-sous-Bois,RM,"1,86",-
,Morgaro Gomis,Defensive Midfield,"Jul 14, 1985 ",38,"['Senegal', 'France']",France,Le Blanc-Mesnil,CM,"1,75",€50k
,Karim Ben Khalfallah,Defensive Midfield,"Sep 9, 1985 ",38,['France'],France,Péronne,,"1,75",-
,Cédric Baroni,Defensive Midfield,"Nov 13, 1985 ",38,['France'],France,Saint-Cyr,CM,,-
,Ludovic Fardin,Defensive Midfield,"Jun 10, 1985 ",38,"['Martinique', 'France']",France,Aubervilliers,CM,"1,79",-
,Sébastien Pihourd,Defensive Midfield,"Jan 4, 1985 ",39,['France'],France,Paris,,"1,77",-
,Zanké Diarra,Defensive Midfield,"Sep 3, 1985 ",38,"['France', 'Mali']",France,Villepinte,CM,"1,85",-
,Michel Bidegain,Defensive Midfield,"Jun 17, 1985 ",38,['France'],France,Bayonne,CM,"1,80",-
,Saliminah Galokho,Defensive Midfield,"Jul 21, 1985 ",38,['France'],France,La Tronche,CB   CM,,-
,Julien Delétraz,Defensive Midfield,"Dec 9, 1985 ",38,['France'],France,La Tronche,,"1,76",-
,Romain Vincelot,Defensive Midfield,"Oct 29, 1985 ",38,['France'],France,Poiters,CB   CM,"1,76",-
,Rachid Hamdani,Defensive Midfield,"Apr 8, 1985 ",38,"['Morocco', 'France']",France,Toul,CM   CB,"1,76",-
,Bertrand Ndzomo,Defensive Midfield,"Jun 18, 1985 ",38,"['France', 'Cameroon']",France,Domont,CM,"1,77",-
,Guy Moussi,Defensive Midfield,"Jan 23, 1985 ",39,"['France', 'DR Congo']",France,Bondy,CM   RM,"1,87",-
,Lassana Diarra,Defensive Midfield,"Mar 10, 1985 ",38,"['France', 'Mali']",France,Paris,CM   RB,"1,73",-
,Marc Clamy,Defensive Midfield,"Apr 26, 1985 ",38,['France'],France,La Garenne-Colombes,,"1,78",-
,Jonathan Bru,Defensive Midfield,"May 2, 1985 ",38,"['Mauritius', 'France']",France,Neuilly-sur-Seine,CM,"1,82",-
,Carl Medjani,Defensive Midfield,"May 15, 1985 ",38,"['Algeria', 'France']",France,Lyon,CB,"1,84",-
,Mohamed Sissoko,Defensive Midfield,"Jan 22, 1985 ",39,"['Mali', 'France']",France,Mont-Saint-Aignan,CM,"1,91",-
,Ludovic Guerriero,Defensive Midfield,"Jan 5, 1985 ",39,"['France', 'Italy']",France,Forbach,CM,"1,76",-
,Arnold Mvuemba,Defensive Midfield,"Jan 28, 1985 ",39,"['DR Congo', 'France']",France,Alençon,CM,"1,72",-
,Marko Muslin,Defensive Midfield,"Jun 17, 1985 ",38,"['France', 'Serbia']",France,Brest,CB   CM,"1,85",-
,Marc Kalenga,Defensive Midfield,"Mar 18, 1985 ",38,['France'],France,Toulouse,,"1,83",-
,Yoann Folly,Defensive Midfield,"Jun 6, 1985 ",38,"['Togo', 'France']",France,Paris,CM   AM,"1,75",-
8,Anthony Losilla,Defensive Midfield,"Mar 10, 1986 ",37,['France'],France,Firminy,CB   CM,"1,85",€500k
,Johan Roca,Defensive Midfield,"Dec 11, 1986 ",37,['France'],France,Évry,,"1,84",-
,Kévin Berdier,Defensive Midfield,"Feb 27, 1986 ",38,['France'],France,,,"1,92",-
,Johann Bernard,Defensive Midfield,"Mar 13, 1986 ",37,"['France', 'Martinique']",France,Nancy,RW   SS,"1,84",-
,Aurélien Gazeau,Defensive Midfield,"May 6, 1986 ",37,['France'],France,Montreuil-sous-Bois,,"1,81",-
,Guillaume Brenner,Defensive Midfield,"Feb 1, 1986 ",38,"['Togo', 'France']",France,Beauvais,,"1,75",-
,Anthony Martello,Defensive Midfield,"Jun 9, 1986 ",37,['France'],France,Saint-Julien-en-Genévois,CM,"1,78",-
,Alix Salles,Defensive Midfield,"Jun 22, 1986 ",37,['France'],France,Agen,,"1,86",-
,Alexandre Matejic,Defensive Midfield,"Sep 26, 1986 ",37,"['France', 'Serbia']",France,Sèvres,,"1,85",-
,Jérôme Martin,Defensive Midfield,"Jun 1, 1986 ",37,['France'],France,Bordeaux,,"1,75",-
,Julien Rolandi,Defensive Midfield,"Mar 28, 1986 ",37,['France'],France,Vesoul,,"1,73",-
13,Mehdi Kacem,Defensive Midfield,"Aug 8, 1986 ",37,"['Algeria', 'France']",France,Mantes-la-Jolie,RW   AM,"1,82",-
,Milan Thomas,Defensive Midfield,"Jan 21, 1986 ",38,['France'],France,Lyon,,"1,85",-
39,Anthony Gonçalves,Defensive Midfield,"Mar 6, 1986 ",37,"['France', 'Portugal']",France,Chartres,RB   RM,"1,79",€200k
,William Coulibaly,Defensive Midfield,"May 3, 1986 ",37,['France'],France,Arpajon,CM,"1,77",-
,Jérôme Georges,Defensive Midfield,"Jun 4, 1986 ",37,['France'],France,,CB   CM,"1,8",-
,Danilson da Cruz,Defensive Midfield,"Jun 28, 1986 ",37,"['Cape Verde', 'France']",France,Créteil,CM,"1,86",-
,Anthony Hacquard,Defensive Midfield,"Jan 8, 1986 ",38,['France'],France,Lure,,"1,75",-
,Fabien Duron,Defensive Midfield,"Jul 18, 1986 ",37,['France'],France,Moulins,,"1,79",-
,Rémy Lacroix,Defensive Midfield,"Jul 16, 1986 ",37,['France'],France,Toulouse,CM,"1,80",-
,Noui Laïfa,Defensive Midfield,"Jul 23, 1986 ",37,"['France', 'Algeria']",France,Les Ulis,CM   AM,"1,82",-
6,Thomas Gamiette,Defensive Midfield,"Jun 21, 1986 ",37,"['Guadeloupe', 'France']",France,Épinay-sur-Seine,CM,"1,75",-
,Igor Djoman,Defensive Midfield,"May 1, 1986 ",37,"['France', ""Cote d'Ivoire""]",France,Clermont,CM   AM,"1,78",-
,Didier Digard,Defensive Midfield,"Jul 12, 1986 ",37,['France'],France,Gisors,,"1,83",-
,Gary Coulibaly,Defensive Midfield,"Mar 30, 1986 ",37,"['France', 'Mali']",France,Perpignan,CB   CM,"1,83",-
,Toufik Zerara,Defensive Midfield,"Feb 3, 1986 ",38,"['Algeria', 'France']",France,Mulhouse,,"1,78",-
,Florent Raimy,Defensive Midfield,"Feb 7, 1986 ",38,"['Benin', 'France']",France,Laon,,N/A,-
,Ricardo Faty,Defensive Midfield,"Aug 4, 1986 ",37,"['Senegal', 'France']",France,Villeneuve-Saint-Georges,CM   CB,,-
,Kévin Das Neves,Defensive Midfield,"May 8, 1986 ",37,['France'],France,Clermont-Ferrand,CB   RB,"1,83",-
,Antonis Rikka,Defensive Midfield,"Mar 3, 1986 ",38,"['Greece', 'France']",France,Marseille,CM   LM,"1,78",-
,Adil Hermach,Defensive Midfield,"Jun 27, 1986 ",37,"['Morocco', 'France']",France,Nîmes,CM,"1,77",-
20,Rémi Sergio,Defensive Midfield,"Dec 1, 1987 ",36,"['France', 'Portugal']",France,Marseille,CM   AM,"1,70",€150k
,Cédric Fabre,Defensive Midfield,"Feb 4, 1987 ",37,['France'],France,Nîmes,,"1,68",-
,Nélson Morgado,Defensive Midfield,"Apr 30, 1987 ",36,"['France', 'Portugal']",France,Bondy,CM,"1,80",-
,Amir Karaoui,Defensive Midfield,"Aug 3, 1987 ",36,"['Algeria', 'France']",France,Amnéville,CB   LB,"1,78",-
,Alexis Raynaud,Defensive Midfield,"Mar 21, 1987 ",36,['France'],France,Moulins,,"1,74",-
,Yohan Betsch,Defensive Midfield,"Feb 16, 1987 ",37,['France'],France,Argenteuil,CM,"1,85",-
,François Bellugou,Defensive Midfield,"Apr 25, 1987 ",36,['France'],France,Prades,CB,"1,88",-
,Thomas Ayasse,Defensive Midfield,"Feb 17, 1987 ",37,['France'],France,Toulouse,CM,"1,83",-
6,Jérémy Grimm,Defensive Midfield,"Mar 27, 1987 ",36,['France'],France,Ostheim,,"1,81",-
