Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Benjamin Touraine,Left Midfield,"Jan 3, 1985 ",39,['France'],France,Bruges,,"1,78",-
,Damien Tibéri,Left Midfield,"Aug 23, 1985 ",38,['France'],France,Fréjus,DM   LB,"1,81",-
,Kévin Lejeune,Left Midfield,"Jan 22, 1985 ",39,['France'],France,Cambrai,LB   LW,"1,81",-
,Nicolas Maurice-Belay,Left Midfield,"Apr 19, 1985 ",38,"['France', 'Martinique']",France,Sucy-en-Brie,LW   CF,"1,82",-
,Yedi Zahiri,Left Midfield,"Sep 2, 1985 ",38,"['France', ""Cote d'Ivoire""]",France,Paris,AM,"1,73",-
,Ronan Biger,Left Midfield,"Oct 8, 1985 ",38,['France'],France,Paris,LW   LB,"1,70",-
,Mathieu Robail,Left Midfield,"Jun 2, 1985 ",38,['France'],France,Cambrai,DM   LB,"1,73",-
10,Alexandre Bonnet,Left Midfield,"Oct 17, 1986 ",37,['France'],France,La Roche-sur-Yon,LW   AM,"1,73",€150k
,Grégory Covin,Left Midfield,"Sep 3, 1986 ",37,['France'],France,Lille,,"1,76",-
,Charly Vuillemot,Left Midfield,"Jan 11, 1986 ",38,['France'],France,Lons-le-Saulnier,LB,"1,77",-
10,Farid Beziouen,Left Midfield,"Oct 17, 1986 ",37,"['France', 'Algeria']",France,Saint-Denis,AM   RM,"1,68",-
,Abdelhak Boutasgount,Left Midfield,"Feb 11, 1986 ",38,['France'],France,Romilly-sur-Seine,,"1,82",-
,Stéphen Vincent,Left Midfield,"Sep 2, 1986 ",37,"['France', 'Martinique']",France,Neuilly-sur-Marne,LB   LW,"1,74",-
,Ludovic Gamboa,Left Midfield,"Jan 14, 1986 ",38,"['France', 'Portugal']",France,Fontainebleau,AM   LW,"1,77",-
,Alexandre Marginet,Left Midfield,"Sep 21, 1986 ",37,['France'],France,Perpignan,,"1,80",-
,David Dargelosse,Left Midfield,"Apr 20, 1986 ",37,['France'],France,Pau,CM,"1,75",-
,Hachem Mihoubi,Left Midfield,"Aug 30, 1986 ",37,['Algeria'],France,,LW,"1,84",-
,Yassine El Aazaoui,Left Midfield,"Mar 18, 1986 ",37,"['France', 'Tunisia']",France,Saint-Claude,LW   RM,,-
