Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Baptiste Dufay,Right-Back,"Jul 6, 1985 ",38,['France'],France,Saint-Omer,,,-
,Ousmane Sidibé,Right-Back,"Apr 23, 1985 ",38,"['Guinea', 'France']",France,Paris,LB   CB,"1,78",-
,Mathieu Gomes,Right-Back,"Mar 6, 1985 ",38,['France'],France,Bayonne,RM   RW,"1,79",-
,Julien N'Da,Right-Back,"Aug 15, 1985 ",38,"['France', ""Cote d'Ivoire""]",France,Niort,CB,"1,79",-
,Karim Azizou,Right-Back,"Jan 20, 1985 ",39,"['Morocco', 'France']",France,Perigueux,,"1,77",-
,Mathieu Debuchy,Right-Back,"Jul 28, 1985 ",38,['France'],France,Fretin,CB   RM,"1,77",-
,Mickaël De Araujo,Right-Back,"Jan 31, 1985 ",39,['France'],France,Le Plessis-Bouchard,,"1,81",-
,Issa Cissokho,Right-Back,"Feb 23, 1985 ",39,"['Senegal', 'France']",France,Paris,LB   RM,"1,73",-
,Ritchie Makuma,Right-Back,"May 6, 1985 ",38,"['France', 'DR Congo']",France,Vitry-sur-Seine,,"1,83",-
,Salim Moizini,Right-Back,"Oct 17, 1985 ",38,"['Comoros', 'France']",France,Venissieux,RM   RW,"1,75",-
,Mickaël Bertrand,Right-Back,"May 4, 1985 ",38,['France'],France,Albi,,,-
,Romain Trouche,Right-Back,"Nov 23, 1985 ",38,['France'],France,Peymeirade,LB,"1,80",-
,Morgan Lamache,Right-Back,"Jul 27, 1986 ",37,['France'],France,Béziers,,"1,80",-
,Jérôme Hergault,Right-Back,"Apr 5, 1986 ",37,['France'],France,Montmorency,LB,"1,85",-
,Fouad Chafik,Right-Back,"Oct 16, 1986 ",37,"['Morocco', 'France']",France,Pierrelatte,LB,"1,83",-
,Guillaume Coelho,Right-Back,"Mar 19, 1986 ",37,['France'],France,Le Puy-en-Velay,RM   RW,"1,74",-
,Bruno Demeulenaere,Right-Back,"Feb 12, 1986 ",38,['France'],France,Dunkerque,,"1,85",-
,Yassin Moutaouakil,Right-Back,"Jul 18, 1986 ",37,"['France', 'Morocco']",France,Nizza,,"1,79",-
,Hatim Sbaï,Right-Back,"Aug 9, 1986 ",37,"['Morocco', 'France']",France,Nîmes,,"1,73",-
,Ted Lavie,Right-Back,"Mar 19, 1986 ",37,"['France', 'Congo']",France,Montpellier,DM   CM,"1,78",-
,Mourad Benhamida,Right-Back,"Jan 18, 1986 ",38,"['France', 'Tunisia']",France,Villeurbanne,,"1,76",-
,Kilian Hurtrel,Right-Back,"Feb 7, 1986 ",38,['France'],France,Calais,,"1,80",-
,Nordine Kadour,Right-Back,"Oct 18, 1986 ",37,['France'],France,Oignies,,,-
,Boris Mahon de Monaghan,Right-Back,"Feb 11, 1986 ",38,"['France', 'Ireland']",France,Orléans,,"1,74",-
,Gaëtan Belaud,Right-Back,"Sep 16, 1986 ",37,['France'],France,Oloron-Sainte-Marie,RM,"1,77",-
,Evan Leduby,Right-Back,"Apr 11, 1986 ",37,['France'],France,Dreux,,"1,83",-
,Romain Danzé,Right-Back,"Jul 3, 1986 ",37,['France'],France,Douarnenez,RM   DM,"1,84",-
,Jonathan Martins Pereira,Right-Back,"Jan 30, 1986 ",38,"['France', 'Portugal']",France,Bayonne,,"1,82",-
,Mohamed Chakouri,Right-Back,"May 21, 1986 ",37,"['Algeria', 'France']",France,Arles,,"1,81",-
33,Julien Faussurier,Right-Back,"Jan 14, 1987 ",37,['France'],France,Lyon,RM   LB,"1,73",€200k
,Frédéric Phok,Right-Back,"Feb 17, 1987 ",37,['France'],France,Alençon,,"1,77",-
,Jalal Abdesslami,Right-Back,"Feb 9, 1987 ",37,"['France', 'Morocco']",France,Le Mans,,"1,80",-
,Fabien Soulier,Right-Back,"Oct 18, 1987 ",36,['France'],France,Paray-le-Monial,,"1,80",-
,Sasa Nikodijevic,Right-Back,"Jul 16, 1987 ",36,['Serbia'],France,Paris,RM,,-
,Malik M'Tir,Right-Back,"Mar 25, 1987 ",36,"['France', 'Morocco']",France,Besançon,RM   RW,"1,75",-
,Christopher Oualembo,Right-Back,"Jan 31, 1987 ",37,"['DR Congo', 'France']",France,Saint-Germain-en-Laye,LB   RM,"1,78",-
,Romain Ollé-Nicolle,Right-Back,"Aug 18, 1987 ",36,['France'],France,Chambery,,"1,87",-
,Stéphane Tritz,Right-Back,"Feb 25, 1987 ",37,['France'],France,Straßburg,LB,"1,78",-
,Kassim Abdallah,Right-Back,"Apr 9, 1987 ",36,"['Comoros', 'France']",France,Marseille,CB,"1,85",€50k
,Eddy Calogine,Right-Back,"Apr 17, 1987 ",36,"['France', 'Réunion']",France,Fontainebleau,LB,"1,79",-
,Yohan Mourrin,Right-Back,"Apr 4, 1987 ",36,['France'],France,Nantes,CB,"1,80",-
,Jean Arnaud,Right-Back,"Apr 7, 1987 ",36,['France'],France,Brou-sur-Chantereine,CB,"1,88",-
,Romain Delbourg,Right-Back,"Mar 18, 1987 ",36,['France'],France,Redon,,"1,80",-
,Jean-Philippe Bélet,Right-Back,"Jan 31, 1987 ",37,['France'],France,Saint-Pol-sur-Mer,,"1,75",-
,Sébastien Cantini,Right-Back,"Jul 31, 1987 ",36,['France'],France,Martigues,LB,"1,74",-
,Jean Christophe Cesto,Right-Back,"Jan 24, 1987 ",37,"['France', 'Martinique']",France,Brest,,"1,80",-
,Romain Cabon,Right-Back,"Aug 26, 1987 ",36,['France'],France,Saint-Renan,,"1,82",-
2,Allan Nyom,Right-Back,"May 10, 1988 ",35,"['Cameroon', 'France']",France,Neuilly-sur-Seine,LB,"1,89",€800k
14,Joffrey Cuffaut,Right-Back,"Mar 15, 1988 ",35,['France'],France,Méru,CB,"1,80",€250k
,Kévin Martinez,Right-Back,"Sep 29, 1988 ",35,['France'],France,Saint-Quentin,,,-
,Mickaël Deheegher,Right-Back,"Nov 8, 1988 ",35,['France'],France,Vernon,LB,"1,76",-
,Quentin Leroy,Right-Back,"Apr 6, 1988 ",35,['France'],France,Saint-Michel,,"1,72",-
,Ousmane Samba,Right-Back,"Oct 16, 1988 ",35,"['Mauritania', 'France']",France,Gennevilliers,CB,"1,76",-
,Alexis Zmijak,Right-Back,"May 15, 1988 ",35,"['France', 'Poland']",France,Croix,,"1,80",-
,Kévin Giboyau,Right-Back,"Jul 8, 1988 ",35,['France'],France,Bagnolet,,"1,81",-
,Ronald Mayingila,Right-Back,"Sep 17, 1988 ",35,['France'],France,Vesoul,LB,"1,70",-
,Stéphan de Rueda,Right-Back,"Dec 24, 1988 ",35,['France'],France,Toulouse,DM,"1,80",-
,Thomas Bazin,Right-Back,"Feb 28, 1988 ",36,['France'],France,Cannes,,"1,80",-
,Jean Moog,Right-Back,"Mar 21, 1988 ",35,['France'],France,Schiltigheim,,"1,75",-
,Anthony Lippini,Right-Back,"Nov 7, 1988 ",35,['France'],France,Bastia,LB,"1,75",-
,Lloyd Palun,Right-Back,"Nov 28, 1988 ",35,"['Gabon', 'France']",France,Arles,CB   LB,"1,84",€250k
20,Mohamed Youssouf,Right-Back,"Mar 26, 1988 ",35,"['Comoros', 'France']",France,Paris,RM   LB,"1,69",€200k
,Kévin Machado,Right-Back,"Aug 21, 1988 ",35,['France'],France,Limoges,,"1,70",-
,Dimitri Santrain,Right-Back,"Aug 18, 1988 ",35,['France'],France,Dunkerque,,"1,76",-
29,Nicolas Palbrois,Right-Back,"Oct 16, 1988 ",35,['France'],France,Arpajon,LB   DM,"1,68",-
,Abdelali Ouadah,Right-Back,"Apr 15, 1988 ",35,"['France', 'Algeria']",France,Louviers,DM   CM,"1,76",-
,Maxime Toupin,Right-Back,"Jan 7, 1988 ",36,['France'],France,Concarneau,,"1,80",-
,Jonathan Ringayen,Right-Back,"Sep 27, 1988 ",35,"['France', 'Réunion']",France,La Roche-sur-Yon,,"1,78",-
