Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
7,Riad Nouri,Right Winger,"Jun 7, 1985 ",38,"['France', 'Algeria']",France,Marseille,LW   CF,"1,78",€200k
,Cyril Bagnost,Right Winger,"Jan 24, 1985 ",39,['France'],France,Epernay,LW,"1,75",-
,Damien Boudjemaa,Right Winger,"Jun 7, 1985 ",38,"['France', 'Algeria']",France,Paris,AM   CM,"1,73",-
,Benjamin Psaume,Right Winger,"Jan 12, 1985 ",39,['France'],France,Auch,LW   CF,"1,70",-
,Virgile Reset,Right Winger,"Aug 3, 1985 ",38,['France'],France,Lilas,LW,"1,75",-
,Olivier Serra,Right Winger,"Sep 5, 1985 ",38,['France'],France,Perpignan,RM,"1,77",-
,Kévin Rouet,Right Winger,"Jul 11, 1985 ",38,['France'],France,Bressuire,,,-
,Hamer Bouazza,Right Winger,"Feb 22, 1985 ",39,"['Algeria', 'France']",France,Évry,LM   LW,"1,78",-
,Seïd Khiter,Right Winger,"Jan 19, 1985 ",39,"['France', 'Algeria']",France,Roubaix,AM   LW,"1,71",-
,Karim Matmour,Right Winger,"Jun 25, 1985 ",38,"['Algeria', 'France']",France,Straßburg,CF   LW,N/A,-
,Jota,Right Winger,"Dec 1, 1986 ",37,['Portugal'],France,Paris,LW   CF,,-
,Sinan Özkan,Right Winger,"Mar 22, 1986 ",37,"['Türkiye', 'France']",France,Saint-Etienne,LW   CF,"1,83",-
,Nicolas Farina,Right Winger,"Aug 9, 1986 ",37,['France'],France,Metz,LW,N/A,-
,Djamel Abdoun,Right Winger,"Feb 14, 1986 ",38,"['Algeria', 'France']",France,Montreuil,LW   RM,"1,78",-
,Fadal Bouraoud,Right Winger,"Apr 5, 1986 ",37,"['France', 'Morocco']",France,Paris,LW,"1,78",-
29,Antony Robic,Right Winger,"Mar 5, 1986 ",38,"['France', 'Portugal']",France,Marseille,RM   LW,"1,81",-
,Nabil El Zhar,Right Winger,"Aug 27, 1986 ",37,"['Morocco', 'France']",France,Alès,AM   LW,"1,70",-
,Charles N'Zogbia,Right Winger,"May 28, 1986 ",37,"['France', 'DR Congo']",France,Harfleur,AM   LW,"1,71",-
23,Michaël Pereira,Right Winger,"Dec 8, 1987 ",36,"['France', 'Cape Verde']",France,Paris,LW   AM,"1,80",€75k
,Mehmet Talha Bulut,Right Winger,"Apr 1, 1987 ",36,"['Türkiye', 'France']",France,Paris,LW,"1,80",-
,Pierrick Mornet,Right Winger,"Mar 6, 1987 ",37,['France'],France,La Roche-sur-Yon,LW,"1,86",-
11,Eric Bauthéac,Right Winger,"Aug 24, 1987 ",36,['France'],France,Bagnols-sur-Cèze,LW   AM,"1,68",-
,Kévin Parienté,Right Winger,"Jan 19, 1987 ",37,['France'],France,Paris,,"1,72",-
,Romain Hamouma,Right Winger,"Mar 29, 1987 ",36,"['France', 'Algeria']",France,Montbéliard,CF   LW,"1,79",-
,Ali Mathlouthi,Right Winger,"Apr 22, 1987 ",36,"['France', 'Tunisia']",France,Saint-Denis,CF   LW,"1,77",-
,Issiar Dia,Right Winger,"Jun 8, 1987 ",36,"['Senegal', 'France']",France,Sèvres,LW   CF,"1,73",-
,Aid Slimane,Right Winger,"Jan 2, 1987 ",37,['France'],France,Versailles,,"1,85",-
,Julien Gensel,Right Winger,"Mar 23, 1987 ",36,['France'],France,Valence,,"1,77",-
17,Mohamed Sassi,Right Winger,"Dec 10, 1987 ",36,"['Tunisia', 'France']",France,Paris,AM   LW,"1,76",-
,Rafik Bouderbal,Right Winger,"Sep 19, 1987 ",36,"['Algeria', 'France']",France,Lyon,LW,"1,76",-
,Benjamin Morel,Right Winger,"Jun 10, 1987 ",36,['France'],France,Salon-de-Provence,AM   LW,"1,81",-
,Rudy Saintini,Right Winger,"May 2, 1987 ",36,['France'],France,Ivry-sur-Seine,LW,"1,75",-
,Lhadji Badiane,Right Winger,"Apr 16, 1987 ",36,"['France', 'Senegal']",France,Straßburg,LW   CF,"1,80",-
87,Serge Gakpé,Right Winger,"May 7, 1987 ",36,"['Togo', 'France']",France,Bondy,LW   CF,"1,80",-
7,Jonathan Biabiany,Right Winger,"Apr 28, 1988 ",35,"['France', 'Guadeloupe']",France,Paris,RB,"1,77",€400k
,Mathieu Dossevi,Right Winger,"Feb 12, 1988 ",36,"['Togo', 'France']",France,Chambray-lès-Tours,AM   LW,"1,74",€100k
,Romain Barbet,Right Winger,"Sep 23, 1988 ",35,['France'],France,Villeurbanne,LW,"1,80",-
,Jonathan Sainte-Catherine,Right Winger,"Jan 18, 1988 ",36,['France'],France,Lyon,RM,"1,73",-
,Alexandre Sagot,Right Winger,"Apr 24, 1988 ",35,['France'],France,Auray,,"1,84",-
,Roxan Rodriguez,Right Winger,"Jan 15, 1988 ",36,['France'],France,Toulouse,,"1,87",-
,Geoffrey Malfleury,Right Winger,"Jan 20, 1988 ",36,"['Martinique', 'France']",France,Aubervilliers,LW   SS,"1,66",-
,Omar Kossoko,Right Winger,"Mar 10, 1988 ",35,"['Benin', 'France']",France,Mantes-la-Jolie,LW   CF,"1,86",-
7,Greg Houla,Right Winger,"Jul 19, 1988 ",35,['France'],France,Amiens,LW   RM,"1,72",€150k
74,Karim Yoda,Right Winger,"Oct 25, 1988 ",35,"['France', ""Cote d'Ivoire""]",France,Annemasse,LW,"1,82",€50k
,Pierre-Joseph Dubois,Right Winger,"Dec 2, 1988 ",35,['France'],France,Paris,LW   CF,,-
,Malek Chergui,Right Winger,"Jul 2, 1988 ",35,"['France', 'Algeria']",France,Échirolles,LM   RM,"1,79",-
,Nicolas Cavaniol,Right Winger,"Mar 29, 1988 ",35,['France'],France,Toulouse,CF,"1,73",-
,Jérémy Bru,Right Winger,"Nov 29, 1988 ",35,['France'],France,Marseille,,"1,75",-
,Thomas Mercheyer,Right Winger,"Nov 26, 1988 ",35,['France'],France,Six-Fours-les-Plages,LW,"1,73",-
,Ibrahima Traoré,Right Winger,"Apr 21, 1988 ",35,"['Guinea', 'France']",France,Villepinte,AM   LW,"1,71",-
56,Gabriel Obertan,Right Winger,"Feb 26, 1989 ",35,"['France', 'Guadeloupe']",France,Pantin,LW   AM,"1,86",€125k
,Romain Alessandrini,Right Winger,"Apr 3, 1989 ",34,['France'],France,Marseille,LW,"1,73",€100k
,Ayrton,Right Winger,"Sep 11, 1989 ",34,"['Portugal', 'France']",France,Paris,LW   CF,,-
,Faycal Lebbihi,Right Winger,"Feb 6, 1989 ",35,['France'],France,Nanterre,,"1,84",-
,Yohan Mollo,Right Winger,"Jul 18, 1989 ",34,['France'],France,Martigues,RM   LW,"1,75",-
7,Guillaume Bosca,Right Winger,"Oct 23, 1989 ",34,['France'],France,Martigues,CF,"1,76",€100k
,Nelson,Right Winger,"Sep 16, 1989 ",34,"['France', 'Spain']",France,Bondy (Francia),SS,"1,73",-
,Rahavi Kifoueti,Right Winger,"Mar 12, 1989 ",34,"['Congo', 'France']",France,Issy-les-Moulineaux,LW   CF,"1,79",-
,Yoric Ravet,Right Winger,"Sep 12, 1989 ",34,['France'],France,Echirolles,LW   AM,"1,78",-
,Anice Badri,Right Winger,"Sep 18, 1990 ",33,"['Tunisia', 'France']",France,Lyon,LW   AM,"1,77",€200k
,Thomas Lenzini,Right Winger,"Oct 11, 1990 ",33,['France'],France,Bastia,LW,"1,70",-
,Pedrinho,Right Winger,"May 18, 1990 ",33,"['Portugal', 'France']",France,,,,-
,David Camps,Right Winger,"May 22, 1990 ",33,['France'],France,Martigues,RM,"1,80",-
,Christopher Benkada,Right Winger,"Jul 28, 1990 ",33,"['France', 'Algeria']",France,Boulogne-sur-Mer,,"1,72",-
,Mehdi Courgnaud,Right Winger,"Nov 21, 1990 ",33,"['France', 'Morocco']",France,Romorantin-Lanthenay,SS   LW,"1,82",-
,Valentin Focki,Right Winger,"May 24, 1990 ",33,['France'],France,Remiremont,LW   RB,"1,71",-
,Ludovic,Right Winger,"Jun 18, 1990 ",33,"['Portugal', 'France']",France,Paris,LW   AM,"1,68",-
,Tony Vasseur,Right Winger,"Jan 31, 1990 ",34,['France'],France,Caen,CF,,-
