Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Gonçalo Santos,Midfielder,Attacking Midfield,"Mar 18, 1985 ",39,['Portugal'],Portugal,,CM,"1,65",-
,Fábio Espinho,Midfielder,Attacking Midfield,"Aug 18, 1985 ",38,['Portugal'],Portugal,Espinho,RW   LW,"1,74",-
,André Maia,Midfielder,Attacking Midfield,"Jun 17, 1985 ",38,['Portugal'],Portugal,Porto,CM   RW,"1,70",-
14,Paulinho Teixeira,Midfielder,Attacking Midfield,"May 31, 1985 ",38,['Portugal'],Portugal,Porto,CM,"1,80",-
,Paulinho,Midfielder,Attacking Midfield,"Jan 30, 1985 ",39,['Portugal'],Portugal,Funchal,RM   LM,"1,75",-
,Costinha,Midfielder,Attacking Midfield,"Dec 7, 1985 ",38,['Portugal'],Portugal,Setúbal,CM,"1,74",-
,Manuel Fernandes,Midfielder,Attacking Midfield,"Feb 5, 1986 ",38,"['Portugal', 'Cape Verde']",Portugal,Lissabon,CM   LM,"1,76",€75k
,Ricardo Oliveira,Midfielder,Attacking Midfield,"Jun 11, 1986 ",37,['Portugal'],Portugal,Santa Maria da Feira,LW   LM,"1,85",-
,João Nogueira,Midfielder,Attacking Midfield,"Mar 27, 1986 ",38,['Portugal'],Portugal,Fafe,,"1,72",-
,Norberto Chagas,Midfielder,Attacking Midfield,"Jun 17, 1986 ",37,['Portugal'],Portugal,Faro,,"1,76",-
,André Cabete Portulez,Midfielder,Attacking Midfield,"Apr 29, 1986 ",37,['Portugal'],Portugal,Figueira da Foz,,"1,78",-
,Vitinha,Midfielder,Attacking Midfield,"May 21, 1986 ",37,['Portugal'],Portugal,Vila Nova de Gaia,RW   SS,"1,81",-
,Márcio Sousa,Midfielder,Attacking Midfield,"Mar 23, 1986 ",38,['Portugal'],Portugal,Guimarães,LM   CM,"1,69",-
,Óscar,Midfielder,Attacking Midfield,"Sep 23, 1986 ",37,['Portugal'],Portugal,Barcelos,,"1,82",-
,João Coimbra,Midfielder,Attacking Midfield,"May 24, 1986 ",37,['Portugal'],Portugal,Santa Comba Dão,CM   RW,"1,83",-
10,Jorginho,Midfielder,Attacking Midfield,"Sep 6, 1986 ",37,['Portugal'],Portugal,Albernoa,,,-
,Sabry,Midfielder,Attacking Midfield,"Feb 16, 1986 ",38,"['Portugal', 'Cape Verde']",Portugal,Algueirão,,"1,75",-
,Fábio Garrana,Midfielder,Attacking Midfield,"Feb 14, 1986 ",38,['Portugal'],Portugal,Faro,,,-
,Zé Luís,Midfielder,Attacking Midfield,"Sep 7, 1986 ",37,['Portugal'],Portugal,Varzim,LM,"1,86",-
,Zé Pedro,Midfielder,Attacking Midfield,"Jul 14, 1986 ",37,['Portugal'],Portugal,Santo Tirso,CM,"1,72",-
,Rafael,Midfielder,Attacking Midfield,"May 19, 1986 ",37,['Portugal'],Portugal,Oliveira do Bairro,LM   RM,"1,72",-
