Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
13,Filipe Duarte,Defender,Centre-Back,"Mar 30, 1985 ",39,"['Macao', 'Portugal']",Portugal,Lisboa,,"1,81",€10k
,Jorge Cunha,Defender,Centre-Back,"Aug 8, 1985 ",38,['Portugal'],Portugal,Paredes de Coura,DM,"1,77",-
,Bruno Teixeira,Defender,Centre-Back,"Jul 17, 1985 ",38,['Portugal'],Portugal,Porto,RB,,-
,Xavi,Defender,Centre-Back,"Mar 13, 1985 ",39,['Portugal'],Portugal,Fafe,,"1,83",-
,João Agostinho,Defender,Centre-Back,"Jul 18, 1985 ",38,['Portugal'],Portugal,Guimarães,,"1,94",-
,Rui Maurício,Defender,Centre-Back,"Jul 4, 1985 ",38,"['Portugal', 'Angola']",Portugal,Costa da Caparica,LB,"1,85",-
66,Pak-Kin Lao,Defender,Centre-Back,"May 24, 1985 ",38,['Macao'],Portugal,Macao,,"1,79",-
,Rui Almeida,Defender,Centre-Back,"Feb 6, 1985 ",39,['Portugal'],Portugal,Caldas da Raínha,,"1,81",-
,Pinto,Defender,Centre-Back,"Nov 12, 1985 ",38,['Portugal'],Portugal,Santo Tirso,DM,"1,84",-
,Fernando Guimarães,Defender,Centre-Back,"Sep 8, 1985 ",38,['Portugal'],Portugal,Vila Real de Santo António,DM,"1,87",-
,Luís Carlos,Defender,Centre-Back,"Oct 25, 1985 ",38,['Portugal'],Portugal,Vila do Conde,,"1,93",-
,Ginho,Defender,Centre-Back,"Jun 8, 1985 ",38,['Portugal'],Portugal,Paredes,LB,"1,84",-
,Vítor Pereira,Defender,Centre-Back,"Jan 8, 1985 ",39,['Portugal'],Portugal,Chaves,RB   DM,"1,84",-
,Sérgio,Defender,Centre-Back,"Jan 20, 1985 ",39,['Portugal'],Portugal,Canidelo,,"1,84",-
3,Márcio Anastácio,Defender,Centre-Back,"Sep 26, 1985 ",38,['Portugal'],Portugal,Viseu,LB,,-
4,Nuno Lucas,Defender,Centre-Back,"Apr 30, 1985 ",38,['Portugal'],Portugal,Almeirim,RB,"1,87",-
,João Leite,Defender,Centre-Back,"Jan 9, 1985 ",39,['Portugal'],Portugal,Vizela,RB,"1,81",-
,Nuno Cruz,Defender,Centre-Back,"Sep 18, 1985 ",38,['Portugal'],Portugal,Aveiro,LB,"1,82",-
,Alfredo,Defender,Centre-Back,"Mar 30, 1985 ",39,['Portugal'],Portugal,Viseu,,"1,87",-
,Materazzi,Defender,Centre-Back,"Mar 22, 1985 ",39,['Portugal'],Portugal,Gondomar,,"1,88",-
,Rúben Franco,Defender,Centre-Back,"Feb 25, 1985 ",39,['Portugal'],Portugal,Mafra,RB,"1,79",-
68,Vilaça,Defender,Centre-Back,"Mar 26, 1985 ",39,['Portugal'],Portugal,Santo Tirso,DM   LB,"1,90",-
,Carlos Pinto,Defender,Centre-Back,"Feb 18, 1985 ",39,['Portugal'],Portugal,Porto,,"1,75",-
,Baresi,Defender,Centre-Back,"Apr 4, 1985 ",39,['Portugal'],Portugal,Vieira de Leiria,,,-
,Fausto,Defender,Centre-Back,"Jan 12, 1985 ",39,['Portugal'],Portugal,Loulé,DM   RB,"1,87",-
37,Vítor Alves,Defender,Centre-Back,"Apr 11, 1985 ",38,['Portugal'],Portugal,Sabrosa,LB   RB,"1,79",-
,Paulo Monteiro,Defender,Centre-Back,"Jan 21, 1985 ",39,['Portugal'],Portugal,Guimarães,DM,"1,91",-
,Tiago Valente,Defender,Centre-Back,"Apr 24, 1985 ",38,['Portugal'],Portugal,Macedo de Cavaleiros,,"1,86",-
,Miguel Afonso,Defender,Centre-Back,"Jun 28, 1985 ",38,['Portugal'],Portugal,Figueira da Foz,,"1,86",-
,José Gonçalves,Defender,Centre-Back,"Sep 17, 1985 ",38,"['Portugal', 'Switzerland']",Portugal,Lisboa,LB,"1,90",-
,Henrique Sereno,Defender,Centre-Back,"May 18, 1985 ",38,['Portugal'],Portugal,Elvas,RB   LB,"1,87",-
,Hugo,Defender,Centre-Back,"Feb 19, 1985 ",39,['Portugal'],Portugal,Gondomar,LB,,-
,Bruno Resende,Defender,Centre-Back,"Mar 10, 1985 ",39,['Portugal'],Portugal,Avanca,DM,"1,87",-
,Rui Jorge,Defender,Centre-Back,"Dec 26, 1985 ",38,['Portugal'],Portugal,Matosinhos,LB,"1,84",-
