Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
7,Cristiano Ronaldo,Striker,Centre-Forward,"Feb 5, 1985 ",39,['Portugal'],Portugal,Funchal,LW   RW,"1,88",€15.00m
,Davide Bessa,Striker,Centre-Forward,"Jan 14, 1985 ",39,['Portugal'],Portugal,Felgueiras,,"1,86",-
,Capela,Striker,Centre-Forward,"Aug 2, 1985 ",38,['Portugal'],Portugal,Santa Maria da Feira,RW   AM,"1,81",-
,Tiago Borges,Striker,Centre-Forward,"Jun 6, 1985 ",39,['Portugal'],Portugal,Angra do Heroísmo,LW   RW,"1,78",-
,Guilherme Ramos,Striker,Centre-Forward,"Jan 7, 1985 ",39,['Portugal'],Portugal,Lisboa,,"1,88",-
,Rui Augusto,Striker,Centre-Forward,"Apr 3, 1985 ",39,['Portugal'],Portugal,Lisboa,,,-
9,Vítor Hugo,Striker,Centre-Forward,"Nov 4, 1985 ",38,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,77",-
,Hugo Carolo,Striker,Centre-Forward,"Jun 13, 1985 ",39,['Portugal'],Portugal,Loures,LW,"1,75",-
,Bruno Goncalves,Striker,Centre-Forward,"Feb 6, 1985 ",39,['Portugal'],Portugal,Setúbal,,"1,82",-
9,Billy,Striker,Centre-Forward,"Feb 19, 1985 ",39,['Portugal'],Portugal,Ponte de Sôr,RW   LW,"1,80",-
22,Zé Feio,Striker,Centre-Forward,"Sep 28, 1985 ",38,['Portugal'],Portugal,Alvito,,"1,85",-
,Pedro Rodrigues Duarte,Striker,Centre-Forward,"Apr 1, 1985 ",39,['Portugal'],Portugal,Salvaterra de Magos,LW   RW,,-
,Amílcar,Striker,Centre-Forward,"Jan 4, 1985 ",39,['Portugal'],Portugal,Grijó,RW,"1,87",-
,Bonifácio,Striker,Centre-Forward,"Aug 6, 1985 ",38,['Portugal'],Portugal,Mafra,,"1,80",-
7,Carlitos,Striker,Centre-Forward,"Jul 23, 1985 ",38,['Portugal'],Portugal,Espinho,RW   LW,"1,75",-
,Élio Martins,Striker,Centre-Forward,"Mar 26, 1985 ",39,['Portugal'],Portugal,Machico,RW   LW,"1,85",-
16,Rui Sousa,Striker,Centre-Forward,"Sep 2, 1985 ",38,['Portugal'],Portugal,Beja,,"1,90",-
,Abdul Carrupt,Striker,Centre-Forward,"Dec 28, 1985 ",38,"['Switzerland', 'Guinea-Bissau']",Portugal,,SS   RW,"1,80",-
,Sílvio Andrade,Striker,Centre-Forward,"Nov 12, 1986 ",37,['Portugal'],Portugal,Câmara de Lobos,SS,"1,82",-
,Roberto Alberto,Striker,Centre-Forward,"Jun 1, 1986 ",38,['Portugal'],Portugal,Portimão,,"1,75",-
,Bruno Gomes,Striker,Centre-Forward,"Feb 6, 1986 ",38,['Portugal'],Portugal,Igreja Nova,,"1,96",-
,Ivo Bastos,Striker,Centre-Forward,"Jan 31, 1986 ",38,['Portugal'],Portugal,Porto,,"1,88",-
,Ivan Sa Borges,Striker,Centre-Forward,N/A ,37,[],Portugal,Lissabon,,N/A,-
,Romeu Torres,Striker,Centre-Forward,"Aug 7, 1986 ",37,['Portugal'],Portugal,Santo Tirso,,"1,83",-
,Cascavél,Striker,Centre-Forward,"Oct 3, 1986 ",37,['Portugal'],Portugal,Guimarães,,"1,84",-
,Bruno Filipe,Striker,Centre-Forward,"Jan 15, 1986 ",38,['Portugal'],Portugal,Braga,,"1,88",-
,Carlos Saleiro,Striker,Centre-Forward,"Feb 25, 1986 ",38,['Portugal'],Portugal,Lisboa,,"1,85",-
,Carlos Baldé,Striker,Centre-Forward,"Sep 21, 1986 ",37,['Portugal'],Portugal,Lisboa,RW   LW,"1,78",-
,Ricardo Teixeira,Striker,Centre-Forward,"Oct 8, 1986 ",37,['Portugal'],Portugal,Rebordosa,,"1,88",-
,Jony Ramos,Striker,Centre-Forward,"May 12, 1986 ",38,"['Sao Tome and Principe', 'Portugal']",Portugal,Lisboa,LW,"1,88",-
,Bruno Soares,Striker,Centre-Forward,"May 26, 1986 ",38,['Portugal'],Portugal,Lisboa,,,-
,Tony Veiga,Striker,Centre-Forward,"Jun 13, 1986 ",38,"['Portugal', 'Cape Verde']",Portugal,Lisboa,SS,"1,75",-
9,Marco Véstia,Striker,Centre-Forward,"May 2, 1986 ",38,['Portugal'],Portugal,Barreiro,RW,"1,80",-
,Luis Pimenta,Striker,Centre-Forward,"Mar 6, 1986 ",38,['Portugal'],Portugal,Mealhada,RW   RM,"1,75",-
77,Diogo Ramos,Striker,Centre-Forward,"Nov 8, 1986 ",37,['Portugal'],Portugal,Vila Nova de Gaia,,"1,83",-
17,João Moreira,Striker,Centre-Forward,"Feb 7, 1986 ",38,['Portugal'],Portugal,São Sebastião,,"1,84",-
,Guima,Striker,Centre-Forward,"Mar 11, 1986 ",38,['Portugal'],Portugal,Santa Maria da Feira,SS   AM,"1,94",-
,Cícero,Striker,Centre-Forward,"May 8, 1986 ",38,"['Guinea-Bissau', 'Portugal']",Portugal,Seia,,"1,89",-
,Luís Leal,Striker,Centre-Forward,"May 29, 1987 ",37,"['Sao Tome and Principe', 'Portugal']",Portugal,Arrentela,RW   LW,"1,76",€50k
,Cláudio Pereira,Striker,Centre-Forward,"Jan 11, 1987 ",37,['Portugal'],Portugal,Lobão,RW,,-
,Cajó,Striker,Centre-Forward,"Oct 29, 1987 ",36,['Portugal'],Portugal,,RW   LW,"1,80",-
,Rúben Braga,Striker,Centre-Forward,"Aug 4, 1987 ",36,['Portugal'],Portugal,Almada,,"1,72",-
,Carlos Leonel,Striker,Centre-Forward,"Jul 28, 1987 ",36,"['Macao', 'Portugal']",Portugal,Ribeira Brava,,"1,86",-
,Ezequiel Cabral Barbosa,Striker,Centre-Forward,"Sep 30, 1987 ",36,"['Portugal', 'Cape Verde']",Portugal,Lissabon,,"1,92",-
,Jaime Leite,Striker,Centre-Forward,"Oct 20, 1987 ",36,['Portugal'],Portugal,Felgueiras,,"1,84",-
