Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Bruno Carvalho,Midfielder,Central Midfield,"Nov 8, 1985 ",38,['Portugal'],Portugal,Campo,DM,"1,69",-
,Viana,Midfielder,Central Midfield,"Mar 10, 1985 ",39,['Portugal'],Portugal,,DM,"1,80",-
,Rúben Gouveia,Midfielder,Central Midfield,"Mar 13, 1985 ",39,"['Angola', 'Portugal']",Portugal,Lisboa,AM   RM,"1,73",-
,Telmo Vumbi,Midfielder,Central Midfield,"Dec 8, 1985 ",38,['Portugal'],Portugal,Porto,,N/A,-
,Tiago Gomes,Midfielder,Central Midfield,"Aug 19, 1985 ",38,['Portugal'],Portugal,Vila Franca de Xira,LM   RM,"1,81",-
,Tata,Midfielder,Central Midfield,"Dec 15, 1985 ",38,['Portugal'],Portugal,Gondomar,AM,"1,78",-
8,Leandro Gaspar,Midfielder,Central Midfield,"Sep 29, 1985 ",38,['Portugal'],Portugal,Marinha Grande,AM,,-
,Pedro Sousa,Midfielder,Central Midfield,"Dec 11, 1985 ",38,['Portugal'],Portugal,Espinho,RB,,-
,André Fontes,Midfielder,Central Midfield,"May 27, 1985 ",38,['Portugal'],Portugal,Tábua,AM   RM,"1,79",-
,Kika,Midfielder,Central Midfield,"Feb 3, 1985 ",39,['Portugal'],Portugal,Trofa,LM,"1,68",-
,João Vilela,Midfielder,Central Midfield,"Sep 9, 1985 ",38,['Portugal'],Portugal,Lissabon,AM   DM,"1,84",-
,Rúben Amorim,Midfielder,Central Midfield,"Jan 27, 1985 ",39,['Portugal'],Portugal,Lisboa,RM   RB,"1,78",-
28,João Moutinho,Midfielder,Central Midfield,"Sep 8, 1986 ",37,['Portugal'],Portugal,Portimão,AM   DM,"1,70",€800k
,Dany,Midfielder,Central Midfield,"Jan 13, 1986 ",38,['Portugal'],Portugal,,,"1,78",-
,Fernando Ferreira,Midfielder,Central Midfield,"Nov 20, 1986 ",37,['Portugal'],Portugal,Viseu,DM   AM,"1,83",-
13,Luís Gancho,Midfielder,Central Midfield,"Jul 29, 1986 ",37,['Portugal'],Portugal,Macedo de Cavaleiros,,"1,76",-
,Pedro Borges,Midfielder,Central Midfield,"May 28, 1986 ",37,['Portugal'],Portugal,Mirandela,AM   DM,"1,81",-
,Tito Silva,Midfielder,Central Midfield,"May 10, 1986 ",37,['Portugal'],Portugal,Funchal,DM,"1,84",-
,André Serrão,Midfielder,Central Midfield,"Jun 29, 1986 ",37,['Portugal'],Portugal,Vila do Conde,,"1,76",-
,Pires,Midfielder,Central Midfield,"Jun 17, 1986 ",37,['Portugal'],Portugal,,,,-
,Bruno González,Midfielder,Central Midfield,"Sep 10, 1986 ",37,['Portugal'],Portugal,Lagos,AM,"1,71",-
16,Fredy,Midfielder,Central Midfield,"Jun 16, 1986 ",37,['Portugal'],Portugal,Santa Maria da Feira,AM   DM,"1,74",-
,André Veras,Midfielder,Central Midfield,"Jun 12, 1986 ",37,['Portugal'],Portugal,Chaves,,"1,80",-
,Rúben Micael,Midfielder,Central Midfield,"Aug 19, 1986 ",37,['Portugal'],Portugal,Câmara de Lobos,AM   DM,"1,76",-
,Jaime Pacheco,Midfielder,Central Midfield,"Jun 1, 1986 ",37,['Portugal'],Portugal,Olhão,,"1,78",-
,Paulo Machado,Midfielder,Central Midfield,"Mar 31, 1986 ",38,['Portugal'],Portugal,Bairro do Cerco,DM   AM,"1,74",-
21,Marmelo,Midfielder,Central Midfield,"Dec 26, 1987 ",36,['Portugal'],Portugal,Ovar,DM   RM,"1,84",-
,Miguel Lemos,Midfielder,Central Midfield,"Sep 16, 1987 ",36,['Portugal'],Portugal,Fafe,AM   RM,"1,76",-
,Jorge Balixa,Midfielder,Central Midfield,"Apr 13, 1987 ",36,['Portugal'],Portugal,Reguengos de Monsaraz,,,-
,Tiago Martins,Midfielder,Central Midfield,"Jun 25, 1987 ",36,['Portugal'],Portugal,Guimarães,,"1,77",-
,Valter Paulista,Midfielder,Central Midfield,"Aug 14, 1987 ",36,['Portugal'],Portugal,Alcochete,AM,"1,75",-
3,Ricardo Tavares,Midfielder,Central Midfield,"Feb 21, 1987 ",37,['Portugal'],Portugal,Cantanhede,DM,"1,72",-
,Baixinho,Midfielder,Central Midfield,"Mar 5, 1987 ",37,"['Andorra', 'Portugal']",Portugal,Lisboa,,,-
,Samarra,Midfielder,Central Midfield,"Jan 19, 1987 ",37,['Portugal'],Portugal,Lisboa,AM,"1,75",-
,André Cunha,Midfielder,Central Midfield,"Aug 16, 1987 ",36,['Portugal'],Portugal,Vizela,LB   LM,"1,78",-
8,Gilberto,Midfielder,Central Midfield,"Mar 26, 1987 ",37,['Portugal'],Portugal,Guimarães,RB   DM,"1,71",-
13,Rui Sampaio,Midfielder,Central Midfield,"May 29, 1987 ",36,['Portugal'],Portugal,Vila Pouca de Aguiar,DM   AM,"1,86",-
,João Aires,Midfielder,Central Midfield,"Jun 10, 1987 ",36,['Portugal'],Portugal,Ermesinde,AM,"1,77",-
10,Diogo Seminário,Midfielder,Central Midfield,"Apr 10, 1987 ",37,['Portugal'],Portugal,Peso da Régua,AM   DM,"1,80",-
,Nakata,Midfielder,Central Midfield,"Aug 18, 1987 ",36,"['Portugal', 'Andorra']",Portugal,Sabrosa,DM   AM,,-
21,João Carneiro,Midfielder,Central Midfield,"Feb 21, 1987 ",37,['Portugal'],Portugal,Guimarães,LB,"1,73",-
,Adriano Teixeira,Midfielder,Central Midfield,"Oct 21, 1987 ",36,['Portugal'],Portugal,,,,-
,Paulinho Mota,Midfielder,Central Midfield,"Dec 23, 1987 ",36,['Portugal'],Portugal,Alcochete,,"1,73",-
,Fábio Coça,Midfielder,Central Midfield,"Jul 17, 1987","Jul 17, 1987",['Portugal'],Portugal,São Pedro da Cadeira,AM,"1,75",-
10,Hugo Amado,Midfielder,Central Midfield,"May 11, 1987 ",36,['Portugal'],Portugal,,AM,"1,86",-
,Moita,Midfielder,Central Midfield,"Jan 2, 1987 ",37,['Portugal'],Portugal,Marinha Grande,,,-
,Artur Pacheco,Midfielder,Central Midfield,"Mar 5, 1987 ",37,['Portugal'],Portugal,Paredes,AM,"1,75",-
,Pelé,Midfielder,Central Midfield,"Sep 14, 1987 ",36,['Portugal'],Portugal,Porto,DM   AM,"1,87",-
,Ito,Midfielder,Central Midfield,"May 24, 1987 ",36,['Portugal'],Portugal,Arganil,SS,"1,78",-
,Feliciano Condesso,Midfielder,Central Midfield,"Apr 6, 1987 ",37,['Portugal'],Portugal,Setúbal,AM,"1,85",-
6,Zeca,Midfielder,Central Midfield,"Aug 31, 1988 ",35,"['Greece', 'Portugal']",Portugal,Lisboa,RM   DM,"1,82",€300k
25,Pedro Tiba,Midfielder,Central Midfield,"Aug 31, 1988 ",35,['Portugal'],Portugal,Arcos de Valdevez,AM   SS,"1,74",€150k
9,Copas,Midfielder,Central Midfield,"Sep 30, 1988 ",35,['Portugal'],Portugal,,AM,,-
,Andrézinho,Midfielder,Central Midfield,"Mar 24, 1988 ",36,['Portugal'],Portugal,Lourosa,AM,,-
,Carlos Oliveira,Midfielder,Central Midfield,"Oct 15, 1988 ",35,['Portugal'],Portugal,Arrentela Seixal,,,-
17,Ruben Moreira,Midfielder,Central Midfield,"Jun 24, 1988 ",35,['Portugal'],Portugal,Guimarães,AM,"1,83",-
7,Cedrico Franja,Midfielder,Central Midfield,"Dec 25, 1988 ",35,['Portugal'],Portugal,Coimbra,DM,"1,67",-
8,Luís Aurélio,Midfielder,Central Midfield,"Aug 17, 1988 ",35,['Portugal'],Portugal,Beja,RW   AM,"1,79",-
,Diogo Lamosa,Midfielder,Central Midfield,"May 25, 1988 ",35,['Portugal'],Portugal,Guimarães,DM,"1,72",-
,João Pedro,Midfielder,Central Midfield,"Apr 19, 1988 ",35,['Portugal'],Portugal,Funchal,,"1,71",-
,Hugo Lopes,Midfielder,Central Midfield,"Aug 25, 1988 ",35,['Portugal'],Portugal,Guimarães,LM   RM,"1,80",-
,Maurício,Midfielder,Central Midfield,"Jun 3, 1988 ",35,['Portugal'],Portugal,Marco de Canaveses,,,-
27,João Martins,Midfielder,Central Midfield,"Jan 20, 1988 ",36,['Portugal'],Portugal,,,,-
8,Castro,Midfielder,Central Midfield,"Apr 2, 1988 ",36,['Portugal'],Portugal,Gondomar,AM   DM,"1,81",€200k
23,Leonel Alves,Midfielder,Central Midfield,"May 9, 1988 ",35,"['Guinea-Bissau', 'Portugal']",Portugal,Lisboa,RW   LW,"1,74",€50k
,Tiago Sousa,Midfielder,Central Midfield,"Apr 8, 1988 ",36,['Portugal'],Portugal,Amarante,AM,"1,75",-
,Diogo Melo,Midfielder,Central Midfield,"May 11, 1988 ",35,['Portugal'],Portugal,,DM,"1,79",-
,Tiago Magalhães,Midfielder,Central Midfield,"Oct 7, 1988 ",35,['Portugal'],Portugal,Viana do Castelo,,"1,75",-
,Ricardo Pereira,Midfielder,Central Midfield,"Jul 22, 1988 ",35,['Portugal'],Portugal,Recarei,,,-
,João Ferreira,Midfielder,Central Midfield,"May 4, 1988 ",35,['Portugal'],Portugal,,,,-
,Rúben Gravata,Midfielder,Central Midfield,"Jun 7, 1988 ",35,['Portugal'],Portugal,Coimbra,AM,"1,68",-
,Sérgio Sousa,Midfielder,Central Midfield,"May 2, 1988 ",35,['Portugal'],Portugal,Câmara de Lobos,,,-
,Tiago Barros,Midfielder,Central Midfield,"Apr 2, 1988 ",36,['Portugal'],Portugal,Aveiro,AM   DM,"1,85",-
,Zé Sousa,Midfielder,Central Midfield,"Sep 19, 1988 ",35,['Portugal'],Portugal,Oliveira de Azemeis,,"1,80",-
,Viduka,Midfielder,Central Midfield,"Oct 31, 1988 ",35,['Portugal'],Portugal,Marco de Canaveses,,"1,78",-
23,Ricardinho,Midfielder,Central Midfield,"Mar 26, 1988 ",36,['Portugal'],Portugal,Valença,RB   DM,"1,75",-
,Leal,Midfielder,Central Midfield,"May 22, 1988 ",35,['Portugal'],Portugal,Paços de Ferreira,RM,"1,78",-
10,Miguel Neves,Midfielder,Central Midfield,"Apr 19, 1988 ",35,['Portugal'],Portugal,Coimbra,LM   AM,"1,81",-
,Pedro Pita,Midfielder,Central Midfield,"Feb 2, 1988 ",36,['Portugal'],Portugal,Camacha,,"1,75",-
,João Martins,Midfielder,Central Midfield,"Jun 30, 1988 ",35,['Portugal'],Portugal,Oliveira do Hospital,AM   DM,"1,76",-
,Luís Filipe,Midfielder,Central Midfield,"Dec 22, 1988 ",35,['Portugal'],Portugal,Braga,,,-
,Tiago Lopes,Midfielder,Central Midfield,"Jan 1, 1988 ",36,['Portugal'],Portugal,Barcelos,,"1,74",-
28,Tiago Ronaldo,Midfielder,Central Midfield,"Dec 28, 1988 ",35,['Portugal'],Portugal,Loures,DM   LM,"1,78",-
8,Pedro Alex,Midfielder,Central Midfield,"Jul 31, 1988 ",35,['Portugal'],Portugal,Penafiel,AM,"1,72",-
21,André André,Midfielder,Central Midfield,"Aug 26, 1989 ",34,['Portugal'],Portugal,Vila do Conde,AM   RM,"1,74",€250k
20,Pedro Moreira,Midfielder,Central Midfield,"Mar 15, 1989 ",35,['Portugal'],Portugal,Lousada,LM   AM,"1,81",€100k
,Cabel,Midfielder,Central Midfield,"Sep 6, 1989 ",34,['Portugal'],Portugal,Macieira de Sarnes,DM,"1,75",-
,João Paulo,Midfielder,Central Midfield,"Sep 12, 1989 ",34,['Portugal'],Portugal,Carvalhais,,,-
8,Hugo Parente,Midfielder,Central Midfield,"Oct 16, 1989 ",34,['Portugal'],Portugal,,,,-
27,Vítor Hugo,Midfielder,Central Midfield,"May 12, 1989 ",34,['Portugal'],Portugal,Paredes,LM   AM,"1,77",-
,Marcelo Ribeiro,Midfielder,Central Midfield,"Dec 22, 1989 ",34,['Portugal'],Portugal,Abrantes,,"1,69",-
9,Bruno Loureiro,Midfielder,Central Midfield,"Sep 23, 1989 ",34,['Portugal'],Portugal,Viseu,AM,"1,73",-
,Delfino,Midfielder,Central Midfield,"Feb 26, 1989 ",35,['Portugal'],Portugal,Funchal,,,-
,Ruizinho,Midfielder,Central Midfield,"Mar 13, 1989 ",35,['Portugal'],Portugal,Ponta Delgada,DM   AM,"1,82",-
,Maga,Midfielder,Central Midfield,"Jun 3, 1989 ",34,['Portugal'],Portugal,Vizela,,"1,72",-
,Cristiano Araújo,Midfielder,Central Midfield,"Jul 11, 1989 ",34,['Portugal'],Portugal,Portalegre,AM,"1,73",-
,Cristelo,Midfielder,Central Midfield,"Mar 17, 1989 ",35,"['Portugal', 'France']",Portugal,Paredes,AM,"1,65",-
8,Hélder Tavares,Midfielder,Central Midfield,"Dec 26, 1989 ",34,"['Cape Verde', 'Portugal']",Portugal,Olivais,AM,"1,78",€100k
,Oliveira,Midfielder,Central Midfield,"May 29, 1989 ",34,['Portugal'],Portugal,Massarelos,AM   LW,"1,77",-
15,Valdo Silva,Midfielder,Central Midfield,"Jun 5, 1989 ",34,['Portugal'],Portugal,Castelo Branco,LW,,-
5,Luís Moreira,Midfielder,Central Midfield,"Mar 31, 1989 ",35,['Portugal'],Portugal,Grijó,DM   AM,"1,80",-
,Camilo Rocha,Midfielder,Central Midfield,"Jan 8, 1989 ",35,['Portugal'],Portugal,Viana do Castelo,RB,"1,74",-
,Edgar Teixeira,Midfielder,Central Midfield,"Dec 1, 1989 ",34,"['Macao', 'Portugal']",Portugal,Argoncilhe,AM   RW,"1,80",-
