Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
1.0,António Filipe,Goalkeeper,"Apr 14, 1985 ",38,Portugal,Portugal,Gondomar,,"1,87",,,Portugal,,,
,Carlos Magalhães,Goalkeeper,"Apr 15, 1985 ",38,Portugal,Portugal,Porto,,"1,78",,,Portugal,,,
,Manuel Silveira,Goalkeeper,"May 28, 1985 ",38,"Portugal, Andorra",Portugal,,,,,,Portugal, Andorra,,
,Tiago Alves,Goalkeeper,"May 15, 1985 ",38,"Portugal, France",Portugal,Chaves,,"1,83",,,Portugal, France,,
,Torcato,Goalkeeper,"Feb 15, 1985 ",39,Portugal,Portugal,Penafiel,,"1,80",,,Portugal,,,
,Ricardo Campos,Goalkeeper,"Jul 14, 1985 ",38,"Mozambique, Portugal",Portugal,Caldas da Rainha,,"1,88",,,Mozambique, Portugal,,
,Vasco Viana,Goalkeeper,"Apr 20, 1985 ",38,Portugal,Portugal,Felgueiras,,"1,96",,,Portugal,,,
25.0,Pedro Fernandes,Goalkeeper,"Jan 17, 1985 ",39,Portugal,Portugal,Vila Real,,"1,85",,,Portugal,,,
,Jorge Lemos,Goalkeeper,"Feb 6, 1985 ",39,Portugal,Portugal,Guimaraes,,"1,87",,,Portugal,,,
,João Botelho,Goalkeeper,"Sep 22, 1985 ",38,Portugal,Portugal,Ponta Delgada,,"1,82",,,Portugal,,,
,Filipe Mendes,Goalkeeper,"Jun 17, 1985 ",38,Portugal,Portugal,Lisboa,,"1,93",,,Portugal,,,
,André Queirós,Goalkeeper,"Jul 25, 1985 ",38,Portugal,Portugal,Aveiro,,"1,96",,,Portugal,,,
,Nélson,Goalkeeper,"Mar 4, 1985 ",39,Portugal,Portugal,Figueira da Foz,,"1,88",,,Portugal,,,
,Rui Rosindo,Goalkeeper,"Jan 18, 1985 ",39,Portugal,Portugal,Moura,,,,,Portugal,,,
,Nuno Laurentino,Goalkeeper,"Dec 21, 1985 ",38,Portugal,Portugal,Evora,,"1,85",,,Portugal,,,
,Pedro Monteiro,Goalkeeper,"Oct 22, 1985 ",38,Portugal,Portugal,Oliveira de Azemeis,,"1,84",,,Portugal,,,
,Ivo,Goalkeeper,"May 20, 1985 ",38,Portugal,Portugal,Gondomar,,"1,85",,,Portugal,,,
,Hugo Magalhães,Goalkeeper,"Apr 29, 1985 ",38,Portugal,Portugal,Paredes,,"1,96",,,Portugal,,,
,Rui Sacramento,Goalkeeper,"Jan 31, 1985 ",39,Portugal,Portugal,Matosinhos,,"1,84",,,Portugal,,,
,Fonseca,Goalkeeper,"Jan 5, 1985 ",39,Portugal,Portugal,Porto,,"1,82",,,Portugal,,,
,Pedro Cardoso,Goalkeeper,"Feb 25, 1985 ",39,Portugal,Portugal,Lisboa,,"1,81",,,Portugal,,,
,Pedro Gomes,Goalkeeper,"Oct 14, 1985 ",38,Portugal,Portugal,Aveiro,,"1,84",,,Portugal,,,
1.0,João Nuno,Goalkeeper,"May 9, 1985 ",38,Portugal,Portugal,Guimaraes,,"1,83",,,Portugal,,,
,Gabriel,Goalkeeper,"Feb 23, 1985 ",39,Portugal,Portugal,Marco de Canaveses,,,,,Portugal,,,
33.0,Ricardo Batista,Goalkeeper,"Nov 19, 1986 ",37,"Portugal, Angola",Portugal,Setubal,,"1,92",,,Portugal, Angola,,
31.0,Óscar,Goalkeeper,"Jul 23, 1986 ",37,Portugal,Portugal,Seia,,"1,90",,,Portugal,,,
28.0,Paulinho Baptista,Goalkeeper,"Jan 24, 1986 ",38,Portugal,Portugal,Ronfe,,"1,81",,,Portugal,,,
99.0,Makê,Goalkeeper,"Sep 2, 1986 ",37,Portugal,Portugal,Marinha Grande,,"1,93",,,Portugal,,,
,João Nunes,Goalkeeper,"May 21, 1986 ",37,Portugal,Portugal,Povoa de Varzim,,"1,93",,,Portugal,,,
