Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
85,Álvaro Silveira,Midfielder,Defensive Midfield,"Jan 15, 1985 ",39,['Portugal'],Portugal,Horta,,,-
,Bruno Joel,Midfielder,Defensive Midfield,"Feb 20, 1985 ",39,['Portugal'],Portugal,Caldas de São Jorge,CB   RB,,-
,Ricardo Rigôr,Midfielder,Defensive Midfield,"Oct 13, 1985 ",38,['Portugal'],Portugal,Sesimbra,,,-
,Gualtar Bilro,Midfielder,Defensive Midfield,"Nov 22, 1985 ",38,['Portugal'],Portugal,Valongo,CB,"1,82",-
,Tiago Cerqueira,Midfielder,Defensive Midfield,"Sep 22, 1985 ",38,['Portugal'],Portugal,,CM,,-
,Manuel Godinho,Midfielder,Defensive Midfield,"Aug 1, 1985 ",38,['Portugal'],Portugal,Oliveira de Azeméis,CB,"1,85",-
,Daniel Barbosa,Midfielder,Defensive Midfield,"Mar 21, 1985 ",39,['Portugal'],Portugal,Freamunde,CM,N/A,-
,Fernando Alexandre,Midfielder,Defensive Midfield,"Aug 2, 1985 ",38,['Portugal'],Portugal,Lourinhã,CB   CM,"1,84",-
,Nélson Santos,Midfielder,Defensive Midfield,"Mar 7, 1985 ",39,['Portugal'],Portugal,Arrifana,CM,,-
,Renato Margaça,Midfielder,Defensive Midfield,"Jul 17, 1985 ",38,"['Cyprus', 'Portugal']",Portugal,Covilhã,LB   CM,"1,69",-
,Fábio Ferreira,Midfielder,Defensive Midfield,"Feb 20, 1985 ",39,['Portugal'],Portugal,Ovar,CB   CM,"1,81",-
,Pedro Stanic,Midfielder,Defensive Midfield,"Jan 6, 1985 ",39,['Portugal'],Portugal,Loures,CM,"1,86",-
,Hugo Veiga,Midfielder,Defensive Midfield,"Feb 22, 1985 ",39,['Portugal'],Portugal,Braga,,"1,82",-
,Carlos Miguel,Midfielder,Defensive Midfield,"Jul 30, 1985 ",38,['Portugal'],Portugal,Figueira da Foz,,"1,83",-
,André Carvalho,Midfielder,Defensive Midfield,"Mar 12, 1985 ",39,['Portugal'],Portugal,Vila do Conde,CM,"1,78",-
,Paulo Tavares,Midfielder,Defensive Midfield,"Dec 9, 1985 ",38,['Portugal'],Portugal,Porto,CM,"1,79",-
,Wilson Sanches Leal,Midfielder,Defensive Midfield,"Apr 15, 1985 ",38,['Portugal'],Portugal,Setúbal,,"1,78",-
,André Leão,Midfielder,Defensive Midfield,"May 20, 1985 ",38,['Portugal'],Portugal,Freamunde,CM   AM,"1,85",-
,Semedo,Midfielder,Defensive Midfield,"Jan 11, 1985 ",39,['Portugal'],Portugal,Setúbal,CB,"1,83",-
44,Miguel Veloso,Midfielder,Defensive Midfield,"May 11, 1986 ",37,['Portugal'],Portugal,Coimbra,CM,"1,80",€400k
,Tiago Marques,Midfielder,Defensive Midfield,N/A ,37,['Portugal'],Portugal,Montemor-O-Novo,CB,"1,85",-
8,Capela,Midfielder,Defensive Midfield,"Oct 15, 1986 ",37,['Portugal'],Portugal,Vila das Aves,,,-
,Capela,Midfielder,Defensive Midfield,"Jan 28, 1986 ",38,['Portugal'],Portugal,Arouca,CB   RB,"1,88",-
,Nélson Piquet,Midfielder,Defensive Midfield,"May 12, 1986 ",37,['Portugal'],Portugal,Paredes,CM   LM,,-
,Manuel Curto,Midfielder,Defensive Midfield,"Jul 9, 1986 ",37,['Portugal'],Portugal,Torres Vedras,CM   CF,"1,87",-
,Gonçalo Santos,Midfielder,Defensive Midfield,"Nov 15, 1986 ",37,['Portugal'],Portugal,Lamego,CB,"1,85",-
,Tiago Leite,Midfielder,Defensive Midfield,"Nov 14, 1986 ",37,['Portugal'],Portugal,Ovar,CM,,-
,Jonathan,Midfielder,Defensive Midfield,"Jan 15, 1986 ",38,['Portugal'],Portugal,Santa Maria de Lamas,CB,"1,82",-
,Ibraime Cassamá,Midfielder,Defensive Midfield,"Jan 24, 1986 ",38,"['Guinea-Bissau', 'Portugal']",Portugal,Lisboa,CB,"1,86",-
,Fábio Pereira,Midfielder,Defensive Midfield,"Mar 18, 1986 ",38,['Portugal'],Portugal,Coimbra,CB,"1,84",-
,Romeu,Midfielder,Defensive Midfield,"Feb 17, 1986 ",38,['Portugal'],Portugal,Paredes,,"1,85",-
,Duarte Pereira,Midfielder,Defensive Midfield,"Jan 12, 1986 ",38,['Portugal'],Portugal,Felgueiras,CM,,-
,Marco Rodrigues Simoes,Midfielder,Defensive Midfield,"Aug 1, 1986 ",37,"['Luxembourg', 'Brazil']",Portugal,Canas de Senhorim,RB   CB,"1,72",-
,Grosso,Midfielder,Defensive Midfield,"Jun 11, 1986 ",37,['Portugal'],Portugal,São Tomé de Negrelos,CM   RB,"1,80",-
