Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value
1,António Filipe,Goalkeeper,"Apr 14, 1985 ",38,['Portugal'],Portugal,Gondomar,,"1,87"
,Carlos Magalhães,Goalkeeper,"Apr 15, 1985 ",38,['Portugal'],Portugal,Porto,,"1,78"
,Manuel Silveira,Goalkeeper,"May 28, 1985 ",38,"['Portugal', 'Andorra']",Portugal,,,
,Tiago Alves,Goalkeeper,"May 15, 1985 ",38,"['Portugal', 'France']",Portugal,Chaves,,"1,83"
,Torcato,Goalkeeper,"Feb 15, 1985 ",39,['Portugal'],Portugal,Penafiel,,"1,80"
,Ricardo Campos,Goalkeeper,"Jul 14, 1985 ",38,"['Mozambique', 'Portugal']",Portugal,Caldas da Raínha,,"1,88"
,Vasco Viana,Goalkeeper,"Apr 20, 1985 ",38,['Portugal'],Portugal,Felgueiras,,"1,96"
25,Pedro Fernandes,Goalkeeper,"Jan 17, 1985 ",39,['Portugal'],Portugal,Vila Real,,"1,85"
,Jorge Lemos,Goalkeeper,"Feb 6, 1985 ",39,['Portugal'],Portugal,Guimarães,,"1,87"
,João Botelho,Goalkeeper,"Sep 22, 1985 ",38,['Portugal'],Portugal,Ponta Delgada,,"1,82"
,Filipe Mendes,Goalkeeper,"Jun 17, 1985 ",38,['Portugal'],Portugal,Lisboa,,"1,93"
,André Queirós,Goalkeeper,"Jul 25, 1985 ",38,['Portugal'],Portugal,Aveiro,,"1,96"
,Nélson,Goalkeeper,"Mar 4, 1985 ",39,['Portugal'],Portugal,Figueira da Foz,,"1,88"
,Rui Rosindo,Goalkeeper,"Jan 18, 1985 ",39,['Portugal'],Portugal,Moura,,
,Nuno Laurentino,Goalkeeper,"Dec 21, 1985 ",38,['Portugal'],Portugal,Évora,,"1,85"
,Pedro Monteiro,Goalkeeper,"Oct 22, 1985 ",38,['Portugal'],Portugal,Oliveira de Azeméis,,"1,84"
,Ivo,Goalkeeper,"May 20, 1985 ",38,['Portugal'],Portugal,Gondomar,,"1,85"
,Hugo Magalhães,Goalkeeper,"Apr 29, 1985 ",38,['Portugal'],Portugal,Paredes,,"1,96"
,Rui Sacramento,Goalkeeper,"Jan 31, 1985 ",39,['Portugal'],Portugal,Matosinhos,,"1,84"
,Fonseca,Goalkeeper,"Jan 5, 1985 ",39,['Portugal'],Portugal,Porto,,"1,82"
,Pedro Cardoso,Goalkeeper,"Feb 25, 1985 ",39,['Portugal'],Portugal,Lisboa,,"1,81"
,Pedro Gomes,Goalkeeper,"Oct 14, 1985 ",38,['Portugal'],Portugal,Aveiro,,"1,84"
1,João Nuno,Goalkeeper,"May 9, 1985 ",38,['Portugal'],Portugal,Guimarães,,"1,83"
,Gabriel,Goalkeeper,"Feb 23, 1985 ",39,['Portugal'],Portugal,Marco de Canaveses,,
33,Ricardo Batista,Goalkeeper,"Nov 19, 1986 ",37,"['Portugal', 'Angola']",Portugal,Setúbal,,"1,92"
31,Óscar,Goalkeeper,"Jul 23, 1986 ",37,['Portugal'],Portugal,Seia,,"1,90"
28,Paulinho Baptista,Goalkeeper,"Jan 24, 1986 ",38,['Portugal'],Portugal,Ronfe,,"1,81"
99,Makê,Goalkeeper,"Sep 2, 1986 ",37,['Portugal'],Portugal,Marinha Grande,,"1,93"
,João Nunes,Goalkeeper,"May 21, 1986 ",37,['Portugal'],Portugal,Póvoa de Varzim,,"1,93"
,Paulo Cunha,Goalkeeper,"Feb 19, 1986 ",38,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,91"
52,Márcio Guilherme,Goalkeeper,"Jul 10, 1986 ",37,['Portugal'],Portugal,,,"1,74"
,Salgueiro,Goalkeeper,"May 23, 1986 ",37,['Portugal'],Portugal,Barcelos,,"1,87"
,João Barroca,Goalkeeper,"Jul 29, 1986 ",37,['Portugal'],Portugal,Mealhada,,"1,87"
,Castro,Goalkeeper,"Sep 24, 1986 ",37,['Portugal'],Portugal,Porto,,"1,90"
,Rui Nereu,Goalkeeper,"Feb 4, 1986 ",38,['Portugal'],Portugal,Torres Novas,,"1,83"
,Fábio Monteiro,Goalkeeper,"Oct 26, 1986 ",37,['Portugal'],Portugal,Lissabon,,"1,88"
1,Hugo Marques,Goalkeeper,"Jan 15, 1986 ",38,"['Angola', 'Portugal']",Portugal,Fão,,"1,90"
14,José Borracha,Goalkeeper,"Jan 17, 1986 ",38,['Portugal'],Portugal,Cuba,,"1,84"
1,João Oliveira,Goalkeeper,"Jan 28, 1986 ",38,['Portugal'],Portugal,Ovar,,
1,António Pedro,Goalkeeper,"Jun 5, 1986 ",37,['Portugal'],Portugal,Lanhelas,,"1,82"
57,Paulinho,Goalkeeper,"Jul 27, 1986 ",37,['Portugal'],Portugal,Braga,,"1,83"
,Carlos Oliveira,Goalkeeper,"Apr 25, 1986 ",37,"['Portugal', 'Switzerland']",Portugal,,,
23,Manú,Goalkeeper,"Apr 12, 1986 ",37,['Portugal'],Portugal,Coimbra,,"1,88"
,Pedro Peraltinha,Goalkeeper,"May 25, 1986 ",37,['Portugal'],Portugal,Beja,,"1,84"
,Mário Felgueiras,Goalkeeper,"Dec 12, 1986 ",37,['Portugal'],Portugal,Viana do Castelo,,"1,86"
37,Bruno Costa,Goalkeeper,"Aug 28, 1986 ",37,['Portugal'],Portugal,Ferreiras,,"1,87"
,Diogo Santos,Goalkeeper,"Feb 21, 1986 ",38,['Portugal'],Portugal,Portimão,,"1,82"
1,Pedro Freitas,Goalkeeper,"Aug 31, 1986 ",37,['Portugal'],Portugal,Guimarães,,"1,86"
28,Marafona,Goalkeeper,"May 8, 1987 ",36,['Portugal'],Portugal,Vila do Conde,,"1,90"
,André Maló,Goalkeeper,"Jul 2, 1987 ",36,['Portugal'],Portugal,,,"1,80"
