Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
5,Caio,Defender,Left-Back,"Sep 6, 1985 ",38,['Portugal'],Portugal,Peso da Régua,,"1,72",-
,Jorge Lopes,Defender,Left-Back,"Jan 3, 1985 ",39,['Portugal'],Portugal,Porto,,"1,80",-
11,Jorginho,Defender,Left-Back,"Sep 21, 1985 ",38,['Portugal'],Portugal,Paredes,LM   LW,"1,69",-
,Nélson Pedroso,Defender,Left-Back,"Jun 10, 1985 ",38,['Portugal'],Portugal,Guimarães,LM,"1,80",-
,Luisinho,Defender,Left-Back,"May 5, 1985 ",38,['Portugal'],Portugal,Porto,,"1,71",-
,Pedro Araújo,Defender,Left-Back,"Jan 10, 1985 ",39,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,73",-
,Serginho,Defender,Left-Back,"Oct 12, 1985 ",38,['Portugal'],Portugal,Castelo de Paiva,,"1,77",-
,Tiago Santos,Defender,Left-Back,"Apr 3, 1985 ",39,['Portugal'],Portugal,Caldas da Raínha,,"1,75",-
,Serginho,Defender,Left-Back,"Nov 22, 1985 ",38,['Portugal'],Portugal,Vila Nova de Famalicão,DM,"1,73",-
,Jordão Diogo,Defender,Left-Back,"Nov 12, 1985 ",38,"['Sao Tome and Principe', 'Portugal']",Portugal,Lissabon,LM   DM,"1,84",-
,Pak-Chun Chan,Defender,Left-Back,"Dec 5, 1985 ",38,['Macao'],Portugal,Macao,RB   CB,"1,72",-
,Bruno Simão,Defender,Left-Back,"May 5, 1985 ",38,['Portugal'],Portugal,Lisboa,CB   LM,"1,77",-
,Vítor Hugo,Defender,Left-Back,"Sep 21, 1985 ",38,['Portugal'],Portugal,Gondomar,LM   LW,"1,80",-
45,Mário Camora,Defender,Left-Back,"Nov 10, 1986 ",37,"['Romania', 'Portugal']",Portugal,Samora Correia,LM,"1,78",€400k
,Ivo Oliveira,Defender,Left-Back,"Jun 23, 1986 ",37,['Portugal'],Portugal,Santa Maria de Lamas,,"1,82",-
,Vítor Pinto,Defender,Left-Back,"Mar 21, 1986 ",38,['Portugal'],Portugal,Vizela,LM,"1,70",-
,Pedrinho,Defender,Left-Back,"May 26, 1986 ",37,['Portugal'],Portugal,Paredes,LM   LW,"1,76",-
,Gonçalo,Defender,Left-Back,"May 25, 1986 ",37,['Portugal'],Portugal,Vila Nova de Gaia,,"1,80",-
,Chileno,Defender,Left-Back,"May 2, 1986 ",37,"['Portugal', 'Chile']",Portugal,Góis,,"1,73",-
77,Vitinha,Defender,Left-Back,"Feb 11, 1986 ",38,['Portugal'],Portugal,Guimarães,RB   DM,"1,73",-
,Luís Tinoco,Defender,Left-Back,"Oct 17, 1986 ",37,['Portugal'],Portugal,Barcelos,,"1,86",-
,Tiago Gomes,Defender,Left-Back,"Jul 29, 1986 ",37,['Portugal'],Portugal,Oeiras,,"1,77",-
20,Jorge Rosa,Defender,Left-Back,"Dec 25, 1986 ",37,['Portugal'],Portugal,Horta,LM,,-
,Porto,Defender,Left-Back,"Sep 20, 1986 ",37,['Portugal'],Portugal,Lourosa,,"1,71",-
,Filipe Pires,Defender,Left-Back,"Feb 5, 1986 ",38,['Portugal'],Portugal,Porto,,"1,80",-
,Dani Lopes,Defender,Left-Back,"Jul 6, 1986 ",37,['Portugal'],Portugal,Entroncamento,,"1,72",-
,Bruno Chapinha,Defender,Left-Back,"Mar 11, 1986 ",38,['Portugal'],Portugal,Valpaços,,"1,70",-
,Emídio Rafael,Defender,Left-Back,"Jan 24, 1986 ",38,['Portugal'],Portugal,Lisboa,,"1,83",-
,Nuno Pinto,Defender,Left-Back,"Aug 6, 1986 ",37,['Portugal'],Portugal,Vila Nova de Gaia,LM,"1,73",-
,Vítor Vinha,Defender,Left-Back,"Nov 11, 1986 ",37,['Portugal'],Portugal,Oliveira de Frades,LM   CM,"1,80",-
5,Antunes,Defender,Left-Back,"Apr 1, 1987 ",37,['Portugal'],Portugal,Freamunde,LM,"1,75",€75k
13,Marco Semedo,Defender,Left-Back,"Oct 8, 1987 ",36,['Portugal'],Portugal,Carnaxide,CB   DM,"1,81",-
